	YuJ_2015__SZAXPI015257-56__bin.48	NielsenHB_2014__MH0088__bin.3	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	LiuW_2016__SRR3992985__bin.31	LouisS_2016__AS51_18__bin.6	SchirmerM_2016__G88882__bin.19	LeChatelierE_2013__MH0088__bin.44	LoombaR_2017__SID1052_baz__bin.27	YuJ_2015__SZAXPI017463-36__bin.18	LiuW_2016__SRR3992999__bin.9	LoombaR_2017__SID5631_soh__bin.8	VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	XieH_2016__YSZC12003_35551__bin.8	XieH_2016__YSZC12003_35704__bin.22	LiJ_2014__V1.CD1-3-PN__bin.53	LoombaR_2017__SID5362_xgk__bin.32	ChengpingW_2017__AS116raw__bin.16	LiJ_2014__V1.FI21__bin.16	LiJ_2014__V1.CD48-0__bin.41	CosteaPI_2017__donald4-11-7-0__bin.26	CosteaPI_2017__SID713A037-11-0-0__bin.26	QinJ_2012__NOM004__bin.11	Obregon-TitoAJ_2015__NO01__bin.17	QinJ_2012__DOM010__bin.30	LiJ_2014__V1.CD32-0__bin.41	YuJ_2015__SZAXPI015237-23__bin.17	ZellerG_2014__CCIS98512455ST-4-0__bin.12	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	XieH_2016__YSZC12003_37277__bin.2	VatanenT_2016__G80466__bin.21	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	LiJ_2014__V1.CD32-4__bin.69	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	FengQ_2015__SID531775__bin.44
LoombaR_2017__SID5631_soh__bin.8	1958308.0	1696128.0	1530386.0	1915735.0	1846806.0	1892441.0	1765932.0	1070005.0	1819234.0	1730838.0	2085598.0	1917487.0	1347384.0	1696208.0	1721135.0	1787189.0	1914733.0	1776271.0	1820290.0	1859380.0	1753345.0	1845894.0	1897376.0	1394091.0	1821528.0	1918473.0	1847064.0	1808584.0	1799658.0	1630583.0	1686324.0	1859974.0	1855520.0	1868962.0	1819785.0
VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	2503078.0	2137748.0	1850755.0	2504190.0	2296394.0	2390753.0	2271808.0	1318240.0	2332334.0	2134289.0	1917487.0	2741671.0	1647695.0	2124935.0	2140751.0	2316273.0	2452994.0	2229807.0	2326584.0	2459522.0	2279817.0	2400653.0	2423044.0	1704953.0	2304893.0	2519072.0	2297488.0	2286307.0	2280314.0	2006694.0	2136927.0	2327112.0	2406567.0	2445729.0	2338830.0
XieH_2016__YSZC12003_35551__bin.8	1637916.0	1475706.0	1221035.0	1641250.0	1619525.0	1611540.0	1537493.0	949450.0	1574689.0	1467983.0	1347384.0	1647695.0	1942571.0	1460739.0	1483036.0	1556160.0	1624804.0	1529827.0	1586939.0	1610190.0	1509506.0	1585002.0	1625659.0	1192599.0	1597698.0	1657267.0	1598610.0	1562824.0	1583761.0	1398811.0	1456257.0	1609355.0	1600932.0	1626503.0	1593798.0
XieH_2016__YSZC12003_35704__bin.22	2169203.0	1910057.0	1582592.0	2173293.0	2008060.0	2087272.0	2011753.0	1190035.0	2073449.0	1878318.0	1696208.0	2124935.0	1460739.0	2508978.0	1864978.0	2045031.0	2139168.0	1980136.0	2050501.0	2122956.0	1985624.0	2092436.0	2105425.0	1543031.0	2032563.0	2173247.0	2016511.0	2029468.0	1991552.0	1807588.0	1877147.0	2042659.0	2059561.0	2141996.0	2011149.0
LiJ_2014__V1.CD1-3-PN__bin.53	2122730.0	1927471.0	1661306.0	2128547.0	2050346.0	2102330.0	2020480.0	1193628.0	2057379.0	1883831.0	1721135.0	2140751.0	1483036.0	1864978.0	2318934.0	2035559.0	2113195.0	1948459.0	2041819.0	2108704.0	2002683.0	2076651.0	2074632.0	1532959.0	2025070.0	2167443.0	2028184.0	2014251.0	2017982.0	1796569.0	1882305.0	2054695.0	2067401.0	2127275.0	2058318.0
LoombaR_2017__SID5362_xgk__bin.32	2391677.0	2073607.0	1741840.0	2361189.0	2196659.0	2288115.0	2200390.0	1278935.0	2324062.0	1993918.0	1787189.0	2316273.0	1556160.0	2045031.0	2035559.0	2859004.0	2365231.0	2140385.0	2267934.0	2330227.0	2196985.0	2320455.0	2290999.0	1658293.0	2225680.0	2385622.0	2190326.0	2149679.0	2169131.0	1947214.0	2040164.0	2227708.0	2264320.0	2426162.0	2197283.0
ChengpingW_2017__AS116raw__bin.16	2568238.0	2178792.0	1872848.0	2507371.0	2319638.0	2415788.0	2310687.0	1341252.0	2353431.0	2134801.0	1914733.0	2452994.0	1624804.0	2139168.0	2113195.0	2365231.0	2786461.0	2272331.0	2370020.0	2445120.0	2294992.0	2433643.0	2439988.0	1756704.0	2335005.0	2543427.0	2302749.0	2295788.0	2280707.0	2023543.0	2141747.0	2353750.0	2401614.0	2505808.0	2316133.0
LiJ_2014__V1.FI21__bin.16	2284562.0	2051645.0	1696439.0	2277031.0	2104819.0	2214384.0	2155816.0	1250516.0	2158445.0	1973421.0	1776271.0	2229807.0	1529827.0	1980136.0	1948459.0	2140385.0	2272331.0	2423743.0	2172928.0	2225171.0	2084972.0	2190848.0	2203685.0	1626214.0	2152172.0	2303331.0	2127106.0	2106161.0	2076719.0	1890538.0	1966334.0	2162942.0	2168996.0	2238343.0	2118556.0
LiJ_2014__V1.CD48-0__bin.41	2405055.0	2090906.0	1739823.0	2371906.0	2268597.0	2315148.0	2217342.0	1293006.0	2261725.0	2027588.0	1820290.0	2326584.0	1586939.0	2050501.0	2041819.0	2267934.0	2370020.0	2172928.0	3085425.0	2352414.0	2201952.0	2338266.0	2525147.0	1698665.0	2304694.0	2427469.0	2344422.0	2284220.0	2256728.0	1962943.0	2053250.0	2316521.0	2379405.0	2380598.0	2259753.0
CosteaPI_2017__donald4-11-7-0__bin.26	2483499.0	2149829.0	1792453.0	2431037.0	2269211.0	2355480.0	2306657.0	1329550.0	2336687.0	2098093.0	1859380.0	2459522.0	1610190.0	2122956.0	2108704.0	2330227.0	2445120.0	2225171.0	2352414.0	2712764.0	2257470.0	2420878.0	2397118.0	1697227.0	2302701.0	2491829.0	2282741.0	2260447.0	2276896.0	2011724.0	2122472.0	2299815.0	2432503.0	2449094.0	2333134.0
