	ZeeviD_2015__PNP_Main_747__bin.3	ChengpingW_2017__AS96raw__bin.42	XieH_2016__YSZC12003_37798__bin.66	QinJ_2012__T2D-006__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	YuJ_2015__SZAXPI017593-158__bin.52	ChengpingW_2017__AS9raw__bin.36	QinN_2014__HD-40__bin.48	WenC_2017__RA024__bin.5	XieH_2016__YSZC12003_37332__bin.15	HeQ_2017__SZAXPI029584-102__bin.41	QinJ_2012__T2D-001__bin.1	LoombaR_2017__SID5566_wwo__bin.8	ZeeviD_2015__PNP_Main_586__bin.24	QinJ_2012__CON-044__bin.35	ZeeviD_2015__PNP_Main_134__bin.26	ZeeviD_2015__PNP_Main_698__bin.10	ZeeviD_2015__PNP_Validation_13__bin.51	QinN_2014__HD-63__bin.56	ZeeviD_2015__PNP_Main_252__bin.30	ZeeviD_2015__PNP_Main_714__bin.15	WenC_2017__N219__bin.12	ZellerG_2014__CCIS77252613ST-4-0__bin.20	YuJ_2015__SZAXPI003420-4__bin.8	QinJ_2012__CON-025__bin.53	ZeeviD_2015__PNP_Validation_48__bin.5	LiJ_2014__O2.UC13-1__bin.71	ZellerG_2014__CCIS81735969ST-20-0__bin.59	ZellerG_2014__CCIS11019776ST-4-0__bin.15	QinJ_2012__DOM012__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.71	QinJ_2012__DLF010__bin.17	YuJ_2015__SZAXPI003411-6__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.66	YuJ_2015__SZAXPI015264-87__bin.52	ZellerG_2014__CCIS76563044ST-4-0__bin.51	ZeeviD_2015__PNP_Main_233__bin.35	QinN_2014__HD-43__bin.50
HeQ_2017__SZAXPI029584-102__bin.41	41294.0	45910.0	49103.0	45370.0	35788.0	34337.0	45571.0	37371.0	49872.0	49263.0	0.0	44099.0	50680.0	50249.0	45563.0	50045.0	50195.0	49119.0	40672.0	26208.0	43456.0	35603.0	45820.0	43345.0	44443.0	52023.0	54426.0	44507.0	38518.0	48230.0	45114.0	47822.0	39255.0	34546.0	35806.0	36760.0	43207.0	46769.0
QinJ_2012__T2D-001__bin.1	39041.0	43568.0	46324.0	42666.0	34701.0	31486.0	41551.0	36930.0	47815.0	46671.0	44099.0	0.0	46600.0	47273.0	42803.0	46765.0	46211.0	47123.0	39877.0	25350.0	42637.0	33144.0	44052.0	42454.0	42331.0	47403.0	51711.0	41530.0	37981.0	44470.0	43414.0	44261.0	35871.0	34215.0	34261.0	35812.0	41718.0	42802.0
LoombaR_2017__SID5566_wwo__bin.8	44129.0	47515.0	20646.0	48273.0	37806.0	35175.0	48240.0	39623.0	52217.0	50074.0	50680.0	46600.0	0.0	49231.0	47088.0	17970.0	17986.0	47441.0	44291.0	3076.0	45873.0	39002.0	46983.0	46533.0	47853.0	2036.0	54874.0	43511.0	38494.0	51457.0	48265.0	50573.0	41080.0	37201.0	38100.0	36065.0	46533.0	47955.0
ZeeviD_2015__PNP_Main_586__bin.24	44199.0	46214.0	49311.0	47989.0	36997.0	34968.0	48106.0	38613.0	52783.0	25319.0	50249.0	47273.0	49231.0	0.0	45324.0	47630.0	48634.0	32327.0	43029.0	26041.0	46564.0	39032.0	47499.0	45945.0	47208.0	49713.0	53549.0	41643.0	37368.0	51924.0	46804.0	51736.0	42342.0	36447.0	37032.0	35994.0	45076.0	45456.0
QinJ_2012__CON-044__bin.35	39583.0	42208.0	47519.0	45529.0	33229.0	32540.0	44469.0	33678.0	49091.0	45702.0	45563.0	42803.0	47088.0	45324.0	0.0	47081.0	46526.0	46133.0	38985.0	24704.0	41179.0	35869.0	44716.0	41092.0	43218.0	47342.0	54428.0	41925.0	36341.0	46294.0	43213.0	48185.0	39853.0	32390.0	32815.0	34260.0	41632.0	40060.0
ZeeviD_2015__PNP_Main_134__bin.26	43653.0	47507.0	21481.0	47427.0	37613.0	34179.0	47797.0	39548.0	50859.0	48802.0	50045.0	46765.0	17970.0	47630.0	47081.0	0.0	19819.0	45828.0	43372.0	10942.0	45269.0	38060.0	47952.0	46132.0	47035.0	18706.0	52652.0	44620.0	39579.0	51008.0	47126.0	50959.0	40919.0	36966.0	37595.0	35549.0	45439.0	47939.0
ZeeviD_2015__PNP_Main_698__bin.10	43973.0	47181.0	22343.0	47260.0	36729.0	33361.0	47621.0	39055.0	51053.0	48207.0	50195.0	46211.0	17986.0	48634.0	46526.0	19819.0	0.0	46224.0	43360.0	10839.0	46103.0	37879.0	45598.0	45912.0	46769.0	19193.0	52912.0	42446.0	38577.0	50240.0	46850.0	49988.0	40710.0	36810.0	37770.0	35876.0	45018.0	46182.0
ZeeviD_2015__PNP_Validation_13__bin.51	43258.0	46778.0	47135.0	47819.0	37798.0	34833.0	47730.0	39301.0	52733.0	31343.0	49119.0	47123.0	47441.0	32327.0	46133.0	45828.0	46224.0	0.0	42359.0	25300.0	45737.0	39335.0	47092.0	45768.0	46501.0	47900.0	54618.0	42616.0	38128.0	51452.0	46481.0	51523.0	41836.0	36700.0	36856.0	35542.0	44358.0	45571.0
QinN_2014__HD-63__bin.56	37106.0	38353.0	43476.0	40995.0	32214.0	30046.0	41287.0	32838.0	45299.0	42453.0	40672.0	39877.0	44291.0	43029.0	38985.0	43372.0	43360.0	42359.0	0.0	23662.0	37811.0	32537.0	40860.0	37714.0	38683.0	44643.0	50008.0	38619.0	33619.0	43573.0	36682.0	44081.0	36327.0	31094.0	31677.0	33019.0	35665.0	37246.0
ZeeviD_2015__PNP_Main_252__bin.30	24002.0	24419.0	11851.0	25223.0	21348.0	20519.0	24903.0	20600.0	28236.0	25344.0	26208.0	25350.0	3076.0	26041.0	24704.0	10942.0	10839.0	25300.0	23662.0	0.0	24284.0	20963.0	25740.0	24878.0	25300.0	3235.0	29003.0	23818.0	18757.0	27074.0	25477.0	26600.0	22018.0	20132.0	19228.0	20098.0	24608.0	25510.0
