	XieH_2016__YSZC12003_37406__bin.6	NielsenHB_2014__V1_UC54_0__bin.7	XieH_2016__YSZC12003_37232__bin.25	FengQ_2015__SID530050__bin.53	LiuW_2016__SRR3992973__bin.13	ZeeviD_2015__PNP_Main_223__bin.49	FengQ_2015__SID31446__bin.57	FengQ_2015__SID532749__bin.26	LiJ_2014__V1.FI15__bin.45	FengQ_2015__SID31424__bin.6	LiuW_2016__SRR3993018__bin.6	FengQ_2015__SID530323__bin.24	XieH_2016__YSZC12003_37546__bin.60	XieH_2016__YSZC12003_37223__bin.36	FengQ_2015__SID530018__bin.34	FengQ_2015__SID31160__bin.20	Obregon-TitoAJ_2015__SM29__bin.51	XieH_2016__YSZC12003_37222__bin.29	XieH_2016__YSZC12003_37754__bin.38	CosteaPI_2017__bugkiller-11-0-0__bin.27	CM_madagascar__A29_01_1FE__bin.20	CM_madagascar__A13_01_1FE__bin.7	YuJ_2015__SZAXPI003411-6__bin.62	ZellerG_2014__MMPU29365221ST__bin.37	SchirmerM_2016__G89165__bin.16	SchirmerM_2016__G88875__bin.38	XieH_2016__YSZC12003_37269__bin.56	FengQ_2015__SID530262__bin.9	XieH_2016__YSZC12003_37233__bin.69	BackhedF_2015__SID377_M__bin.66	CosteaPI_2017__bugkiller-11-2-0__bin.13	FengQ_2015__SID530348__bin.27
CM_madagascar__A29_01_1FE__bin.20	54296.0	83077.0	85280.0	55692.0	61552.0	54554.0	84278.0	82458.0	75151.0	51081.0	80799.0	64104.0	74381.0	88523.0	67366.0	60159.0	53261.0	87313.0	84345.0	70655.0	0.0	82326.0	63138.0	67495.0	71654.0	63184.0	43204.0	70596.0	39935.0	77263.0	82275.0	71192.0
CM_madagascar__A13_01_1FE__bin.7	72151.0	51874.0	60187.0	37412.0	42713.0	46118.0	49405.0	47455.0	43464.0	33820.0	52162.0	38305.0	47336.0	51556.0	41947.0	42013.0	34655.0	53865.0	51222.0	40522.0	82326.0	0.0	60904.0	38839.0	43197.0	35806.0	78655.0	41440.0	23960.0	45531.0	46419.0	45641.0
YuJ_2015__SZAXPI003411-6__bin.62	63082.0	62818.0	64588.0	43664.0	49130.0	45543.0	63306.0	59482.0	55506.0	41229.0	61194.0	48819.0	57306.0	64733.0	52017.0	47563.0	42778.0	64359.0	61673.0	52859.0	63138.0	60904.0	0.0	51677.0	54374.0	43197.0	60080.0	50573.0	30266.0	54085.0	61327.0	56052.0
ZellerG_2014__MMPU29365221ST__bin.37	60649.0	43881.0	47611.0	30038.0	35888.0	38842.0	24623.0	41199.0	38125.0	28606.0	44359.0	34218.0	38898.0	43101.0	35652.0	34258.0	29978.0	44720.0	39423.0	740.0	67495.0	38839.0	51677.0	0.0	37747.0	32666.0	65434.0	34966.0	21479.0	37784.0	756.0	38433.0
SchirmerM_2016__G89165__bin.16	62634.0	44735.0	51567.0	33479.0	36425.0	40263.0	47992.0	43813.0	31975.0	31678.0	47463.0	26662.0	41840.0	46515.0	38612.0	36088.0	33140.0	47813.0	46940.0	38654.0	71654.0	43197.0	54374.0	37747.0	0.0	33933.0	67837.0	37640.0	22276.0	42130.0	45023.0	40736.0
SchirmerM_2016__G88875__bin.38	54623.0	39887.0	42962.0	29391.0	29163.0	36227.0	39975.0	26829.0	33244.0	27430.0	38740.0	30688.0	37052.0	35756.0	33362.0	31212.0	27826.0	39702.0	33981.0	33301.0	63184.0	35806.0	43197.0	32666.0	33933.0	0.0	59829.0	21938.0	11457.0	20811.0	37749.0	35427.0
XieH_2016__YSZC12003_37269__bin.56	50311.0	78032.0	82310.0	52438.0	59340.0	52305.0	79724.0	77586.0	69981.0	47814.0	73799.0	60770.0	69267.0	81723.0	63484.0	58143.0	51392.0	81027.0	79004.0	68082.0	43204.0	78655.0	60080.0	65434.0	67837.0	59829.0	0.0	67624.0	39252.0	72951.0	77643.0	66637.0
FengQ_2015__SID530262__bin.9	62429.0	45235.0	47720.0	33089.0	34782.0	40133.0	44475.0	30532.0	37323.0	31121.0	41414.0	35897.0	39568.0	40801.0	36557.0	36123.0	30788.0	44101.0	41404.0	36487.0	70596.0	41440.0	50573.0	34966.0	37640.0	21938.0	67624.0	0.0	16567.0	27953.0	41795.0	38787.0
XieH_2016__YSZC12003_37233__bin.69	35244.0	25210.0	27249.0	16889.0	21421.0	22893.0	25222.0	20650.0	22135.0	16550.0	25232.0	19567.0	22141.0	24306.0	20199.0	18978.0	19960.0	26048.0	23479.0	21348.0	39935.0	23960.0	30266.0	21479.0	22276.0	11457.0	39252.0	16567.0	0.0	18455.0	25080.0	21463.0
BackhedF_2015__SID377_M__bin.66	67013.0	49216.0	52798.0	35272.0	37458.0	42595.0	48961.0	33061.0	41223.0	33358.0	49715.0	37100.0	45275.0	45545.0	41635.0	39119.0	34449.0	48859.0	43867.0	39743.0	77263.0	45531.0	54085.0	37784.0	42130.0	20811.0	72951.0	27953.0	18455.0	0.0	45320.0	43166.0
CosteaPI_2017__bugkiller-11-2-0__bin.13	72341.0	51841.0	58146.0	35475.0	43700.0	45435.0	29145.0	49722.0	45318.0	34083.0	54313.0	40710.0	46534.0	50488.0	42512.0	40362.0	35213.0	54121.0	47355.0	508.0	82275.0	46419.0	61327.0	756.0	45023.0	37749.0	77643.0	41795.0	25080.0	45320.0	0.0	45894.0
FengQ_2015__SID530348__bin.27	62429.0	46290.0	45473.0	32092.0	36225.0	39981.0	45850.0	43202.0	41516.0	27466.0	41888.0	39078.0	40449.0	44564.0	35243.0	35722.0	33028.0	47977.0	47124.0	39747.0	71192.0	45641.0	56052.0	38433.0	40736.0	35427.0	66637.0	38787.0	21463.0	43166.0	45894.0	0.0
