	CosteaPI_2017__thistle4-11-0-0__bin.41	NielsenHB_2014__O2_UC4_0__bin.8	XieH_2016__YSZC12003_36008__bin.105	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	CosteaPI_2017__mickey4-11-30-0__bin.26	NielsenHB_2014__MH0100__bin.17	LeChatelierE_2013__MH0155__bin.40	NielsenHB_2014__V1_UC14_0__bin.2	ZeeviD_2015__PNP_Main_199__bin.73	FengQ_2015__SID31188__bin.3	HMP_2012__SRS021948__bin.39	NielsenHB_2014__O2_UC57_2__bin.22	ZeeviD_2015__PNP_Main_645__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	ZeeviD_2015__PNP_Main_506__bin.7	LeChatelierE_2013__MH0173__bin.2	CosteaPI_2017__SID713B032-11-0-0__bin.11	NielsenHB_2014__V1_UC1_0__bin.33	CosteaPI_2017__mickey2-11-7-0__bin.55	ZeeviD_2015__PNP_Main_183__bin.2	RaymondF_2016__P25C90__bin.75	YuJ_2015__SZAXPI015269-94__bin.36	NielsenHB_2014__MH0123__bin.27	LeChatelierE_2013__MH0100__bin.1	NielsenHB_2014__MH0173__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	XieH_2016__YSZC12003_35564__bin.83	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	NielsenHB_2014__O2_UC14_2__bin.16	NielsenHB_2014__MH0155__bin.9	LeChatelierE_2013__MH0123__bin.40	XieH_2016__YSZC12003_37196__bin.9	KarlssonFH_2013__S488__bin.4
ZeeviD_2015__PNP_Main_645__bin.21	6463.0	13336.0	16842.0	20466.0	12269.0	17755.0	9162.0	16239.0	17996.0	23760.0	15761.0	15928.0	0.0	16165.0	12257.0	15962.0	18384.0	13251.0	13046.0	23271.0	24650.0	24355.0	6374.0	18796.0	15766.0	14481.0	16104.0	15506.0	16601.0	9498.0	7656.0	17138.0	15285.0
Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	3936.0	12773.0	12300.0	20211.0	12284.0	16828.0	8035.0	15964.0	18653.0	25337.0	15860.0	13322.0	16165.0	0.0	13135.0	13978.0	18346.0	10936.0	13070.0	24700.0	25882.0	24170.0	5902.0	17285.0	13798.0	15061.0	12989.0	691.0	15860.0	8157.0	6460.0	16325.0	14870.0
ZeeviD_2015__PNP_Main_506__bin.7	6387.0	10793.0	13082.0	15025.0	9386.0	13726.0	8560.0	12319.0	12797.0	16992.0	12220.0	13003.0	12257.0	13135.0	0.0	13257.0	13995.0	11061.0	9522.0	16708.0	17902.0	16644.0	4831.0	14176.0	13257.0	11064.0	12817.0	13032.0	12412.0	8847.0	5851.0	11362.0	11539.0
LeChatelierE_2013__MH0173__bin.2	5096.0	10705.0	14086.0	19940.0	12311.0	17292.0	9195.0	16113.0	17836.0	24006.0	15855.0	15156.0	15962.0	13978.0	13257.0	0.0	18215.0	11019.0	13063.0	23007.0	24709.0	24340.0	6198.0	17709.0	133.0	14681.0	13855.0	14164.0	12732.0	9000.0	7670.0	16784.0	13916.0
CosteaPI_2017__SID713B032-11-0-0__bin.11	6844.0	14710.0	19133.0	20602.0	13443.0	16243.0	11617.0	18503.0	18012.0	25075.0	15994.0	17934.0	18384.0	18346.0	13995.0	18215.0	0.0	14373.0	14305.0	24497.0	26055.0	24289.0	6211.0	16675.0	17889.0	15531.0	18067.0	18792.0	17548.0	11331.0	7958.0	19651.0	13775.0
NielsenHB_2014__V1_UC1_0__bin.33	3415.0	11206.0	8034.0	16879.0	11248.0	14225.0	7724.0	13175.0	15128.0	20959.0	12314.0	13223.0	13251.0	10936.0	11061.0	11019.0	14373.0	0.0	11614.0	18986.0	21017.0	19258.0	5786.0	14681.0	10966.0	12469.0	8294.0	11145.0	12800.0	7728.0	7060.0	14123.0	12113.0
CosteaPI_2017__mickey2-11-7-0__bin.55	5797.0	10887.0	13475.0	15606.0	1260.0	13897.0	8412.0	12073.0	14881.0	18109.0	12065.0	13497.0	13046.0	13070.0	9522.0	13063.0	14305.0	11614.0	0.0	18205.0	19367.0	19190.0	5738.0	13706.0	13213.0	12714.0	13296.0	12828.0	12594.0	8674.0	6659.0	11814.0	12319.0
ZeeviD_2015__PNP_Main_183__bin.2	9990.0	20266.0	24266.0	16210.0	17714.0	23854.0	14596.0	23549.0	4895.0	13214.0	14015.0	23608.0	23271.0	24700.0	16708.0	23007.0	24497.0	18986.0	18205.0	0.0	7245.0	20426.0	8951.0	23997.0	23058.0	16117.0	23579.0	24095.0	23002.0	14511.0	11014.0	23609.0	21160.0
RaymondF_2016__P25C90__bin.75	10192.0	21522.0	25826.0	16928.0	18576.0	25962.0	15671.0	25009.0	6152.0	15581.0	14141.0	25515.0	24650.0	25882.0	17902.0	24709.0	26055.0	21017.0	19367.0	7245.0	0.0	21204.0	9231.0	26939.0	24738.0	17492.0	25493.0	26655.0	25021.0	15741.0	10659.0	25827.0	22342.0
YuJ_2015__SZAXPI015269-94__bin.36	9429.0	20669.0	23940.0	14088.0	18694.0	24094.0	15078.0	24288.0	16547.0	19385.0	8441.0	23531.0	24355.0	24170.0	16644.0	24340.0	24289.0	19258.0	19190.0	20426.0	21204.0	0.0	9816.0	24467.0	23811.0	14026.0	24298.0	23984.0	23458.0	15204.0	11996.0	24232.0	22310.0
