	HMP_2012__SRS015038__bin.19	HMP_2012__SRS022143__bin.25	HMP_2012__SRS050244__bin.42	HMP_2012__SRS016319__bin.3	FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	HMP_2012__SRS013705__bin.88	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	HMP_2012__SRS064329__bin.6	HMP_2012__SRS024277__bin.40	HMP_2012__SRS018145__bin.55	HMP_2012__SRS065278__bin.52	HMP_2012__SRS064774__bin.5	HMP_2012__SRS042643__bin.24	HMP_2012__SRS020220__bin.42	HMP_2012__SRS019389__bin.28	HMP_2012__SRS018739__bin.50	HMP_2012__SRS022077__bin.36	HMP_2012__SRS057205__bin.73	HMP_2012__SRS078182__bin.53	HMP_2012__SRS044373__bin.77	HMP_2012__SRS045715__bin.5	HMP_2012__SRS056323__bin.20	HMP_2012__SRS020334__bin.26	HMP_2012__SRS024081__bin.18	HMP_2012__SRS064423__bin.65	HMP_2012__SRS017209__bin.7	HMP_2012__SRS047824__bin.57	HMP_2012__SRS063288__bin.27	HMP_2012__SRS011306__bin.33	HMP_2012__SRS019607__bin.63	HMP_2012__SRS047219__bin.56	HMP_2012__SRS053603__bin.4	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	HMP_2012__SRS017533__bin.11
HMP_2012__SRS057205__bin.73	495555.0	492462.0	420519.0	497089.0	425193.0	407036.0	490581.0	474816.0	480253.0	466408.0	479881.0	487305.0	489041.0	450118.0	439054.0	491976.0	466433.0	545574.0	496587.0	312734.0	491456.0	395075.0	487972.0	490827.0	483798.0	406713.0	460934.0	485992.0	483021.0	505082.0	489523.0	499811.0	480565.0	457590.0
HMP_2012__SRS078182__bin.53	600888.0	598569.0	481113.0	602047.0	526355.0	490656.0	597394.0	573322.0	561758.0	562980.0	570915.0	595130.0	572805.0	529514.0	504685.0	571101.0	571894.0	496587.0	638598.0	369323.0	592818.0	469701.0	601745.0	594297.0	575587.0	475291.0	530080.0	598105.0	594637.0	596604.0	601700.0	601652.0	592823.0	534366.0
HMP_2012__SRS044373__bin.77	367351.0	359276.0	306611.0	367497.0	322758.0	308823.0	364373.0	347390.0	340745.0	346354.0	355578.0	356196.0	356151.0	329842.0	315137.0	347639.0	351900.0	312734.0	369323.0	394730.0	361895.0	290952.0	365309.0	362343.0	358144.0	305204.0	345454.0	362271.0	361798.0	363509.0	363335.0	364375.0	369206.0	324216.0
HMP_2012__SRS045715__bin.5	596417.0	625193.0	478367.0	591999.0	523045.0	490517.0	591672.0	572372.0	593748.0	568365.0	587674.0	600738.0	563942.0	518831.0	499358.0	571733.0	560074.0	491456.0	592818.0	361895.0	666056.0	480876.0	601935.0	595560.0	584921.0	473215.0	530279.0	591351.0	594560.0	598710.0	595666.0	599363.0	578182.0	535563.0
HMP_2012__SRS056323__bin.20	471849.0	490282.0	375011.0	468273.0	397990.0	379616.0	463666.0	442983.0	449525.0	441046.0	472299.0	479002.0	446817.0	416623.0	395567.0	453700.0	440580.0	395075.0	469701.0	290952.0	480876.0	562569.0	469634.0	464339.0	471898.0	366313.0	413897.0	455916.0	458986.0	465165.0	457173.0	466228.0	454583.0	416689.0
HMP_2012__SRS020334__bin.26	603898.0	600313.0	486054.0	601426.0	522615.0	490474.0	607590.0	576377.0	562888.0	576777.0	580353.0	586372.0	566529.0	521798.0	503174.0	579730.0	566110.0	487972.0	601745.0	365309.0	601935.0	469634.0	672444.0	599981.0	577467.0	473626.0	527587.0	591697.0	599951.0	601632.0	605388.0	596953.0	589764.0	530769.0
HMP_2012__SRS024081__bin.18	597532.0	607133.0	487253.0	604242.0	523889.0	489547.0	599504.0	596096.0	573809.0	572914.0	576200.0	579595.0	565201.0	520464.0	516026.0	576672.0	560351.0	490827.0	594297.0	362343.0	595560.0	464339.0	599981.0	636552.0	571450.0	476899.0	531546.0	593130.0	588983.0	609554.0	596378.0	597098.0	588649.0	526464.0
HMP_2012__SRS064423__bin.65	633468.0	594968.0	465851.0	577906.0	501133.0	471595.0	575962.0	544894.0	553854.0	542355.0	603106.0	582584.0	567544.0	506133.0	494981.0	551918.0	544549.0	483798.0	575587.0	358144.0	584921.0	471898.0	577467.0	571450.0	641465.0	457121.0	522133.0	572848.0	570248.0	581511.0	574852.0	584367.0	562889.0	511260.0
HMP_2012__SRS017209__bin.7	474517.0	473806.0	390089.0	473665.0	417090.0	411699.0	474814.0	463319.0	460527.0	459530.0	463112.0	463845.0	452171.0	427834.0	407667.0	450040.0	452000.0	406713.0	475291.0	305204.0	473215.0	366313.0	473626.0	476899.0	457121.0	499291.0	433597.0	469239.0	473974.0	476984.0	472541.0	474688.0	465970.0	431004.0
HMP_2012__SRS047824__bin.57	536695.0	529894.0	445181.0	534376.0	464027.0	444450.0	532224.0	511161.0	502525.0	504630.0	517339.0	524174.0	516523.0	472343.0	453715.0	514177.0	505092.0	460934.0	530080.0	345454.0	530279.0	413897.0	527587.0	531546.0	522133.0	433597.0	556469.0	530341.0	526606.0	533205.0	528300.0	537844.0	517130.0	479287.0
HMP_2012__SRS063288__bin.27	596986.0	600286.0	483239.0	590907.0	521247.0	488830.0	591614.0	570217.0	557978.0	561364.0	570165.0	578876.0	560696.0	515211.0	499448.0	568960.0	560901.0	485992.0	598105.0	362271.0	591351.0	455916.0	591697.0	593130.0	572848.0	469239.0	530341.0	626072.0	589194.0	588676.0	599236.0	590371.0	581281.0	524248.0
HMP_2012__SRS011306__bin.33	597068.0	591685.0	477377.0	589875.0	522290.0	503168.0	590544.0	567301.0	561420.0	568099.0	570468.0	581126.0	556348.0	518449.0	500652.0	562922.0	561231.0	483021.0	594637.0	361798.0	594560.0	458986.0	599951.0	588983.0	570248.0	473974.0	526606.0	589194.0	632906.0	592737.0	589876.0	597814.0	581984.0	523765.0
HMP_2012__SRS019607__bin.63	608452.0	603982.0	481411.0	620963.0	527314.0	489351.0	600209.0	576261.0	575013.0	571622.0	584283.0	580494.0	573533.0	525520.0	559084.0	585982.0	569209.0	505082.0	596604.0	363509.0	598710.0	465165.0	601632.0	609554.0	581511.0	476984.0	533205.0	588676.0	592737.0	678533.0	598323.0	613199.0	597546.0	527434.0
HMP_2012__SRS047219__bin.56	599595.0	602790.0	483884.0	598539.0	526055.0	489052.0	591934.0	572706.0	563803.0	563846.0	573814.0	582227.0	568501.0	519470.0	504726.0	571059.0	563985.0	489523.0	601700.0	363335.0	595666.0	457173.0	605388.0	596378.0	574852.0	472541.0	528300.0	599236.0	589876.0	598323.0	633743.0	596541.0	585372.0	530860.0
HMP_2012__SRS053603__bin.4	612261.0	598263.0	483497.0	607170.0	525772.0	490471.0	594179.0	572601.0	566989.0	567691.0	584250.0	616659.0	584887.0	525871.0	515216.0	595806.0	573354.0	499811.0	601652.0	364375.0	599363.0	466228.0	596953.0	597098.0	584367.0	474688.0	537844.0	590371.0	597814.0	613199.0	596541.0	674058.0	585577.0	530877.0
FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	591322.0	578340.0	468145.0	601007.0	512152.0	482767.0	581041.0	555361.0	554303.0	553424.0	569944.0	570839.0	550512.0	519990.0	506071.0	560844.0	557462.0	480565.0	592823.0	369206.0	578182.0	454583.0	589764.0	588649.0	562889.0	465970.0	517130.0	581281.0	581984.0	597546.0	585372.0	585577.0	628339.0	519987.0
HMP_2012__SRS017533__bin.11	529500.0	532457.0	442034.0	533049.0	458194.0	436360.0	524763.0	511242.0	504534.0	499268.0	512316.0	530420.0	505921.0	468605.0	447849.0	507676.0	508239.0	457590.0	534366.0	324216.0	535563.0	416689.0	530769.0	526464.0	511260.0	431004.0	479287.0	524248.0	523765.0	527434.0	530860.0	530877.0	519987.0	567678.0
