	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	LiuW_2016__SRR3992987__bin.37	BritoIL_2016__M2.46.ST__bin.22	LiJ_2014__MH0374__bin.24	ZeeviD_2015__PNP_Main_666__bin.22	BritoIL_2016__W1.41.ST__bin.20	LiJ_2014__O2.UC29-1__bin.21	BritoIL_2016__WL.43.ST__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	NielsenHB_2014__MH0117__bin.12	BritoIL_2016__W1.1.ST__bin.107	LiJ_2017__H2M614904__bin.51	CosteaPI_2017__SID713B063-11-0-0__bin.6	CM_madagascar__A94_03_1FE__bin.52	BritoIL_2016__W2.61.ST__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.135	LeChatelierE_2013__MH0453__bin.19	ZeeviD_2015__PNP_Validation_66__bin.52	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.91	ZeeviD_2015__PNP_Validation_42__bin.79	CosteaPI_2017__SID713B040-11-90-0__bin.102	LeChatelierE_2013__MH0117__bin.8	XieH_2016__YSZC12003_35561__bin.73	LiJ_2014__MH0252__bin.98	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.105	XieH_2016__YSZC12003_37101__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.102	LeChatelierE_2013__MH0437__bin.41	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.18	CosteaPI_2017__SID713A028-11-0-0__bin.81	LiJ_2014__V1.CD6-0-PT__bin.11	BritoIL_2016__W1.2.ST__bin.59	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.5	LeChatelierE_2013__MH0448__bin.59	LeChatelierE_2013__MH0415__bin.94	XieH_2016__YSZC12003_37394__bin.51	BritoIL_2016__W1.5.ST__bin.20	LiuW_2016__SRR3993044__bin.27	XieH_2016__YSZC12003_37228__bin.62	ZeeviD_2015__PNP_Main_474__bin.41	XieH_2016__YSZC12003_36058__bin.52	XieH_2016__YSZC12003_37182R1__bin.71	LiJ_2017__H2M513938__bin.8	LiuW_2016__SRR3993055__bin.107	LiJ_2017__H3M517925__bin.78	BritoIL_2016__M2.49.ST__bin.104
BritoIL_2016__W1.1.ST__bin.107	8902.0	6738.0	7433.0	10185.0	5708.0	5614.0	7824.0	3473.0	903.0	5013.0	0.0	6418.0	6261.0	4174.0	5925.0	10344.0	8550.0	28895.0	9255.0	6924.0	8677.0	5881.0	6857.0	6455.0	6084.0	9495.0	5611.0	25713.0	6404.0	8016.0	8614.0	4985.0	10470.0	9090.0	7616.0	9915.0	3194.0	3220.0	6730.0	5904.0	7225.0	6555.0	4097.0	6829.0	6149.0	4527.0
LiJ_2017__H2M614904__bin.51	8418.0	5746.0	5402.0	9908.0	6358.0	4974.0	7381.0	2826.0	6154.0	2917.0	6418.0	0.0	5808.0	4808.0	5961.0	9731.0	8145.0	29187.0	9258.0	5727.0	7274.0	3270.0	6093.0	7200.0	5808.0	9066.0	5295.0	25874.0	5789.0	7564.0	7553.0	4994.0	9915.0	8200.0	6610.0	9262.0	3879.0	3619.0	5797.0	5447.0	6834.0	5488.0	3376.0	7352.0	4940.0	4798.0
CosteaPI_2017__SID713B063-11-0-0__bin.6	5729.0	5681.0	5750.0	6428.0	5785.0	4111.0	4958.0	3298.0	5688.0	4195.0	6261.0	5808.0	0.0	4927.0	6095.0	6006.0	5953.0	18398.0	5782.0	4063.0	5051.0	5000.0	5920.0	6724.0	3629.0	5919.0	4013.0	15870.0	5863.0	5529.0	6586.0	5378.0	6061.0	5520.0	6141.0	6244.0	3741.0	4101.0	5860.0	3924.0	6368.0	5463.0	3830.0	6840.0	5468.0	4995.0
CM_madagascar__A94_03_1FE__bin.52	6189.0	4677.0	5238.0	7207.0	4049.0	4185.0	5474.0	2699.0	3887.0	3412.0	4174.0	4808.0	4927.0	0.0	4454.0	7316.0	6508.0	20614.0	6755.0	4486.0	6115.0	3908.0	5274.0	5000.0	4385.0	6874.0	4618.0	17142.0	5129.0	5947.0	5474.0	3794.0	7559.0	6330.0	5492.0	7260.0	2769.0	1841.0	5272.0	4247.0	5112.0	4968.0	3233.0	3136.0	4908.0	3355.0
BritoIL_2016__W2.61.ST__bin.75	8527.0	5839.0	6275.0	10498.0	5925.0	5555.0	7762.0	3158.0	6072.0	4762.0	5925.0	5961.0	6095.0	4454.0	0.0	10131.0	8622.0	29487.0	9064.0	6452.0	8316.0	5511.0	6065.0	6889.0	5883.0	9224.0	5590.0	26639.0	6098.0	7692.0	7390.0	339.0	10384.0	8858.0	6730.0	10181.0	3637.0	3240.0	6483.0	5620.0	6656.0	6173.0	3584.0	7435.0	5721.0	597.0
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.135	8615.0	8808.0	9707.0	7924.0	9993.0	5423.0	6170.0	4683.0	9825.0	6378.0	10344.0	9731.0	6006.0	7316.0	10131.0	0.0	6060.0	29218.0	9642.0	5260.0	7342.0	7923.0	9894.0	10385.0	622.0	7096.0	5759.0	27690.0	8753.0	8276.0	10593.0	8452.0	6506.0	7340.0	10888.0	6372.0	6423.0	5790.0	9376.0	3965.0	10857.0	8691.0	5707.0	10839.0	8624.0	7751.0
LeChatelierE_2013__MH0453__bin.19	7112.0	7821.0	7941.0	7021.0	8267.0	5237.0	5265.0	4060.0	8159.0	5378.0	8550.0	8145.0	5953.0	6508.0	8622.0	6060.0	0.0	21835.0	8219.0	4333.0	6492.0	6641.0	7882.0	8483.0	3902.0	6511.0	5546.0	20378.0	7331.0	7083.0	8170.0	7373.0	2690.0	6801.0	8489.0	5970.0	5256.0	5067.0	7732.0	3812.0	8604.0	7202.0	5254.0	8578.0	7604.0	6807.0
ZeeviD_2015__PNP_Validation_66__bin.52	29096.0	26359.0	29846.0	28892.0	27244.0	21343.0	21184.0	17209.0	26359.0	17357.0	28895.0	29187.0	18398.0	20614.0	29487.0	29218.0	21835.0	0.0	28830.0	19758.0	28421.0	22115.0	29835.0	27110.0	17800.0	27500.0	22148.0	23970.0	27642.0	26195.0	27977.0	25590.0	29156.0	24889.0	29980.0	29198.0	19016.0	15193.0	25849.0	17563.0	29799.0	25412.0	18443.0	26439.0	27951.0	24283.0
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.91	9470.0	8264.0	9110.0	9976.0	9325.0	5624.0	7783.0	4452.0	8958.0	6022.0	9255.0	9258.0	5782.0	6755.0	9064.0	9642.0	8219.0	28830.0	0.0	6478.0	8396.0	7536.0	9124.0	9044.0	5294.0	9245.0	6209.0	26976.0	8195.0	8341.0	10356.0	7592.0	10192.0	8360.0	9714.0	10247.0	5634.0	5077.0	8716.0	5797.0	9967.0	8325.0	5114.0	9450.0	7555.0	6909.0
ZeeviD_2015__PNP_Validation_42__bin.79	5553.0	5364.0	6005.0	3524.0	6357.0	3826.0	4695.0	3204.0	5653.0	4583.0	6924.0	5727.0	4063.0	4486.0	6452.0	5260.0	4333.0	19758.0	6478.0	0.0	4949.0	5358.0	6045.0	6404.0	3043.0	2882.0	3874.0	17824.0	5150.0	5351.0	6570.0	5361.0	4950.0	5094.0	6585.0	4740.0	4196.0	3814.0	5938.0	3391.0	6659.0	5528.0	3832.0	6841.0	5325.0	5010.0
CosteaPI_2017__SID713B040-11-90-0__bin.102	4496.0	6933.0	7445.0	8371.0	8127.0	2575.0	7188.0	3682.0	7904.0	5641.0	8677.0	7274.0	5051.0	6115.0	8316.0	7342.0	6492.0	28421.0	8396.0	4949.0	0.0	6643.0	7531.0	8505.0	4603.0	7680.0	3116.0	26871.0	6712.0	5067.0	8982.0	6891.0	7410.0	7058.0	8195.0	6977.0	5227.0	4737.0	7536.0	4811.0	8781.0	7466.0	4341.0	9239.0	6887.0	6138.0
LeChatelierE_2013__MH0117__bin.8	6784.0	5217.0	5554.0	8087.0	5548.0	4538.0	6573.0	2961.0	5087.0	742.0	5881.0	3270.0	5000.0	3908.0	5511.0	7923.0	6641.0	22115.0	7536.0	5358.0	6643.0	0.0	5420.0	6275.0	4913.0	7593.0	4725.0	20083.0	5096.0	6399.0	6149.0	4722.0	7855.0	7149.0	5633.0	7522.0	3634.0	3100.0	5201.0	4821.0	6064.0	5350.0	3239.0	6312.0	4713.0	4589.0
XieH_2016__YSZC12003_35561__bin.73	8536.0	5547.0	6385.0	9816.0	6391.0	5045.0	7401.0	3095.0	6968.0	4660.0	6857.0	6093.0	5920.0	5274.0	6065.0	9894.0	7882.0	29835.0	9124.0	6045.0	7531.0	5420.0	0.0	7322.0	5790.0	9021.0	5494.0	27372.0	5617.0	7818.0	7617.0	4856.0	9924.0	8418.0	6569.0	9622.0	4053.0	3652.0	5659.0	5295.0	7231.0	5693.0	3489.0	7631.0	5075.0	4632.0
LiJ_2014__MH0252__bin.98	8662.0	7122.0	7615.0	10027.0	6327.0	6008.0	8386.0	3839.0	5923.0	5298.0	6455.0	7200.0	6724.0	5000.0	6889.0	10385.0	8483.0	27110.0	9044.0	6404.0	8505.0	6275.0	7322.0	0.0	6207.0	9481.0	6197.0	24547.0	7285.0	8262.0	7615.0	5673.0	10185.0	9136.0	8265.0	9950.0	3573.0	3825.0	7271.0	6064.0	7269.0	7332.0	4607.0	7510.0	7117.0	5368.0
