	QinJ_2012__T2D-001__bin.17	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	HMP_2012__SRS019601__bin.44	HMP_2012__SRS056259__bin.23	IjazUZ_2017__S48_a_WGS__bin.4	GeversD_2014__SKBSTL041__bin.6	IjazUZ_2017__S53_a_WGS__bin.7	SchirmerM_2016__G89004__bin.12	IjazUZ_2017__S15_a_WGS__bin.6	Obregon-TitoAJ_2015__NO11__bin.6	HeQ_2017__SZAXPI029473-40__bin.30	IjazUZ_2017__S16_a_WGS__bin.8	LiJ_2014__V1.CD2-0-PN__bin.3	XieH_2016__YSZC12003_37179__bin.52	BackhedF_2015__SID637_12M__bin.22	FengQ_2015__SID31137__bin.39	VatanenT_2016__G80291__bin.7	IjazUZ_2017__S57_a_WGS__bin.4	IjazUZ_2017__S54_a_WGS__bin.1	XieH_2016__YSZC12003_37297R1__bin.7	IjazUZ_2017__S56_a_WGS__bin.17	VogtmannE_2016__MMRS14602194ST-27-0-0__bin.25	Obregon-TitoAJ_2015__NO21__bin.9	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.58	GeversD_2014__SKBSTL016__bin.38	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.25	LiJ_2014__MH0336__bin.26	IjazUZ_2017__S52_a_WGS__bin.9	CosteaPI_2017__pluto3-11-30-0__bin.40	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.30	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.65	FengQ_2015__SID31450__bin.30	FengQ_2015__SID31416__bin.3	RaymondF_2016__P21E90__bin.79	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.30	LoombaR_2017__SID5639_uuc__bin.32	SchirmerM_2016__G89058__bin.13	LiJ_2014__O2.UC7-0__bin.29	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.37	NielsenHB_2014__V1_UC11_5__bin.22	HMP_2012__SRS017521__bin.65	IjazUZ_2017__S14_a_WGS__bin.1
HeQ_2017__SZAXPI029473-40__bin.30	18566.0	30668.0	4523.0	5439.0	30165.0	3198.0	28044.0	19511.0	4194.0	4462.0	0.0	4720.0	30120.0	32861.0	11243.0	5691.0	19196.0	28617.0	30569.0	5517.0	32890.0	10904.0	6725.0	27823.0	5184.0	16416.0	23173.0	31137.0	13142.0	22642.0	5233.0	4656.0	23305.0	2636.0	12777.0	29397.0	4389.0	32119.0	5064.0	23665.0	4473.0	4635.0
IjazUZ_2017__S16_a_WGS__bin.8	19568.0	34469.0	439.0	3106.0	34129.0	400.0	31744.0	21714.0	280.0	438.0	4720.0	0.0	33596.0	37668.0	11012.0	1884.0	21920.0	32470.0	34236.0	2835.0	37331.0	10509.0	5859.0	29974.0	847.0	18112.0	25990.0	34809.0	12367.0	24667.0	2143.0	1025.0	25778.0	699.0	12904.0	33110.0	955.0	36971.0	339.0	26606.0	655.0	230.0
LiJ_2014__V1.CD2-0-PN__bin.3	17897.0	1564.0	32085.0	19429.0	990.0	21280.0	1049.0	662.0	29932.0	31408.0	30120.0	33596.0	0.0	28597.0	18895.0	30305.0	1151.0	25041.0	1097.0	24885.0	28797.0	22611.0	14550.0	1800.0	33393.0	23004.0	26454.0	1101.0	30880.0	21224.0	28836.0	33140.0	29168.0	17653.0	14260.0	25553.0	32315.0	28104.0	33287.0	20588.0	30045.0	33390.0
XieH_2016__YSZC12003_37179__bin.52	24808.0	28245.0	35220.0	24570.0	28392.0	23007.0	27534.0	18800.0	33454.0	35253.0	32861.0	37668.0	28597.0	0.0	21775.0	33776.0	17228.0	4338.0	29145.0	27134.0	5090.0	25146.0	17684.0	24990.0	37415.0	26844.0	27498.0	30162.0	33627.0	24530.0	30979.0	36264.0	32018.0	19433.0	14745.0	4730.0	36000.0	5984.0	38059.0	5976.0	33382.0	37391.0
BackhedF_2015__SID637_12M__bin.22	11996.0	18786.0	10431.0	7884.0	18534.0	7731.0	17471.0	12547.0	9986.0	10697.0	11243.0	11012.0	18895.0	21775.0	0.0	10951.0	12837.0	20010.0	18465.0	9119.0	22172.0	4430.0	5321.0	17163.0	11149.0	11732.0	16463.0	18699.0	4631.0	15242.0	10201.0	10844.0	16213.0	6782.0	8063.0	20401.0	10964.0	22459.0	10868.0	16699.0	10470.0	11129.0
FengQ_2015__SID31137__bin.39	19397.0	31876.0	1865.0	3521.0	31746.0	1009.0	29259.0	21163.0	1759.0	1899.0	5691.0	1884.0	30305.0	33776.0	10951.0	0.0	20957.0	30822.0	31203.0	3286.0	34352.0	10263.0	6441.0	28233.0	2217.0	18256.0	25129.0	31830.0	12616.0	23367.0	2779.0	1941.0	24922.0	1297.0	11676.0	31347.0	1505.0	34181.0	2009.0	25184.0	1608.0	1941.0
VatanenT_2016__G80291__bin.7	12748.0	461.0	20156.0	13227.0	808.0	14437.0	732.0	359.0	19140.0	21030.0	19196.0	21920.0	1151.0	17228.0	12837.0	20957.0	0.0	16636.0	1336.0	17116.0	18372.0	15914.0	10443.0	863.0	22047.0	15448.0	17464.0	1212.0	19530.0	13960.0	19659.0	21609.0	18991.0	13215.0	8113.0	16438.0	21621.0	17478.0	21933.0	13595.0	20011.0	21870.0
IjazUZ_2017__S57_a_WGS__bin.4	23042.0	25021.0	30346.0	21878.0	25129.0	21005.0	24500.0	16900.0	28950.0	30784.0	28617.0	32470.0	25041.0	4338.0	20010.0	30822.0	16636.0	0.0	25097.0	24375.0	131.0	22057.0	15547.0	22667.0	32298.0	23823.0	25039.0	25929.0	29134.0	21882.0	27389.0	31911.0	27457.0	17646.0	11679.0	240.0	31448.0	1237.0	32031.0	2915.0	29699.0	32241.0
IjazUZ_2017__S54_a_WGS__bin.1	18779.0	1447.0	31427.0	19857.0	524.0	20995.0	189.0	663.0	30682.0	31933.0	30569.0	34236.0	1097.0	29145.0	18465.0	31203.0	1336.0	25097.0	0.0	25145.0	28635.0	22661.0	14621.0	1183.0	34008.0	23006.0	26372.0	324.0	30352.0	21273.0	28442.0	33329.0	29551.0	17767.0	13785.0	25168.0	32704.0	27746.0	33322.0	20441.0	30159.0	34113.0
XieH_2016__YSZC12003_37297R1__bin.7	16387.0	25411.0	2739.0	3918.0	25061.0	1984.0	23785.0	16923.0	2457.0	2748.0	5517.0	2835.0	24885.0	27134.0	9119.0	3286.0	17116.0	24375.0	25145.0	0.0	27856.0	8924.0	5385.0	22645.0	2908.0	14709.0	19973.0	25626.0	11027.0	18142.0	3667.0	2922.0	19814.0	1988.0	9159.0	25566.0	2717.0	27578.0	2823.0	20374.0	2740.0	2850.0
IjazUZ_2017__S56_a_WGS__bin.17	25640.0	28949.0	34897.0	24696.0	28796.0	23126.0	27268.0	19043.0	33050.0	35463.0	32890.0	37331.0	28797.0	5090.0	22172.0	34352.0	18372.0	131.0	28635.0	27856.0	0.0	25041.0	17570.0	25444.0	37177.0	27423.0	28416.0	29397.0	34022.0	25114.0	31070.0	36722.0	31639.0	19661.0	14802.0	335.0	36114.0	1493.0	37176.0	3276.0	33518.0	36979.0
VogtmannE_2016__MMRS14602194ST-27-0-0__bin.25	14230.0	22712.0	9648.0	8767.0	22702.0	7192.0	21037.0	15245.0	9682.0	10003.0	10904.0	10509.0	22611.0	25146.0	4430.0	10263.0	15914.0	22057.0	22661.0	8924.0	25041.0	0.0	4988.0	21203.0	10547.0	12127.0	16990.0	22729.0	1697.0	16116.0	9860.0	10430.0	15909.0	6263.0	8602.0	22133.0	10172.0	24655.0	10232.0	17957.0	9481.0	10393.0
Obregon-TitoAJ_2015__NO21__bin.9	8761.0	14690.0	5518.0	5336.0	14692.0	4587.0	13996.0	10171.0	5379.0	5619.0	6725.0	5859.0	14550.0	17684.0	5321.0	6441.0	10443.0	15547.0	14621.0	5385.0	17570.0	4988.0	0.0	13823.0	6051.0	8811.0	12528.0	14608.0	4920.0	12341.0	6054.0	6014.0	11964.0	4075.0	5932.0	16128.0	5916.0	17605.0	5884.0	13362.0	5945.0	5933.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.58	16446.0	1216.0	28926.0	18411.0	1073.0	19603.0	1174.0	849.0	26899.0	28652.0	27823.0	29974.0	1800.0	24990.0	17163.0	28233.0	863.0	22667.0	1183.0	22645.0	25444.0	21203.0	13823.0	0.0	30059.0	21284.0	24494.0	1143.0	27631.0	18965.0	26139.0	29440.0	25799.0	16517.0	11530.0	23283.0	29443.0	24914.0	30191.0	18826.0	28556.0	30040.0
