	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
QinN_2014__HD-6__bin.17	13864.0	14639.0	18514.0	13228.0	3974.0	20065.0	12234.0	7307.0	12698.0	15920.0	0.0	12338.0	18448.0	14892.0	17571.0	20962.0	11301.0	14294.0	8064.0	17130.0	13587.0	18389.0	17827.0	16113.0	13284.0	7145.0	15200.0	14581.0	16026.0	16394.0	16076.0	13187.0	10007.0
WenC_2017__RA040__bin.13	12118.0	14670.0	16614.0	11885.0	14432.0	18036.0	9996.0	6708.0	11998.0	15938.0	12338.0	0.0	15038.0	15773.0	14853.0	16632.0	11538.0	15189.0	12669.0	15363.0	11467.0	15836.0	16737.0	15813.0	13275.0	11974.0	14848.0	14109.0	13319.0	17163.0	14380.0	11577.0	8567.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	15051.0	17570.0	21380.0	13096.0	20118.0	21942.0	14499.0	8011.0	14575.0	18275.0	18448.0	15038.0	0.0	18246.0	20041.0	20986.0	13437.0	15291.0	15114.0	18858.0	15348.0	21613.0	21212.0	18537.0	17547.0	14264.0	17166.0	16484.0	18584.0	18640.0	17901.0	14979.0	11997.0
LiJ_2017__nHM511615__bin.9	14684.0	18526.0	20817.0	13716.0	16684.0	20998.0	13378.0	7627.0	15163.0	18096.0	14892.0	15773.0	18246.0	0.0	17719.0	21618.0	13099.0	16633.0	12561.0	18621.0	15035.0	20992.0	20753.0	18210.0	17404.0	13038.0	17240.0	17050.0	17605.0	18297.0	16340.0	14317.0	11627.0
LiJ_2014__MH0327__bin.22	12963.0	18944.0	15838.0	13945.0	18928.0	19037.0	13407.0	7567.0	14799.0	18181.0	17571.0	14853.0	20041.0	17719.0	0.0	19121.0	13861.0	16696.0	13621.0	16743.0	14474.0	20716.0	20394.0	17371.0	17889.0	15020.0	17509.0	16516.0	18317.0	18196.0	18255.0	15734.0	11536.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	16345.0	20340.0	21711.0	15545.0	22703.0	22641.0	12767.0	8010.0	16079.0	20356.0	20962.0	16632.0	20986.0	21618.0	19121.0	0.0	15752.0	18173.0	16439.0	20048.0	15341.0	21836.0	21850.0	18987.0	20217.0	16384.0	19570.0	19095.0	20644.0	21347.0	19594.0	17095.0	13442.0
LiJ_2017__nHF512818__bin.30	10495.0	13782.0	14188.0	10652.0	12239.0	14507.0	8560.0	4683.0	11044.0	10031.0	11301.0	11538.0	13437.0	13099.0	13861.0	15752.0	0.0	13224.0	9699.0	12892.0	11480.0	13031.0	15619.0	13459.0	12301.0	11356.0	11624.0	611.0	12224.0	5864.0	12033.0	11428.0	7371.0
LiJ_2017__H1M412743__bin.8	13259.0	18015.0	18870.0	12768.0	16894.0	18258.0	11409.0	5964.0	13973.0	16753.0	14294.0	15189.0	15291.0	16633.0	16696.0	18173.0	13224.0	0.0	13294.0	16317.0	14094.0	19275.0	19546.0	16715.0	16231.0	14614.0	16530.0	16167.0	15293.0	17616.0	16790.0	15263.0	10760.0
LiJ_2017__nHM512834__bin.36	12503.0	12952.0	14894.0	11049.0	7720.0	16218.0	10894.0	5065.0	10104.0	13710.0	8064.0	12669.0	15114.0	12561.0	13621.0	16439.0	9699.0	13294.0	0.0	13894.0	11377.0	14118.0	15757.0	13420.0	11618.0	7917.0	12841.0	12724.0	13780.0	14641.0	13362.0	11990.0	7740.0
Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	14067.0	18060.0	18277.0	13833.0	18380.0	1273.0	12554.0	7035.0	15175.0	18530.0	17130.0	15363.0	18858.0	18621.0	16743.0	20048.0	12892.0	16317.0	13894.0	0.0	13693.0	20835.0	18953.0	16566.0	17674.0	13539.0	17419.0	16722.0	17205.0	18688.0	17410.0	15187.0	12020.0
