	BritoIL_2016__M1.57.ST__bin.49	CosteaPI_2017__SID713B002-11-90-0__bin.69	ZeeviD_2015__PNP_Main_415__bin.61	CosteaPI_2017__SID713A066-11-90-0__bin.37	CosteaPI_2017__SID713A078-11-0-0__bin.28	CosteaPI_2017__SID713B065-11-0-0__bin.55	CosteaPI_2017__SID713A066-11-0-0__bin.48	CM_madagascar__A46_01_1FE__bin.15	ZeeviD_2015__PNP_Main_51__bin.51	CosteaPI_2017__SID713B032-11-0-0__bin.37	Obregon-TitoAJ_2015__SM30__bin.13	CM_madagascar__A81_01_1FE__bin.24	CosteaPI_2017__SID713B042-11-0-0__bin.44	ZeeviD_2015__PNP_Main_587__bin.27	LiuW_2016__SRR3992983__bin.11	CosteaPI_2017__SID713A078-11-90-0__bin.4	CosteaPI_2017__SID713A073-11-90-0__bin.42	ZellerG_2014__CCIS74726977ST-3-0__bin.59	LiuW_2016__SRR3993058__bin.63	CosteaPI_2017__SID713A049-11-90-0__bin.34	CosteaPI_2017__SID713A073-11-0-0__bin.42	CosteaPI_2017__SID713B043-11-0-0__bin.37	ZeeviD_2015__PNP_Main_73__bin.17	HMP_2012__SRS017307__bin.40	CosteaPI_2017__SID713B042-11-90-0__bin.30	CosteaPI_2017__SID713B046-11-0-0__bin.20	CosteaPI_2017__SID713B037-11-90-0__bin.28	CM_madagascar__A62_01_1FE__bin.52	CosteaPI_2017__SID713B046-11-90-0__bin.62	LiuW_2016__SRR3993059__bin.71	RampelliS_2015__H9__bin.15	ZeeviD_2015__PNP_Main_293__bin.8	BritoIL_2016__M1.65.ST__bin.15	RampelliS_2015__H6__bin.15	ZeeviD_2015__PNP_Main_374__bin.24	CosteaPI_2017__SID713B032-11-90-0__bin.28	SchirmerM_2016__G88821__bin.15	HMP_2012__SRS049959__bin.25	CosteaPI_2017__SID713B065-11-90-0__bin.33	CosteaPI_2017__SID713B043-11-90-0__bin.27	CosteaPI_2017__SID713A049-11-0-0__bin.64
Obregon-TitoAJ_2015__SM30__bin.13	30606.0	23794.0	32798.0	27871.0	32265.0	33307.0	34570.0	34247.0	32251.0	35720.0	0.0	34016.0	35856.0	27937.0	21953.0	34997.0	34023.0	37017.0	29844.0	33730.0	33652.0	31753.0	31413.0	35759.0	35912.0	36259.0	34535.0	26043.0	35327.0	33410.0	54347.0	35540.0	33621.0	37846.0	32839.0	35947.0	25647.0	34397.0	28088.0	36276.0	35061.0
CM_madagascar__A81_01_1FE__bin.24	20739.0	24745.0	36175.0	29103.0	32016.0	35155.0	37733.0	31873.0	33654.0	37802.0	34016.0	0.0	35919.0	29283.0	22806.0	35050.0	35737.0	37996.0	31585.0	34449.0	35091.0	31708.0	32007.0	35874.0	36517.0	37263.0	35804.0	26541.0	36806.0	34947.0	54684.0	36613.0	33617.0	37249.0	34680.0	37182.0	26323.0	36299.0	28916.0	36082.0	35721.0
CosteaPI_2017__SID713B042-11-0-0__bin.44	34042.0	10188.0	36643.0	21015.0	31610.0	29561.0	26971.0	36348.0	34634.0	16591.0	35856.0	35919.0	0.0	28997.0	21380.0	34623.0	15899.0	36902.0	30609.0	11967.0	13495.0	971.0	32538.0	37479.0	606.0	35862.0	34504.0	25932.0	33527.0	34606.0	59754.0	36702.0	35186.0	40268.0	36983.0	16653.0	25258.0	35582.0	24629.0	1108.0	13379.0
ZeeviD_2015__PNP_Main_587__bin.27	25573.0	19615.0	27721.0	22241.0	24880.0	26105.0	28335.0	27764.0	27593.0	28190.0	27937.0	29283.0	28997.0	0.0	9781.0	26811.0	26228.0	27879.0	11556.0	25772.0	27002.0	26435.0	26654.0	27130.0	29002.0	27755.0	27522.0	22659.0	27698.0	13605.0	46832.0	27652.0	26994.0	32338.0	27849.0	28017.0	20747.0	26707.0	22432.0	29019.0	27176.0
LiuW_2016__SRR3992983__bin.11	19355.0	17382.0	20843.0	19022.0	20738.0	20382.0	21694.0	21014.0	21054.0	20980.0	21953.0	22806.0	21380.0	9781.0	0.0	21224.0	19978.0	21415.0	708.0	19798.0	20746.0	20481.0	20698.0	21483.0	21588.0	22265.0	21144.0	19013.0	21584.0	699.0	39635.0	21718.0	21056.0	25780.0	22041.0	20886.0	17444.0	20958.0	18582.0	20975.0	20352.0
CosteaPI_2017__SID713A078-11-90-0__bin.4	31117.0	22817.0	34278.0	26565.0	1918.0	31654.0	35463.0	34484.0	31982.0	34827.0	34997.0	35050.0	34623.0	26811.0	21224.0	0.0	33125.0	34152.0	28494.0	31942.0	32126.0	30439.0	30768.0	34597.0	34901.0	34188.0	31712.0	25543.0	32272.0	32177.0	55790.0	33123.0	31981.0	38030.0	33345.0	34825.0	25295.0	33983.0	25713.0	34326.0	34379.0
CosteaPI_2017__SID713A073-11-90-0__bin.42	33362.0	10368.0	35889.0	21360.0	30554.0	28315.0	26175.0	34350.0	34196.0	17320.0	34023.0	35737.0	15899.0	26228.0	19978.0	33125.0	0.0	35330.0	28557.0	8015.0	929.0	12975.0	32400.0	35126.0	15208.0	33141.0	32634.0	25787.0	31521.0	32362.0	58074.0	36461.0	34113.0	38414.0	37118.0	17413.0	24502.0	34138.0	23561.0	16780.0	9878.0
ZellerG_2014__CCIS74726977ST-3-0__bin.59	33250.0	22388.0	37611.0	29405.0	30201.0	31989.0	38847.0	36681.0	35505.0	38553.0	37017.0	37996.0	36902.0	27879.0	21415.0	34152.0	35330.0	0.0	30851.0	35893.0	33729.0	30859.0	32800.0	38962.0	37010.0	37886.0	35093.0	26093.0	36172.0	35184.0	58568.0	37182.0	36001.0	39430.0	36427.0	37984.0	25207.0	36040.0	25982.0	37336.0	37424.0
LiuW_2016__SRR3993058__bin.63	28376.0	20672.0	28966.0	25210.0	26571.0	27490.0	30371.0	30442.0	30511.0	30029.0	29844.0	31585.0	30609.0	11556.0	708.0	28494.0	28557.0	30851.0	0.0	29323.0	27702.0	26968.0	28716.0	31113.0	29702.0	30980.0	29644.0	24501.0	30081.0	643.0	51089.0	29867.0	29999.0	33371.0	30481.0	29531.0	21798.0	30006.0	22941.0	30934.0	28946.0
CosteaPI_2017__SID713A049-11-90-0__bin.34	33682.0	9993.0	34046.0	19718.0	28444.0	28609.0	24733.0	35084.0	32782.0	16757.0	33730.0	34449.0	11967.0	25772.0	19798.0	31942.0	8015.0	35893.0	29323.0	0.0	7020.0	9611.0	31207.0	35511.0	10963.0	32448.0	32429.0	24778.0	31571.0	32078.0	55466.0	35351.0	34168.0	36746.0	34323.0	17320.0	23281.0	34683.0	23361.0	11187.0	390.0
CosteaPI_2017__SID713A073-11-0-0__bin.42	31995.0	10675.0	34527.0	19839.0	31180.0	28113.0	23672.0	33709.0	32327.0	16125.0	33652.0	35091.0	13495.0	27002.0	20746.0	32126.0	929.0	33729.0	27702.0	7020.0	0.0	12498.0	31334.0	33744.0	13767.0	31363.0	31031.0	25316.0	30439.0	32633.0	58116.0	36139.0	33017.0	38440.0	35672.0	16511.0	24771.0	34154.0	23894.0	13803.0	8414.0
