	YuJ_2015__SZAXPI017586-111__bin.46	YuJ_2015__SZAXPI015213-15__bin.3	HeQ_2017__SZAXPI029460-123__bin.30	YuJ_2015__SZAXPI015258-57__bin.36	LiJ_2017__H2M514917__bin.38	QinJ_2012__CON-098__bin.12	HeQ_2017__RSZAXPI003105-143__bin.29	WenC_2017__N010__bin.15	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.75	QinJ_2012__CON-084__bin.10	QinN_2014__LD-74__bin.17	QinJ_2012__CON-074__bin.14	YuJ_2015__SZAXPI003417-4__bin.21	YuJ_2015__SZAXPI015210-17__bin.10	QinJ_2012__CON-040__bin.45	LiJ_2017__H1M513803__bin.32	QinN_2014__HD-26__bin.35	WenC_2017__N287__bin.41	LiJ_2014__O2.UC8-0__bin.48	ChengpingW_2017__AS54raw__bin.17	QinJ_2012__T2D-087__bin.26	QinJ_2012__CON-094__bin.51	QinJ_2012__T2D-008__bin.19	WenC_2017__RA068__bin.5	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.3	HeQ_2017__RSZAXPI003102-140__bin.5	QinJ_2012__CON-022__bin.36	QinN_2014__HD-58__bin.4	QinN_2014__LD-84__bin.67	LiJ_2014__O2.UC8-1__bin.57	QinN_2014__HD-81__bin.7	QinJ_2012__T2D-023__bin.48	HeQ_2017__RSZAXPI003081-115__bin.31	QinJ_2012__NOM022__bin.8	LeChatelierE_2013__MH0321__bin.36	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.90	ChengpingW_2017__AS42raw__bin.81	VogtmannE_2016__MMRS56137463ST-27-0-0__bin.1	QinN_2014__HD-43__bin.29	QinJ_2012__NLM032__bin.22	QinN_2014__LD-16__bin.6
ChengpingW_2017__AS54raw__bin.17	11562.0	6167.0	11209.0	9562.0	12016.0	11307.0	7373.0	11288.0	10033.0	9558.0	11434.0	8447.0	7618.0	6475.0	5493.0	9762.0	12187.0	10439.0	11323.0	0.0	11413.0	11453.0	10470.0	11779.0	9852.0	5569.0	11687.0	6742.0	13574.0	10984.0	10890.0	11568.0	5938.0	11161.0	12906.0	11350.0	25130.0	9859.0	13443.0	11227.0	12300.0
QinJ_2012__T2D-087__bin.26	11463.0	7253.0	4049.0	9540.0	12325.0	11876.0	2143.0	12726.0	10338.0	9197.0	13611.0	8007.0	8983.0	8139.0	6906.0	9588.0	11720.0	11295.0	13272.0	11413.0	0.0	12398.0	10244.0	12667.0	10128.0	7917.0	10786.0	6286.0	13639.0	13826.0	11476.0	13339.0	7710.0	12484.0	13697.0	13048.0	26994.0	9680.0	14709.0	10585.0	15196.0
QinJ_2012__CON-094__bin.51	12458.0	7538.0	12724.0	10042.0	13898.0	13368.0	6992.0	14026.0	10435.0	9635.0	13814.0	8831.0	9150.0	8277.0	7768.0	10347.0	12674.0	12003.0	13277.0	11453.0	12398.0	0.0	9600.0	13987.0	10119.0	8625.0	11232.0	7256.0	12909.0	13204.0	12892.0	13788.0	8730.0	12560.0	12896.0	14030.0	28098.0	10481.0	14043.0	10845.0	13782.0
QinJ_2012__T2D-008__bin.19	10843.0	6482.0	10337.0	8554.0	10519.0	10406.0	6536.0	11484.0	8884.0	8667.0	11832.0	7312.0	7462.0	6556.0	6146.0	9041.0	10793.0	10442.0	11541.0	10470.0	10244.0	9600.0	0.0	10597.0	9176.0	5836.0	9587.0	6472.0	11109.0	11205.0	10363.0	11365.0	5821.0	10664.0	10793.0	11509.0	22776.0	8662.0	11545.0	9294.0	12166.0
WenC_2017__RA068__bin.5	11172.0	7283.0	13066.0	9310.0	7897.0	13136.0	7035.0	13782.0	12388.0	8886.0	14962.0	7388.0	8948.0	8176.0	7201.0	9267.0	13088.0	11628.0	14611.0	11779.0	12667.0	13987.0	10597.0	0.0	11341.0	8906.0	11324.0	5795.0	12704.0	14480.0	6306.0	10617.0	8757.0	13216.0	14175.0	14235.0	27744.0	12236.0	15437.0	7325.0	16359.0
FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.3	11011.0	5150.0	10122.0	7997.0	11343.0	10314.0	7012.0	11027.0	9161.0	8503.0	12871.0	8743.0	7039.0	6114.0	4914.0	7701.0	12053.0	8949.0	10782.0	9852.0	10128.0	10119.0	9176.0	11341.0	0.0	4977.0	8058.0	6813.0	10822.0	10010.0	9792.0	11534.0	4846.0	9066.0	9466.0	4510.0	19497.0	10536.0	12753.0	9110.0	10750.0
HeQ_2017__RSZAXPI003102-140__bin.5	6963.0	4442.0	8432.0	5894.0	8269.0	7157.0	3951.0	4566.0	6370.0	6030.0	8818.0	3744.0	7833.0	6699.0	6459.0	3634.0	7308.0	6238.0	8852.0	5569.0	7917.0	8625.0	5836.0	8906.0	4977.0	0.0	6215.0	3843.0	7869.0	8159.0	7318.0	8106.0	240.0	7373.0	7899.0	7466.0	16444.0	6113.0	3665.0	6644.0	6349.0
QinJ_2012__CON-022__bin.36	10844.0	6634.0	10993.0	9110.0	11232.0	10687.0	6962.0	11304.0	9525.0	9644.0	11567.0	7488.0	8019.0	7204.0	6470.0	9782.0	12020.0	10317.0	10757.0	11687.0	10786.0	11232.0	9587.0	11324.0	8058.0	6215.0	0.0	6820.0	12094.0	10926.0	11063.0	11580.0	6281.0	8059.0	10499.0	10666.0	24184.0	8184.0	11242.0	10090.0	10608.0
QinN_2014__HD-58__bin.4	6450.0	4498.0	6375.0	5239.0	5962.0	7603.0	5070.0	7310.0	7944.0	5742.0	7677.0	5041.0	6171.0	4433.0	3460.0	5639.0	7321.0	6374.0	7555.0	6742.0	6286.0	7256.0	6472.0	5795.0	6813.0	3843.0	6820.0	0.0	5862.0	7204.0	5620.0	5443.0	4539.0	7429.0	7289.0	7735.0	16681.0	6077.0	8038.0	5118.0	8236.0
QinN_2014__LD-84__bin.67	11737.0	7430.0	13344.0	9419.0	12460.0	12591.0	8150.0	14177.0	10472.0	9484.0	13402.0	7977.0	8478.0	8390.0	6242.0	10655.0	14279.0	11735.0	13116.0	13574.0	13639.0	12909.0	11109.0	12704.0	10822.0	7869.0	12094.0	5862.0	0.0	13677.0	11006.0	12379.0	7522.0	13307.0	13848.0	13291.0	26773.0	10285.0	14166.0	9933.0	14589.0
