	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	BackhedF_2015__SID179_M__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	LeChatelierE_2013__MH0136__bin.28	ZeeviD_2015__PNP_Main_701__bin.29	LiJ_2014__O2.UC48-1__bin.17	LiJ_2014__V1.CD6-0-PT__bin.34	ZeeviD_2015__PNP_Main_158__bin.67	ZeeviD_2015__PNP_Main_640__bin.22	ZeeviD_2015__PNP_Main_595__bin.26	ZeeviD_2015__PNP_Main_706__bin.63	HMP_2012__SRS024435__bin.63	ZeeviD_2015__PNP_Main_560__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.32	ZellerG_2014__CCIS55230578ST-4-0__bin.61	ZeeviD_2015__PNP_Validation_74__bin.3	LeChatelierE_2013__MH0095__bin.8	ZellerG_2014__CCMD25963797ST-21-0__bin.57	NielsenHB_2014__MH0136__bin.17	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.3	HMP_2012__SRS022609__bin.76	NielsenHB_2014__MH0095__bin.20	BackhedF_2015__SID150_M__bin.37	LeChatelierE_2013__MH0422__bin.61	ZeeviD_2015__PNP_Main_765__bin.14	ZeeviD_2015__PNP_Main_553__bin.40
ZeeviD_2015__PNP_Main_706__bin.63	1033546.0	1489396.0	1477729.0	1402294.0	1256019.0	1480868.0	1454416.0	1076394.0	998296.0	1464619.0	1524685.0	1428557.0	1477478.0	1407865.0	1433646.0	1384177.0	1392291.0	1486777.0	1357787.0	1021362.0	1477485.0	1378582.0	1428531.0	1427522.0	1465124.0	1413483.0
HMP_2012__SRS024435__bin.63	1106103.0	1558991.0	1569085.0	1462800.0	1324044.0	1541326.0	1541541.0	1132338.0	1057983.0	1522297.0	1428557.0	1773297.0	1498400.0	1454133.0	1508691.0	1461179.0	1439756.0	1544747.0	1418086.0	1089242.0	1558569.0	1457289.0	1516983.0	1515978.0	1526239.0	1477180.0
ZeeviD_2015__PNP_Main_560__bin.26	1103971.0	1567734.0	1552372.0	1486859.0	1335769.0	1561927.0	1533445.0	1153060.0	1059655.0	1549257.0	1477478.0	1498400.0	1632792.0	1474603.0	1506721.0	1479008.0	1474491.0	1572105.0	1438123.0	1074356.0	1564298.0	1466820.0	1515826.0	1525571.0	1557861.0	1499856.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.32	1067598.0	1507459.0	1523144.0	1411952.0	1290544.0	1503093.0	1521439.0	1114910.0	1029602.0	1482827.0	1407865.0	1454133.0	1474603.0	1553491.0	1466502.0	1418169.0	1406451.0	1496059.0	1368852.0	1029978.0	1532822.0	1414049.0	1460318.0	1492077.0	1482185.0	1443179.0
ZellerG_2014__CCIS55230578ST-4-0__bin.61	1118409.0	1560525.0	1560514.0	1463083.0	1327995.0	1543196.0	1536250.0	1154364.0	1066595.0	1536719.0	1433646.0	1508691.0	1506721.0	1466502.0	1619201.0	1474043.0	1449570.0	1543850.0	1420297.0	1088677.0	1556356.0	1464841.0	1557161.0	1522188.0	1527991.0	1492995.0
ZeeviD_2015__PNP_Validation_74__bin.3	1082569.0	1514970.0	1511086.0	1444362.0	1300753.0	1523136.0	1505894.0	1128829.0	1042488.0	1496510.0	1384177.0	1461179.0	1479008.0	1418169.0	1474043.0	1578493.0	1408316.0	1522449.0	1397443.0	1056597.0	1522206.0	1431967.0	1485447.0	1499591.0	1502553.0	1459519.0
LeChatelierE_2013__MH0095__bin.8	1076004.0	1523757.0	1494778.0	1426250.0	1284366.0	1492369.0	1483622.0	1133179.0	1025689.0	1480228.0	1392291.0	1439756.0	1474491.0	1406451.0	1449570.0	1408316.0	1564402.0	1493139.0	1388489.0	1035092.0	1513744.0	1495958.0	1450744.0	1451151.0	1486084.0	1436622.0
ZellerG_2014__CCMD25963797ST-21-0__bin.57	1137652.0	1642249.0	1597345.0	1574471.0	1375830.0	1657465.0	1592482.0	1179485.0	1098616.0	1612233.0	1486777.0	1544747.0	1572105.0	1496059.0	1543850.0	1522449.0	1493139.0	1761278.0	1524106.0	1140433.0	1614021.0	1515013.0	1566636.0	1559951.0	1616006.0	1565200.0
NielsenHB_2014__MH0136__bin.17	1061528.0	1475006.0	1452304.0	1541496.0	1272532.0	1491323.0	1454746.0	1088229.0	1006844.0	1453728.0	1357787.0	1418086.0	1438123.0	1368852.0	1420297.0	1397443.0	1388489.0	1524106.0	1540372.0	1065682.0	1464255.0	1397965.0	1435001.0	1436043.0	1455551.0	1416290.0
VogtmannE_2016__MMRS11932626ST-27-0-0__bin.3	815353.0	1122255.0	1111231.0	1080793.0	958481.0	1119138.0	1101155.0	828974.0	797516.0	1096596.0	1021362.0	1089242.0	1074356.0	1029978.0	1088677.0	1056597.0	1035092.0	1140433.0	1065682.0	1405410.0	1115061.0	1066884.0	1100143.0	1076448.0	1094994.0	1078681.0
HMP_2012__SRS022609__bin.76	1139168.0	1634766.0	1650781.0	1515794.0	1383848.0	1600731.0	1623679.0	1188946.0	1111125.0	1597209.0	1477485.0	1558569.0	1564298.0	1532822.0	1556356.0	1522206.0	1513744.0	1614021.0	1464255.0	1115061.0	1726421.0	1520460.0	1571099.0	1565575.0	1601374.0	1550158.0
NielsenHB_2014__MH0095__bin.20	1097985.0	1591368.0	1513495.0	1435083.0	1307029.0	1506004.0	1507058.0	1147461.0	1045462.0	1488948.0	1378582.0	1457289.0	1466820.0	1414049.0	1464841.0	1431967.0	1495958.0	1515013.0	1397965.0	1066884.0	1520460.0	1646282.0	1477111.0	1462098.0	1501647.0	1454304.0
BackhedF_2015__SID150_M__bin.37	1121795.0	1578429.0	1566607.0	1477994.0	1348671.0	1563733.0	1547711.0	1156445.0	1069347.0	1551795.0	1428531.0	1516983.0	1515826.0	1460318.0	1557161.0	1485447.0	1450744.0	1566636.0	1435001.0	1100143.0	1571099.0	1477111.0	1631694.0	1532309.0	1551954.0	1514915.0
LeChatelierE_2013__MH0422__bin.61	1124329.0	1562710.0	1554885.0	1479361.0	1345817.0	1559883.0	1545813.0	1159737.0	1069812.0	1541344.0	1427522.0	1515978.0	1525571.0	1492077.0	1522188.0	1499591.0	1451151.0	1559951.0	1436043.0	1076448.0	1565575.0	1462098.0	1532309.0	1658426.0	1541354.0	1500352.0
ZeeviD_2015__PNP_Main_765__bin.14	1124467.0	1634205.0	1586124.0	1505237.0	1377867.0	1606481.0	1567836.0	1177597.0	1094463.0	1681415.0	1465124.0	1526239.0	1557861.0	1482185.0	1527991.0	1502553.0	1486084.0	1616006.0	1455551.0	1094994.0	1601374.0	1501647.0	1551954.0	1541354.0	1922996.0	1613319.0
ZeeviD_2015__PNP_Main_553__bin.40	1102423.0	1586737.0	1546435.0	1459974.0	1333629.0	1562637.0	1528629.0	1138976.0	1060640.0	1615953.0	1413483.0	1477180.0	1499856.0	1443179.0	1492995.0	1459519.0	1436622.0	1565200.0	1416290.0	1078681.0	1550158.0	1454304.0	1514915.0	1500352.0	1613319.0	1650352.0
