	ZeeviD_2015__PNP_Main_586__bin.39	YuJ_2015__SZAXPI015261-75__bin.23	NielsenHB_2014__MH0093__bin.7	CosteaPI_2017__halbarad-11-0-0__bin.28	LeChatelierE_2013__MH0093__bin.3	XieH_2016__YSZC12003_37348__bin.16	ZeeviD_2015__PNP_Main_506__bin.26	LeChatelierE_2013__MH0129__bin.41	LeChatelierE_2013__MH0288__bin.80	CosteaPI_2017__halbarad-11-773-0__bin.26	ZellerG_2014__MMPU68403337ST__bin.53	ZeeviD_2015__PNP_Main_304__bin.37	XieH_2016__YSZC12003_37204__bin.17	LeChatelierE_2013__MH0440__bin.73	NielsenHB_2014__V1_UC50_1__bin.69	QinJ_2012__T2D-099__bin.75	ZeeviD_2015__PNP_Main_226__bin.34	NielsenHB_2014__MH0004__bin.10	ZeeviD_2015__PNP_Main_261__bin.11	LeChatelierE_2013__MH0438__bin.46	CosteaPI_2017__halbarad-11-392-0__bin.44	CosteaPI_2017__halbarad-11-7-0__bin.2	ZeeviD_2015__PNP_Main_22__bin.34	LeChatelierE_2013__MH0125__bin.9	SchirmerM_2016__G88802__bin.17	ZellerG_2014__CCIS38765456ST-20-0__bin.4	XieH_2016__YSZC12003_35551__bin.42	NielsenHB_2014__V1_CD19_0__bin.21	NielsenHB_2014__O2_UC55_2__bin.28	ZeeviD_2015__PNP_Validation_7__bin.62	VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	LiJ_2014__V1.FI02__bin.5	LeChatelierE_2013__MH0004__bin.14	NielsenHB_2014__MH0129__bin.37	ChengpingW_2017__AS78raw__bin.58	NielsenHB_2014__MH0125__bin.30
ZellerG_2014__MMPU68403337ST__bin.53	54784.0	56963.0	37391.0	592.0	37624.0	37946.0	42504.0	33872.0	58063.0	501.0	0.0	51069.0	43335.0	54330.0	58776.0	51281.0	39074.0	55860.0	48661.0	54531.0	729.0	268.0	55975.0	58292.0	44657.0	49452.0	56499.0	37321.0	41078.0	56424.0	51899.0	53054.0	56471.0	30825.0	55015.0	52435.0
ZeeviD_2015__PNP_Main_304__bin.37	53795.0	61360.0	36282.0	55750.0	40445.0	43687.0	39223.0	35748.0	56633.0	54424.0	51069.0	0.0	42722.0	41070.0	59673.0	59560.0	41214.0	55914.0	51035.0	56204.0	60668.0	61982.0	53842.0	60469.0	42124.0	55570.0	61213.0	42060.0	41210.0	57001.0	59772.0	55682.0	59220.0	31728.0	62517.0	54956.0
XieH_2016__YSZC12003_37204__bin.17	33922.0	48624.0	27490.0	43120.0	26205.0	27129.0	30510.0	20577.0	38830.0	44318.0	43335.0	42722.0	0.0	39603.0	39312.0	45999.0	34974.0	40472.0	33307.0	35608.0	46736.0	47545.0	34440.0	39014.0	31985.0	37406.0	38181.0	34547.0	34935.0	35810.0	45624.0	47986.0	40813.0	21746.0	47885.0	37460.0
LeChatelierE_2013__MH0440__bin.73	45119.0	48412.0	36698.0	48214.0	34538.0	32773.0	30573.0	29399.0	52434.0	53681.0	54330.0	41070.0	39603.0	0.0	52680.0	50355.0	39217.0	50351.0	41740.0	52275.0	53666.0	55177.0	49181.0	52150.0	36815.0	47998.0	53470.0	32651.0	36930.0	51441.0	47626.0	52031.0	50498.0	29379.0	49669.0	49884.0
NielsenHB_2014__V1_UC50_1__bin.69	46936.0	73720.0	33500.0	65637.0	38953.0	43764.0	55183.0	36069.0	57987.0	60796.0	58776.0	59673.0	39312.0	52680.0	0.0	63869.0	45639.0	58037.0	51136.0	54748.0	71965.0	75527.0	51514.0	59658.0	45164.0	53852.0	58877.0	54945.0	47434.0	59661.0	70859.0	64729.0	60846.0	28530.0	72167.0	50210.0
QinJ_2012__T2D-099__bin.75	58923.0	40498.0	41209.0	54631.0	43754.0	45210.0	48246.0	40665.0	64525.0	53303.0	51281.0	59560.0	45999.0	50355.0	63869.0	0.0	18360.0	65165.0	53975.0	62690.0	59578.0	61106.0	60433.0	65614.0	51092.0	56883.0	64105.0	41154.0	32879.0	63704.0	44330.0	20511.0	65070.0	36604.0	58206.0	60313.0
ZeeviD_2015__PNP_Main_226__bin.34	40298.0	33360.0	36125.0	36856.0	31307.0	29140.0	32995.0	28227.0	46240.0	39060.0	39074.0	41214.0	34974.0	39217.0	45639.0	18360.0	0.0	44975.0	38138.0	44775.0	43054.0	43978.0	43519.0	47075.0	42998.0	40891.0	46207.0	26966.0	25791.0	42795.0	30262.0	17417.0	45475.0	32421.0	40509.0	45109.0
NielsenHB_2014__MH0004__bin.10	53012.0	70144.0	31840.0	60995.0	36303.0	39177.0	50121.0	33565.0	51996.0	58953.0	55860.0	55914.0	40472.0	50351.0	58037.0	65165.0	44975.0	0.0	49010.0	49905.0	66729.0	67971.0	50054.0	55301.0	42500.0	48756.0	56585.0	49919.0	47042.0	55994.0	66852.0	66585.0	499.0	27068.0	69146.0	48555.0
ZeeviD_2015__PNP_Main_261__bin.11	47867.0	60858.0	26955.0	55430.0	36328.0	38158.0	45918.0	33769.0	46937.0	51094.0	48661.0	51035.0	33307.0	41740.0	51136.0	53975.0	38138.0	49010.0	0.0	45965.0	60968.0	62679.0	44095.0	48502.0	33361.0	45622.0	49895.0	49957.0	42453.0	47272.0	58098.0	51901.0	50591.0	24816.0	62055.0	43078.0
LeChatelierE_2013__MH0438__bin.46	49057.0	65442.0	31962.0	59259.0	35502.0	38255.0	48101.0	30680.0	51510.0	56530.0	54531.0	56204.0	35608.0	52275.0	54748.0	62690.0	44775.0	49905.0	45965.0	0.0	63892.0	67425.0	47576.0	54256.0	42456.0	47856.0	55229.0	48710.0	44174.0	53928.0	63106.0	61393.0	51581.0	27804.0	65968.0	48290.0
