	Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	LeChatelierE_2013__MH0316__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	CM_madagascar__A94_02_1FE__bin.8	VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	QinN_2014__LD-84__bin.51	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	WenC_2017__N310__bin.120	QinN_2014__LD-97__bin.25	QinN_2014__LD-68__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.25	QinN_2014__LD-11__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.75	LeChatelierE_2013__MH0434__bin.7	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.103	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.82	CosteaPI_2017__SID713B073-11-90-0__bin.64	GeversD_2014__SKBSTL064__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.92	LiJ_2017__nHM612709__bin.20	WenC_2017__N290__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.69	QinN_2014__LD-56__bin.22	LeChatelierE_2013__MH0204__bin.78	ZellerG_2014__CCIS22958137ST-20-0__bin.59
WenC_2017__N310__bin.120	21896.0	20058.0	38071.0	20409.0	20689.0	36611.0	38121.0	22512.0	31495.0	38370.0	0.0	28010.0	30172.0	34247.0	32437.0	32274.0	25033.0	37268.0	33111.0	22097.0	28665.0	24739.0	36136.0	22528.0	38619.0	32657.0	14945.0	21377.0	20662.0	36615.0	36704.0	29112.0	17735.0
QinN_2014__LD-97__bin.25	20378.0	18495.0	33141.0	18339.0	17919.0	32150.0	34156.0	21426.0	29498.0	34018.0	28010.0	0.0	26783.0	30313.0	28156.0	29495.0	20688.0	31995.0	29574.0	19865.0	25395.0	21515.0	30317.0	20445.0	33425.0	28378.0	17490.0	20545.0	19856.0	32056.0	31159.0	25366.0	16398.0
QinN_2014__LD-68__bin.25	20636.0	18804.0	36314.0	20173.0	18738.0	33320.0	36485.0	21586.0	30417.0	38515.0	30172.0	26783.0	0.0	31129.0	29885.0	29302.0	20598.0	32404.0	30823.0	20835.0	29057.0	22505.0	31228.0	22723.0	36676.0	29430.0	19242.0	25087.0	18122.0	34901.0	35408.0	25918.0	16816.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.85	16987.0	12730.0	12390.0	14570.0	11658.0	26122.0	33383.0	15041.0	32957.0	12898.0	34247.0	30313.0	31129.0	0.0	23906.0	24763.0	16201.0	25987.0	25610.0	16438.0	28160.0	13250.0	24554.0	21823.0	24061.0	23380.0	20814.0	26172.0	22138.0	22775.0	29463.0	17475.0	11759.0
Bengtsson-PalmeJ_2015__TRAVELRES59__bin.25	15161.0	13082.0	25754.0	12290.0	13381.0	23919.0	31504.0	16174.0	31680.0	27159.0	32437.0	28156.0	29885.0	23906.0	0.0	21999.0	14656.0	23672.0	24732.0	15774.0	24900.0	16146.0	23737.0	18623.0	26142.0	22104.0	18956.0	24304.0	18768.0	24860.0	28966.0	19831.0	11614.0
QinN_2014__LD-11__bin.14	14551.0	14611.0	27470.0	14406.0	13682.0	25792.0	32935.0	15867.0	32370.0	28231.0	32274.0	29495.0	29302.0	24763.0	21999.0	0.0	15280.0	26456.0	25231.0	16644.0	26779.0	16753.0	23747.0	20229.0	26601.0	22791.0	19486.0	24394.0	20870.0	25247.0	31527.0	19940.0	9827.0
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.65	9911.0	9152.0	16746.0	9332.0	9534.0	16972.0	23545.0	10495.0	22937.0	16690.0	25033.0	20688.0	20598.0	16201.0	14656.0	15280.0	0.0	16048.0	17421.0	10637.0	18886.0	10948.0	15726.0	13848.0	14696.0	15382.0	14058.0	17370.0	15570.0	15440.0	20283.0	12279.0	7142.0
Bengtsson-PalmeJ_2015__TRAVELRES38__bin.11	16037.0	14665.0	28019.0	15329.0	12843.0	7692.0	36119.0	16460.0	35472.0	28901.0	37268.0	31995.0	32404.0	25987.0	23672.0	26456.0	16048.0	0.0	26350.0	17711.0	28394.0	18403.0	23757.0	21651.0	28644.0	24473.0	20932.0	27218.0	23128.0	26040.0	33564.0	21251.0	11766.0
Bengtsson-PalmeJ_2015__TRAVELRES22__bin.75	16613.0	16188.0	27881.0	16705.0	15533.0	26493.0	29691.0	18193.0	31226.0	29383.0	33111.0	29574.0	30823.0	25610.0	24732.0	25231.0	17421.0	26350.0	0.0	13472.0	26845.0	18429.0	26033.0	20878.0	27752.0	25253.0	21229.0	25589.0	20977.0	27161.0	30849.0	22130.0	13235.0
LeChatelierE_2013__MH0434__bin.7	11549.0	10797.0	17694.0	10497.0	10355.0	18207.0	20695.0	10994.0	21622.0	18483.0	22097.0	19865.0	20835.0	16438.0	15774.0	16644.0	10637.0	17711.0	13472.0	0.0	19117.0	12300.0	16867.0	15186.0	18388.0	17163.0	14427.0	17097.0	14908.0	16973.0	20487.0	14635.0	9423.0
VogtmannE_2016__MMRS42570301ST-27-0-0__bin.26	18449.0	16935.0	32336.0	18184.0	16075.0	28596.0	33231.0	19610.0	24752.0	32813.0	28665.0	25395.0	29057.0	28160.0	24900.0	26779.0	18886.0	28394.0	26845.0	19117.0	0.0	20339.0	27051.0	21641.0	31301.0	25974.0	17746.0	22743.0	19923.0	29702.0	29018.0	23614.0	14606.0
Bengtsson-PalmeJ_2015__TRAVELRES29__bin.103	12380.0	8849.0	16261.0	11743.0	10676.0	18141.0	25320.0	12017.0	23182.0	16671.0	24739.0	21515.0	22505.0	13250.0	16146.0	16753.0	10948.0	18403.0	18429.0	12300.0	20339.0	0.0	16897.0	15372.0	16422.0	17439.0	16620.0	19519.0	16402.0	14415.0	21487.0	13121.0	8708.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.66	15689.0	15035.0	27617.0	14635.0	11249.0	23128.0	33806.0	16581.0	33417.0	28053.0	36136.0	30317.0	31228.0	24554.0	23737.0	23747.0	15726.0	23757.0	26033.0	16867.0	27051.0	16897.0	0.0	19665.0	27111.0	22713.0	20123.0	26615.0	21976.0	25887.0	30321.0	20807.0	11620.0
Bengtsson-PalmeJ_2015__TRAVELRES20__bin.82	13392.0	12608.0	24102.0	13098.0	12883.0	21235.0	25656.0	15114.0	24627.0	22440.0	22528.0	20445.0	22723.0	21823.0	18623.0	20229.0	13848.0	21651.0	20878.0	15186.0	21641.0	15372.0	19665.0	0.0	23162.0	20664.0	13543.0	19092.0	15770.0	21196.0	23159.0	17399.0	10924.0
CosteaPI_2017__SID713B073-11-90-0__bin.64	17959.0	14409.0	27629.0	16520.0	15290.0	29202.0	37242.0	16039.0	37166.0	28353.0	38619.0	33425.0	36676.0	24061.0	26142.0	26601.0	14696.0	28644.0	27752.0	18388.0	31301.0	16422.0	27111.0	23162.0	0.0	26617.0	22536.0	28896.0	23515.0	26364.0	35481.0	19603.0	12990.0
GeversD_2014__SKBSTL064__bin.32	16617.0	13872.0	25209.0	14882.0	13951.0	24269.0	32318.0	16106.0	31934.0	25969.0	32657.0	28378.0	29430.0	23380.0	22104.0	22791.0	15382.0	24473.0	25253.0	17163.0	25974.0	17439.0	22713.0	20664.0	26617.0	0.0	19897.0	24555.0	19723.0	23970.0	30247.0	20334.0	11891.0
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.92	14629.0	14162.0	22049.0	11915.0	12455.0	21297.0	23559.0	15574.0	19573.0	22430.0	14945.0	17490.0	19242.0	20814.0	18956.0	19486.0	14058.0	20932.0	21229.0	14427.0	17746.0	16620.0	20123.0	13543.0	22536.0	19897.0	0.0	13951.0	14200.0	21061.0	21502.0	18034.0	11849.0
LiJ_2017__nHM612709__bin.20	17478.0	16516.0	29546.0	15468.0	16983.0	26832.0	30630.0	18557.0	24205.0	30726.0	21377.0	20545.0	25087.0	26172.0	24304.0	24394.0	17370.0	27218.0	25589.0	17097.0	22743.0	19519.0	26615.0	19092.0	28896.0	24555.0	13951.0	0.0	17623.0	28459.0	27541.0	22911.0	14159.0
WenC_2017__N290__bin.92	15394.0	14482.0	23230.0	14169.0	14028.0	22463.0	27154.0	15851.0	20678.0	24649.0	20662.0	19856.0	18122.0	22138.0	18768.0	20870.0	15570.0	23128.0	20977.0	14908.0	19923.0	16402.0	21976.0	15770.0	23515.0	19723.0	14200.0	17623.0	0.0	22410.0	22187.0	18873.0	11994.0
Bengtsson-PalmeJ_2015__TRAVELRES7__bin.69	16048.0	13590.0	26732.0	16326.0	13616.0	26357.0	35808.0	14327.0	35741.0	28031.0	36615.0	32056.0	34901.0	22775.0	24860.0	25247.0	15440.0	26040.0	27161.0	16973.0	29702.0	14415.0	25887.0	21196.0	26364.0	23970.0	21061.0	28459.0	22410.0	0.0	34870.0	17490.0	11780.0
QinN_2014__LD-56__bin.22	19557.0	17008.0	34722.0	17883.0	17276.0	31780.0	37435.0	19364.0	35632.0	36223.0	36704.0	31159.0	35408.0	29463.0	28966.0	31527.0	20283.0	33564.0	30849.0	20487.0	29018.0	21487.0	30321.0	23159.0	35481.0	30247.0	21502.0	27541.0	22187.0	34870.0	0.0	25084.0	14306.0
LeChatelierE_2013__MH0204__bin.78	13550.0	11684.0	19288.0	13127.0	12206.0	21884.0	29148.0	12442.0	27833.0	19815.0	29112.0	25366.0	25918.0	17475.0	19831.0	19940.0	12279.0	21251.0	22130.0	14635.0	23614.0	13121.0	20807.0	17399.0	19603.0	20334.0	18034.0	22911.0	18873.0	17490.0	25084.0	0.0	10782.0
ZellerG_2014__CCIS22958137ST-20-0__bin.59	8764.0	8205.0	12663.0	8503.0	8346.0	12098.0	18857.0	9838.0	17933.0	13364.0	17735.0	16398.0	16816.0	11759.0	11614.0	9827.0	7142.0	11766.0	13235.0	9423.0	14606.0	8708.0	11620.0	10924.0	12990.0	11891.0	11849.0	14159.0	11994.0	11780.0	14306.0	10782.0	0.0
