	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.35	HMP_2012__SRS015434__bin.38	HMP_2012__SRS021496__bin.28	HMP_2012__SRS057205__bin.47	HMP_2012__SRS019327__bin.12	HMP_2012__SRS075404__bin.33	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.16	HMP_2012__SRS050244__bin.8	HMP_2012__SRS011306__bin.2	HMP_2012__SRS057355__bin.10	HMP_2012__SRS049389__bin.57	HMP_2012__SRS054687__bin.19	HMP_2012__SRS017808__bin.17	HMP_2012__SRS018439__bin.56	HMP_2012__SRS014888__bin.47	HMP_2012__SRS019071__bin.72	HMP_2012__SRS022143__bin.96	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.47	HMP_2012__SRS024441__bin.60	HMP_2012__SRS022719__bin.10	HMP_2012__SRS023926__bin.34	HMP_2012__SRS064329__bin.1	HMP_2012__SRS063193__bin.10	HMP_2012__SRS058336__bin.20	HMP_2012__SRS022077__bin.54	HMP_2012__SRS024081__bin.1	HMP_2012__SRS063288__bin.38	HMP_2012__SRS015797__bin.56	HMP_2012__SRS011115__bin.9	HMP_2012__SRS017209__bin.19	HMP_2012__SRS014573__bin.65	CM_cf__CF_TNFC046IS_t2M15__bin.39	HMP_2012__SRS023958__bin.2	HMP_2012__SRS015762__bin.51	HMP_2012__SRS017439__bin.21	HMP_2012__SRS013705__bin.34	HMP_2012__SRS022530__bin.50	HMP_2012__SRS050669__bin.55	HMP_2012__SRS013164__bin.43	HMP_2012__SRS018739__bin.68
HMP_2012__SRS014888__bin.47	42490.0	40613.0	36975.0	41380.0	24330.0	85139.0	37551.0	34836.0	18366.0	450.0	38733.0	39530.0	37606.0	25644.0	0.0	41303.0	38529.0	41282.0	44156.0	44571.0	29593.0	41607.0	34529.0	33451.0	39212.0	40678.0	34348.0	33175.0	39269.0	38697.0	39759.0	37402.0	24973.0	40720.0	24713.0	31858.0	42393.0	39306.0	25887.0	36165.0
HMP_2012__SRS019071__bin.72	39458.0	564.0	35612.0	38657.0	35202.0	83953.0	32797.0	35060.0	18868.0	40193.0	41283.0	28621.0	35199.0	30936.0	41303.0	0.0	39222.0	38998.0	38698.0	42802.0	27874.0	41525.0	35073.0	31787.0	34879.0	40622.0	32759.0	31152.0	39146.0	36278.0	41287.0	43633.0	40851.0	37825.0	43561.0	30442.0	40992.0	37292.0	42535.0	41834.0
HMP_2012__SRS022143__bin.96	37777.0	38824.0	33758.0	37777.0	34123.0	82272.0	37442.0	25857.0	17061.0	37445.0	39279.0	37591.0	35185.0	28715.0	38529.0	39222.0	0.0	38703.0	39815.0	43469.0	27882.0	40143.0	34492.0	31773.0	37940.0	39127.0	31174.0	31926.0	36258.0	35466.0	40495.0	39743.0	38320.0	37165.0	40611.0	30011.0	38142.0	36196.0	40348.0	38090.0
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.47	38187.0	37859.0	34329.0	36560.0	36295.0	84334.0	36098.0	35198.0	18978.0	40695.0	41015.0	37064.0	35620.0	31992.0	41282.0	38998.0	38703.0	0.0	40846.0	42433.0	27757.0	39666.0	35232.0	31676.0	37591.0	38889.0	31762.0	32231.0	35977.0	36056.0	41153.0	42764.0	41296.0	35970.0	43617.0	29649.0	38665.0	37113.0	42141.0	43277.0
HMP_2012__SRS024441__bin.60	41370.0	37804.0	36648.0	39909.0	39160.0	86917.0	36051.0	35640.0	18289.0	43235.0	44353.0	38702.0	37832.0	33896.0	44156.0	38698.0	39815.0	40846.0	0.0	44057.0	28994.0	41333.0	35969.0	32095.0	39226.0	40295.0	33038.0	34283.0	40105.0	38345.0	42243.0	46700.0	43696.0	38997.0	45897.0	31014.0	41911.0	39322.0	44902.0	45606.0
HMP_2012__SRS022719__bin.10	42758.0	42051.0	39903.0	40333.0	38704.0	43341.0	40319.0	40560.0	20058.0	43193.0	44724.0	40805.0	40305.0	30496.0	44571.0	42802.0	43469.0	42433.0	44057.0	0.0	30020.0	42608.0	36442.0	35502.0	41553.0	41677.0	37368.0	34690.0	39323.0	38530.0	44118.0	44631.0	43576.0	39904.0	45334.0	32753.0	43105.0	40800.0	44545.0	44647.0
HMP_2012__SRS023926__bin.34	26561.0	26810.0	24638.0	26943.0	29200.0	57296.0	17906.0	23327.0	8661.0	29249.0	29535.0	24204.0	24655.0	30111.0	29593.0	27874.0	27882.0	27757.0	28994.0	30020.0	0.0	26601.0	29668.0	21956.0	6174.0	26366.0	22374.0	24703.0	29025.0	24825.0	29360.0	30784.0	29019.0	26519.0	31164.0	114.0	28222.0	23265.0	30157.0	30896.0
HMP_2012__SRS064329__bin.1	40535.0	41152.0	35096.0	36536.0	37310.0	83557.0	35542.0	32970.0	18495.0	40518.0	42349.0	37024.0	36132.0	30905.0	41607.0	41525.0	40143.0	39666.0	41333.0	42608.0	26601.0	0.0	36046.0	15367.0	37528.0	520.0	32256.0	32874.0	38014.0	34455.0	42072.0	44151.0	42740.0	36097.0	43765.0	29413.0	40203.0	35603.0	44283.0	43348.0
HMP_2012__SRS063193__bin.10	34814.0	34611.0	31478.0	34671.0	35128.0	70090.0	33195.0	30232.0	12293.0	34759.0	33982.0	32497.0	31164.0	30228.0	34529.0	35073.0	34492.0	35232.0	35969.0	36442.0	29668.0	36046.0	0.0	29157.0	34113.0	35251.0	28605.0	33216.0	36611.0	35328.0	675.0	35943.0	34437.0	34477.0	36198.0	30902.0	36330.0	33463.0	35564.0	35584.0
HMP_2012__SRS058336__bin.20	32107.0	31105.0	28823.0	28909.0	29747.0	67996.0	28446.0	26691.0	13794.0	32693.0	33484.0	30343.0	30123.0	25493.0	33451.0	31787.0	31773.0	31676.0	32095.0	35502.0	21956.0	15367.0	29157.0	0.0	28286.0	15419.0	26096.0	26201.0	30130.0	27964.0	33450.0	33922.0	33729.0	28667.0	34631.0	23423.0	32147.0	28575.0	34632.0	34384.0
HMP_2012__SRS022077__bin.54	37525.0	34650.0	32245.0	35387.0	34206.0	80391.0	20308.0	32566.0	17952.0	37611.0	39961.0	30492.0	32804.0	30011.0	39212.0	34879.0	37940.0	37591.0	39226.0	41553.0	6174.0	37528.0	34113.0	28286.0	0.0	36810.0	30074.0	25785.0	35739.0	30908.0	40437.0	42869.0	39118.0	34844.0	41390.0	7107.0	37766.0	31801.0	40408.0	40630.0
HMP_2012__SRS024081__bin.1	39629.0	40148.0	34700.0	36310.0	36732.0	81859.0	34809.0	32297.0	17687.0	40168.0	40950.0	36192.0	34928.0	30278.0	40678.0	40622.0	39127.0	38889.0	40295.0	41677.0	26366.0	520.0	35251.0	15419.0	36810.0	0.0	31787.0	32147.0	37952.0	34292.0	40984.0	43034.0	41481.0	35730.0	42703.0	29075.0	39814.0	35025.0	42864.0	42055.0
HMP_2012__SRS063288__bin.38	32687.0	31838.0	3459.0	30195.0	29301.0	64436.0	29758.0	29373.0	15758.0	33320.0	33902.0	30142.0	30311.0	24427.0	34348.0	32759.0	31174.0	31762.0	33038.0	37368.0	22374.0	32256.0	28605.0	26096.0	30074.0	31787.0	0.0	25461.0	3241.0	30013.0	34048.0	34134.0	33459.0	29749.0	35290.0	24333.0	2770.0	30342.0	34401.0	33893.0
HMP_2012__SRS015797__bin.56	31973.0	30955.0	28919.0	31469.0	31926.0	65585.0	25066.0	27993.0	10650.0	32665.0	33340.0	28235.0	29388.0	28715.0	33175.0	31152.0	31926.0	32231.0	34283.0	34690.0	24703.0	32874.0	33216.0	26201.0	25785.0	32147.0	25461.0	0.0	32561.0	30831.0	33427.0	34470.0	32422.0	31215.0	35273.0	26068.0	32986.0	29034.0	33242.0	33920.0
HMP_2012__SRS011115__bin.9	38282.0	38122.0	712.0	37407.0	38971.0	75529.0	35049.0	32780.0	16341.0	39546.0	38767.0	34605.0	33956.0	32232.0	39269.0	39146.0	36258.0	35977.0	40105.0	39323.0	29025.0	38014.0	36611.0	30130.0	35739.0	37952.0	3241.0	32561.0	0.0	39343.0	40390.0	40651.0	38794.0	35314.0	42032.0	31621.0	1758.0	36579.0	39649.0	40309.0
HMP_2012__SRS017209__bin.19	37501.0	35477.0	33118.0	34744.0	38276.0	75930.0	29376.0	31407.0	15159.0	38404.0	39921.0	32815.0	33847.0	32498.0	38697.0	36278.0	35466.0	36056.0	38345.0	38530.0	24825.0	34455.0	35328.0	27964.0	30908.0	34292.0	30013.0	30831.0	39343.0	0.0	38584.0	41690.0	39306.0	32920.0	41364.0	26945.0	38876.0	475.0	39871.0	39455.0
HMP_2012__SRS014573__bin.65	40921.0	40644.0	36427.0	40297.0	36138.0	84826.0	38045.0	36242.0	17890.0	38845.0	39765.0	37738.0	36770.0	30508.0	39759.0	41287.0	40495.0	41153.0	42243.0	44118.0	29360.0	42072.0	675.0	33450.0	40437.0	40984.0	34048.0	33427.0	40390.0	38584.0	0.0	41879.0	39387.0	39663.0	41138.0	31435.0	42387.0	39910.0	41418.0	40527.0
CM_cf__CF_TNFC046IS_t2M15__bin.39	43338.0	42595.0	37028.0	42817.0	33148.0	87239.0	39970.0	35663.0	19384.0	36148.0	39092.0	40440.0	37859.0	29207.0	37402.0	43633.0	39743.0	42764.0	46700.0	44631.0	30784.0	44151.0	35943.0	33922.0	42869.0	43034.0	34134.0	34470.0	40651.0	41690.0	41879.0	0.0	35536.0	42335.0	37190.0	33358.0	43050.0	42834.0	36410.0	39462.0
HMP_2012__SRS023958__bin.2	40545.0	40231.0	36898.0	40589.0	23438.0	85089.0	38323.0	33993.0	18319.0	23956.0	37356.0	38533.0	37263.0	27586.0	24973.0	40851.0	38320.0	41296.0	43696.0	43576.0	29019.0	42740.0	34437.0	33729.0	39118.0	41481.0	33459.0	32422.0	38794.0	39306.0	39387.0	35536.0	0.0	39992.0	25635.0	31891.0	41493.0	40228.0	542.0	34858.0
HMP_2012__SRS015762__bin.51	37991.0	37287.0	32843.0	374.0	35092.0	82069.0	33043.0	33559.0	17875.0	39180.0	41002.0	34538.0	34592.0	31351.0	40720.0	37825.0	37165.0	35970.0	38997.0	39904.0	26519.0	36097.0	34477.0	28667.0	34844.0	35730.0	29749.0	31215.0	35314.0	32920.0	39663.0	42335.0	39992.0	0.0	42905.0	28432.0	36683.0	34191.0	41021.0	41525.0
HMP_2012__SRS017439__bin.21	43272.0	42554.0	38953.0	43474.0	25374.0	86602.0	39111.0	36498.0	19842.0	23797.0	38211.0	40624.0	37525.0	28939.0	24713.0	43561.0	40611.0	43617.0	45897.0	45334.0	31164.0	43765.0	36198.0	34631.0	41390.0	42703.0	35290.0	35273.0	42032.0	41364.0	41138.0	37190.0	25635.0	42905.0	0.0	34028.0	44679.0	42384.0	26525.0	37406.0
HMP_2012__SRS013705__bin.34	28640.0	29483.0	26737.0	28745.0	31701.0	62857.0	19132.0	25818.0	9255.0	31516.0	31524.0	26518.0	25793.0	29105.0	31858.0	30442.0	30011.0	29649.0	31014.0	32753.0	114.0	29413.0	30902.0	23423.0	7107.0	29075.0	24333.0	26068.0	31621.0	26945.0	31435.0	33358.0	31891.0	28432.0	34028.0	0.0	30700.0	26202.0	32548.0	32976.0
HMP_2012__SRS022530__bin.50	40761.0	39920.0	1934.0	38562.0	39014.0	82543.0	36160.0	35678.0	18721.0	41455.0	41844.0	36566.0	36130.0	31432.0	42393.0	40992.0	38142.0	38665.0	41911.0	43105.0	28222.0	40203.0	36330.0	32147.0	37766.0	39814.0	2770.0	32986.0	1758.0	38876.0	42387.0	43050.0	41493.0	36683.0	44679.0	30700.0	0.0	38857.0	43108.0	42555.0
HMP_2012__SRS050669__bin.55	38172.0	36533.0	33861.0	35607.0	36002.0	80824.0	29305.0	32814.0	16957.0	37961.0	40790.0	33901.0	34652.0	30343.0	39306.0	37292.0	36196.0	37113.0	39322.0	40800.0	23265.0	35603.0	33463.0	28575.0	31801.0	35025.0	30342.0	29034.0	36579.0	475.0	39910.0	42834.0	40228.0	34191.0	42384.0	26202.0	38857.0	0.0	41045.0	40517.0
HMP_2012__SRS013164__bin.43	41766.0	41574.0	37372.0	41580.0	24073.0	86038.0	39266.0	34757.0	19258.0	24834.0	38690.0	39116.0	38483.0	28459.0	25887.0	42535.0	40348.0	42141.0	44902.0	44545.0	30157.0	44283.0	35564.0	34632.0	40408.0	42864.0	34401.0	33242.0	39649.0	39871.0	41418.0	36410.0	542.0	41021.0	26525.0	32548.0	43108.0	41045.0	0.0	35218.0
HMP_2012__SRS018739__bin.68	42562.0	41282.0	37061.0	45384.0	33982.0	86450.0	39253.0	35365.0	19291.0	35457.0	42623.0	39608.0	37963.0	29767.0	36165.0	41834.0	38090.0	43277.0	45606.0	44647.0	30896.0	43348.0	35584.0	34384.0	40630.0	42055.0	33893.0	33920.0	40309.0	39455.0	40527.0	39462.0	34858.0	41525.0	37406.0	32976.0	42555.0	40517.0	35218.0	0.0
