	SchirmerM_2016__G88826__bin.15	LeChatelierE_2013__MH0125__bin.25	CM_madagascar__A27_02_1FE__bin.18	LeChatelierE_2013__MH0077__bin.23	XieH_2016__YSZC12003_37583__bin.34	SchirmerM_2016__G88820__bin.25	SchirmerM_2016__G88863__bin.21	LeChatelierE_2013__MH0431__bin.18	ZeeviD_2015__PNP_Main_640__bin.3	LeChatelierE_2013__MH0111__bin.22	VatanenT_2016__G69170__bin.2	KarlssonFH_2013__S198__bin.15	LiJ_2014__MH0364__bin.50	BritoIL_2016__W1.9.ST__bin.62	ZeeviD_2015__PNP_Main_749__bin.39	VatanenT_2016__G80409__bin.3	ZeeviD_2015__PNP_Main_82__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.47	FengQ_2015__SID532779__bin.88	SchirmerM_2016__G89093__bin.27	ZeeviD_2015__PNP_Main_25__bin.9	NielsenHB_2014__O2_UC57_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.85	ZeeviD_2015__PNP_DietIntervention_35__bin.69	ZeeviD_2015__PNP_Validation_33__bin.5	NielsenHB_2014__O2_UC57_0__bin.17	ZeeviD_2015__PNP_Main_409__bin.44	CosteaPI_2017__SID713B040-11-0-0__bin.75	ChengpingW_2017__AS9raw__bin.10	ZeeviD_2015__PNP_Main_359__bin.26	CM_madagascar__V30_01_1FE__bin.40	NielsenHB_2014__MH0111__bin.30	NielsenHB_2014__V1_UC43_0__bin.58	CM_madagascar__A42_02_1FE__bin.10	NielsenHB_2014__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.85	LiJ_2017__H2M514903__bin.46	ZeeviD_2015__PNP_Main_40__bin.3	LeChatelierE_2013__MH0161__bin.61	LeChatelierE_2013__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.62	CosteaPI_2017__SID713A057-11-0-0__bin.57	SchirmerM_2016__G89251__bin.2	LiJ_2017__H1M513730__bin.47
VatanenT_2016__G69170__bin.2	32551.0	32520.0	54545.0	37173.0	37968.0	35945.0	21052.0	31995.0	33779.0	33960.0	0.0	35884.0	33919.0	29898.0	35216.0	38465.0	35698.0	38493.0	39610.0	27905.0	36110.0	34781.0	37658.0	36201.0	37273.0	34618.0	33555.0	35450.0	51942.0	36997.0	47703.0	31088.0	39662.0	42262.0	40227.0	33937.0	37772.0	37193.0	29413.0	47747.0	35123.0	35559.0	28125.0	45866.0
KarlssonFH_2013__S198__bin.15	29788.0	29537.0	51821.0	35613.0	33868.0	34173.0	17936.0	29499.0	32378.0	33623.0	35884.0	0.0	32145.0	28943.0	32835.0	36141.0	32883.0	39608.0	33158.0	26907.0	34540.0	33530.0	35994.0	32116.0	36956.0	32024.0	31721.0	35053.0	46062.0	34225.0	46532.0	28663.0	37962.0	36371.0	34548.0	35841.0	33465.0	35304.0	34138.0	42533.0	38795.0	35540.0	29430.0	44330.0
LiJ_2014__MH0364__bin.50	29987.0	23066.0	51498.0	34589.0	34475.0	35717.0	19946.0	26435.0	31586.0	30757.0	33919.0	32145.0	0.0	29571.0	31933.0	32891.0	33807.0	36716.0	36641.0	26581.0	34216.0	30437.0	35851.0	30931.0	34697.0	31389.0	32902.0	35350.0	45232.0	32800.0	47039.0	29413.0	36845.0	34915.0	34460.0	33972.0	35247.0	34287.0	33886.0	43422.0	35492.0	34707.0	26950.0	44697.0
BritoIL_2016__W1.9.ST__bin.62	25535.0	25438.0	40310.0	31310.0	32460.0	29727.0	16185.0	24418.0	26286.0	28450.0	29898.0	28943.0	29571.0	0.0	28278.0	31445.0	28834.0	29611.0	31206.0	24293.0	31094.0	27782.0	31724.0	28313.0	31966.0	27559.0	31133.0	30684.0	36840.0	29781.0	38413.0	27520.0	33417.0	27456.0	29535.0	31445.0	27886.0	30806.0	29472.0	35983.0	30711.0	30642.0	24364.0	36546.0
ZeeviD_2015__PNP_Main_749__bin.39	28606.0	30038.0	51066.0	34470.0	33934.0	32737.0	18902.0	27680.0	30786.0	32888.0	35216.0	32835.0	31933.0	28278.0	0.0	34522.0	32506.0	35946.0	35292.0	26286.0	33517.0	31119.0	36577.0	31176.0	35172.0	32366.0	32831.0	34693.0	46295.0	9885.0	45793.0	31531.0	38274.0	37728.0	33566.0	34074.0	36263.0	34470.0	33750.0	41980.0	35125.0	34492.0	28718.0	44083.0
VatanenT_2016__G80409__bin.3	34380.0	31843.0	55394.0	38402.0	39794.0	37022.0	20372.0	33406.0	34561.0	35817.0	38465.0	36141.0	32891.0	31445.0	34522.0	0.0	36087.0	41713.0	39371.0	28674.0	35408.0	35003.0	39665.0	35209.0	39067.0	34976.0	33812.0	36476.0	53590.0	35273.0	50012.0	31912.0	40077.0	41577.0	41811.0	34241.0	38431.0	37512.0	33591.0	49355.0	35770.0	36561.0	30061.0	48310.0
ZeeviD_2015__PNP_Main_82__bin.1	30413.0	29362.0	48993.0	35468.0	34700.0	34125.0	18981.0	28764.0	31657.0	33106.0	35698.0	32883.0	33807.0	28834.0	32506.0	36087.0	0.0	36220.0	37278.0	27471.0	35787.0	30831.0	38634.0	31639.0	37911.0	31948.0	33209.0	35103.0	45130.0	33224.0	42732.0	31403.0	37295.0	33432.0	35498.0	35533.0	32939.0	35347.0	34188.0	43386.0	36859.0	35058.0	27539.0	43030.0
Bengtsson-PalmeJ_2015__TRAVELRES7__bin.47	32330.0	32419.0	58882.0	38953.0	39117.0	38816.0	21425.0	31926.0	35156.0	38650.0	38493.0	39608.0	36716.0	29611.0	35946.0	41713.0	36220.0	0.0	41151.0	29321.0	37657.0	29821.0	39327.0	36182.0	42522.0	28893.0	36428.0	38741.0	49620.0	37900.0	49442.0	35305.0	33231.0	38280.0	37377.0	38919.0	37020.0	39811.0	37173.0	46267.0	41273.0	39158.0	29657.0	45705.0
FengQ_2015__SID532779__bin.88	32531.0	32984.0	55777.0	39045.0	38936.0	37661.0	14253.0	30042.0	34807.0	37028.0	39610.0	33158.0	36641.0	31206.0	35292.0	39371.0	37278.0	41151.0	0.0	29270.0	38058.0	35414.0	39871.0	34967.0	40866.0	35425.0	36536.0	39284.0	51383.0	36769.0	49613.0	34442.0	41191.0	40496.0	39144.0	37925.0	38305.0	38835.0	38457.0	49691.0	39561.0	39713.0	30142.0	49390.0
SchirmerM_2016__G89093__bin.27	25594.0	24606.0	38572.0	28614.0	28197.0	27632.0	17465.0	23140.0	26114.0	26361.0	27905.0	26907.0	26581.0	24293.0	26286.0	28674.0	27471.0	29321.0	29270.0	0.0	27871.0	26260.0	29173.0	25590.0	29687.0	26293.0	27171.0	27848.0	35757.0	27411.0	35557.0	25172.0	29174.0	29109.0	28838.0	28307.0	25354.0	28206.0	26008.0	34789.0	28862.0	28118.0	22881.0	34883.0
