	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
QinN_2014__LD-23__bin.10	16074.0	21643.0	24018.0	22187.0	39861.0	20253.0	12672.0	34385.0	27603.0	46187.0	0.0	27184.0	19863.0	31999.0	34176.0	34142.0	29579.0	12724.0	14160.0	24299.0	27694.0	44623.0	15491.0	24256.0	28561.0	24552.0	26148.0	50488.0	8889.0	21648.0	38880.0	31331.0	8021.0	24597.0	26147.0	21651.0	46213.0	33035.0	28604.0	18085.0
FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	25832.0	20622.0	38124.0	29228.0	52929.0	27901.0	24758.0	45852.0	38567.0	60588.0	27184.0	0.0	27570.0	45132.0	45525.0	45512.0	38457.0	24809.0	15829.0	37353.0	36716.0	64927.0	23514.0	35156.0	29320.0	23889.0	13473.0	66409.0	19747.0	20583.0	54450.0	39351.0	17708.0	23590.0	35130.0	20861.0	64447.0	31814.0	35991.0	27373.0
ZellerG_2014__CCIS63468405ST-4-0__bin.73	23443.0	11084.0	28417.0	22957.0	36223.0	20857.0	14611.0	30622.0	22641.0	39149.0	19863.0	27570.0	0.0	29490.0	25470.0	25450.0	29875.0	14636.0	20147.0	27841.0	24184.0	47803.0	20840.0	20140.0	28003.0	12011.0	17041.0	41772.0	15359.0	11064.0	37235.0	30086.0	16298.0	11828.0	26417.0	10904.0	42295.0	16303.0	28833.0	16044.0
BackhedF_2015__SID615_B__bin.13	25571.0	20997.0	45252.0	31989.0	55139.0	31917.0	28581.0	31533.0	43578.0	65685.0	31999.0	45132.0	29490.0	0.0	49366.0	49237.0	47489.0	28572.0	25080.0	42958.0	41081.0	64803.0	27696.0	39460.0	45098.0	24051.0	29080.0	69656.0	24400.0	21026.0	55822.0	49210.0	21624.0	24140.0	39606.0	21027.0	65421.0	32799.0	44840.0	30538.0
OlmMR_2017__S2_005_025G1__bin.3	25478.0	47.0	47246.0	33015.0	57641.0	15348.0	52.0	50549.0	233.0	66915.0	34176.0	45525.0	25470.0	49366.0	0.0	129.0	47686.0	149.0	25603.0	44382.0	24793.0	67333.0	27255.0	2472.0	45314.0	159.0	29102.0	73572.0	23111.0	150.0	58460.0	48604.0	21605.0	120.0	40688.0	48.0	66109.0	174.0	45003.0	1209.0
OlmMR_2017__S2_005_028G1__bin.7	25477.0	25.0	47075.0	33047.0	57636.0	15243.0	71.0	50425.0	201.0	66907.0	34142.0	45512.0	25450.0	49237.0	129.0	0.0	47723.0	28.0	25654.0	44351.0	24726.0	67335.0	27204.0	2487.0	45353.0	118.0	29181.0	73504.0	22972.0	140.0	58314.0	48583.0	21562.0	83.0	40747.0	6.0	66125.0	140.0	44815.0	1120.0
QinN_2014__LD-51__bin.65	27118.0	21688.0	42918.0	31529.0	53492.0	31833.0	26215.0	50317.0	40918.0	62498.0	29579.0	38457.0	29875.0	47489.0	47686.0	47723.0	0.0	26416.0	23253.0	38836.0	38957.0	65552.0	25760.0	37454.0	41260.0	24653.0	25598.0	68643.0	19746.0	21750.0	53694.0	12099.0	18558.0	24284.0	38687.0	21628.0	68331.0	32645.0	12597.0	28869.0
OlmMR_2017__S2_005_024G1__bin.10	15264.0	341.0	25875.0	18201.0	30490.0	9296.0	44.0	28354.0	153.0	36791.0	12724.0	24809.0	14636.0	28572.0	149.0	28.0	26416.0	0.0	15745.0	24131.0	16067.0	38014.0	16732.0	1517.0	25121.0	40.0	8539.0	41061.0	21917.0	293.0	33654.0	27066.0	15253.0	304.0	22986.0	283.0	35925.0	294.0	25676.0	719.0
FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	22693.0	9962.0	22104.0	18905.0	31805.0	20581.0	15763.0	26023.0	23258.0	34644.0	14160.0	15829.0	20147.0	25080.0	25603.0	25654.0	23253.0	15745.0	0.0	22585.0	24093.0	44995.0	17622.0	21183.0	6854.0	11015.0	8778.0	38576.0	13515.0	9942.0	34601.0	23142.0	13164.0	10831.0	21692.0	9937.0	40513.0	15390.0	22629.0	17240.0
ZellerG_2014__CCIS59903910ST-4-0__bin.5	25247.0	20588.0	32146.0	29540.0	51510.0	29385.0	24108.0	44930.0	37884.0	60583.0	24299.0	37353.0	27841.0	42958.0	44382.0	44351.0	38836.0	24131.0	22585.0	0.0	37434.0	63995.0	23893.0	34874.0	37597.0	22936.0	24940.0	65407.0	18802.0	21139.0	52952.0	40640.0	15146.0	23005.0	35738.0	20610.0	64306.0	30551.0	37612.0	27793.0
