	HMP_2012__SRS015215__bin.8	HMP_2012__SRS023964__bin.18	HMP_2012__SRS017139__bin.20	HMP_2012__SRS019128__bin.7	HMP_2012__SRS011126__bin.20	HMP_2012__SRS019906__bin.20	HMP_2012__SRS017227__bin.42	HMP_2012__SRS016575__bin.67	HMP_2012__SRS047634__bin.63	HMP_2012__SRS011152__bin.27	HMP_2012__SRS022602__bin.23	HMP_2012__SRS042984__bin.3	HMP_2012__SRS063932__bin.25	HMP_2012__SRS063603__bin.72	HMP_2012__SRS024561__bin.57	HMP_2012__SRS024355__bin.22	HMP_2012__SRS022149__bin.12	HMP_2012__SRS023938__bin.6	HMP_2012__SRS055401__bin.41	HMP_2012__SRS047113__bin.59	HMP_2012__SRS051378__bin.2	HMP_2012__SRS024649__bin.43	HMP_2012__SRS018443__bin.45	HMP_2012__SRS018157__bin.75	HMP_2012__SRS051930__bin.20	HMP_2012__SRS024087__bin.44	HMP_2012__SRS015044__bin.29	HMP_2012__SRS014578__bin.12	HMP_2012__SRS013170__bin.25	HMP_2012__SRS018665__bin.14	HMP_2012__SRS013533__bin.40	HMP_2012__SRS013723__bin.10	HMP_2012__SRS011343__bin.50	HMP_2012__SRS018394__bin.56	HMP_2012__SRS053917__bin.70
HMP_2012__SRS022602__bin.23	1277734.0	2107703.0	2087375.0	1552281.0	1547134.0	1913560.0	1811851.0	1834959.0	1787607.0	2113655.0	2213277.0	2122677.0	1288346.0	1718436.0	1849371.0	1958856.0	2095936.0	1433278.0	1653083.0	1523639.0	1906111.0	1894695.0	1673211.0	1440609.0	1854064.0	1975390.0	1358680.0	1721210.0	1996758.0	1342071.0	1973945.0	1913061.0	1909215.0	1887340.0	1751243.0
HMP_2012__SRS042984__bin.3	1295409.0	2119939.0	2088719.0	1558619.0	1529059.0	1956847.0	1820038.0	1870977.0	1795372.0	2145400.0	2122677.0	2222999.0	1328810.0	1711566.0	1856296.0	1996888.0	2168213.0	1448139.0	1686732.0	1511999.0	1947965.0	1916752.0	1698033.0	1425056.0	1870975.0	2018220.0	1356023.0	1728843.0	1988070.0	1327429.0	2024004.0	1943344.0	1914616.0	1930227.0	1747752.0
HMP_2012__SRS063932__bin.25	862278.0	1291719.0	1277257.0	1053575.0	1041211.0	1302436.0	1217546.0	1265389.0	1192770.0	1315126.0	1288346.0	1328810.0	1381582.0	1120240.0	1219913.0	1264801.0	1300606.0	1014567.0	1138773.0	1033082.0	1287412.0	1224945.0	1121593.0	993646.0	1224914.0	1283576.0	945751.0	1159266.0	1209214.0	888546.0	1305069.0	1254250.0	1230501.0	1249444.0	1169295.0
HMP_2012__SRS063603__bin.72	1182181.0	1714769.0	1670856.0	1414416.0	1418603.0	1643284.0	1593297.0	1595065.0	1581671.0	1713229.0	1718436.0	1711566.0	1120240.0	1949633.0	1616265.0	1640709.0	1690482.0	1270751.0	1487789.0	1398152.0	1637349.0	1653136.0	1482311.0	1299341.0	1690180.0	1682037.0	1319465.0	1528956.0	1633751.0	1274353.0	1739940.0	1695030.0	1690148.0	1670381.0	1569143.0
HMP_2012__SRS024561__bin.57	1195314.0	1848594.0	1783780.0	1566426.0	1595861.0	1927933.0	1831785.0	1788068.0	1774619.0	1854841.0	1849371.0	1856296.0	1219913.0	1616265.0	2008905.0	1750179.0	1834134.0	1354476.0	1609716.0	1578886.0	1928960.0	1733801.0	1541572.0	1451875.0	1729688.0	1796755.0	1313333.0	1681014.0	1722590.0	1280710.0	1826712.0	1769496.0	1748033.0	1720995.0	1766890.0
HMP_2012__SRS024355__bin.22	1243823.0	1960931.0	2017594.0	1517082.0	1473995.0	1834785.0	1758858.0	1789531.0	1745769.0	2003275.0	1958856.0	1996888.0	1264801.0	1640709.0	1750179.0	2092270.0	1976563.0	1408589.0	1631508.0	1447169.0	1835418.0	1782989.0	1606921.0	1399578.0	1796946.0	1881871.0	1293096.0	1665318.0	1851845.0	1280388.0	1884534.0	1851717.0	1813454.0	1812361.0	1670460.0
HMP_2012__SRS022149__bin.12	1281468.0	2095743.0	2094092.0	1524364.0	1513189.0	1934190.0	1799594.0	1850691.0	1777351.0	2124255.0	2095936.0	2168213.0	1300606.0	1690482.0	1834134.0	1976563.0	2194306.0	1427699.0	1668697.0	1486309.0	1926511.0	1892807.0	1686349.0	1404190.0	1851120.0	2005895.0	1328625.0	1713777.0	1985479.0	1306875.0	2004916.0	1924625.0	1895245.0	1908254.0	1728440.0
HMP_2012__SRS023938__bin.6	978395.0	1432022.0	1417650.0	1160163.0	1152471.0	1422037.0	1334374.0	1370088.0	1325919.0	1450298.0	1433278.0	1448139.0	1014567.0	1270751.0	1354476.0	1408589.0	1427699.0	1521349.0	1267091.0	1127930.0	1419294.0	1358375.0	1229641.0	1082778.0	1376807.0	1406633.0	1049072.0	1289328.0	1336055.0	1025757.0	1430451.0	1431343.0	1377148.0	1383324.0	1286709.0
HMP_2012__SRS055401__bin.41	1154706.0	1670106.0	1642822.0	1370324.0	1353333.0	1678375.0	1605472.0	1724109.0	1577766.0	1689399.0	1653083.0	1686732.0	1138773.0	1487789.0	1609716.0	1631508.0	1668697.0	1267091.0	1828103.0	1343073.0	1680372.0	1575727.0	1432032.0	1272185.0	1588219.0	1625217.0	1189622.0	1539352.0	1549992.0	1157859.0	1665733.0	1633715.0	1593324.0	1630012.0	1535731.0
HMP_2012__SRS047113__bin.59	1016048.0	1515177.0	1459949.0	1384493.0	1446001.0	1583905.0	1547108.0	1471231.0	1526428.0	1509636.0	1523639.0	1511999.0	1033082.0	1398152.0	1578886.0	1447169.0	1486309.0	1127930.0	1343073.0	1630810.0	1595481.0	1461444.0	1288260.0	1278004.0	1452024.0	1468946.0	1204985.0	1420477.0	1446259.0	1181722.0	1495478.0	1479650.0	1469398.0	1432352.0	1543384.0
