	QinN_2014__HD-35__bin.38	NielsenHB_2014__MH0063__bin.7	ZeeviD_2015__PNP_Main_643__bin.11	CosteaPI_2017__SID713B014-11-0-0__bin.75	ZeeviD_2015__PNP_Main_393__bin.10	ZeeviD_2015__PNP_Main_256__bin.32	LoombaR_2017__SID0012_qdz__bin.20	LiuW_2016__SRR3993048__bin.89	ChengpingW_2017__AS78raw__bin.26	LiJ_2014__O2.UC24-1__bin.30	ZeeviD_2015__PNP_Main_313__bin.25	WenC_2017__N041__bin.34	CM_madagascar__A91_01_1FE__bin.7	LiJ_2014__MH0402__bin.26	ZeeviD_2015__PNP_Validation_66__bin.3	SchirmerM_2016__G88801__bin.13	BritoIL_2016__M1.3.ST__bin.37	ZeeviD_2015__PNP_Main_597__bin.40	LiJ_2017__H2M614904__bin.68	CosteaPI_2017__SID713B066-11-90-0__bin.49	CosteaPI_2017__SID713A056-11-90-0__bin.34	ZeeviD_2015__PNP_Main_46__bin.29	LiJ_2017__H3M516751__bin.20	CosteaPI_2017__SID713B066-11-0-0__bin.59	ChengpingW_2017__AS67raw__bin.51	CM_madagascar__A39_01_1FE__bin.25	LiuW_2016__SRR3992978__bin.28	ZeeviD_2015__PNP_Main_650__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	LeChatelierE_2013__MH0063__bin.4	XieH_2016__YSZC12003_37100__bin.78	XieH_2016__YSZC12003_37652__bin.105	CosteaPI_2017__SID713A055-11-90-0__bin.41	LiuW_2016__SRR3993017__bin.46	BackhedF_2015__SID335_M__bin.68	CM_madagascar__A08_01_1FE__bin.70	LeChatelierE_2013__MH0430__bin.16	ZeeviD_2015__PNP_Main_634__bin.3	ZeeviD_2015__PNP_Main_107__bin.49	ZeeviD_2015__PNP_Main_438__bin.46	XieH_2016__YSZC12003_35989__bin.106	NielsenHB_2014__O2_UC24_2__bin.22	BritoIL_2016__M2.49.ST__bin.75	CosteaPI_2017__SID713B014-11-90-0__bin.30	BritoIL_2016__M1.15.ST__bin.73	LiuW_2016__SRR3992961__bin.139	CosteaPI_2017__SID713A014-11-0-0__bin.30	LiJ_2017__H1M513729__bin.50	LiJ_2014__MH0357__bin.7
XieH_2016__YSZC12003_37100__bin.78	1368508.0	1170215.0	937323.0	1513805.0	1518657.0	1515037.0	1486631.0	1409812.0	1494599.0	1484283.0	1499152.0	1452717.0	1444417.0	1453955.0	1502131.0	1014663.0	1011506.0	1529474.0	1494375.0	1516694.0	1524298.0	1513457.0	1491371.0	1407575.0	1501836.0	797135.0	1370063.0	1130375.0	1466267.0	1428045.0	1599545.0	1315562.0	1453009.0	1513145.0	1267849.0	1522052.0	1384433.0	1496107.0	1462101.0	1527080.0	1454198.0	1512833.0	1531018.0	1514403.0	1527391.0	1031649.0	1242426.0	749076.0	1519673.0
XieH_2016__YSZC12003_37652__bin.105	1218319.0	1046369.0	850832.0	1344240.0	1343840.0	1330202.0	1323129.0	1267999.0	1332274.0	1326050.0	1315338.0	1296268.0	1279534.0	1292674.0	1324150.0	920273.0	909415.0	1343360.0	1321333.0	1340233.0	1340598.0	1347355.0	1319546.0	1249818.0	1341060.0	736193.0	1243667.0	1000235.0	1301384.0	1260745.0	1315562.0	1409215.0	1287762.0	1350466.0	1129011.0	1342274.0	1244629.0	1326383.0	1303396.0	1344262.0	1287844.0	1329658.0	1343267.0	1343171.0	1335565.0	956242.0	1145754.0	693440.0	1344351.0
CosteaPI_2017__SID713A055-11-90-0__bin.41	1341010.0	1145106.0	921028.0	1543572.0	1549220.0	1516787.0	1468112.0	1389793.0	1502291.0	1478435.0	1485401.0	1444213.0	1410106.0	1456205.0	1504930.0	995163.0	981318.0	1552316.0	1499541.0	1539126.0	1551155.0	1534078.0	1520111.0	1430526.0	1515788.0	794780.0	1360741.0	1104501.0	1481758.0	1416078.0	1453009.0	1287762.0	1742072.0	1525335.0	1228738.0	1540434.0	1357586.0	1526077.0	1461430.0	1558711.0	1445658.0	1501080.0	1537946.0	1526773.0	1532102.0	1010272.0	1224831.0	733144.0	1528586.0
LiuW_2016__SRR3993017__bin.46	1405006.0	1182963.0	950817.0	1609507.0	1566710.0	1566874.0	1591448.0	1470964.0	1557785.0	1582525.0	1557681.0	1519721.0	1463159.0	1511634.0	1570805.0	1034250.0	1028540.0	1600699.0	1556968.0	1586354.0	1616703.0	1589990.0	1555992.0	1465243.0	1593371.0	825101.0	1458752.0	1156952.0	1535939.0	1464626.0	1513145.0	1350466.0	1525335.0	1773878.0	1290689.0	1579581.0	1433457.0	1570145.0	1527744.0	1598664.0	1500780.0	1616135.0	1596604.0	1604757.0	1587662.0	1050443.0	1285244.0	766160.0	1583156.0
BackhedF_2015__SID335_M__bin.68	1168414.0	1013943.0	817134.0	1304395.0	1292424.0	1290315.0	1260469.0	1214449.0	1281007.0	1261160.0	1268460.0	1252033.0	1226882.0	1226159.0	1281038.0	873628.0	892796.0	1309996.0	1275742.0	1297107.0	1313266.0	1289288.0	1276249.0	1200994.0	1291934.0	709347.0	1185228.0	971961.0	1236638.0	1205694.0	1267849.0	1129011.0	1228738.0	1290689.0	1392442.0	1303742.0	1199942.0	1274688.0	1237977.0	1310626.0	1244304.0	1286964.0	1312311.0	1304888.0	1292987.0	895817.0	1090085.0	662092.0	1291580.0
CM_madagascar__A08_01_1FE__bin.70	1410958.0	1195706.0	968226.0	1644815.0	1597083.0	1599087.0	1534110.0	1436555.0	1592361.0	1569407.0	1550191.0	1519029.0	1497376.0	1496196.0	1590676.0	1030856.0	1042978.0	1623452.0	1560943.0	1588610.0	1626306.0	1604669.0	1587553.0	1481243.0	1594862.0	826502.0	1420386.0	1149211.0	1519964.0	1466031.0	1522052.0	1342274.0	1540434.0	1579581.0	1303742.0	1816364.0	1412214.0	1580490.0	1515046.0	1616102.0	1516380.0	1566956.0	1619959.0	1621411.0	1615985.0	1045281.0	1292437.0	767071.0	1591866.0
LeChatelierE_2013__MH0430__bin.16	1281394.0	1110485.0	887444.0	1406592.0	1417448.0	1397711.0	1397410.0	1341535.0	1388555.0	1404071.0	1376840.0	1351951.0	1348786.0	1368650.0	1389474.0	966208.0	953584.0	1420469.0	1375817.0	1406063.0	1417682.0	1405942.0	1389796.0	1302108.0	1388617.0	769330.0	1309581.0	1036530.0	1375903.0	1328227.0	1384433.0	1244629.0	1357586.0	1433457.0	1199942.0	1412214.0	1463501.0	1398925.0	1383319.0	1420499.0	1347437.0	1425541.0	1416583.0	1398472.0	1403186.0	987047.0	1180210.0	698458.0	1411416.0
ZeeviD_2015__PNP_Main_634__bin.3	1387275.0	1180458.0	964212.0	1586819.0	1591494.0	1567058.0	1522042.0	1428392.0	1552124.0	1523782.0	1541906.0	1493799.0	1442954.0	1483691.0	1564856.0	1018446.0	1022263.0	1623019.0	1530073.0	1587621.0	1616693.0	1588898.0	1548804.0	1471741.0	1565971.0	819633.0	1400813.0	1127115.0	1512321.0	1447394.0	1496107.0	1326383.0	1526077.0	1570145.0	1274688.0	1580490.0	1398925.0	1699067.0	1500964.0	1617715.0	1484091.0	1544866.0	1584732.0	1576428.0	1573443.0	1031919.0	1264137.0	759955.0	1590936.0
ZeeviD_2015__PNP_Main_107__bin.49	1359515.0	1188140.0	933910.0	1518278.0	1523210.0	1497524.0	1483362.0	1388644.0	1506600.0	1488514.0	1487951.0	1443821.0	1439231.0	1519137.0	1493595.0	1043373.0	988729.0	1528616.0	1495468.0	1523967.0	1521435.0	1516523.0	1477039.0	1408369.0	1510708.0	804907.0	1384971.0	1096927.0	1540099.0	1468903.0	1462101.0	1303396.0	1461430.0	1527744.0	1237977.0	1515046.0	1383319.0	1500964.0	1607457.0	1526475.0	1443470.0	1516564.0	1516262.0	1517207.0	1510586.0	1022859.0	1247536.0	752054.0	1511825.0
ZeeviD_2015__PNP_Main_438__bin.46	1423487.0	1195720.0	978143.0	1618943.0	1617896.0	1617613.0	1548093.0	1451385.0	1582942.0	1548932.0	1566245.0	1525782.0	1473844.0	1503435.0	1587877.0	1034697.0	1042505.0	1706468.0	1564555.0	1620314.0	1683850.0	1619218.0	1574077.0	1487505.0	1610871.0	828841.0	1429208.0	1158286.0	1530795.0	1473426.0	1527080.0	1344262.0	1558711.0	1598664.0	1310626.0	1616102.0	1420499.0	1617715.0	1526475.0	1751782.0	1523999.0	1576656.0	1645774.0	1618123.0	1633161.0	1045512.0	1287645.0	768115.0	1633071.0
XieH_2016__YSZC12003_35989__bin.106	1391934.0	1153976.0	937266.0	1574765.0	1502547.0	1524635.0	1453681.0	1397779.0	1513306.0	1466064.0	1475009.0	1478467.0	1397567.0	1431588.0	1518610.0	988820.0	997556.0	1511337.0	1526871.0	1506525.0	1515658.0	1508329.0	1507377.0	1390890.0	1553840.0	782301.0	1338534.0	1111677.0	1449069.0	1402422.0	1454198.0	1287844.0	1445658.0	1500780.0	1244304.0	1516380.0	1347437.0	1484091.0	1443470.0	1523999.0	1599914.0	1475918.0	1522598.0	1573893.0	1507108.0	1007196.0	1233382.0	737736.0	1504827.0
NielsenHB_2014__O2_UC24_2__bin.22	1374824.0	1176165.0	948144.0	1566715.0	1565558.0	1554364.0	1551379.0	1438928.0	1525824.0	1611172.0	1525129.0	1481086.0	1462904.0	1502415.0	1551935.0	1026379.0	1017206.0	1579851.0	1531920.0	1559966.0	1590594.0	1558291.0	1524896.0	1449531.0	1551792.0	821736.0	1449354.0	1142191.0	1526372.0	1454385.0	1512833.0	1329658.0	1501080.0	1616135.0	1286964.0	1566956.0	1425541.0	1544866.0	1516564.0	1576656.0	1475918.0	1733287.0	1584634.0	1565157.0	1559103.0	1033785.0	1274140.0	753528.0	1555680.0
BritoIL_2016__M2.49.ST__bin.75	1439286.0	1206063.0	969142.0	1634132.0	1596704.0	1653784.0	1544895.0	1450278.0	1620606.0	1552080.0	1574602.0	1534439.0	1484234.0	1496056.0	1596545.0	1035532.0	1062328.0	1631312.0	1571032.0	1614936.0	1641469.0	1608801.0	1571697.0	1487409.0	1609869.0	828169.0	1426105.0	1147492.0	1532031.0	1468405.0	1531018.0	1343267.0	1537946.0	1596604.0	1312311.0	1619959.0	1416583.0	1584732.0	1516262.0	1645774.0	1522598.0	1584634.0	1801220.0	1633255.0	1678927.0	1047360.0	1288627.0	766033.0	1604342.0
CosteaPI_2017__SID713B014-11-90-0__bin.30	1446178.0	1191675.0	967054.0	1783955.0	1581311.0	1599601.0	1539915.0	1449109.0	1643735.0	1549569.0	1563165.0	1594358.0	1466866.0	1499816.0	1584404.0	1032000.0	1046962.0	1613792.0	1652931.0	1600444.0	1640782.0	1600171.0	1584698.0	1484261.0	1686817.0	821161.0	1414200.0	1174112.0	1524541.0	1480757.0	1514403.0	1343171.0	1526773.0	1604757.0	1304888.0	1621411.0	1398472.0	1576428.0	1517207.0	1618123.0	1573893.0	1565157.0	1633255.0	1786626.0	1608493.0	1040548.0	1306181.0	773763.0	1585185.0
BritoIL_2016__M1.15.ST__bin.73	1416210.0	1184363.0	957970.0	1608801.0	1587261.0	1646235.0	1534092.0	1432810.0	1574803.0	1534851.0	1551367.0	1514313.0	1482119.0	1492036.0	1577157.0	1031502.0	1046265.0	1618418.0	1559764.0	1598359.0	1613756.0	1593373.0	1566786.0	1477592.0	1596735.0	823725.0	1413138.0	1150317.0	1522109.0	1463980.0	1527391.0	1335565.0	1532102.0	1587662.0	1292987.0	1615985.0	1403186.0	1573443.0	1510586.0	1633161.0	1507108.0	1559103.0	1678927.0	1608493.0	1724452.0	1039774.0	1279570.0	761403.0	1590047.0
LiuW_2016__SRR3992961__bin.139	975849.0	821734.0	666172.0	1040689.0	1046763.0	1030151.0	1040309.0	1020969.0	1030456.0	1018907.0	1027627.0	1007929.0	1015734.0	1012109.0	1023211.0	742686.0	724579.0	1045934.0	1027208.0	1045896.0	1041385.0	1043837.0	1036471.0	970265.0	1038477.0	635253.0	1019979.0	802251.0	1024657.0	995354.0	1031649.0	956242.0	1010272.0	1050443.0	895817.0	1045281.0	987047.0	1031919.0	1022859.0	1045512.0	1007196.0	1033785.0	1047360.0	1040548.0	1039774.0	1134274.0	950524.0	604586.0	1047173.0
CosteaPI_2017__SID713A014-11-0-0__bin.30	1164510.0	990783.0	805321.0	1306107.0	1283412.0	1278680.0	1263252.0	1209613.0	1290544.0	1255752.0	1259689.0	1245486.0	1234490.0	1238023.0	1270296.0	884977.0	882789.0	1287822.0	1281684.0	1282532.0	1290286.0	1284002.0	1259347.0	1192441.0	1296850.0	759295.0	1236764.0	990193.0	1246844.0	1214134.0	1242426.0	1145754.0	1224831.0	1285244.0	1090085.0	1292437.0	1180210.0	1264137.0	1247536.0	1287645.0	1233382.0	1274140.0	1288627.0	1306181.0	1279570.0	950524.0	1337322.0	731424.0	1284256.0
LiJ_2017__H1M513729__bin.50	692302.0	551660.0	507197.0	773784.0	764231.0	762383.0	754966.0	724928.0	764444.0	739478.0	762421.0	740236.0	744234.0	744571.0	761689.0	540409.0	517543.0	768467.0	764143.0	766789.0	768461.0	768801.0	756504.0	712731.0	776986.0	504470.0	744156.0	631441.0	746558.0	735105.0	749076.0	693440.0	733144.0	766160.0	662092.0	767071.0	698458.0	759955.0	752054.0	768115.0	737736.0	753528.0	766033.0	773763.0	761403.0	604586.0	731424.0	787300.0	767684.0
LiJ_2014__MH0357__bin.7	1407892.0	1194330.0	974253.0	1586222.0	1585734.0	1588815.0	1535090.0	1445703.0	1565320.0	1538186.0	1547101.0	1511652.0	1460917.0	1488594.0	1566899.0	1033220.0	1034849.0	1639613.0	1549225.0	1583174.0	1621221.0	1595450.0	1552218.0	1462801.0	1579644.0	828669.0	1418116.0	1143184.0	1516147.0	1463586.0	1519673.0	1344351.0	1528586.0	1583156.0	1291580.0	1591866.0	1411416.0	1590936.0	1511825.0	1633071.0	1504827.0	1555680.0	1604342.0	1585185.0	1590047.0	1047173.0	1284256.0	767684.0	1659110.0
