	QinN_2014__HD-35__bin.38	NielsenHB_2014__MH0063__bin.7	ZeeviD_2015__PNP_Main_643__bin.11	CosteaPI_2017__SID713B014-11-0-0__bin.75	ZeeviD_2015__PNP_Main_393__bin.10	ZeeviD_2015__PNP_Main_256__bin.32	LoombaR_2017__SID0012_qdz__bin.20	LiuW_2016__SRR3993048__bin.89	ChengpingW_2017__AS78raw__bin.26	LiJ_2014__O2.UC24-1__bin.30	ZeeviD_2015__PNP_Main_313__bin.25	WenC_2017__N041__bin.34	CM_madagascar__A91_01_1FE__bin.7	LiJ_2014__MH0402__bin.26	ZeeviD_2015__PNP_Validation_66__bin.3	SchirmerM_2016__G88801__bin.13	BritoIL_2016__M1.3.ST__bin.37	ZeeviD_2015__PNP_Main_597__bin.40	LiJ_2017__H2M614904__bin.68	CosteaPI_2017__SID713B066-11-90-0__bin.49	CosteaPI_2017__SID713A056-11-90-0__bin.34	ZeeviD_2015__PNP_Main_46__bin.29	LiJ_2017__H3M516751__bin.20	CosteaPI_2017__SID713B066-11-0-0__bin.59	ChengpingW_2017__AS67raw__bin.51	CM_madagascar__A39_01_1FE__bin.25	LiuW_2016__SRR3992978__bin.28	ZeeviD_2015__PNP_Main_650__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	LeChatelierE_2013__MH0063__bin.4	XieH_2016__YSZC12003_37100__bin.78	XieH_2016__YSZC12003_37652__bin.105	CosteaPI_2017__SID713A055-11-90-0__bin.41	LiuW_2016__SRR3993017__bin.46	BackhedF_2015__SID335_M__bin.68	CM_madagascar__A08_01_1FE__bin.70	LeChatelierE_2013__MH0430__bin.16	ZeeviD_2015__PNP_Main_634__bin.3	ZeeviD_2015__PNP_Main_107__bin.49	ZeeviD_2015__PNP_Main_438__bin.46	XieH_2016__YSZC12003_35989__bin.106	NielsenHB_2014__O2_UC24_2__bin.22	BritoIL_2016__M2.49.ST__bin.75	CosteaPI_2017__SID713B014-11-90-0__bin.30	BritoIL_2016__M1.15.ST__bin.73	LiuW_2016__SRR3992961__bin.139	CosteaPI_2017__SID713A014-11-0-0__bin.30	LiJ_2017__H1M513729__bin.50	LiJ_2014__MH0357__bin.7
ZeeviD_2015__PNP_Main_313__bin.25	1399446.0	1180028.0	948032.0	1566863.0	1532275.0	1550715.0	1492627.0	1414296.0	1520269.0	1488394.0	1641853.0	1481106.0	1449406.0	1467388.0	1570655.0	1012932.0	1016144.0	1559045.0	1518707.0	1554182.0	1568086.0	1555878.0	1524488.0	1438300.0	1557646.0	812200.0	1382541.0	1117403.0	1485814.0	1443697.0	1499152.0	1315338.0	1485401.0	1557681.0	1268460.0	1550191.0	1376840.0	1541906.0	1487951.0	1566245.0	1475009.0	1525129.0	1574602.0	1563165.0	1551367.0	1027627.0	1259689.0	762421.0	1547101.0
WenC_2017__N041__bin.34	1375528.0	1158000.0	936210.0	1597098.0	1500642.0	1501726.0	1472587.0	1386976.0	1544427.0	1480943.0	1481106.0	1631751.0	1403766.0	1423212.0	1494268.0	995885.0	1014758.0	1525330.0	1542393.0	1506872.0	1524902.0	1515809.0	1512753.0	1416459.0	1581521.0	790511.0	1358426.0	1123058.0	1443184.0	1412913.0	1452717.0	1296268.0	1444213.0	1519721.0	1252033.0	1519029.0	1351951.0	1493799.0	1443821.0	1525782.0	1478467.0	1481086.0	1534439.0	1594358.0	1514313.0	1007929.0	1245486.0	740236.0	1511652.0
CM_madagascar__A91_01_1FE__bin.7	1326578.0	1141280.0	913661.0	1467318.0	1477114.0	1465049.0	1443096.0	1365160.0	1447891.0	1439721.0	1449406.0	1403766.0	1564546.0	1420438.0	1460116.0	997467.0	983485.0	1473273.0	1448916.0	1466891.0	1471928.0	1467687.0	1446410.0	1369046.0	1463050.0	806520.0	1355987.0	1081414.0	1435487.0	1401748.0	1444417.0	1279534.0	1410106.0	1463159.0	1226882.0	1497376.0	1348786.0	1442954.0	1439231.0	1473844.0	1397567.0	1462904.0	1484234.0	1466866.0	1482119.0	1015734.0	1234490.0	744234.0	1460917.0
LiJ_2014__MH0402__bin.26	1337180.0	1178527.0	923869.0	1500060.0	1500333.0	1480124.0	1473568.0	1381012.0	1477763.0	1469348.0	1467388.0	1423212.0	1420438.0	1583480.0	1479776.0	1028778.0	983899.0	1500934.0	1471278.0	1493557.0	1505318.0	1503213.0	1467257.0	1390404.0	1488233.0	802032.0	1373748.0	1098675.0	1522733.0	1462180.0	1453955.0	1292674.0	1456205.0	1511634.0	1226159.0	1496196.0	1368650.0	1483691.0	1519137.0	1503435.0	1431588.0	1502415.0	1496056.0	1499816.0	1492036.0	1012109.0	1238023.0	744571.0	1488594.0
ZeeviD_2015__PNP_Validation_66__bin.3	1393208.0	1180934.0	956987.0	1587343.0	1574537.0	1590623.0	1514583.0	1428594.0	1547548.0	1518669.0	1570655.0	1494268.0	1460116.0	1479776.0	1792932.0	1018962.0	1027376.0	1590164.0	1536095.0	1565002.0	1583497.0	1579646.0	1551987.0	1464815.0	1568725.0	818436.0	1392241.0	1125764.0	1613239.0	1446809.0	1502131.0	1324150.0	1504930.0	1570805.0	1281038.0	1590676.0	1389474.0	1564856.0	1493595.0	1587877.0	1518610.0	1551935.0	1596545.0	1584404.0	1577157.0	1023211.0	1270296.0	761689.0	1566899.0
SchirmerM_2016__G88801__bin.13	935258.0	843239.0	667075.0	1031326.0	1037570.0	1021913.0	1018353.0	973715.0	1021010.0	1018013.0	1012932.0	995885.0	997467.0	1028778.0	1018962.0	1189622.0	701613.0	1034177.0	1015237.0	1030004.0	1031902.0	1025726.0	1015791.0	951593.0	1025403.0	593500.0	974246.0	796805.0	1056395.0	993759.0	1014663.0	920273.0	995163.0	1034250.0	873628.0	1030856.0	966208.0	1018446.0	1043373.0	1034697.0	988820.0	1026379.0	1035532.0	1032000.0	1031502.0	742686.0	884977.0	540409.0	1033220.0
BritoIL_2016__M1.3.ST__bin.37	946821.0	816061.0	681017.0	1047327.0	1037686.0	1041965.0	1018823.0	977794.0	1037648.0	1003655.0	1016144.0	1014758.0	983485.0	983899.0	1027376.0	701613.0	1091644.0	1042808.0	1026760.0	1040184.0	1035489.0	1031533.0	1029755.0	977084.0	1035639.0	566828.0	958605.0	794753.0	992670.0	964838.0	1011506.0	909415.0	981318.0	1028540.0	892796.0	1042978.0	953584.0	1022263.0	988729.0	1042505.0	997556.0	1017206.0	1062328.0	1046962.0	1046265.0	724579.0	882789.0	517543.0	1034849.0
ZeeviD_2015__PNP_Main_597__bin.40	1412997.0	1195741.0	978631.0	1616283.0	1619189.0	1612090.0	1552649.0	1450501.0	1581327.0	1553674.0	1559045.0	1525330.0	1473273.0	1500934.0	1590164.0	1034177.0	1042808.0	1769809.0	1563489.0	1615925.0	1675142.0	1618823.0	1569489.0	1490690.0	1600138.0	829031.0	1433366.0	1158354.0	1531817.0	1471993.0	1529474.0	1343360.0	1552316.0	1600699.0	1309996.0	1623452.0	1420469.0	1623019.0	1528616.0	1706468.0	1511337.0	1579851.0	1631312.0	1613792.0	1618418.0	1045934.0	1287822.0	768467.0	1639613.0
LiJ_2017__H2M614904__bin.68	1421229.0	1178610.0	952043.0	1644503.0	1552339.0	1541252.0	1506198.0	1416012.0	1576612.0	1514278.0	1518707.0	1542393.0	1448916.0	1471278.0	1536095.0	1015237.0	1026760.0	1563489.0	1680616.0	1554718.0	1561659.0	1555558.0	1526885.0	1466183.0	1625731.0	809222.0	1393374.0	1136202.0	1502589.0	1479001.0	1494375.0	1321333.0	1499541.0	1556968.0	1275742.0	1560943.0	1375817.0	1530073.0	1495468.0	1564555.0	1526871.0	1531920.0	1571032.0	1652931.0	1559764.0	1027208.0	1281684.0	764143.0	1549225.0
CosteaPI_2017__SID713B066-11-90-0__bin.49	1406766.0	1188522.0	964883.0	1600057.0	1597361.0	1593800.0	1526244.0	1440306.0	1560048.0	1524256.0	1554182.0	1506872.0	1466891.0	1493557.0	1565002.0	1030004.0	1040184.0	1615925.0	1554718.0	1731698.0	1628289.0	1585158.0	1549687.0	1571728.0	1590061.0	828903.0	1416168.0	1153116.0	1526502.0	1431413.0	1516694.0	1340233.0	1539126.0	1586354.0	1297107.0	1588610.0	1406063.0	1587621.0	1523967.0	1620314.0	1506525.0	1559966.0	1614936.0	1600444.0	1598359.0	1045896.0	1282532.0	766789.0	1583174.0
