	NielsenHB_2014__O2_UC16_2__bin.27	QinN_2014__LV-11__bin.12	ZeeviD_2015__PNP_Main_232__bin.44	Obregon-TitoAJ_2015__SM25__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.22	SchirmerM_2016__G88842__bin.7	ZellerG_2014__CCIS87116798ST-4-0__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.91	ZeeviD_2015__PNP_Main_151__bin.1	CM_madagascar__A81_03_1FE__bin.28	LeChatelierE_2013__MH0152__bin.35	BackhedF_2015__SID39_M__bin.33	CosteaPI_2017__SID713A066-11-90-0__bin.18	NielsenHB_2014__O2_UC16_0__bin.5	LiJ_2014__MH0394__bin.43	CM_madagascar__V53_02_1FE__bin.39	LeChatelierE_2013__MH0046__bin.14	KarlssonFH_2013__S587__bin.28	ZeeviD_2015__PNP_Main_342__bin.22	ZeeviD_2015__PNP_Main_311__bin.11	ZeeviD_2015__PNP_Main_500__bin.44	Obregon-TitoAJ_2015__SM41__bin.13	LiuW_2016__SRR3993044__bin.61	CosteaPI_2017__SID713A089-11-0-0__bin.31	ZeeviD_2015__PNP_Main_126__bin.9	LiJ_2014__MH0400__bin.70	ZellerG_2014__CCIS77252613ST-4-0__bin.9	ZeeviD_2015__PNP_Main_744__bin.10	LiJ_2014__O2.UC16-1__bin.11	Obregon-TitoAJ_2015__SM24__bin.26	Obregon-TitoAJ_2015__SM40__bin.38	ZellerG_2014__CCIS19142497ST-3-0__bin.15	BritoIL_2016__W2.15.ST__bin.7	CM_madagascar__V36_02_2FE__bin.25	QinN_2014__HV-21__bin.18	ZellerG_2014__CCMD34381688ST-21-0__bin.4	CosteaPI_2017__SID713A066-11-0-0__bin.30	LiJ_2014__MH0389__bin.49	ChengpingW_2017__AS38raw__bin.17	LiJ_2017__H2M513938__bin.67	XieH_2016__YSZC12003_37315__bin.53	LeChatelierE_2013__MH0288__bin.38	ZellerG_2014__CCIS48174381ST-4-0__bin.65	Obregon-TitoAJ_2015__SM23__bin.16
LeChatelierE_2013__MH0152__bin.35	64718.0	65913.0	40926.0	66112.0	40140.0	23470.0	52871.0	52990.0	48792.0	66120.0	0.0	19745.0	60223.0	59324.0	27672.0	71088.0	22265.0	27123.0	25762.0	50524.0	46043.0	48270.0	59877.0	45525.0	37997.0	59027.0	53499.0	37320.0	65180.0	43334.0	57715.0	64929.0	66058.0	51600.0	72138.0	16279.0	55586.0	62601.0	60226.0	67078.0	65636.0	25561.0	25474.0	72616.0
BackhedF_2015__SID39_M__bin.33	48622.0	52081.0	25763.0	51085.0	35580.0	19727.0	41329.0	43180.0	37620.0	50249.0	19745.0	0.0	47248.0	46574.0	23843.0	53227.0	20541.0	24108.0	22985.0	41694.0	39254.0	43165.0	48236.0	39849.0	31128.0	47347.0	42793.0	36105.0	50379.0	33597.0	43485.0	49113.0	52713.0	36055.0	54108.0	15997.0	40290.0	47049.0	48708.0	51281.0	50413.0	20520.0	21598.0	57133.0
CosteaPI_2017__SID713A066-11-90-0__bin.18	63920.0	74470.0	41117.0	71515.0	16706.0	60191.0	50615.0	49597.0	52256.0	76012.0	60223.0	47248.0	0.0	59741.0	76274.0	77110.0	54814.0	75320.0	72340.0	50803.0	51505.0	55774.0	64705.0	14729.0	35272.0	63365.0	54653.0	34565.0	66057.0	46112.0	65389.0	63797.0	74108.0	55914.0	81999.0	45037.0	554.0	65831.0	67297.0	71066.0	71030.0	48630.0	69888.0	81610.0
NielsenHB_2014__O2_UC16_0__bin.5	4843.0	68855.0	39263.0	71236.0	42213.0	62429.0	51400.0	54476.0	49998.0	71773.0	59324.0	46574.0	59741.0	0.0	75994.0	75205.0	54855.0	73597.0	72506.0	49340.0	50067.0	53765.0	63956.0	45014.0	35479.0	59438.0	53458.0	38001.0	4996.0	45341.0	61124.0	62163.0	72143.0	54149.0	76363.0	46980.0	55235.0	60982.0	66141.0	72395.0	69969.0	47844.0	70502.0	80853.0
LiJ_2014__MH0394__bin.43	80460.0	79214.0	50317.0	77672.0	48118.0	27708.0	66194.0	67093.0	56450.0	82591.0	27672.0	23843.0	76274.0	75994.0	0.0	88615.0	27403.0	35755.0	33289.0	60330.0	58159.0	59134.0	77731.0	55114.0	45529.0	76392.0	65537.0	44704.0	83642.0	51715.0	69955.0	81829.0	81659.0	61054.0	89364.0	20506.0	67851.0	79395.0	74294.0	86299.0	81205.0	28269.0	33107.0	90084.0
CM_madagascar__V53_02_1FE__bin.39	80544.0	69481.0	40354.0	72913.0	51104.0	68156.0	67239.0	67325.0	50915.0	65635.0	71088.0	53227.0	77110.0	75205.0	88615.0	0.0	63423.0	85640.0	83697.0	55708.0	49714.0	54144.0	80190.0	54780.0	47765.0	69833.0	64019.0	45722.0	83374.0	48040.0	63480.0	84370.0	71835.0	49011.0	77741.0	51536.0	71241.0	72148.0	64636.0	74193.0	69043.0	54857.0	82147.0	81672.0
LeChatelierE_2013__MH0046__bin.14	57551.0	60886.0	33540.0	60811.0	37949.0	24068.0	49532.0	50332.0	43298.0	61649.0	22265.0	20541.0	54814.0	54855.0	27403.0	63423.0	0.0	27920.0	27260.0	47197.0	45659.0	44486.0	54831.0	42786.0	37052.0	57094.0	48638.0	38193.0	59515.0	37873.0	50605.0	58280.0	60311.0	44557.0	63817.0	17552.0	47416.0	58006.0	57278.0	62677.0	59052.0	24412.0	25228.0	65770.0
KarlssonFH_2013__S587__bin.28	77903.0	76146.0	47732.0	78525.0	49336.0	28582.0	64469.0	65847.0	59170.0	82415.0	27123.0	24108.0	75320.0	73597.0	35755.0	85640.0	27920.0	0.0	33508.0	59326.0	57127.0	59026.0	75883.0	54688.0	45233.0	72423.0	64620.0	44370.0	80448.0	52081.0	69573.0	79588.0	80517.0	59797.0	86137.0	20176.0	67820.0	77364.0	72920.0	83588.0	78715.0	27311.0	31532.0	91717.0
ZeeviD_2015__PNP_Main_342__bin.22	77300.0	75312.0	47754.0	75431.0	48015.0	27018.0	63918.0	64965.0	57119.0	78770.0	25762.0	22985.0	72340.0	72506.0	33289.0	83697.0	27260.0	33508.0	0.0	59327.0	56400.0	55009.0	75460.0	53529.0	44273.0	73288.0	63504.0	42863.0	80303.0	50299.0	66203.0	77733.0	78440.0	60097.0	83443.0	20541.0	65182.0	76473.0	70973.0	82675.0	77923.0	26892.0	29401.0	86672.0
ZeeviD_2015__PNP_Main_311__bin.11	52090.0	55423.0	28812.0	57777.0	36545.0	52593.0	45240.0	44682.0	42469.0	57031.0	50524.0	41694.0	50803.0	49340.0	60330.0	55708.0	47197.0	59326.0	59327.0	0.0	38699.0	45779.0	56996.0	41566.0	34551.0	46459.0	44427.0	33774.0	53224.0	39041.0	49514.0	51402.0	56249.0	41748.0	60510.0	40877.0	45018.0	46772.0	53703.0	55072.0	50597.0	44073.0	56546.0	60036.0
