	ZellerG_2014__CCIS70398272ST-4-0__bin.62	BritoIL_2016__M2.51.ST__bin.70	LeChatelierE_2013__MH0153__bin.32	XieH_2016__YSZC12003_35519__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.47	NielsenHB_2014__MH0174__bin.29	ZeeviD_2015__PNP_Main_291__bin.23	BritoIL_2016__WL.30.ST__bin.63	LeChatelierE_2013__MH0174__bin.47	KarlssonFH_2013__S462__bin.48	NielsenHB_2014__MH0107__bin.30	ZeeviD_2015__PNP_Validation_95__bin.6	XieH_2016__YSZC12003_37202R1__bin.28	NielsenHB_2014__MH0153__bin.20	NielsenHB_2014__MH0123__bin.30	ZeeviD_2015__PNP_Main_612__bin.9	XieH_2016__YSZC12003_37206__bin.8	NielsenHB_2014__V1_UC21_4__bin.26	XieH_2016__YSZC12003_36008__bin.114	HMP_2012__SRS050752__bin.51	XieH_2016__YSZC12003_37797__bin.38	FengQ_2015__SID31878__bin.51	QinN_2014__HD-55__bin.12	FengQ_2015__SID31300__bin.89	XieH_2016__YSZC12003_37754__bin.22	XieH_2016__YSZC12003_37405__bin.46	YuJ_2015__SZAXPI017588-123__bin.34	BritoIL_2016__W1.13.ST__bin.20	LeChatelierE_2013__MH0107__bin.1	VogtmannE_2016__MMRS25211151ST-27-0-0__bin.16	XieH_2016__YSZC12003_37210__bin.68	ZellerG_2014__CCIS51595129ST-4-0__bin.50	BritoIL_2016__WL.7.ST__bin.55	QinJ_2012__T2D-051__bin.39	BritoIL_2016__M1.26.ST__bin.26	XieH_2016__YSZC12003_35991__bin.7	KarlssonFH_2013__S397__bin.8
NielsenHB_2014__MH0107__bin.30	8123.0	7109.0	7059.0	9774.0	5284.0	6967.0	6008.0	5976.0	4073.0	7977.0	0.0	6016.0	8008.0	7883.0	4029.0	6378.0	8409.0	7726.0	4860.0	5758.0	7673.0	9469.0	6019.0	7015.0	8751.0	8563.0	6153.0	6250.0	51.0	6409.0	8043.0	8422.0	7510.0	5314.0	7490.0	9013.0	8349.0
ZeeviD_2015__PNP_Validation_95__bin.6	7413.0	7960.0	6936.0	8166.0	4739.0	6713.0	6463.0	6567.0	3885.0	7417.0	6016.0	0.0	7630.0	8008.0	3557.0	5750.0	7113.0	7980.0	6130.0	6577.0	7486.0	7821.0	7079.0	7281.0	8128.0	9252.0	5996.0	7179.0	5710.0	6117.0	8092.0	7328.0	7767.0	6690.0	7318.0	8723.0	7800.0
XieH_2016__YSZC12003_37202R1__bin.28	6168.0	9474.0	1444.0	8182.0	2486.0	6881.0	7766.0	6639.0	4589.0	2389.0	8008.0	7630.0	0.0	1946.0	2213.0	8444.0	3727.0	7189.0	7964.0	5032.0	7189.0	6375.0	8591.0	7052.0	4529.0	6484.0	7470.0	8639.0	7802.0	5754.0	7062.0	2909.0	7395.0	8328.0	6953.0	7529.0	7411.0
NielsenHB_2014__MH0153__bin.20	6573.0	9825.0	510.0	8221.0	3044.0	7183.0	8146.0	6594.0	4668.0	3478.0	7883.0	8008.0	1946.0	0.0	2543.0	8486.0	4330.0	7598.0	7792.0	4800.0	7519.0	6739.0	8779.0	6544.0	4745.0	6906.0	7998.0	8662.0	7538.0	5766.0	7507.0	3748.0	7808.0	8306.0	7426.0	7513.0	7855.0
NielsenHB_2014__MH0123__bin.30	2930.0	3832.0	2286.0	3168.0	2609.0	4012.0	3760.0	2982.0	2361.0	2234.0	4029.0	3557.0	2213.0	2543.0	0.0	3925.0	2898.0	3081.0	4184.0	2248.0	3127.0	3315.0	4123.0	3244.0	2854.0	3226.0	3823.0	3848.0	4096.0	2212.0	3348.0	2917.0	3390.0	4060.0	3368.0	4500.0	3275.0
ZeeviD_2015__PNP_Main_612__bin.9	8090.0	7941.0	7273.0	8400.0	4844.0	6405.0	6211.0	6117.0	3839.0	8004.0	6378.0	5750.0	8444.0	8486.0	3925.0	0.0	7625.0	7765.0	5401.0	6421.0	7701.0	7435.0	6023.0	7649.0	8423.0	9237.0	5982.0	6917.0	6249.0	5714.0	8022.0	7669.0	8399.0	6944.0	7157.0	8652.0	8843.0
XieH_2016__YSZC12003_37206__bin.8	6034.0	9224.0	3868.0	8551.0	2299.0	6611.0	8246.0	6361.0	4007.0	4493.0	8409.0	7113.0	3727.0	4330.0	2898.0	7625.0	0.0	8001.0	8078.0	4090.0	6821.0	6820.0	8380.0	7004.0	5501.0	6245.0	7708.0	8423.0	8018.0	5784.0	7620.0	3675.0	7969.0	8050.0	6862.0	7347.0	7514.0
NielsenHB_2014__V1_UC21_4__bin.26	7189.0	9028.0	6701.0	10002.0	3693.0	7182.0	9902.0	6452.0	4383.0	8082.0	7726.0	7980.0	7189.0	7598.0	3081.0	7765.0	8001.0	0.0	7349.0	4395.0	7990.0	6663.0	9556.0	2935.0	7756.0	7795.0	7397.0	7928.0	7308.0	5042.0	7156.0	6722.0	8289.0	8230.0	7224.0	7684.0	7426.0
XieH_2016__YSZC12003_36008__bin.114	10106.0	6956.0	6841.0	9534.0	5618.0	6399.0	5208.0	5647.0	3929.0	7682.0	4860.0	6130.0	7964.0	7792.0	4184.0	5401.0	8078.0	7349.0	0.0	5460.0	6596.0	8979.0	5467.0	7257.0	7655.0	9181.0	4846.0	5932.0	5125.0	5848.0	8625.0	8010.0	7962.0	6311.0	6885.0	9206.0	8264.0
HMP_2012__SRS050752__bin.51	4414.0	6301.0	4294.0	5949.0	3028.0	5088.0	5493.0	4923.0	2987.0	4372.0	5758.0	6577.0	5032.0	4800.0	2248.0	6421.0	4090.0	4395.0	5460.0	0.0	4752.0	5041.0	6253.0	4468.0	5397.0	5273.0	5517.0	5756.0	5468.0	4846.0	4830.0	4650.0	5567.0	5982.0	5431.0	4846.0	6365.0
XieH_2016__YSZC12003_37797__bin.38	7173.0	8295.0	6823.0	7113.0	4557.0	7323.0	9885.0	6234.0	4679.0	7744.0	7673.0	7486.0	7189.0	7519.0	3127.0	7701.0	6821.0	7990.0	6596.0	4752.0	0.0	8365.0	8469.0	6496.0	7693.0	7646.0	7171.0	7443.0	7014.0	5604.0	7291.0	7136.0	7005.0	7196.0	5804.0	8142.0	6272.0
FengQ_2015__SID31878__bin.51	10144.0	8645.0	5952.0	11853.0	3686.0	8827.0	8157.0	6633.0	4250.0	7003.0	9469.0	7821.0	6375.0	6739.0	3315.0	7435.0	6820.0	6663.0	8979.0	5041.0	8365.0	0.0	8449.0	5638.0	7224.0	6401.0	7417.0	7714.0	9091.0	5142.0	7205.0	6344.0	8292.0	8088.0	7317.0	7717.0	7424.0
QinN_2014__HD-55__bin.12	8450.0	7519.0	7686.0	9433.0	5035.0	6104.0	6194.0	5889.0	3875.0	8472.0	6019.0	7079.0	8591.0	8779.0	4123.0	6023.0	8380.0	9556.0	5467.0	6253.0	8469.0	8449.0	0.0	8544.0	8952.0	8809.0	5293.0	6043.0	5687.0	6508.0	8279.0	8876.0	9336.0	6292.0	8065.0	9585.0	8538.0
FengQ_2015__SID31300__bin.89	6399.0	7149.0	5482.0	6594.0	3645.0	6565.0	6919.0	4986.0	4388.0	5972.0	7015.0	7281.0	7052.0	6544.0	3244.0	7649.0	7004.0	2935.0	7257.0	4468.0	6496.0	5638.0	8544.0	0.0	7016.0	7400.0	6673.0	6538.0	7162.0	3850.0	5747.0	5641.0	7474.0	7862.0	6619.0	7435.0	6758.0
XieH_2016__YSZC12003_37754__bin.22	6209.0	9941.0	3977.0	7947.0	3824.0	7418.0	8329.0	7688.0	4309.0	5217.0	8751.0	8128.0	4529.0	4745.0	2854.0	8423.0	5501.0	7756.0	7655.0	5397.0	7693.0	7224.0	8952.0	7016.0	0.0	7412.0	8073.0	8891.0	8457.0	6458.0	8294.0	5416.0	8056.0	9111.0	7344.0	8264.0	7888.0
XieH_2016__YSZC12003_37405__bin.46	8458.0	9957.0	6090.0	9085.0	3396.0	7147.0	8728.0	7560.0	4321.0	6292.0	8563.0	9252.0	6484.0	6906.0	3226.0	9237.0	6245.0	7795.0	9181.0	5273.0	7646.0	6401.0	8809.0	7400.0	7412.0	0.0	8021.0	8953.0	8230.0	5657.0	7534.0	6114.0	8750.0	9423.0	8239.0	8144.0	8264.0
YuJ_2015__SZAXPI017588-123__bin.34	7079.0	6246.0	6903.0	8222.0	4819.0	5702.0	1121.0	5786.0	3588.0	7459.0	6153.0	5996.0	7470.0	7998.0	3823.0	5982.0	7708.0	7397.0	4846.0	5517.0	7171.0	7417.0	5293.0	6673.0	8073.0	8021.0	0.0	5370.0	6096.0	5682.0	7355.0	7735.0	7106.0	5350.0	7505.0	8556.0	7947.0
BritoIL_2016__W1.13.ST__bin.20	7711.0	2195.0	7602.0	8847.0	5016.0	6135.0	5735.0	5428.0	3834.0	8094.0	6250.0	7179.0	8639.0	8662.0	3848.0	6917.0	8423.0	7928.0	5932.0	5756.0	7443.0	7714.0	6043.0	6538.0	8891.0	8953.0	5370.0	0.0	5910.0	6614.0	8177.0	8385.0	7337.0	5194.0	7565.0	8849.0	7689.0
LeChatelierE_2013__MH0107__bin.1	7683.0	6759.0	6753.0	9094.0	5414.0	7003.0	6275.0	5421.0	4116.0	7382.0	51.0	5710.0	7802.0	7538.0	4096.0	6249.0	8018.0	7308.0	5125.0	5468.0	7014.0	9091.0	5687.0	7162.0	8457.0	8230.0	6096.0	5910.0	0.0	5770.0	7798.0	7885.0	7381.0	4978.0	7136.0	8803.0	7913.0
VogtmannE_2016__MMRS25211151ST-27-0-0__bin.16	5347.0	7392.0	5094.0	6666.0	3380.0	5471.0	6148.0	5202.0	3389.0	5634.0	6409.0	6117.0	5754.0	5766.0	2212.0	5714.0	5784.0	5042.0	5848.0	4846.0	5604.0	5142.0	6508.0	3850.0	6458.0	5657.0	5682.0	6614.0	5770.0	0.0	5710.0	5603.0	6561.0	6406.0	5755.0	5566.0	6318.0
XieH_2016__YSZC12003_37210__bin.68	6798.0	9020.0	6439.0	8656.0	4991.0	7194.0	7469.0	6990.0	4663.0	7232.0	8043.0	8092.0	7062.0	7507.0	3348.0	8022.0	7620.0	7156.0	8625.0	4830.0	7291.0	7205.0	8279.0	5747.0	8294.0	7534.0	7355.0	8177.0	7798.0	5710.0	0.0	7325.0	9142.0	8641.0	7950.0	8282.0	7743.0
ZellerG_2014__CCIS51595129ST-4-0__bin.50	6319.0	8915.0	3294.0	11249.0	801.0	6643.0	7933.0	6398.0	4651.0	4026.0	8422.0	7328.0	2909.0	3748.0	2917.0	7669.0	3675.0	6722.0	8010.0	4650.0	7136.0	6344.0	8876.0	5641.0	5416.0	6114.0	7735.0	8385.0	7885.0	5603.0	7325.0	0.0	7794.0	8547.0	7228.0	7995.0	7332.0
BritoIL_2016__WL.7.ST__bin.55	7901.0	7853.0	6689.0	8226.0	5135.0	7780.0	7350.0	5605.0	4620.0	7631.0	7510.0	7767.0	7395.0	7808.0	3390.0	8399.0	7969.0	8289.0	7962.0	5567.0	7005.0	8292.0	9336.0	7474.0	8056.0	8750.0	7106.0	7337.0	7381.0	6561.0	9142.0	7794.0	0.0	7365.0	5475.0	8334.0	7789.0
QinJ_2012__T2D-051__bin.39	8050.0	7206.0	7035.0	8711.0	5268.0	6694.0	5694.0	6031.0	4078.0	7864.0	5314.0	6690.0	8328.0	8306.0	4060.0	6944.0	8050.0	8230.0	6311.0	5982.0	7196.0	8088.0	6292.0	7862.0	9111.0	9423.0	5350.0	5194.0	4978.0	6406.0	8641.0	8547.0	7365.0	0.0	6970.0	9239.0	7810.0
BritoIL_2016__M1.26.ST__bin.26	7362.0	7692.0	6529.0	7748.0	4806.0	6443.0	7934.0	5310.0	3990.0	7285.0	7490.0	7318.0	6953.0	7426.0	3368.0	7157.0	6862.0	7224.0	6885.0	5431.0	5804.0	7317.0	8065.0	6619.0	7344.0	8239.0	7505.0	7565.0	7136.0	5755.0	7950.0	7228.0	5475.0	6970.0	0.0	8444.0	6698.0
XieH_2016__YSZC12003_35991__bin.7	8094.0	9782.0	6879.0	9109.0	5465.0	8820.0	8762.0	6469.0	5361.0	7462.0	9013.0	8723.0	7529.0	7513.0	4500.0	8652.0	7347.0	7684.0	9206.0	4846.0	8142.0	7717.0	9585.0	7435.0	8264.0	8144.0	8556.0	8849.0	8803.0	5566.0	8282.0	7995.0	8334.0	9239.0	8444.0	0.0	7899.0
KarlssonFH_2013__S397__bin.8	7654.0	8469.0	6925.0	7097.0	4140.0	8007.0	8341.0	5440.0	5077.0	7001.0	8349.0	7800.0	7411.0	7855.0	3275.0	8843.0	7514.0	7426.0	8264.0	6365.0	6272.0	7424.0	8538.0	6758.0	7888.0	8264.0	7947.0	7689.0	7913.0	6318.0	7743.0	7332.0	7789.0	7810.0	6698.0	7899.0	0.0
