	ZeeviD_2015__PNP_DietIntervention_50__bin.3	ZeeviD_2015__PNP_Main_224__bin.17	ZeeviD_2015__PNP_Main_98__bin.35	ZeeviD_2015__PNP_Main_317__bin.32	ZeeviD_2015__PNP_Main_265__bin.33	ZeeviD_2015__PNP_Main_88__bin.17	ZeeviD_2015__PNP_DietIntervention_36__bin.35	ZeeviD_2015__PNP_Validation_25__bin.19	ZeeviD_2015__PNP_Main_185__bin.22	ZeeviD_2015__PNP_Main_677__bin.30	ZeeviD_2015__PNP_Main_151__bin.36	ZeeviD_2015__PNP_Main_193__bin.23	KarlssonFH_2013__S543__bin.19	ZellerG_2014__CCIS59903910ST-4-0__bin.18	ZeeviD_2015__PNP_Main_347__bin.3	ZeeviD_2015__PNP_Main_400__bin.14	ZeeviD_2015__PNP_Main_589__bin.14	CosteaPI_2017__SID713A076-11-0-0__bin.23	ZeeviD_2015__PNP_Main_110__bin.8	ZeeviD_2015__PNP_Main_609__bin.45	ZeeviD_2015__PNP_Main_321__bin.31	SchirmerM_2016__G89250__bin.15	ZeeviD_2015__PNP_Main_298__bin.21	ZeeviD_2015__PNP_Main_223__bin.47	ZeeviD_2015__PNP_Main_16__bin.22	SchirmerM_2016__G88902__bin.9	ZeeviD_2015__PNP_DietIntervention_43__bin.27	ZeeviD_2015__PNP_Main_615__bin.12
ZeeviD_2015__PNP_Main_151__bin.36	2009716.0	1969734.0	1915754.0	1964226.0	1933762.0	1957408.0	1965661.0	2014902.0	2029685.0	1792322.0	2037049.0	1968478.0	1945495.0	1150063.0	1946434.0	2019521.0	2032027.0	1678043.0	2031829.0	1994661.0	1895230.0	1507730.0	1967242.0	1788888.0	1346969.0	1417476.0	1999961.0	1897068.0
ZeeviD_2015__PNP_Main_193__bin.23	1991088.0	2009812.0	1912728.0	1937414.0	1911951.0	1940922.0	1962947.0	2065491.0	2043466.0	1777367.0	1968478.0	2077580.0	1982935.0	1135428.0	1983948.0	2053553.0	2034099.0	1652395.0	2062706.0	2000016.0	1876725.0	1504271.0	1941181.0	1778593.0	1324508.0	1400098.0	1969341.0	1886761.0
KarlssonFH_2013__S543__bin.19	1949202.0	1920594.0	2105155.0	2083009.0	2059983.0	1973210.0	1920167.0	2007912.0	2008557.0	1807766.0	1945495.0	1982935.0	2283234.0	1144703.0	1945792.0	1986963.0	1993030.0	1733367.0	2027238.0	1982992.0	1900861.0	1511709.0	2140946.0	1744501.0	1344741.0	1423699.0	1946155.0	1930069.0
ZellerG_2014__CCIS59903910ST-4-0__bin.18	1154758.0	1142269.0	1134719.0	1154330.0	1144184.0	1161201.0	1132267.0	1155142.0	1158204.0	1082366.0	1150063.0	1135428.0	1144703.0	1176436.0	1116812.0	1155599.0	1153514.0	1040427.0	1157629.0	1149484.0	1133002.0	929941.0	1156274.0	1058024.0	841141.0	859795.0	1151284.0	1136270.0
ZeeviD_2015__PNP_Main_347__bin.3	1968034.0	1941817.0	1894024.0	1913026.0	1884667.0	1906423.0	1924133.0	2002875.0	2006767.0	1740698.0	1946434.0	1983948.0	1945792.0	1116812.0	2032314.0	2019975.0	1983649.0	1624572.0	2028140.0	1954066.0	1844698.0	1477144.0	1917025.0	1767177.0	1296080.0	1376461.0	1944721.0	1859019.0
ZeeviD_2015__PNP_Main_400__bin.14	2032518.0	1993864.0	1940764.0	1979838.0	1941024.0	1978945.0	1996841.0	2070409.0	2079634.0	1799899.0	2019521.0	2053553.0	1986963.0	1155599.0	2019975.0	2095894.0	2072313.0	1679107.0	2082699.0	2015365.0	1903417.0	1515281.0	1982066.0	1808551.0	1347079.0	1421081.0	2016540.0	1907294.0
ZeeviD_2015__PNP_Main_589__bin.14	2040228.0	1995460.0	1940781.0	1994119.0	1946584.0	1981743.0	2004003.0	2070813.0	2081931.0	1804427.0	2032027.0	2034099.0	1993030.0	1153514.0	1983649.0	2072313.0	2097674.0	1688617.0	2083383.0	2022782.0	1917027.0	1520903.0	1996154.0	1805994.0	1358663.0	1428591.0	2026016.0	1922460.0
CosteaPI_2017__SID713A076-11-0-0__bin.23	1677977.0	1649621.0	1708492.0	1732144.0	1710819.0	1694630.0	1653321.0	1689143.0	1698527.0	1575826.0	1678043.0	1652395.0	1733367.0	1040427.0	1624572.0	1679107.0	1688617.0	1779787.0	1696524.0	1676271.0	1647284.0	1321220.0	1747546.0	1527014.0	1175403.0	1250343.0	1677173.0	1655765.0
ZeeviD_2015__PNP_Main_110__bin.8	2051835.0	2019026.0	1954836.0	2007206.0	1962539.0	2008404.0	2027049.0	2123188.0	2124658.0	1815920.0	2031829.0	2062706.0	2027238.0	1157629.0	2028140.0	2082699.0	2083383.0	1696524.0	2176942.0	2049050.0	1920076.0	1529729.0	2011400.0	1808875.0	1357995.0	1433108.0	2037680.0	1931064.0
ZeeviD_2015__PNP_Main_609__bin.45	2015631.0	1941438.0	1929287.0	1964309.0	1936235.0	1960953.0	1965796.0	2005585.0	2024816.0	1796103.0	1994661.0	2000016.0	1982992.0	1149484.0	1954066.0	2015365.0	2022782.0	1676271.0	2049050.0	2074415.0	1887079.0	1517845.0	1966087.0	1801081.0	1338973.0	1417975.0	2004656.0	1894463.0
ZeeviD_2015__PNP_Main_321__bin.31	1902034.0	1864101.0	1873346.0	1923988.0	1892626.0	1951154.0	1860354.0	1915618.0	1928377.0	1777667.0	1895230.0	1876725.0	1900861.0	1133002.0	1844698.0	1903417.0	1917027.0	1647284.0	1920076.0	1887079.0	1982074.0	1458194.0	1925776.0	1706900.0	1337724.0	1390225.0	1883267.0	1896580.0
SchirmerM_2016__G89250__bin.15	1517967.0	1504979.0	1481912.0	1503948.0	1492376.0	1503452.0	1493532.0	1525625.0	1527837.0	1404127.0	1507730.0	1504271.0	1511709.0	929941.0	1477144.0	1515281.0	1520903.0	1321220.0	1529729.0	1517845.0	1458194.0	1567886.0	1507161.0	1372132.0	1065843.0	1118067.0	1518641.0	1478377.0
ZeeviD_2015__PNP_Main_298__bin.21	1975613.0	1939187.0	2126008.0	2144207.0	2088237.0	1999250.0	1936981.0	1985777.0	2009544.0	1818136.0	1967242.0	1941181.0	2140946.0	1156274.0	1917025.0	1982066.0	1996154.0	1747546.0	2011400.0	1966087.0	1925776.0	1507161.0	2185576.0	1761891.0	1363849.0	1434814.0	1970609.0	1957487.0
ZeeviD_2015__PNP_Main_223__bin.47	1791638.0	1773508.0	1725576.0	1759909.0	1748966.0	1740533.0	1742485.0	1789972.0	1805816.0	1620354.0	1788888.0	1778593.0	1744501.0	1058024.0	1767177.0	1808551.0	1805994.0	1527014.0	1808875.0	1801081.0	1706900.0	1372132.0	1761891.0	1855917.0	1215880.0	1264183.0	1779973.0	1720044.0
ZeeviD_2015__PNP_Main_16__bin.22	1352487.0	1317338.0	1325604.0	1363681.0	1341489.0	1369644.0	1333905.0	1359008.0	1363999.0	1275262.0	1346969.0	1324508.0	1344741.0	841141.0	1296080.0	1347079.0	1358663.0	1175403.0	1357995.0	1338973.0	1337724.0	1065843.0	1363849.0	1215880.0	1397856.0	1003450.0	1339088.0	1337201.0
SchirmerM_2016__G88902__bin.9	1428057.0	1386607.0	1404815.0	1432976.0	1416435.0	1444459.0	1400883.0	1422814.0	1437764.0	1328045.0	1417476.0	1400098.0	1423699.0	859795.0	1376461.0	1421081.0	1428591.0	1250343.0	1433108.0	1417975.0	1390225.0	1118067.0	1434814.0	1264183.0	1003450.0	1492700.0	1420189.0	1401494.0
ZeeviD_2015__PNP_DietIntervention_43__bin.27	2029965.0	1986699.0	1921550.0	1968527.0	1928842.0	1966484.0	1978560.0	2017515.0	2035747.0	1791001.0	1999961.0	1969341.0	1946155.0	1151284.0	1944721.0	2016540.0	2026016.0	1677173.0	2037680.0	2004656.0	1883267.0	1518641.0	1970609.0	1779973.0	1339088.0	1420189.0	2051091.0	1905029.0
ZeeviD_2015__PNP_Main_615__bin.12	1907246.0	1899879.0	1893988.0	1956181.0	1903084.0	1964819.0	1863546.0	1928429.0	1929320.0	1780313.0	1897068.0	1886761.0	1930069.0	1136270.0	1859019.0	1907294.0	1922460.0	1655765.0	1931064.0	1894463.0	1896580.0	1478377.0	1957487.0	1720044.0	1337201.0	1401494.0	1905029.0	2015277.0
