	QinJ_2012__NOM015__bin.11	FengQ_2015__SID31236__bin.32	YuJ_2015__SZAXPI015264-87__bin.43	YuJ_2015__SZAXPI015227-13__bin.33	XieH_2016__YSZC12003_37305R1__bin.76	QinJ_2012__NOF013__bin.19	QinJ_2012__CON-036__bin.19	CM_madagascar__A15_02_1FE__bin.12	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	QinJ_2012__DLM019__bin.1	QinJ_2012__NOF005__bin.20	YuJ_2015__SZAXPI017586-111__bin.6	FengQ_2015__SID530185__bin.31	HeQ_2017__SZAXPI029577-94__bin.48	NielsenHB_2014__V1_UC35_4__bin.80	HeQ_2017__SZAXPI029579-97__bin.21	LiJ_2014__O2.UC8-2__bin.15	YuJ_2015__SZAXPI015225-18__bin.78	XieH_2016__YSZC12003_37877__bin.35	NielsenHB_2014__O2_UC9_2__bin.44	NielsenHB_2014__O2_UC35_0__bin.28	ZellerG_2014__CCIS77252613ST-4-0__bin.79	XieH_2016__YSZC12003_37323__bin.20	XieH_2016__YSZC12003_37406__bin.47	LiJ_2014__V1.FI25__bin.37	HeQ_2017__SZAXPI029601-32__bin.11	QinJ_2012__T2D-084__bin.27	HeQ_2017__SZAXPI029570-85__bin.18
QinJ_2012__NOF005__bin.20	443.0	29562.0	22257.0	23510.0	48081.0	26476.0	25297.0	20250.0	26280.0	26811.0	0.0	23263.0	66544.0	24124.0	38601.0	8923.0	30886.0	24613.0	41221.0	30480.0	32906.0	39652.0	27104.0	27121.0	25380.0	22290.0	15744.0	23403.0
YuJ_2015__SZAXPI017586-111__bin.6	23796.0	26728.0	22958.0	22585.0	48266.0	25768.0	25844.0	19009.0	25173.0	25795.0	23263.0	0.0	65694.0	22582.0	36724.0	9215.0	29598.0	23124.0	36503.0	29822.0	31637.0	37428.0	24378.0	27662.0	26004.0	23096.0	13955.0	23621.0
FengQ_2015__SID530185__bin.31	67322.0	57157.0	61254.0	62552.0	47076.0	69345.0	66565.0	28507.0	37633.0	61595.0	66544.0	65694.0	0.0	64467.0	59534.0	28345.0	63430.0	65015.0	61040.0	63374.0	60533.0	62840.0	65240.0	62696.0	56425.0	66613.0	35408.0	66671.0
HeQ_2017__SZAXPI029577-94__bin.48	24614.0	27103.0	23381.0	24418.0	46707.0	27370.0	27291.0	20140.0	24787.0	26032.0	24124.0	22582.0	64467.0	0.0	36809.0	59.0	29918.0	24166.0	36834.0	29223.0	31080.0	37826.0	26784.0	27490.0	25256.0	23609.0	15596.0	25198.0
NielsenHB_2014__V1_UC35_4__bin.80	38925.0	31652.0	33326.0	36225.0	38066.0	40943.0	35280.0	21537.0	12865.0	34697.0	38601.0	36724.0	59534.0	36809.0	0.0	14724.0	31055.0	38180.0	4156.0	31232.0	34091.0	5010.0	38543.0	35751.0	28796.0	38027.0	22298.0	38620.0
HeQ_2017__SZAXPI029579-97__bin.21	9107.0	10532.0	9351.0	8044.0	19311.0	9993.0	9666.0	7044.0	8774.0	9763.0	8923.0	9215.0	28345.0	59.0	14724.0	0.0	10824.0	10409.0	16048.0	10277.0	13395.0	15139.0	10043.0	9825.0	9004.0	8443.0	5606.0	9896.0
LiJ_2014__O2.UC8-2__bin.15	30864.0	24495.0	26474.0	29727.0	43024.0	32862.0	29537.0	21124.0	21112.0	31082.0	30886.0	29598.0	63430.0	29918.0	31055.0	10824.0	0.0	31528.0	30515.0	826.0	27680.0	33087.0	32157.0	17186.0	13065.0	29179.0	19852.0	31503.0
YuJ_2015__SZAXPI015225-18__bin.78	25113.0	29033.0	23763.0	21685.0	48326.0	12242.0	27646.0	20685.0	25449.0	27896.0	24613.0	23124.0	65015.0	24166.0	38180.0	10409.0	31528.0	0.0	36956.0	31596.0	32907.0	41701.0	26754.0	27788.0	25809.0	21481.0	15509.0	25330.0
XieH_2016__YSZC12003_37877__bin.35	41672.0	29352.0	32764.0	36038.0	38545.0	40619.0	33483.0	21739.0	13238.0	33736.0	41221.0	36503.0	61040.0	36834.0	4156.0	16048.0	30515.0	36956.0	0.0	30503.0	32811.0	2161.0	37529.0	34490.0	29158.0	38142.0	21053.0	37421.0
NielsenHB_2014__O2_UC9_2__bin.44	30776.0	24362.0	26745.0	28693.0	43167.0	33018.0	28936.0	20838.0	21192.0	31340.0	30480.0	29822.0	63374.0	29223.0	31232.0	10277.0	826.0	31596.0	30503.0	0.0	27415.0	32451.0	32010.0	17521.0	12925.0	28082.0	20093.0	33001.0
NielsenHB_2014__O2_UC35_0__bin.28	33187.0	8603.0	27906.0	31602.0	40408.0	34798.0	31919.0	19768.0	22557.0	33781.0	32906.0	31637.0	60533.0	31080.0	34091.0	13395.0	27680.0	32907.0	32811.0	27415.0	0.0	34458.0	33616.0	27828.0	24870.0	32414.0	18467.0	31657.0
ZellerG_2014__CCIS77252613ST-4-0__bin.79	40329.0	31897.0	33827.0	37333.0	39845.0	41686.0	35592.0	22268.0	13411.0	35184.0	39652.0	37428.0	62840.0	37826.0	5010.0	15139.0	33087.0	41701.0	2161.0	32451.0	34458.0	0.0	39525.0	35844.0	30266.0	39698.0	22716.0	39793.0
XieH_2016__YSZC12003_37323__bin.20	27213.0	29881.0	25264.0	26095.0	48798.0	27199.0	28220.0	20211.0	25352.0	26272.0	27104.0	24378.0	65240.0	26784.0	38543.0	10043.0	32157.0	26754.0	37529.0	32010.0	33616.0	39525.0	0.0	29292.0	27715.0	26928.0	15466.0	23981.0
XieH_2016__YSZC12003_37406__bin.47	27583.0	22738.0	23588.0	26312.0	45691.0	29158.0	27565.0	20743.0	23084.0	28347.0	27121.0	27662.0	62696.0	27490.0	35751.0	9825.0	17186.0	27788.0	34490.0	17521.0	27828.0	35844.0	29292.0	0.0	16627.0	24545.0	16637.0	28870.0
LiJ_2014__V1.FI25__bin.37	26199.0	22476.0	22174.0	25590.0	40370.0	26820.0	25557.0	19477.0	20538.0	27456.0	25380.0	26004.0	56425.0	25256.0	28796.0	9004.0	13065.0	25809.0	29158.0	12925.0	24870.0	30266.0	27715.0	16627.0	0.0	24648.0	16898.0	26153.0
HeQ_2017__SZAXPI029601-32__bin.11	22822.0	28559.0	21365.0	23823.0	48962.0	23893.0	27084.0	20572.0	27857.0	26459.0	22290.0	23096.0	66613.0	23609.0	38027.0	8443.0	29179.0	21481.0	38142.0	28082.0	32414.0	39698.0	26928.0	24545.0	24648.0	0.0	15020.0	23747.0
QinJ_2012__T2D-084__bin.27	15644.0	17791.0	14964.0	14233.0	26870.0	16283.0	16535.0	12964.0	16082.0	15489.0	15744.0	13955.0	35408.0	15596.0	22298.0	5606.0	19852.0	15509.0	21053.0	20093.0	18467.0	22716.0	15466.0	16637.0	16898.0	15020.0	0.0	15887.0
HeQ_2017__SZAXPI029570-85__bin.18	23528.0	29620.0	23711.0	23496.0	49898.0	27449.0	27172.0	20811.0	26274.0	26141.0	23403.0	23621.0	66671.0	25198.0	38620.0	9896.0	31503.0	25330.0	37421.0	33001.0	31657.0	39793.0	23981.0	28870.0	26153.0	23747.0	15887.0	0.0
