	XieH_2016__YSZC12003_37584__bin.36	RaymondF_2016__P1E0__bin.6	FengQ_2015__SID530623__bin.65	LiJ_2014__MH0339__bin.38	HMP_2012__SRS042628__bin.32	XieH_2016__YSZC12003_36453__bin.3	LiJ_2017__H3M517925__bin.17	ZeeviD_2015__PNP_Main_750__bin.36	XieH_2016__YSZC12003_37265R1__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	XieH_2016__YSZC12003_35733__bin.124	LiJ_2017__H1M513729__bin.13	QinJ_2012__NOF008__bin.29	YuJ_2015__SZAXPI015264-87__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	ZeeviD_2015__PNP_Main_527__bin.29	ZeeviD_2015__PNP_Main_632__bin.39	LeChatelierE_2013__MH0197__bin.43	HMP_2012__SRS011134__bin.14	LiuW_2016__SRR3993016__bin.24	ZeeviD_2015__PNP_Main_701__bin.12	CosteaPI_2017__SID713B061-11-0-0__bin.34	VincentC_2016__MM037.1__bin.8	XieH_2016__YSZC12003_37314__bin.79	ZellerG_2014__CCIS20795251ST-4-0__bin.46	KarlssonFH_2013__S195__bin.33	XieH_2016__YSZC12003_36011__bin.52	RaymondF_2016__P13E90__bin.36	ZellerG_2014__CCMD72895164ST-21-0__bin.36	LiJ_2014__V1.FI28__bin.87	XieH_2016__YSZC12003_35999__bin.12	ZeeviD_2015__PNP_Validation_13__bin.40	XieH_2016__YSZC12003_35549__bin.24	KarlssonFH_2013__S488__bin.33	ZellerG_2014__CCMD87156761ST-21-0__bin.36	XieH_2016__YSZC12003_37330__bin.31	BackhedF_2015__SID105_M__bin.46	VincentC_2016__MM050.3__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	LiJ_2014__MH0399__bin.56	KarlssonFH_2013__S424__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	LouisS_2016__AS50_6__bin.20	ZeeviD_2015__PNP_Main_58__bin.47	BritoIL_2016__WL.11.ST__bin.9	NielsenHB_2014__O2_UC44_2__bin.7	VincentC_2016__MM050.4__bin.29	RaymondF_2016__P13E0__bin.35	XieH_2016__YSZC12003_35837__bin.36
XieH_2016__YSZC12003_35549__bin.24	15814.0	15528.0	13699.0	11696.0	16378.0	11851.0	18300.0	11106.0	4861.0	16502.0	16248.0	19811.0	18483.0	18765.0	15273.0	17433.0	11286.0	19892.0	9824.0	15276.0	11491.0	14169.0	12418.0	15231.0	11430.0	5264.0	16257.0	16768.0	14558.0	15651.0	3691.0	16241.0	0.0	15479.0	14473.0	3870.0	8636.0	8653.0	15143.0	5308.0	3979.0	14141.0	12435.0	13026.0	14834.0	14371.0	11770.0	17011.0	13199.0
KarlssonFH_2013__S488__bin.33	14772.0	16219.0	14112.0	11118.0	16422.0	18305.0	14273.0	16538.0	15509.0	17405.0	15958.0	16709.0	16497.0	15732.0	16119.0	15753.0	16555.0	18261.0	12398.0	14916.0	14734.0	13765.0	14235.0	15562.0	16371.0	16079.0	15014.0	15878.0	13050.0	14626.0	15116.0	15565.0	15479.0	0.0	13568.0	15715.0	10022.0	11435.0	14799.0	15198.0	16948.0	16123.0	15554.0	11238.0	14167.0	13642.0	15900.0	16202.0	16498.0
ZellerG_2014__CCMD87156761ST-21-0__bin.36	14253.0	14008.0	12674.0	10308.0	14506.0	14737.0	15864.0	14577.0	14574.0	14955.0	14262.0	16239.0	15986.0	15525.0	14791.0	15379.0	15007.0	15681.0	11770.0	13467.0	13683.0	12333.0	13382.0	13800.0	14203.0	14623.0	14257.0	14725.0	8956.0	14102.0	14043.0	14185.0	14473.0	13568.0	0.0	15196.0	8602.0	10811.0	13830.0	14324.0	15138.0	12971.0	14735.0	9833.0	13107.0	13276.0	14527.0	14389.0	15406.0
XieH_2016__YSZC12003_37330__bin.31	15054.0	15432.0	14243.0	12083.0	17781.0	12826.0	17776.0	9854.0	4023.0	17341.0	16384.0	19004.0	19428.0	17496.0	15465.0	18680.0	10724.0	19065.0	8471.0	15149.0	11114.0	15498.0	11130.0	14525.0	10889.0	3787.0	17245.0	17137.0	14445.0	16978.0	2764.0	16317.0	3870.0	15715.0	15196.0	0.0	7904.0	7749.0	16833.0	4373.0	2545.0	16657.0	12181.0	11909.0	14982.0	14221.0	10988.0	17495.0	14110.0
BackhedF_2015__SID105_M__bin.46	9772.0	11050.0	9281.0	8873.0	10131.0	10644.0	11051.0	8800.0	8541.0	11124.0	10789.0	11564.0	11328.0	11788.0	9789.0	11254.0	8716.0	11398.0	7775.0	9574.0	8482.0	10143.0	4954.0	9636.0	8934.0	8425.0	10919.0	10805.0	9207.0	10407.0	8698.0	10971.0	8636.0	10022.0	8602.0	7904.0	0.0	6741.0	10830.0	8277.0	8549.0	11755.0	9061.0	8988.0	9752.0	9274.0	8938.0	10635.0	8799.0
VincentC_2016__MM050.3__bin.10	11010.0	12364.0	10037.0	8507.0	11879.0	10020.0	12869.0	4954.0	8767.0	12146.0	11589.0	13501.0	13321.0	12801.0	10893.0	13102.0	4662.0	12604.0	4975.0	11398.0	5047.0	10923.0	9896.0	11072.0	5330.0	7936.0	12003.0	12337.0	10438.0	10893.0	8406.0	11882.0	8653.0	11435.0	10811.0	7749.0	6741.0	0.0	11989.0	8593.0	8390.0	11772.0	6026.0	10220.0	11718.0	10544.0	2603.0	12192.0	9971.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	15880.0	16353.0	15385.0	12170.0	16497.0	17568.0	17857.0	16671.0	16945.0	18224.0	15904.0	20604.0	19873.0	17566.0	16442.0	19067.0	17034.0	18736.0	13300.0	14994.0	15700.0	14098.0	15520.0	16847.0	16582.0	17446.0	16819.0	17324.0	13645.0	15701.0	15766.0	16644.0	15143.0	14799.0	13830.0	16833.0	10830.0	11989.0	0.0	16834.0	18351.0	15513.0	16917.0	13203.0	14663.0	14983.0	16547.0	17581.0	18712.0
LiJ_2014__MH0399__bin.56	15588.0	16352.0	13426.0	11485.0	16580.0	13659.0	16919.0	10416.0	6087.0	17500.0	16329.0	19235.0	18909.0	17506.0	14792.0	17472.0	11143.0	18472.0	9197.0	15726.0	11547.0	15116.0	12304.0	15541.0	10538.0	2897.0	16061.0	16604.0	14661.0	15877.0	4673.0	15847.0	5308.0	15198.0	14324.0	4373.0	8277.0	8593.0	16834.0	0.0	4643.0	15820.0	11870.0	12861.0	14852.0	13750.0	11142.0	16747.0	12923.0
KarlssonFH_2013__S424__bin.7	17279.0	17817.0	14887.0	12492.0	19775.0	13485.0	20978.0	10667.0	6753.0	19322.0	17904.0	23152.0	21037.0	18623.0	16129.0	20511.0	11583.0	21649.0	8787.0	16580.0	12746.0	16472.0	12149.0	16755.0	11257.0	4118.0	18729.0	19005.0	15110.0	19378.0	2733.0	17306.0	3979.0	16948.0	15138.0	2545.0	8549.0	8390.0	18351.0	4643.0	0.0	16835.0	11803.0	12853.0	15762.0	14793.0	12130.0	18803.0	16015.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	16294.0	5919.0	15400.0	12047.0	17781.0	17350.0	18312.0	15944.0	16088.0	18149.0	15955.0	19361.0	17280.0	18480.0	16963.0	18528.0	16621.0	20021.0	14310.0	16519.0	15230.0	14957.0	15641.0	17118.0	17280.0	16039.0	17197.0	17640.0	15492.0	16171.0	16907.0	6153.0	14141.0	16123.0	12971.0	16657.0	11755.0	11772.0	15513.0	15820.0	16835.0	0.0	17158.0	14039.0	15525.0	15236.0	16599.0	18978.0	17821.0
LouisS_2016__AS50_6__bin.20	15576.0	16399.0	13899.0	11932.0	16233.0	15004.0	17145.0	7774.0	11935.0	17357.0	16329.0	18596.0	18546.0	17749.0	15234.0	16454.0	7844.0	18873.0	6758.0	14640.0	7563.0	14445.0	12867.0	14606.0	6690.0	11820.0	16356.0	16443.0	14475.0	16307.0	11670.0	16692.0	12435.0	15554.0	14735.0	12181.0	9061.0	6026.0	16917.0	11870.0	11803.0	17158.0	0.0	12663.0	14453.0	14344.0	7939.0	16034.0	13391.0
ZeeviD_2015__PNP_Main_58__bin.47	12383.0	12843.0	11511.0	9573.0	13380.0	14991.0	13485.0	12186.0	12218.0	13384.0	12791.0	15077.0	13943.0	13431.0	12606.0	13301.0	12846.0	14005.0	10554.0	11647.0	11472.0	11800.0	11554.0	12776.0	12302.0	12545.0	12091.0	12409.0	10405.0	11709.0	12742.0	12470.0	13026.0	11238.0	9833.0	11909.0	8988.0	10220.0	13203.0	12861.0	12853.0	14039.0	12663.0	0.0	12404.0	11030.0	13552.0	12730.0	12829.0
BritoIL_2016__WL.11.ST__bin.9	15019.0	15245.0	13863.0	10421.0	15576.0	17426.0	15344.0	15113.0	15203.0	15967.0	14830.0	16883.0	17253.0	16576.0	15603.0	15337.0	15417.0	17325.0	12976.0	14918.0	14029.0	13445.0	14834.0	15793.0	15338.0	15261.0	16304.0	16554.0	13517.0	14597.0	15050.0	15879.0	14834.0	14167.0	13107.0	14982.0	9752.0	11718.0	14663.0	14852.0	15762.0	15525.0	14453.0	12404.0	0.0	14176.0	15468.0	16809.0	16284.0
NielsenHB_2014__O2_UC44_2__bin.7	13618.0	14492.0	13810.0	10998.0	14037.0	17218.0	15195.0	14737.0	14458.0	14880.0	4225.0	16728.0	18052.0	16494.0	14679.0	16026.0	15279.0	16165.0	12729.0	13394.0	13362.0	13186.0	13690.0	14809.0	15547.0	14629.0	14667.0	14583.0	12144.0	12785.0	14489.0	15111.0	14371.0	13642.0	13276.0	14221.0	9274.0	10544.0	14983.0	13750.0	14793.0	15236.0	14344.0	11030.0	14176.0	0.0	14402.0	15034.0	15061.0
VincentC_2016__MM050.4__bin.29	15734.0	16655.0	13725.0	11485.0	17448.0	14581.0	18149.0	6106.0	11449.0	17725.0	17506.0	19426.0	18737.0	17994.0	15645.0	18514.0	5819.0	20431.0	5634.0	15999.0	6225.0	15318.0	12876.0	15951.0	6462.0	11156.0	17083.0	17694.0	14886.0	15267.0	10729.0	16153.0	11770.0	15900.0	14527.0	10988.0	8938.0	2603.0	16547.0	11142.0	12130.0	16599.0	7939.0	13552.0	15468.0	14402.0	0.0	17411.0	13268.0
RaymondF_2016__P13E0__bin.35	17541.0	17793.0	15600.0	12504.0	17385.0	20630.0	18777.0	18113.0	17988.0	19638.0	18173.0	21957.0	19972.0	19009.0	18679.0	19395.0	19050.0	22395.0	13572.0	16717.0	15751.0	15643.0	15750.0	18424.0	17194.0	17846.0	1256.0	700.0	16137.0	17196.0	17476.0	18697.0	17011.0	16202.0	14389.0	17495.0	10635.0	12192.0	17581.0	16747.0	18803.0	18978.0	16034.0	12730.0	16809.0	15034.0	17411.0	0.0	19208.0
XieH_2016__YSZC12003_35837__bin.36	17117.0	17155.0	14623.0	12094.0	20071.0	15842.0	19291.0	12483.0	15023.0	20395.0	17421.0	22266.0	20630.0	18730.0	16800.0	21379.0	14100.0	21516.0	10522.0	16181.0	14510.0	16605.0	11648.0	17615.0	12258.0	14359.0	18676.0	19261.0	15742.0	19250.0	13011.0	17799.0	13199.0	16498.0	15406.0	14110.0	8799.0	9971.0	18712.0	12923.0	16015.0	17821.0	13391.0	12829.0	16284.0	15061.0	13268.0	19208.0	0.0
