	XieH_2016__YSZC12003_37584__bin.36	RaymondF_2016__P1E0__bin.6	FengQ_2015__SID530623__bin.65	LiJ_2014__MH0339__bin.38	HMP_2012__SRS042628__bin.32	XieH_2016__YSZC12003_36453__bin.3	LiJ_2017__H3M517925__bin.17	ZeeviD_2015__PNP_Main_750__bin.36	XieH_2016__YSZC12003_37265R1__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	XieH_2016__YSZC12003_35733__bin.124	LiJ_2017__H1M513729__bin.13	QinJ_2012__NOF008__bin.29	YuJ_2015__SZAXPI015264-87__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	ZeeviD_2015__PNP_Main_527__bin.29	ZeeviD_2015__PNP_Main_632__bin.39	LeChatelierE_2013__MH0197__bin.43	HMP_2012__SRS011134__bin.14	LiuW_2016__SRR3993016__bin.24	ZeeviD_2015__PNP_Main_701__bin.12	CosteaPI_2017__SID713B061-11-0-0__bin.34	VincentC_2016__MM037.1__bin.8	XieH_2016__YSZC12003_37314__bin.79	ZellerG_2014__CCIS20795251ST-4-0__bin.46	KarlssonFH_2013__S195__bin.33	XieH_2016__YSZC12003_36011__bin.52	RaymondF_2016__P13E90__bin.36	ZellerG_2014__CCMD72895164ST-21-0__bin.36	LiJ_2014__V1.FI28__bin.87	XieH_2016__YSZC12003_35999__bin.12	ZeeviD_2015__PNP_Validation_13__bin.40	XieH_2016__YSZC12003_35549__bin.24	KarlssonFH_2013__S488__bin.33	ZellerG_2014__CCMD87156761ST-21-0__bin.36	XieH_2016__YSZC12003_37330__bin.31	BackhedF_2015__SID105_M__bin.46	VincentC_2016__MM050.3__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	LiJ_2014__MH0399__bin.56	KarlssonFH_2013__S424__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	LouisS_2016__AS50_6__bin.20	ZeeviD_2015__PNP_Main_58__bin.47	BritoIL_2016__WL.11.ST__bin.9	NielsenHB_2014__O2_UC44_2__bin.7	VincentC_2016__MM050.4__bin.29	RaymondF_2016__P13E0__bin.35	XieH_2016__YSZC12003_35837__bin.36
XieH_2016__YSZC12003_35733__bin.124	16090.0	17053.0	15502.0	12035.0	16123.0	17881.0	16677.0	16872.0	16897.0	17758.0	0.0	18998.0	18537.0	17301.0	17469.0	18037.0	17928.0	19399.0	12805.0	14786.0	14810.0	14578.0	15913.0	17187.0	16382.0	16328.0	16992.0	17406.0	14611.0	15282.0	16829.0	17060.0	16248.0	15958.0	14262.0	16384.0	10789.0	11589.0	15904.0	16329.0	17904.0	15955.0	16329.0	12791.0	14830.0	4225.0	17506.0	18173.0	17421.0
LiJ_2017__H1M513729__bin.13	19904.0	19773.0	17278.0	12675.0	20707.0	21709.0	17508.0	18739.0	22027.0	20909.0	18998.0	0.0	17877.0	8860.0	20471.0	20856.0	20297.0	22803.0	14800.0	17798.0	18335.0	16907.0	17028.0	20951.0	18552.0	21388.0	20846.0	21168.0	17275.0	21096.0	19195.0	20178.0	19811.0	16709.0	16239.0	19004.0	11564.0	13501.0	20604.0	19235.0	23152.0	19361.0	18596.0	15077.0	16883.0	16728.0	19426.0	21957.0	22266.0
QinJ_2012__NOF008__bin.29	19626.0	19610.0	17696.0	12887.0	20326.0	20280.0	19489.0	19581.0	19933.0	20910.0	18537.0	17877.0	0.0	16102.0	19538.0	20371.0	20049.0	23144.0	16228.0	17755.0	18348.0	15704.0	16658.0	20045.0	20671.0	20053.0	18432.0	19745.0	16615.0	19896.0	19088.0	19678.0	18483.0	16497.0	15986.0	19428.0	11328.0	13321.0	19873.0	18909.0	21037.0	17280.0	18546.0	13943.0	17253.0	18052.0	18737.0	19972.0	20630.0
YuJ_2015__SZAXPI015264-87__bin.26	17271.0	17426.0	15529.0	12691.0	17906.0	20443.0	15593.0	17053.0	17988.0	18604.0	17301.0	8860.0	16102.0	0.0	18031.0	18337.0	18385.0	21425.0	15127.0	16712.0	16919.0	16031.0	16377.0	17977.0	17064.0	18247.0	18071.0	18570.0	16125.0	16777.0	17598.0	18317.0	18765.0	15732.0	15525.0	17496.0	11788.0	12801.0	17566.0	17506.0	18623.0	18480.0	17749.0	13431.0	16576.0	16494.0	17994.0	19009.0	18730.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	17993.0	16659.0	4732.0	12378.0	18425.0	17727.0	18299.0	14554.0	15526.0	18420.0	17469.0	20471.0	19538.0	18031.0	0.0	18214.0	15822.0	20873.0	11780.0	15436.0	13480.0	14810.0	13523.0	4568.0	14251.0	16119.0	17613.0	18308.0	15701.0	17245.0	14533.0	16179.0	15273.0	16119.0	14791.0	15465.0	9789.0	10893.0	16442.0	14792.0	16129.0	16963.0	15234.0	12606.0	15603.0	14679.0	15645.0	18679.0	16800.0
ZeeviD_2015__PNP_Main_527__bin.29	17922.0	18298.0	17129.0	12037.0	19156.0	20229.0	21472.0	18451.0	18742.0	19133.0	18037.0	20856.0	20371.0	18337.0	18214.0	0.0	18821.0	21928.0	13714.0	16812.0	17545.0	15627.0	16596.0	19277.0	18779.0	20218.0	19734.0	19060.0	15610.0	17323.0	18477.0	18349.0	17433.0	15753.0	15379.0	18680.0	11254.0	13102.0	19067.0	17472.0	20511.0	18528.0	16454.0	13301.0	15337.0	16026.0	18514.0	19395.0	21379.0
ZeeviD_2015__PNP_Main_632__bin.39	16577.0	16261.0	15038.0	11945.0	19786.0	14736.0	19315.0	5859.0	11777.0	18279.0	17928.0	20297.0	20049.0	18385.0	15822.0	18821.0	0.0	20757.0	4615.0	15144.0	6043.0	15646.0	12517.0	16149.0	5359.0	11330.0	17804.0	18878.0	15493.0	16242.0	11007.0	16521.0	11286.0	16555.0	15007.0	10724.0	8716.0	4662.0	17034.0	11143.0	11583.0	16621.0	7844.0	12846.0	15417.0	15279.0	5819.0	19050.0	14100.0
LeChatelierE_2013__MH0197__bin.43	19635.0	20170.0	18161.0	12750.0	21501.0	23390.0	22594.0	19670.0	20605.0	21145.0	19399.0	22803.0	23144.0	21425.0	20873.0	21928.0	20757.0	0.0	15277.0	19540.0	17763.0	16023.0	18442.0	20974.0	19743.0	20430.0	21708.0	21160.0	17056.0	14832.0	20550.0	21195.0	19892.0	18261.0	15681.0	19065.0	11398.0	12604.0	18736.0	18472.0	21649.0	20021.0	18873.0	14005.0	17325.0	16165.0	20431.0	22395.0	21516.0
HMP_2012__SRS011134__bin.14	12169.0	12767.0	11602.0	10273.0	12719.0	12379.0	13618.0	4501.0	9083.0	13716.0	12805.0	14800.0	16228.0	15127.0	11780.0	13714.0	4615.0	15277.0	0.0	12051.0	4933.0	13463.0	10136.0	11651.0	5795.0	8494.0	13240.0	13120.0	10904.0	12284.0	8880.0	12353.0	9824.0	12398.0	11770.0	8471.0	7775.0	4975.0	13300.0	9197.0	8787.0	14310.0	6758.0	10554.0	12976.0	12729.0	5634.0	13572.0	10522.0
LiuW_2016__SRR3993016__bin.24	14353.0	16175.0	13984.0	11089.0	15718.0	18127.0	16367.0	15796.0	15746.0	16476.0	14786.0	17798.0	17755.0	16712.0	15436.0	16812.0	15144.0	19540.0	12051.0	0.0	14879.0	13904.0	14603.0	15122.0	17049.0	16231.0	16224.0	16453.0	13584.0	14675.0	15074.0	15677.0	15276.0	14916.0	13467.0	15149.0	9574.0	11398.0	14994.0	15726.0	16580.0	16519.0	14640.0	11647.0	14918.0	13394.0	15999.0	16717.0	16181.0
ZeeviD_2015__PNP_Main_701__bin.12	14724.0	14927.0	13492.0	11197.0	15887.0	13731.0	16752.0	5995.0	12404.0	16766.0	14810.0	18335.0	18348.0	16919.0	13480.0	17545.0	6043.0	17763.0	4933.0	14879.0	0.0	15613.0	11487.0	14344.0	6269.0	11771.0	16086.0	16018.0	13066.0	15094.0	10556.0	14958.0	11491.0	14734.0	13683.0	11114.0	8482.0	5047.0	15700.0	11547.0	12746.0	15230.0	7563.0	11472.0	14029.0	13362.0	6225.0	15751.0	14510.0
CosteaPI_2017__SID713B061-11-0-0__bin.34	14276.0	14512.0	13945.0	11072.0	15122.0	15562.0	15769.0	15350.0	15423.0	15952.0	14578.0	16907.0	15704.0	16031.0	14810.0	15627.0	15646.0	16023.0	13463.0	13904.0	15613.0	0.0	14725.0	15324.0	13969.0	16080.0	15223.0	15597.0	13168.0	14136.0	16009.0	14457.0	14169.0	13765.0	12333.0	15498.0	10143.0	10923.0	14098.0	15116.0	16472.0	14957.0	14445.0	11800.0	13445.0	13186.0	15318.0	15643.0	16605.0
VincentC_2016__MM037.1__bin.8	14348.0	15347.0	11666.0	11106.0	14563.0	15255.0	15759.0	12004.0	11854.0	16318.0	15913.0	17028.0	16658.0	16377.0	13523.0	16596.0	12517.0	18442.0	10136.0	14603.0	11487.0	14725.0	0.0	13798.0	11845.0	11643.0	15576.0	15600.0	13968.0	14230.0	11536.0	15563.0	12418.0	14235.0	13382.0	11130.0	4954.0	9896.0	15520.0	12304.0	12149.0	15641.0	12867.0	11554.0	14834.0	13690.0	12876.0	15750.0	11648.0
XieH_2016__YSZC12003_37314__bin.79	16812.0	17053.0	5520.0	12093.0	17586.0	17059.0	18706.0	14497.0	15186.0	17945.0	17187.0	20951.0	20045.0	17977.0	4568.0	19277.0	16149.0	20974.0	11651.0	15122.0	14344.0	15324.0	13798.0	0.0	14249.0	16455.0	17525.0	18193.0	15343.0	17457.0	14430.0	16459.0	15231.0	15562.0	13800.0	14525.0	9636.0	11072.0	16847.0	15541.0	16755.0	17118.0	14606.0	12776.0	15793.0	14809.0	15951.0	18424.0	17615.0
ZellerG_2014__CCIS20795251ST-4-0__bin.46	15128.0	16674.0	12665.0	11744.0	17007.0	14524.0	18238.0	5645.0	11096.0	17727.0	16382.0	18552.0	20671.0	17064.0	14251.0	18779.0	5359.0	19743.0	5795.0	17049.0	6269.0	13969.0	11845.0	14249.0	0.0	10877.0	16378.0	16622.0	14138.0	15406.0	10491.0	16398.0	11430.0	16371.0	14203.0	10889.0	8934.0	5330.0	16582.0	10538.0	11257.0	17280.0	6690.0	12302.0	15338.0	15547.0	6462.0	17194.0	12258.0
KarlssonFH_2013__S195__bin.33	16606.0	16773.0	13967.0	11931.0	18224.0	13266.0	19770.0	10461.0	5561.0	18377.0	16328.0	21388.0	20053.0	18247.0	16119.0	20218.0	11330.0	20430.0	8494.0	16231.0	11771.0	16080.0	11643.0	16455.0	10877.0	0.0	17260.0	18289.0	14930.0	17931.0	3791.0	16709.0	5264.0	16079.0	14623.0	3787.0	8425.0	7936.0	17446.0	2897.0	4118.0	16039.0	11820.0	12545.0	15261.0	14629.0	11156.0	17846.0	14359.0
XieH_2016__YSZC12003_36011__bin.52	16376.0	16288.0	15400.0	11765.0	17053.0	19617.0	18886.0	16832.0	18514.0	18551.0	16992.0	20846.0	18432.0	18071.0	17613.0	19734.0	17804.0	21708.0	13240.0	16224.0	16086.0	15223.0	15576.0	17525.0	16378.0	17260.0	0.0	1163.0	15649.0	16345.0	17021.0	18045.0	16257.0	15014.0	14257.0	17245.0	10919.0	12003.0	16819.0	16061.0	18729.0	17197.0	16356.0	12091.0	16304.0	14667.0	17083.0	1256.0	18676.0
RaymondF_2016__P13E90__bin.36	17201.0	17311.0	15604.0	12383.0	17666.0	19945.0	18242.0	17327.0	18382.0	19533.0	17406.0	21168.0	19745.0	18570.0	18308.0	19060.0	18878.0	21160.0	13120.0	16453.0	16018.0	15597.0	15600.0	18193.0	16622.0	18289.0	1163.0	0.0	16259.0	17241.0	17166.0	18405.0	16768.0	15878.0	14725.0	17137.0	10805.0	12337.0	17324.0	16604.0	19005.0	17640.0	16443.0	12409.0	16554.0	14583.0	17694.0	700.0	19261.0
ZellerG_2014__CCMD72895164ST-21-0__bin.36	14601.0	14678.0	13751.0	10578.0	15341.0	17261.0	15744.0	14455.0	15161.0	15533.0	14611.0	17275.0	16615.0	16125.0	15701.0	15610.0	15493.0	17056.0	10904.0	13584.0	13066.0	13168.0	13968.0	15343.0	14138.0	14930.0	15649.0	16259.0	0.0	13642.0	14935.0	14880.0	14558.0	13050.0	8956.0	14445.0	9207.0	10438.0	13645.0	14661.0	15110.0	15492.0	14475.0	10405.0	13517.0	12144.0	14886.0	16137.0	15742.0
LiJ_2014__V1.FI28__bin.87	16829.0	16169.0	14957.0	11499.0	16443.0	17682.0	18701.0	15679.0	17772.0	18387.0	15282.0	21096.0	19896.0	16777.0	17245.0	17323.0	16242.0	14832.0	12284.0	14675.0	15094.0	14136.0	14230.0	17457.0	15406.0	17931.0	16345.0	17241.0	13642.0	0.0	15761.0	15746.0	15651.0	14626.0	14102.0	16978.0	10407.0	10893.0	15701.0	15877.0	19378.0	16171.0	16307.0	11709.0	14597.0	12785.0	15267.0	17196.0	19250.0
XieH_2016__YSZC12003_35999__bin.12	15683.0	16508.0	13583.0	11987.0	17029.0	12764.0	17488.0	10223.0	4115.0	17904.0	16829.0	19195.0	19088.0	17598.0	14533.0	18477.0	11007.0	20550.0	8880.0	15074.0	10556.0	16009.0	11536.0	14430.0	10491.0	3791.0	17021.0	17166.0	14935.0	15761.0	0.0	16827.0	3691.0	15116.0	14043.0	2764.0	8698.0	8406.0	15766.0	4673.0	2733.0	16907.0	11670.0	12742.0	15050.0	14489.0	10729.0	17476.0	13011.0
ZeeviD_2015__PNP_Validation_13__bin.40	15972.0	2526.0	15403.0	11705.0	16949.0	19214.0	17605.0	16057.0	16042.0	18276.0	17060.0	20178.0	19678.0	18317.0	16179.0	18349.0	16521.0	21195.0	12353.0	15677.0	14958.0	14457.0	15563.0	16459.0	16398.0	16709.0	18045.0	18405.0	14880.0	15746.0	16827.0	0.0	16241.0	15565.0	14185.0	16317.0	10971.0	11882.0	16644.0	15847.0	17306.0	6153.0	16692.0	12470.0	15879.0	15111.0	16153.0	18697.0	17799.0
