	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	LeChatelierE_2013__MH0040__bin.33	XieH_2016__YSZC12003_35740__bin.16	XieH_2016__YSZC12003_37100__bin.40	LiJ_2014__MH0389__bin.43	XieH_2016__YSZC12003_37105__bin.29	FengQ_2015__SID531663__bin.76	ZeeviD_2015__PNP_Main_140__bin.29	LiJ_2014__MH0259__bin.70	LeChatelierE_2013__MH0141__bin.13	ZeeviD_2015__PNP_Main_750__bin.13	LiJ_2014__MH0385__bin.51	XieH_2016__YSZC12003_37233__bin.75	LeChatelierE_2013__MH0313__bin.42	QinN_2014__LD-34__bin.13	YuJ_2015__SZAXPI003436-7__bin.52	QinJ_2012__T2D-043__bin.45	LeChatelierE_2013__MH0428__bin.9	ChengpingW_2017__AS38raw__bin.49	ZeeviD_2015__PNP_Validation_46__bin.25	RaymondF_2016__P9E0__bin.47	LeChatelierE_2013__MH0405__bin.63	LoombaR_2017__SID0012_qdz__bin.66	LiJ_2014__MH0401__bin.42	XieH_2016__YSZC12003_36058__bin.35	XieH_2016__YSZC12003_37208R1__bin.40	ZeeviD_2015__PNP_Main_586__bin.5	NielsenHB_2014__O2_UC60_0__bin.49	LiJ_2014__MH0265__bin.69	LeChatelierE_2013__MH0181__bin.2	LiJ_2014__MH0323__bin.40
ZeeviD_2015__PNP_Main_750__bin.13	16169.0	15951.0	18075.0	19198.0	18534.0	17786.0	16540.0	13684.0	17684.0	12206.0	0.0	16543.0	17942.0	12658.0	15156.0	23378.0	25750.0	17830.0	23021.0	16312.0	15032.0	18568.0	19263.0	2613.0	16905.0	19622.0	18951.0	17504.0	14644.0	5718.0	13891.0
LiJ_2014__MH0385__bin.51	15846.0	15835.0	16074.0	15743.0	17456.0	14793.0	14421.0	14735.0	17135.0	11622.0	16543.0	0.0	17260.0	12181.0	18044.0	23483.0	23594.0	14567.0	21753.0	14881.0	13982.0	16260.0	17946.0	5011.0	17654.0	20624.0	17410.0	18255.0	14405.0	6341.0	13226.0
XieH_2016__YSZC12003_37233__bin.75	16681.0	16484.0	17188.0	16779.0	20337.0	14841.0	14922.0	16152.0	19154.0	11699.0	17942.0	17260.0	0.0	13587.0	19183.0	23876.0	25374.0	15416.0	23426.0	16825.0	15299.0	17403.0	17976.0	6016.0	19636.0	22827.0	17854.0	20844.0	15743.0	7396.0	14029.0
LeChatelierE_2013__MH0313__bin.42	12354.0	13709.0	11972.0	11665.0	15213.0	10970.0	10551.0	12842.0	14142.0	9511.0	12658.0	12181.0	13587.0	0.0	16433.0	18422.0	17617.0	10513.0	16975.0	12751.0	10741.0	12596.0	13648.0	5837.0	14861.0	16563.0	13414.0	17070.0	11715.0	7252.0	11525.0
QinN_2014__LD-34__bin.13	16881.0	17248.0	16381.0	16911.0	19898.0	15223.0	14564.0	17128.0	19287.0	13239.0	15156.0	18044.0	19183.0	16433.0	0.0	12651.0	11551.0	14820.0	13408.0	15716.0	14277.0	15815.0	16428.0	10913.0	20221.0	20593.0	16014.0	22719.0	16538.0	12707.0	14853.0
YuJ_2015__SZAXPI003436-7__bin.52	23816.0	22218.0	25609.0	24821.0	26181.0	23748.0	22776.0	19831.0	25779.0	17273.0	23378.0	23483.0	23876.0	18422.0	12651.0	0.0	18179.0	24188.0	21537.0	21287.0	21131.0	25265.0	24996.0	4594.0	24854.0	26693.0	24174.0	24713.0	21148.0	8297.0	19374.0
QinJ_2012__T2D-043__bin.45	24033.0	22339.0	27453.0	27884.0	27594.0	26726.0	24373.0	20227.0	26289.0	18073.0	25750.0	23594.0	25374.0	17617.0	11551.0	18179.0	0.0	26739.0	23514.0	23129.0	22445.0	27165.0	28056.0	3195.0	26312.0	28780.0	27279.0	24645.0	21470.0	7414.0	19700.0
LeChatelierE_2013__MH0428__bin.9	15277.0	14680.0	17075.0	16963.0	17095.0	16173.0	14661.0	13312.0	16776.0	11121.0	17830.0	14567.0	15416.0	10513.0	14820.0	24188.0	26739.0	0.0	24186.0	14934.0	14216.0	17670.0	19869.0	2064.0	16499.0	20587.0	19278.0	18050.0	13161.0	4873.0	12977.0
ChengpingW_2017__AS38raw__bin.49	22040.0	21082.0	24875.0	26489.0	25275.0	24988.0	22340.0	18130.0	24251.0	15853.0	23021.0	21753.0	23426.0	16975.0	13408.0	21537.0	23514.0	24186.0	0.0	21078.0	20426.0	24706.0	25867.0	4151.0	24763.0	27340.0	24997.0	23707.0	19818.0	7446.0	18507.0
ZeeviD_2015__PNP_Validation_46__bin.25	15845.0	15164.0	16949.0	16102.0	17136.0	15876.0	14291.0	15243.0	17118.0	10858.0	16312.0	14881.0	16825.0	12751.0	15716.0	21287.0	23129.0	14934.0	21078.0	0.0	14230.0	14660.0	17651.0	5253.0	18095.0	20419.0	17135.0	17701.0	14344.0	6776.0	13606.0
RaymondF_2016__P9E0__bin.47	15098.0	14185.0	15144.0	14082.0	16526.0	12887.0	13115.0	12657.0	15505.0	9557.0	15032.0	13982.0	15299.0	10741.0	14277.0	21131.0	22445.0	14216.0	20426.0	14230.0	0.0	14829.0	16762.0	3489.0	16248.0	17784.0	16579.0	16315.0	12475.0	4927.0	11927.0
LeChatelierE_2013__MH0405__bin.63	17028.0	15805.0	19012.0	19924.0	18353.0	18702.0	16666.0	14356.0	17895.0	12597.0	18568.0	16260.0	17403.0	12596.0	15815.0	25265.0	27165.0	17670.0	24706.0	14660.0	14829.0	0.0	21217.0	3316.0	18311.0	21274.0	19536.0	18604.0	14766.0	5420.0	13710.0
LoombaR_2017__SID0012_qdz__bin.66	17348.0	17521.0	20376.0	21911.0	21429.0	19518.0	17612.0	15073.0	19905.0	13442.0	19263.0	17946.0	17976.0	13648.0	16428.0	24996.0	28056.0	19869.0	25867.0	17651.0	16762.0	21217.0	0.0	3001.0	19128.0	20765.0	20800.0	18860.0	16306.0	5832.0	15358.0
LiJ_2014__MH0401__bin.42	4143.0	5061.0	3116.0	3817.0	6590.0	3319.0	2755.0	6150.0	6572.0	2769.0	2613.0	5011.0	6016.0	5837.0	10913.0	4594.0	3195.0	2064.0	4151.0	5253.0	3489.0	3316.0	3001.0	0.0	7917.0	6870.0	3392.0	12770.0	4410.0	8681.0	3733.0
XieH_2016__YSZC12003_36058__bin.35	16851.0	18044.0	18011.0	18880.0	21935.0	16958.0	15770.0	17152.0	20558.0	12864.0	16905.0	17654.0	19636.0	14861.0	20221.0	24854.0	26312.0	16499.0	24763.0	18095.0	16248.0	18311.0	19128.0	7917.0	0.0	23241.0	18275.0	21849.0	16409.0	8909.0	15530.0
XieH_2016__YSZC12003_37208R1__bin.40	18916.0	20977.0	22295.0	22434.0	24872.0	20937.0	18850.0	17899.0	23711.0	15238.0	19622.0	20624.0	22827.0	16563.0	20593.0	26693.0	28780.0	20587.0	27340.0	20419.0	17784.0	21274.0	20765.0	6870.0	23241.0	0.0	21653.0	23076.0	19132.0	7913.0	17747.0
ZeeviD_2015__PNP_Main_586__bin.5	16711.0	17344.0	20324.0	19288.0	19518.0	18941.0	17542.0	14645.0	18508.0	13589.0	18951.0	17410.0	17854.0	13414.0	16014.0	24174.0	27279.0	19278.0	24997.0	17135.0	16579.0	19536.0	20800.0	3392.0	18275.0	21653.0	0.0	18785.0	15444.0	5775.0	13962.0
NielsenHB_2014__O2_UC60_0__bin.49	17279.0	18963.0	18716.0	19714.0	22175.0	18054.0	16879.0	17937.0	21723.0	13583.0	17504.0	18255.0	20844.0	17070.0	22719.0	24713.0	24645.0	18050.0	23707.0	17701.0	16315.0	18604.0	18860.0	12770.0	21849.0	23076.0	18785.0	0.0	17071.0	13583.0	15658.0
LiJ_2014__MH0265__bin.69	14316.0	15226.0	14614.0	15235.0	17091.0	14279.0	12971.0	13693.0	15706.0	10380.0	14644.0	14405.0	15743.0	11715.0	16538.0	21148.0	21470.0	13161.0	19818.0	14344.0	12475.0	14766.0	16306.0	4410.0	16409.0	19132.0	15444.0	17071.0	0.0	6088.0	12511.0
LeChatelierE_2013__MH0181__bin.2	6077.0	7187.0	5163.0	5680.0	8176.0	5376.0	5267.0	7760.0	7988.0	5204.0	5718.0	6341.0	7396.0	7252.0	12707.0	8297.0	7414.0	4873.0	7446.0	6776.0	4927.0	5420.0	5832.0	8681.0	8909.0	7913.0	5775.0	13583.0	6088.0	0.0	6117.0
LiJ_2014__MH0323__bin.40	13617.0	14356.0	13442.0	13072.0	15262.0	12664.0	12674.0	12821.0	15284.0	9902.0	13891.0	13226.0	14029.0	11525.0	14853.0	19374.0	19700.0	12977.0	18507.0	13606.0	11927.0	13710.0	15358.0	3733.0	15530.0	17747.0	13962.0	15658.0	12511.0	6117.0	0.0
