	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
Obregon-TitoAJ_2015__SM43__bin.39	901972.0	1084665.0	2139821.0	2122511.0	1740099.0	2144770.0	1232991.0	2109936.0	1244903.0	1395583.0	2344197.0	1317826.0	2121826.0	1670339.0	1296232.0	1862166.0	2144317.0	2149505.0	1276259.0	1212732.0	1069863.0	2212919.0	2208990.0	1458658.0	2073500.0	948511.0	2170338.0	1819846.0	2139730.0	1408873.0	2155840.0	2139419.0	1858940.0	1069537.0	2165814.0	2091000.0	2157099.0	1198118.0	1345870.0
BritoIL_2016__W1.42.ST__bin.78	749760.0	869782.0	1332998.0	1331824.0	1110720.0	1313971.0	953071.0	1308069.0	956873.0	949828.0	1317826.0	1434428.0	1322427.0	1138384.0	895910.0	1225262.0	1343678.0	1330850.0	984627.0	956185.0	864443.0	1350215.0	1349604.0	1013014.0	1310203.0	745126.0	1343432.0	1189442.0	1325120.0	1014540.0	1334408.0	1331962.0	1188415.0	771439.0	1342654.0	1293112.0	1347622.0	947611.0	880304.0
BritoIL_2016__WL.26.ST__bin.47	951222.0	1134048.0	2119302.0	2159715.0	1710066.0	2131615.0	1228441.0	2096978.0	1278811.0	1381079.0	2121826.0	1322427.0	2348223.0	1683461.0	1286517.0	1863246.0	2207711.0	2173184.0	1345130.0	1224881.0	1064603.0	2213909.0	2204476.0	1457577.0	2119051.0	928553.0	2203968.0	1813390.0	2134871.0	1421553.0	2131902.0	2191118.0	1847322.0	1087921.0	2198174.0	2057847.0	2192541.0	1198385.0	1333091.0
BritoIL_2016__W1.40.ST__bin.10	874990.0	1056501.0	1673500.0	1665236.0	1369603.0	1690975.0	1185058.0	1627461.0	1191969.0	1151289.0	1670339.0	1138384.0	1683461.0	1807585.0	1071678.0	1498165.0	1673873.0	1672728.0	1234504.0	1156667.0	1029842.0	1714672.0	1701665.0	1232665.0	1622274.0	915120.0	1690156.0	1451705.0	1677034.0	1354729.0	1658675.0	1682470.0	1472938.0	1044643.0	1667608.0	1634392.0	1679875.0	1142294.0	1126390.0
SmitsSA_2017__TZ_29321__bin.1	673211.0	805051.0	1328534.0	1293922.0	1096520.0	1290400.0	890811.0	1308965.0	895459.0	931331.0	1296232.0	895910.0	1286517.0	1071678.0	1510961.0	1182376.0	1307281.0	1307601.0	910931.0	867845.0	794457.0	1344373.0	1338243.0	973857.0	1274947.0	695699.0	1308567.0	1153610.0	1326942.0	958813.0	1300864.0	1286122.0	1202179.0	708098.0	1298208.0	1271942.0	1301895.0	875328.0	907789.0
DavidLA_2015__LD-Run2-11__bin.7	879872.0	1040286.0	1853215.0	1874287.0	1516696.0	1853844.0	1166171.0	1853781.0	1179028.0	1271607.0	1862166.0	1225262.0	1863246.0	1498165.0	1182376.0	2000558.0	1885062.0	1879521.0	1216405.0	1142876.0	1021035.0	1920134.0	1914689.0	1339775.0	1832264.0	885986.0	1905508.0	1631559.0	1875617.0	1300390.0	1869331.0	1869595.0	1687463.0	996046.0	1885192.0	1824167.0	1899720.0	1135364.0	1243359.0
BritoIL_2016__WL.28.ST__bin.21	955564.0	1104090.0	2137861.0	2206381.0	1731497.0	2140206.0	1235557.0	2117573.0	1287544.0	1410069.0	2144317.0	1343678.0	2207711.0	1673873.0	1307281.0	1885062.0	2331783.0	2194829.0	1319333.0	1221741.0	1085119.0	2242972.0	2214328.0	1478708.0	2134774.0	929895.0	2207291.0	1834715.0	2151370.0	1423058.0	2146486.0	2196977.0	1864451.0	1102638.0	2240841.0	2066617.0	2250357.0	1215958.0	1358471.0
CM_madagascar__A62_01_1FE__bin.65	932053.0	1101557.0	2145531.0	2171342.0	1737276.0	2164918.0	1216330.0	2122909.0	1300609.0	1405710.0	2149505.0	1330850.0	2173184.0	1672728.0	1307601.0	1879521.0	2194829.0	2359589.0	1309973.0	1230261.0	1065875.0	2252460.0	2224612.0	1471420.0	2125980.0	938016.0	2202679.0	1834145.0	2175652.0	1418024.0	2145072.0	2159979.0	1879661.0	1062449.0	2206093.0	2091783.0	2203678.0	1193775.0	1352779.0
BritoIL_2016__W1.22.ST__bin.59	929713.0	1053672.0	1312571.0	1324926.0	1083090.0	1311240.0	1103713.0	1276138.0	1116652.0	984564.0	1276259.0	984627.0	1345130.0	1234504.0	910931.0	1216405.0	1319333.0	1309973.0	1398055.0	1160364.0	1039579.0	1331696.0	1316941.0	1038194.0	1289801.0	886278.0	1322268.0	1169745.0	1285583.0	1142931.0	1296443.0	1306228.0	1195653.0	956196.0	1330248.0	1295911.0	1341322.0	1085593.0	954884.0
BritoIL_2016__W1.9.ST__bin.49	934283.0	1067074.0	1235658.0	1222715.0	1021124.0	1214662.0	1160795.0	1181767.0	1145242.0	947257.0	1212732.0	956185.0	1224881.0	1156667.0	867845.0	1142876.0	1221741.0	1230261.0	1160364.0	1301575.0	1098180.0	1259121.0	1245622.0	985739.0	1198215.0	938679.0	1244497.0	1091848.0	1218080.0	1124489.0	1216980.0	1235169.0	1141194.0	854320.0	1213657.0	1212263.0	1236702.0	1159252.0	886073.0
