	KarlssonFH_2013__S517__bin.51	BritoIL_2016__WL.11.ST__bin.23	LeChatelierE_2013__MH0247__bin.73	ZellerG_2014__CCIS90903952ST-3-0__bin.20	ZeeviD_2015__PNP_Main_65__bin.27	ZeeviD_2015__PNP_Main_216__bin.37	SchirmerM_2016__G88853__bin.18	ZellerG_2014__CCIS74239020ST-4-0__bin.25	LiJ_2014__MH0374__bin.3	BritoIL_2016__M1.24.ST__bin.68	BritoIL_2016__M1.37.ST__bin.55	CosteaPI_2017__tigress-11-60-0__bin.19	ZeeviD_2015__PNP_Main_391__bin.18	BritoIL_2016__M2.40.ST__bin.42	LeChatelierE_2013__MH0422__bin.89	CosteaPI_2017__tigress-11-2-0__bin.2	BritoIL_2016__M2.11.ST__bin.69	ZeeviD_2015__PNP_Main_357__bin.9	ZeeviD_2015__PNP_Validation_63__bin.18	ZeeviD_2015__PNP_Main_311__bin.24	YuJ_2015__SZAXPI017591-140__bin.72	WenC_2017__RA030__bin.18	LeChatelierE_2013__MH0428__bin.46	ZeeviD_2015__PNP_Main_310__bin.38	FengQ_2015__SID31549__bin.26	CosteaPI_2017__tigress-11-0-0__bin.31	ZeeviD_2015__PNP_Main_589__bin.70	SchirmerM_2016__G89030__bin.39	CosteaPI_2017__SID713B007-11-0-0__bin.12	LiJ_2014__MH0345__bin.67	CM_madagascar__V48_03_2FE__bin.12	ZeeviD_2015__PNP_Main_287__bin.67	SchirmerM_2016__G89199__bin.19	LeChatelierE_2013__MH0447__bin.112	BritoIL_2016__M2.36.ST__bin.81	ZeeviD_2015__PNP_Main_34__bin.13	BritoIL_2016__W1.44.ST__bin.5	SchirmerM_2016__G89113__bin.12	CosteaPI_2017__tigress-11-7-0__bin.36
CosteaPI_2017__tigress-11-60-0__bin.19	29228.0	45356.0	15347.0	26153.0	48577.0	32846.0	35581.0	25285.0	18932.0	29898.0	31102.0	0.0	31429.0	29201.0	29237.0	874.0	45998.0	29412.0	26094.0	30070.0	53407.0	45783.0	30405.0	30832.0	21937.0	424.0	21465.0	24729.0	29345.0	30706.0	49085.0	25179.0	22946.0	28887.0	32355.0	30219.0	55114.0	33899.0	408.0
ZeeviD_2015__PNP_Main_391__bin.18	31813.0	46302.0	17345.0	30673.0	49319.0	32681.0	35900.0	30297.0	18346.0	32836.0	33498.0	31429.0	0.0	31814.0	31216.0	29395.0	47211.0	29929.0	29575.0	32378.0	53321.0	45665.0	30637.0	32683.0	24888.0	31849.0	22743.0	27979.0	32344.0	32292.0	49953.0	27780.0	25322.0	31162.0	31754.0	29112.0	54865.0	36776.0	32306.0
BritoIL_2016__M2.40.ST__bin.42	29029.0	41453.0	15757.0	28318.0	44676.0	30771.0	33313.0	28901.0	16095.0	4918.0	1746.0	29201.0	31814.0	0.0	29660.0	27809.0	42573.0	29109.0	27341.0	29733.0	47403.0	42037.0	30696.0	30866.0	22449.0	29902.0	20422.0	26255.0	28628.0	30804.0	44183.0	26221.0	23833.0	28257.0	28486.0	29328.0	50125.0	32970.0	30495.0
LeChatelierE_2013__MH0422__bin.89	26044.0	46604.0	15495.0	28426.0	50097.0	33594.0	36696.0	27552.0	18193.0	30841.0	31485.0	29237.0	31216.0	29660.0	0.0	26525.0	46438.0	30809.0	27077.0	26954.0	53909.0	46077.0	28548.0	30314.0	19750.0	29463.0	20137.0	27932.0	28120.0	27193.0	49112.0	25429.0	24041.0	26520.0	32820.0	30413.0	55958.0	34897.0	29916.0
CosteaPI_2017__tigress-11-2-0__bin.2	26936.0	42098.0	14155.0	24516.0	45933.0	30367.0	34066.0	24436.0	16498.0	27720.0	28740.0	874.0	29395.0	27809.0	26525.0	0.0	42267.0	26907.0	25111.0	27491.0	48146.0	43603.0	27957.0	28333.0	21099.0	989.0	20428.0	24553.0	26833.0	27834.0	46995.0	24129.0	22469.0	26943.0	29434.0	27830.0	51064.0	32157.0	916.0
BritoIL_2016__M2.11.ST__bin.69	46539.0	23685.0	24199.0	44896.0	35352.0	46670.0	36738.0	42965.0	24622.0	47151.0	44967.0	45998.0	47211.0	42573.0	46438.0	42267.0	0.0	44616.0	41185.0	46324.0	46744.0	42285.0	45411.0	45400.0	36595.0	45847.0	33824.0	41242.0	45657.0	45991.0	35824.0	40673.0	37549.0	44199.0	16050.0	44325.0	27205.0	43352.0	46586.0
ZeeviD_2015__PNP_Main_357__bin.9	29836.0	45251.0	14912.0	28417.0	48183.0	30481.0	35433.0	28771.0	17452.0	29945.0	30391.0	29412.0	29929.0	29109.0	30809.0	26907.0	44616.0	0.0	26692.0	29952.0	52384.0	45484.0	28333.0	30433.0	23171.0	29374.0	21465.0	23761.0	29054.0	30466.0	47643.0	25451.0	23470.0	29560.0	31646.0	28177.0	54999.0	35804.0	29348.0
ZeeviD_2015__PNP_Validation_63__bin.18	25786.0	40804.0	14247.0	24491.0	44063.0	28377.0	31720.0	25684.0	17057.0	27173.0	27793.0	26094.0	29575.0	27341.0	27077.0	25111.0	41185.0	26692.0	0.0	26292.0	46590.0	40247.0	27373.0	27976.0	21331.0	26745.0	20201.0	24707.0	25967.0	26555.0	43217.0	24195.0	21458.0	25489.0	28439.0	27433.0	47710.0	31130.0	26914.0
ZeeviD_2015__PNP_Main_311__bin.24	8474.0	46660.0	15481.0	29097.0	49195.0	33015.0	36610.0	29094.0	17169.0	30269.0	31369.0	30070.0	32378.0	29733.0	26954.0	27491.0	46324.0	29952.0	26292.0	0.0	54983.0	45898.0	28335.0	31448.0	22435.0	30546.0	20604.0	27565.0	27473.0	17070.0	49842.0	26423.0	24334.0	28239.0	32295.0	29655.0	55493.0	36153.0	31128.0
YuJ_2015__SZAXPI017591-140__bin.72	54043.0	44034.0	28439.0	50607.0	47751.0	54243.0	38894.0	47943.0	29480.0	52577.0	51724.0	53407.0	53321.0	47403.0	53909.0	48146.0	46744.0	52384.0	46590.0	54983.0	0.0	36152.0	50826.0	55261.0	39878.0	54223.0	37811.0	46382.0	53970.0	53890.0	48112.0	46857.0	41529.0	50994.0	30745.0	51156.0	52314.0	47390.0	54854.0
