	ZeeviD_2015__PNP_Main_364__bin.14	Obregon-TitoAJ_2015__SM11__bin.23	Obregon-TitoAJ_2015__SM01__bin.37	WenC_2017__N021__bin.24	RampelliS_2015__H21__bin.9	CosteaPI_2017__SID713B044-11-90-0__bin.58	QinN_2014__LV-11__bin.4	LiuW_2016__SRR3993043__bin.20	LiuW_2016__SRR3993054__bin.15	LiuW_2016__SRR3992980__bin.37	CosteaPI_2017__SID713B044-11-0-0__bin.44	LiJ_2014__MH0400__bin.45	LiuW_2016__SRR3992978__bin.42	ZeeviD_2015__PNP_Main_293__bin.1	YuJ_2015__SZAXPI015220-136__bin.34	LiuW_2016__SRR3992956__bin.43	ZeeviD_2015__PNP_Main_634__bin.23	LiuW_2016__SRR3992966__bin.11	Obregon-TitoAJ_2015__SM42__bin.24	NielsenHB_2014__O2_UC12_2__bin.35	ZeeviD_2015__PNP_Main_538__bin.7	LiuW_2016__SRR3993034__bin.53	LiJ_2014__MH0357__bin.54	LiuW_2016__SRR3992961__bin.41	LiuW_2016__SRR3993001__bin.60	Obregon-TitoAJ_2015__SM25__bin.54
ZeeviD_2015__PNP_Main_634__bin.23	48568.0	59376.0	62174.0	41163.0	73442.0	62963.0	45474.0	59992.0	52419.0	46360.0	60680.0	46789.0	64117.0	36491.0	34476.0	51107.0	0.0	46316.0	42950.0	42562.0	55290.0	44287.0	34110.0	42346.0	40305.0	50605.0
LiuW_2016__SRR3992966__bin.11	41231.0	44135.0	50131.0	43308.0	52486.0	38749.0	44927.0	37266.0	37027.0	31073.0	36406.0	48300.0	38556.0	36523.0	28597.0	967.0	46316.0	0.0	34920.0	46051.0	46463.0	23867.0	33887.0	31364.0	27363.0	46088.0
Obregon-TitoAJ_2015__SM42__bin.24	36877.0	29765.0	35309.0	37178.0	46552.0	41591.0	39522.0	36789.0	35055.0	31548.0	40141.0	40000.0	41432.0	31977.0	24846.0	37491.0	42950.0	34920.0	0.0	37907.0	37820.0	32698.0	26464.0	33048.0	31301.0	36251.0
NielsenHB_2014__O2_UC12_2__bin.35	47085.0	52923.0	61091.0	40728.0	74959.0	59411.0	46842.0	59932.0	51766.0	44993.0	57878.0	19431.0	60914.0	34375.0	34643.0	51793.0	42562.0	46051.0	37907.0	0.0	54156.0	43890.0	19537.0	40851.0	39247.0	50971.0
ZeeviD_2015__PNP_Main_538__bin.7	55150.0	56578.0	64087.0	34151.0	74614.0	62964.0	38073.0	59623.0	52227.0	45665.0	59281.0	57078.0	61211.0	44819.0	31597.0	51927.0	55290.0	46463.0	37820.0	54156.0	0.0	43955.0	42577.0	42922.0	38113.0	52051.0
LiuW_2016__SRR3993034__bin.53	39577.0	43745.0	46482.0	39975.0	49214.0	37903.0	41745.0	36090.0	36242.0	30022.0	37011.0	45337.0	37296.0	31771.0	31140.0	26549.0	44287.0	23867.0	32698.0	43890.0	43955.0	0.0	34626.0	29263.0	25133.0	40601.0
LiJ_2014__MH0357__bin.54	37544.0	43184.0	48668.0	31208.0	61208.0	50991.0	35514.0	49382.0	40564.0	34870.0	48690.0	23572.0	48948.0	28121.0	36070.0	39592.0	34110.0	33887.0	26464.0	19537.0	42577.0	34626.0	0.0	29802.0	29182.0	39615.0
LiuW_2016__SRR3992961__bin.41	38898.0	39949.0	42668.0	40949.0	47794.0	37479.0	42899.0	31415.0	3471.0	28538.0	36474.0	43660.0	34385.0	36905.0	23795.0	34833.0	42346.0	31364.0	33048.0	40851.0	42922.0	29263.0	29802.0	0.0	27150.0	42201.0
LiuW_2016__SRR3993001__bin.60	35169.0	37268.0	39353.0	35440.0	43447.0	31910.0	37619.0	32593.0	32820.0	27257.0	31815.0	39243.0	32637.0	32415.0	24320.0	30829.0	40305.0	27363.0	31301.0	39247.0	38113.0	25133.0	29182.0	27150.0	0.0	38446.0
Obregon-TitoAJ_2015__SM25__bin.54	46670.0	43552.0	41999.0	46763.0	60878.0	53506.0	49765.0	51113.0	46614.0	44113.0	50497.0	51929.0	53587.0	43099.0	32488.0	48895.0	50605.0	46088.0	36251.0	50971.0	52051.0	40601.0	39615.0	42201.0	38446.0	0.0
