	XieH_2016__YSZC12003_35992__bin.76	XieH_2016__YSZC12003_37316__bin.20	VatanenT_2016__G80346__bin.3	LiuW_2016__SRR3992995__bin.98	CosteaPI_2017__SID713A004-11-0-0__bin.5	XieH_2016__YSZC12003_37797__bin.48	LeChatelierE_2013__MH0197__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	XieH_2016__YSZC12003_37207R1__bin.22	FengQ_2015__SID530185__bin.3	LiJ_2014__V1.UC58-4__bin.63	XieH_2016__YSZC12003_35520__bin.39	XieH_2016__YSZC12003_37133__bin.42	CosteaPI_2017__SID713A051-11-0-0__bin.109	XieH_2016__YSZC12003_36057__bin.67	XieH_2016__YSZC12003_36119__bin.34	XieH_2016__YSZC12003_35515__bin.16	ZeeviD_2015__PNP_DietIntervention_45__bin.3	ZeeviD_2015__PNP_DietIntervention_54__bin.31	FengQ_2015__SID31881__bin.29	XieH_2016__YSZC12003_37293__bin.31	XieH_2016__YSZC12003_35733__bin.125	XieH_2016__YSZC12003_37830__bin.41	XieH_2016__YSZC12003_36699__bin.36	XieH_2016__YSZC12003_37233__bin.41	LiuW_2016__SRR3992973__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	FengQ_2015__SID31872__bin.14	HeQ_2017__SZAXPI029573-88__bin.60	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10
XieH_2016__YSZC12003_36119__bin.34	55743.0	56061.0	44000.0	37444.0	59356.0	31073.0	52070.0	57854.0	58371.0	20129.0	42875.0	56642.0	57973.0	60306.0	48288.0	0.0	58038.0	56544.0	36107.0	57240.0	44759.0	51428.0	57685.0	57103.0	58734.0	63040.0	46380.0	56507.0	48415.0	37922.0
XieH_2016__YSZC12003_35515__bin.16	58325.0	60445.0	43478.0	37005.0	58611.0	58098.0	52660.0	58379.0	59759.0	40474.0	44642.0	59883.0	59376.0	59178.0	49937.0	58038.0	0.0	56885.0	36827.0	59640.0	49211.0	52282.0	58336.0	58166.0	57652.0	61025.0	52998.0	56732.0	47453.0	39463.0
ZeeviD_2015__PNP_DietIntervention_45__bin.3	56332.0	56461.0	36500.0	32899.0	55897.0	56772.0	49441.0	55664.0	57151.0	40453.0	42909.0	56333.0	56971.0	56698.0	48607.0	56544.0	56885.0	0.0	1783.0	55671.0	47929.0	50991.0	58650.0	56447.0	56445.0	59898.0	51261.0	55605.0	47199.0	38438.0
ZeeviD_2015__PNP_DietIntervention_54__bin.31	35940.0	36025.0	24265.0	22313.0	36296.0	36422.0	32280.0	35520.0	36035.0	26436.0	28617.0	36384.0	36642.0	36466.0	32604.0	36107.0	36827.0	1783.0	0.0	36134.0	30701.0	33786.0	38341.0	36984.0	37266.0	37919.0	33689.0	35007.0	31340.0	25525.0
FengQ_2015__SID31881__bin.29	59709.0	57320.0	42294.0	37563.0	61350.0	59188.0	50925.0	57378.0	62082.0	40001.0	44558.0	59430.0	61967.0	60004.0	50179.0	57240.0	59640.0	55671.0	36134.0	0.0	50062.0	53030.0	57980.0	57512.0	56785.0	60896.0	52400.0	55260.0	48105.0	38910.0
XieH_2016__YSZC12003_37293__bin.31	51616.0	40768.0	34220.0	34395.0	52301.0	51342.0	42745.0	51363.0	52508.0	34595.0	37237.0	43036.0	52793.0	50914.0	40989.0	44759.0	49211.0	47929.0	30701.0	50062.0	0.0	43681.0	51097.0	49710.0	48273.0	52374.0	42425.0	48461.0	40023.0	34009.0
XieH_2016__YSZC12003_35733__bin.125	52227.0	51032.0	38977.0	35074.0	52250.0	52504.0	46497.0	51699.0	53767.0	37736.0	40471.0	52507.0	53481.0	51999.0	45381.0	51428.0	52282.0	50991.0	33786.0	53030.0	43681.0	0.0	54183.0	51129.0	51053.0	54605.0	47696.0	50636.0	43807.0	35411.0
XieH_2016__YSZC12003_37830__bin.41	58663.0	58167.0	45281.0	37054.0	62951.0	59131.0	52227.0	57482.0	60196.0	40482.0	44930.0	60254.0	64751.0	60088.0	53090.0	57685.0	58336.0	58650.0	38341.0	57980.0	51097.0	54183.0	0.0	57112.0	59508.0	63219.0	54300.0	56569.0	49824.0	39691.0
XieH_2016__YSZC12003_36699__bin.36	49788.0	58724.0	43138.0	35915.0	59966.0	57416.0	50820.0	37407.0	59502.0	39980.0	45167.0	58668.0	58988.0	58634.0	49630.0	57103.0	58166.0	56447.0	36984.0	57512.0	49710.0	51129.0	57112.0	0.0	55718.0	60389.0	54440.0	55458.0	47203.0	24873.0
XieH_2016__YSZC12003_37233__bin.41	55923.0	59721.0	42934.0	35912.0	57964.0	58246.0	51596.0	55608.0	59968.0	40868.0	42627.0	58420.0	58293.0	57789.0	49510.0	58734.0	57652.0	56445.0	37266.0	56785.0	48273.0	51053.0	59508.0	55718.0	0.0	62610.0	52003.0	56723.0	47898.0	37226.0
LiuW_2016__SRR3992973__bin.1	61130.0	62336.0	44718.0	37047.0	60900.0	62549.0	54863.0	62023.0	64536.0	44361.0	47190.0	62058.0	62097.0	59391.0	54221.0	63040.0	61025.0	59898.0	37919.0	60896.0	52374.0	54605.0	63219.0	60389.0	62610.0	0.0	57420.0	60233.0	43150.0	43097.0
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	52530.0	50520.0	39112.0	35202.0	55654.0	45412.0	47857.0	53422.0	53927.0	33180.0	41843.0	50115.0	55222.0	54026.0	20785.0	46380.0	52998.0	51261.0	33689.0	52400.0	42425.0	47696.0	54300.0	54440.0	52003.0	57420.0	0.0	52173.0	44762.0	36566.0
FengQ_2015__SID31872__bin.14	55067.0	55943.0	41795.0	35055.0	57174.0	57610.0	49388.0	57180.0	57465.0	39653.0	42195.0	54754.0	55856.0	57328.0	47324.0	56507.0	56732.0	55605.0	35007.0	55260.0	48461.0	50636.0	56569.0	55458.0	56723.0	60233.0	52173.0	0.0	45810.0	37392.0
HeQ_2017__SZAXPI029573-88__bin.60	47498.0	47560.0	35885.0	30348.0	46420.0	48727.0	44743.0	47520.0	48637.0	35802.0	38099.0	47599.0	48678.0	44243.0	43992.0	48415.0	47453.0	47199.0	31340.0	48105.0	40023.0	43807.0	49824.0	47203.0	47898.0	43150.0	44762.0	45810.0	0.0	33806.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10	31838.0	39752.0	29816.0	26640.0	40884.0	39778.0	35198.0	1675.0	40555.0	29525.0	32180.0	39432.0	40686.0	40902.0	34915.0	37922.0	39463.0	38438.0	25525.0	38910.0	34009.0	35411.0	39691.0	24873.0	37226.0	43097.0	36566.0	37392.0	33806.0	0.0
