	FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	HMP_2012__SRS057205__bin.57	BritoIL_2016__WL.28.SA__bin.2	HMP_2012__SRS017120__bin.71	BritoIL_2016__W3.22.SA__bin.20	HMP_2012__SRS024318__bin.50	CM_cf__CF_TNFC017SA_t1M16__bin.25	BritoIL_2016__W3.19.SA__bin.2	FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	HMP_2012__SRS022719__bin.3	BritoIL_2016__W1.44.SA__bin.1	CM_cf__CF_TNFC039SA_t1M16__bin.3	HMP_2012__SRS064329__bin.23	HMP_2012__SRS015762__bin.29	HMP_2012__SRS017076__bin.31	BritoIL_2016__M1.52.SA__bin.4	BritoIL_2016__WL.10.SA__bin.8	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	HMP_2012__SRS022721__bin.1	BritoIL_2016__WL.2.SA__bin.2	HMP_2012__SRS024138__bin.20	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	HMP_2012__SRS020220__bin.43	BritoIL_2016__M1.38.SA__bin.2	HMP_2012__SRS023352__bin.53	CM_cf__CF_TNFC039IS_t1M15__bin.16	CM_cf__CF_TNFC039IS_t2M15__bin.3	HMP_2012__SRS020856__bin.51	BritoIL_2016__W2.61.SA__bin.13	BritoIL_2016__W1.9.SA__bin.2	BritoIL_2016__WL.25.SA__bin.7	BackhedF_2015__SID589_12M__bin.44	HMP_2012__SRS016342__bin.54
BritoIL_2016__W1.44.SA__bin.1	47132.0	49092.0	36141.0	27589.0	49056.0	46688.0	47420.0	31183.0	49616.0	47793.0	0.0	47433.0	49232.0	25706.0	48937.0	28763.0	44860.0	40634.0	42398.0	29369.0	50974.0	52133.0	48797.0	46777.0	48588.0	47431.0	22847.0	51136.0	48493.0	34257.0	22825.0	35634.0	48588.0
CM_cf__CF_TNFC039SA_t1M16__bin.3	60132.0	66287.0	46587.0	36879.0	65129.0	61559.0	62563.0	40369.0	66049.0	64883.0	47433.0	0.0	66944.0	34413.0	64554.0	36042.0	59668.0	53902.0	56107.0	38144.0	66556.0	67070.0	65428.0	62750.0	62549.0	88.0	648.0	70432.0	66083.0	47976.0	29538.0	46274.0	65114.0
HMP_2012__SRS064329__bin.23	60004.0	66434.0	47271.0	38784.0	67015.0	64913.0	24830.0	41231.0	68059.0	67224.0	49232.0	66944.0	0.0	34883.0	66719.0	37551.0	61334.0	54221.0	57660.0	39215.0	69900.0	70145.0	68453.0	64097.0	66451.0	67008.0	30811.0	70083.0	67827.0	50490.0	30718.0	48246.0	67052.0
HMP_2012__SRS015762__bin.29	30805.0	239.0	29144.0	31536.0	33781.0	34951.0	31028.0	24591.0	33781.0	35203.0	25706.0	34413.0	34883.0	0.0	34259.0	20455.0	30860.0	27248.0	29709.0	21096.0	35761.0	36379.0	34003.0	33891.0	33652.0	34407.0	19274.0	34455.0	34783.0	28324.0	16773.0	28713.0	35337.0
HMP_2012__SRS017076__bin.31	41856.0	65417.0	47364.0	36924.0	66218.0	61981.0	64192.0	40079.0	64372.0	64111.0	48937.0	64554.0	66719.0	34259.0	0.0	37293.0	59477.0	52919.0	56164.0	38143.0	37610.0	67278.0	64717.0	62113.0	34118.0	64614.0	30438.0	69321.0	65195.0	48861.0	30303.0	47569.0	65268.0
BritoIL_2016__M1.52.SA__bin.4	36399.0	37081.0	27158.0	22751.0	36659.0	35222.0	36072.0	22660.0	36461.0	35351.0	28763.0	36042.0	37551.0	20455.0	37293.0	0.0	34022.0	31975.0	32367.0	22861.0	37826.0	38253.0	36766.0	36117.0	36372.0	36166.0	18142.0	39327.0	36739.0	27481.0	18982.0	27626.0	37198.0
BritoIL_2016__WL.10.SA__bin.8	54356.0	60667.0	43295.0	34414.0	58412.0	58436.0	59692.0	37408.0	60689.0	60033.0	44860.0	59668.0	61334.0	30860.0	59477.0	34022.0	0.0	48184.0	53073.0	33572.0	61506.0	61783.0	60794.0	17434.0	60056.0	59777.0	28748.0	61695.0	59326.0	43598.0	27231.0	44009.0	59172.0
FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	45856.0	54252.0	38445.0	30729.0	54561.0	51880.0	52395.0	33408.0	52699.0	55683.0	40634.0	53902.0	54221.0	27248.0	52919.0	31975.0	48184.0	0.0	47853.0	31839.0	54359.0	53763.0	54291.0	51298.0	52511.0	53796.0	24939.0	56236.0	54412.0	40228.0	25533.0	38025.0	52622.0
HMP_2012__SRS022721__bin.1	54705.0	58237.0	23327.0	32336.0	57585.0	54976.0	55645.0	35906.0	56765.0	2287.0	42398.0	56107.0	57660.0	29709.0	56164.0	32367.0	53073.0	47853.0	0.0	34310.0	59025.0	59556.0	56962.0	55285.0	56585.0	56470.0	26729.0	60074.0	58284.0	42504.0	27167.0	42491.0	56270.0
BritoIL_2016__WL.2.SA__bin.2	38221.0	38887.0	28967.0	23386.0	38726.0	37161.0	37921.0	24868.0	37827.0	38140.0	29369.0	38144.0	39215.0	21096.0	38143.0	22861.0	33572.0	31839.0	34310.0	0.0	39177.0	39949.0	39474.0	36995.0	38070.0	38156.0	18993.0	39959.0	38170.0	28823.0	19536.0	29798.0	38596.0
