	LiJ_2014__MH0385__bin.62	LiJ_2014__MH0402__bin.66	ZeeviD_2015__PNP_Main_215__bin.47	NielsenHB_2014__MH0174__bin.35	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	LiJ_2014__O2.UC28-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	ZeeviD_2015__PNP_Main_133__bin.23	ZeeviD_2015__PNP_Main_643__bin.33	ZeeviD_2015__PNP_Validation_33__bin.10	BritoIL_2016__M1.3.ST__bin.28	NielsenHB_2014__MH0079__bin.2	ZeeviD_2015__PNP_Main_694__bin.34	KarlssonFH_2013__S643__bin.3	LeChatelierE_2013__MH0079__bin.18	LeChatelierE_2013__MH0124__bin.52	XieH_2016__YSZC12003_35740__bin.87	ZeeviD_2015__PNP_Main_131__bin.53	CosteaPI_2017__SID713B072-11-0-0__bin.99	ZeeviD_2015__PNP_Main_666__bin.31	CosteaPI_2017__SID713B072-11-90-0__bin.36	NielsenHB_2014__MH0124__bin.40	XieH_2016__YSZC12003_37101__bin.85	ZeeviD_2015__PNP_Main_473__bin.19	ZeeviD_2015__PNP_Main_132__bin.25	Obregon-TitoAJ_2015__SM20__bin.28	LeChatelierE_2013__MH0447__bin.108	BritoIL_2016__M1.1.ST__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.82	ZeeviD_2015__PNP_Main_553__bin.1	ZeeviD_2015__PNP_Main_519__bin.3
ZeeviD_2015__PNP_Main_694__bin.34	10194.0	6299.0	11065.0	22187.0	14630.0	21929.0	34454.0	23792.0	21938.0	2229.0	18184.0	30124.0	0.0	24108.0	31974.0	20728.0	19485.0	25040.0	20312.0	25757.0	23067.0	19569.0	15933.0	25957.0	33473.0	28370.0	15199.0	26047.0	25571.0	20180.0	20544.0
KarlssonFH_2013__S643__bin.3	20565.0	16857.0	11145.0	23822.0	14021.0	18209.0	26158.0	21801.0	21077.0	17441.0	17234.0	22701.0	24108.0	0.0	23482.0	22250.0	19822.0	20471.0	23041.0	21738.0	25476.0	20645.0	24123.0	24776.0	27138.0	22900.0	15561.0	22625.0	20489.0	19888.0	20532.0
LeChatelierE_2013__MH0079__bin.18	22815.0	22311.0	13722.0	29075.0	15939.0	24821.0	20541.0	28031.0	30131.0	22607.0	22413.0	96.0	31974.0	23482.0	0.0	28500.0	27042.0	20895.0	29301.0	28671.0	32841.0	27449.0	27271.0	29309.0	27562.0	20777.0	21405.0	27395.0	16709.0	27017.0	26773.0
LeChatelierE_2013__MH0124__bin.52	16919.0	13670.0	10257.0	19472.0	14366.0	19962.0	32969.0	22939.0	18981.0	15711.0	16136.0	27290.0	20728.0	22250.0	28500.0	0.0	16918.0	25433.0	20069.0	25567.0	22499.0	30.0	20848.0	26866.0	33220.0	27008.0	12893.0	25756.0	24318.0	19689.0	19147.0
XieH_2016__YSZC12003_35740__bin.87	17227.0	14637.0	10963.0	19056.0	13673.0	18275.0	28468.0	19926.0	18526.0	14572.0	16158.0	26249.0	19485.0	19822.0	27042.0	16918.0	0.0	20744.0	20548.0	21423.0	21872.0	15841.0	21583.0	22284.0	28240.0	24234.0	13432.0	21429.0	21815.0	17751.0	18148.0
ZeeviD_2015__PNP_Main_131__bin.53	17755.0	17949.0	10453.0	26257.0	14442.0	20992.0	22707.0	22840.0	23258.0	20276.0	17901.0	19663.0	25040.0	20471.0	20895.0	25433.0	20744.0	0.0	23300.0	21865.0	27410.0	23494.0	24648.0	23136.0	146.0	17280.0	16826.0	24653.0	16512.0	21059.0	20877.0
CosteaPI_2017__SID713B072-11-0-0__bin.99	16997.0	15518.0	10802.0	20331.0	15643.0	20518.0	30400.0	22635.0	19458.0	14075.0	18141.0	27674.0	20312.0	23041.0	29301.0	20069.0	20548.0	23300.0	0.0	23358.0	238.0	19224.0	19138.0	24504.0	30494.0	27135.0	15129.0	25744.0	21336.0	20091.0	21181.0
ZeeviD_2015__PNP_Main_666__bin.31	19056.0	18496.0	9579.0	25344.0	12344.0	19147.0	32148.0	19256.0	22545.0	19127.0	15220.0	26903.0	25757.0	21738.0	28671.0	25567.0	21423.0	21865.0	23358.0	0.0	25848.0	24452.0	22386.0	19761.0	30524.0	26939.0	16351.0	23907.0	25900.0	13143.0	16088.0
CosteaPI_2017__SID713B072-11-90-0__bin.36	17783.0	15999.0	11365.0	22566.0	16015.0	23722.0	34432.0	25712.0	21893.0	16010.0	19514.0	30930.0	23067.0	25476.0	32841.0	22499.0	21872.0	27410.0	238.0	25848.0	0.0	21530.0	21352.0	27022.0	34975.0	29612.0	16014.0	28956.0	24654.0	22267.0	23950.0
NielsenHB_2014__MH0124__bin.40	15971.0	13263.0	9581.0	18134.0	13839.0	18899.0	31046.0	21429.0	18043.0	14409.0	15260.0	26272.0	19569.0	20645.0	27449.0	30.0	15841.0	23494.0	19224.0	24452.0	21530.0	0.0	19160.0	24947.0	33498.0	25671.0	12380.0	23723.0	22726.0	18469.0	18050.0
XieH_2016__YSZC12003_37101__bin.85	13728.0	10543.0	9571.0	21551.0	11813.0	20253.0	32436.0	20778.0	21807.0	11742.0	14790.0	26109.0	15933.0	24123.0	27271.0	20848.0	21583.0	24648.0	19138.0	22386.0	21352.0	19160.0	0.0	25463.0	31651.0	25677.0	14715.0	25989.0	26271.0	20363.0	21401.0
ZeeviD_2015__PNP_Main_473__bin.19	19734.0	18328.0	11320.0	27452.0	14215.0	21938.0	32889.0	21999.0	23559.0	18813.0	17631.0	27521.0	25957.0	24776.0	29309.0	26866.0	22284.0	23136.0	24504.0	19761.0	27022.0	24947.0	25463.0	0.0	31899.0	26395.0	16795.0	26019.0	26844.0	20123.0	18952.0
ZeeviD_2015__PNP_Main_132__bin.25	24048.0	23926.0	14880.0	33037.0	18926.0	26920.0	29653.0	30423.0	30650.0	24035.0	24269.0	26107.0	33473.0	27138.0	27562.0	33220.0	28240.0	146.0	30494.0	30524.0	34975.0	33498.0	31651.0	31899.0	0.0	22037.0	22441.0	31071.0	23457.0	28600.0	27517.0
Obregon-TitoAJ_2015__SM20__bin.28	22553.0	21510.0	14403.0	27437.0	17328.0	21449.0	19556.0	25790.0	27911.0	20187.0	22220.0	20164.0	28370.0	22900.0	20777.0	27008.0	24234.0	17280.0	27135.0	26939.0	29612.0	25671.0	25677.0	26395.0	22037.0	0.0	20490.0	24644.0	15108.0	24956.0	24720.0
LeChatelierE_2013__MH0447__bin.108	13532.0	11922.0	7420.0	13328.0	10628.0	13143.0	23045.0	14574.0	12141.0	11307.0	8214.0	20593.0	15199.0	15561.0	21405.0	12893.0	13432.0	16826.0	15129.0	16351.0	16014.0	12380.0	14715.0	16795.0	22441.0	20490.0	0.0	16658.0	16973.0	10292.0	8107.0
BritoIL_2016__M1.1.ST__bin.12	19663.0	18096.0	11288.0	26905.0	14012.0	20875.0	31020.0	23182.0	25188.0	19664.0	18115.0	25634.0	26047.0	22625.0	27395.0	25756.0	21429.0	24653.0	25744.0	23907.0	28956.0	23723.0	25989.0	26019.0	31071.0	24644.0	16658.0	0.0	24633.0	21555.0	22104.0
Bengtsson-PalmeJ_2015__TRAVELRES40__bin.82	19576.0	15460.0	12036.0	24400.0	14591.0	20989.0	19.0	25270.0	24971.0	16998.0	19680.0	15924.0	25571.0	20489.0	16709.0	24318.0	21815.0	16512.0	21336.0	25900.0	24654.0	22726.0	26271.0	26844.0	23457.0	15108.0	16973.0	24633.0	0.0	24193.0	25397.0
ZeeviD_2015__PNP_Main_553__bin.1	16839.0	13661.0	7855.0	20099.0	11432.0	16891.0	30171.0	17445.0	18396.0	15318.0	9834.0	25245.0	20180.0	19888.0	27017.0	19689.0	17751.0	21059.0	20091.0	13143.0	22267.0	18469.0	20363.0	20123.0	28600.0	24956.0	10292.0	21555.0	24193.0	0.0	10179.0
ZeeviD_2015__PNP_Main_519__bin.3	17288.0	14123.0	6462.0	20497.0	10400.0	16801.0	30907.0	17619.0	17937.0	15581.0	5772.0	25165.0	20544.0	20532.0	26773.0	19147.0	18148.0	20877.0	21181.0	16088.0	23950.0	18050.0	21401.0	18952.0	27517.0	24720.0	8107.0	22104.0	25397.0	10179.0	0.0
