	BackhedF_2015__SID39_M__bin.6	LeChatelierE_2013__MH0193__bin.54	SchirmerM_2016__G88846__bin.13	ZeeviD_2015__PNP_Main_47__bin.42	BackhedF_2015__SID640_M__bin.38	BritoIL_2016__WL.37.ST__bin.73	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.45	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.26	CosteaPI_2017__mickey3-11-7-0__bin.38	ZeeviD_2015__PNP_Main_38__bin.52	BritoIL_2016__WL.43.ST__bin.5	ZeeviD_2015__PNP_Validation_23__bin.3	LiSS_2016__FAT_DON_11-22-0-6__bin.56	ZeeviD_2015__PNP_Main_410__bin.16	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.3	SchirmerM_2016__G89150__bin.3	FengQ_2015__SID31160__bin.56	ZeeviD_2015__PNP_Main_313__bin.32	SchirmerM_2016__G89113__bin.3	LeChatelierE_2013__MH0415__bin.73	ZellerG_2014__CCIS63468405ST-4-0__bin.18	LiSS_2016__FAT_008-22-0-0__bin.12	LeChatelierE_2013__MH0098__bin.1	NielsenHB_2014__V1_UC37_0__bin.20	XieH_2016__YSZC12003_36533__bin.98	XieH_2016__YSZC12003_36055__bin.38	XieH_2016__YSZC12003_37546__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.129	XieH_2016__YSZC12003_37194__bin.23	ZeeviD_2015__PNP_Main_287__bin.47	RaymondF_2016__P7C7__bin.65	ZellerG_2014__CCIS35100175ST-4-0__bin.18	LeChatelierE_2013__MH0322__bin.16	LiJ_2014__MH0339__bin.62	HMP_2012__SRS014613__bin.25	LeChatelierE_2013__MH0408__bin.18	ZeeviD_2015__PNP_Main_463__bin.42	LiJ_2014__V1.UC64-0__bin.18	LeChatelierE_2013__MH0275__bin.19	NielsenHB_2014__V1_CD6_4__bin.23	NielsenHB_2014__MH0098__bin.13	XieH_2016__YSZC12003_35387__bin.3	LoombaR_2017__SID5443_cul__bin.35
LeChatelierE_2013__MH0415__bin.73	22184.0	19097.0	17262.0	13548.0	22983.0	25329.0	19959.0	13036.0	25230.0	19394.0	28031.0	20670.0	13942.0	19840.0	13174.0	13348.0	13276.0	12328.0	19095.0	0.0	20563.0	14745.0	19773.0	19284.0	20973.0	15882.0	22333.0	21797.0	19840.0	20856.0	13611.0	11087.0	17826.0	17154.0	15635.0	12190.0	19671.0	19795.0	19739.0	12442.0	18937.0	21818.0	13674.0
ZellerG_2014__CCIS63468405ST-4-0__bin.18	23970.0	18865.0	17473.0	14153.0	23203.0	25678.0	19781.0	21656.0	24848.0	19580.0	28400.0	21981.0	14189.0	20009.0	21114.0	13649.0	13261.0	19742.0	19879.0	20563.0	0.0	15315.0	20525.0	19617.0	20952.0	21526.0	22102.0	21514.0	21871.0	21985.0	12760.0	21557.0	17348.0	17626.0	14577.0	12205.0	20158.0	19216.0	19203.0	18171.0	19078.0	22816.0	21908.0
LiSS_2016__FAT_008-22-0-0__bin.12	15968.0	14748.0	13214.0	8980.0	17229.0	18323.0	15171.0	14727.0	17795.0	13884.0	21191.0	14918.0	11507.0	12117.0	14802.0	10729.0	11664.0	14255.0	15051.0	14745.0	15315.0	0.0	14439.0	14286.0	14884.0	15604.0	15762.0	16667.0	12087.0	15297.0	9022.0	15271.0	13381.0	13868.0	9636.0	9885.0	14244.0	11873.0	15238.0	11416.0	13814.0	15476.0	15514.0
LeChatelierE_2013__MH0098__bin.1	3023.0	18779.0	17515.0	13070.0	22714.0	23127.0	19575.0	20610.0	23563.0	18236.0	26639.0	20578.0	14697.0	19768.0	19630.0	13374.0	12440.0	19287.0	19649.0	19773.0	20525.0	14439.0	0.0	18729.0	19209.0	19840.0	19796.0	21404.0	19056.0	20546.0	13000.0	20409.0	17541.0	18097.0	15826.0	12501.0	18555.0	18719.0	18818.0	15898.0	1112.0	20553.0	20873.0
NielsenHB_2014__V1_UC37_0__bin.20	20204.0	18190.0	17502.0	12973.0	22396.0	24249.0	19123.0	19306.0	23229.0	987.0	27744.0	19463.0	1687.0	18756.0	19314.0	602.0	11894.0	18885.0	19284.0	19284.0	19617.0	14286.0	18729.0	0.0	19474.0	20224.0	20286.0	21610.0	18041.0	20743.0	12674.0	19634.0	1656.0	17484.0	14516.0	12363.0	1250.0	18501.0	18530.0	15708.0	17649.0	20335.0	20149.0
XieH_2016__YSZC12003_36533__bin.98	21855.0	18519.0	17440.0	13480.0	23140.0	24919.0	19906.0	21121.0	25293.0	19357.0	27924.0	1551.0	14663.0	20587.0	20909.0	13747.0	13685.0	19830.0	19543.0	20973.0	20952.0	14884.0	19209.0	19474.0	0.0	22137.0	21878.0	22042.0	19815.0	20497.0	13381.0	21416.0	17744.0	17981.0	15642.0	12152.0	19874.0	20216.0	19328.0	17004.0	18401.0	21643.0	21539.0
XieH_2016__YSZC12003_36055__bin.38	22270.0	20027.0	18744.0	13981.0	24917.0	26785.0	21480.0	16341.0	25743.0	20134.0	28886.0	22557.0	15035.0	21408.0	17169.0	13914.0	15094.0	15971.0	21410.0	15882.0	21526.0	15604.0	19840.0	20224.0	22137.0	0.0	21855.0	22448.0	21063.0	22561.0	13868.0	16520.0	18134.0	18917.0	16737.0	12586.0	20334.0	19780.0	20532.0	3351.0	19412.0	23366.0	17589.0
XieH_2016__YSZC12003_37546__bin.46	21930.0	18548.0	18482.0	13732.0	22912.0	25621.0	19482.0	20805.0	24250.0	20413.0	28319.0	21556.0	14925.0	20814.0	20608.0	14052.0	12924.0	19832.0	21009.0	22333.0	22102.0	15762.0	19796.0	20286.0	21878.0	21855.0	0.0	20592.0	20976.0	20187.0	13821.0	21423.0	18416.0	17884.0	16036.0	12175.0	20942.0	20755.0	20264.0	17138.0	18923.0	21812.0	21657.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.129	22555.0	20730.0	20408.0	12858.0	23341.0	20746.0	20819.0	22443.0	20508.0	21103.0	20574.0	22581.0	16838.0	21630.0	21581.0	15578.0	15314.0	21366.0	21734.0	21797.0	21514.0	16667.0	21404.0	21610.0	22042.0	22448.0	20592.0	0.0	21660.0	21178.0	15474.0	22596.0	20521.0	19591.0	17553.0	14248.0	21330.0	21152.0	21834.0	17074.0	20361.0	21695.0	22305.0
XieH_2016__YSZC12003_37194__bin.23	21085.0	18775.0	16911.0	13136.0	22756.0	25957.0	20036.0	20964.0	23836.0	17941.0	28844.0	21126.0	13316.0	12219.0	19494.0	12348.0	12776.0	19252.0	20422.0	19840.0	21871.0	12087.0	19056.0	18041.0	19815.0	21063.0	20976.0	21660.0	0.0	22176.0	8061.0	20615.0	16217.0	17782.0	9749.0	12113.0	18149.0	9202.0	19257.0	17012.0	17855.0	21376.0	21192.0
