	ZeeviD_2015__PNP_DietIntervention_8__bin.59	ZeeviD_2015__PNP_Main_740__bin.7	LiuW_2016__SRR3992977__bin.5	BritoIL_2016__W3.23.ST__bin.37	CM_madagascar__V31_01_2FE__bin.4	BritoIL_2016__M2.11.ST__bin.54	CM_madagascar__A09_02_1FE__bin.52	BritoIL_2016__WL.33.ST__bin.20	BackhedF_2015__SID377_M__bin.20	CM_madagascar__A93_01_1FE__bin.13	CosteaPI_2017__SID713B033-11-90-0__bin.37	CM_madagascar__A83_02_1FE__bin.23	SchirmerM_2016__G89002__bin.6	CM_madagascar__A92_01_1FE__bin.11	FengQ_2015__SID530026__bin.77	LiSS_2016__FAT_012-22-84-0__bin.14	LiuW_2016__SRR3993030__bin.34	CM_madagascar__V30_01_1FE__bin.15	CM_madagascar__A95_01_1FE__bin.37	FengQ_2015__SID31449__bin.44	LiuW_2016__SRR3993011__bin.58	CM_madagascar__V18_02_1FE__bin.4	CM_madagascar__A39_04_1FE__bin.29	CM_madagascar__A36_01_1FE__bin.6	LiSS_2016__FAT_023-22-42-0__bin.7	CosteaPI_2017__SID713A078-11-0-0__bin.40	CM_madagascar__V40_01_1FE__bin.60	BritoIL_2016__M1.15.ST__bin.56	XieH_2016__YSZC12003_37210__bin.7	LiSS_2016__FAT_006-22-0-0__bin.79	ZellerG_2014__CCIS11362406ST-4-0__bin.21	LiuW_2016__SRR3993002__bin.18	CosteaPI_2017__SID713B074-11-0-0__bin.52	FengQ_2015__SID530450__bin.62	XieH_2016__YSZC12003_35515__bin.28	CM_madagascar__A13_01_1FE__bin.33	ZeeviD_2015__PNP_DietIntervention_28__bin.20	CM_madagascar__A90_03_1FE__bin.26	CM_madagascar__A28_02_1FE__bin.38	LiuW_2016__SRR3993015__bin.93	BackhedF_2015__SID503_M__bin.48	YuJ_2015__SZAXPI003411-6__bin.52	FengQ_2015__SID31477__bin.4	CosteaPI_2017__SID713B058-11-90-0__bin.16
CosteaPI_2017__SID713B033-11-90-0__bin.37	28636.0	34662.0	21946.0	49201.0	39651.0	45815.0	63915.0	60396.0	64422.0	58476.0	0.0	63581.0	27117.0	63072.0	17580.0	32111.0	31386.0	47382.0	64883.0	20734.0	26666.0	49862.0	56335.0	61902.0	34643.0	33484.0	34083.0	44617.0	27810.0	60793.0	59069.0	24657.0	29634.0	32440.0	33560.0	44865.0	25868.0	64596.0	54325.0	24465.0	61554.0	58963.0	29251.0	31182.0
CM_madagascar__A83_02_1FE__bin.23	54292.0	63715.0	42525.0	35641.0	20944.0	34641.0	34506.0	44612.0	54722.0	30841.0	63581.0	0.0	55249.0	36373.0	33820.0	61521.0	61422.0	27563.0	38510.0	44250.0	46334.0	29345.0	29674.0	36702.0	65848.0	62089.0	19640.0	31153.0	53626.0	46790.0	46630.0	49413.0	57767.0	24549.0	66278.0	28050.0	47692.0	34621.0	30992.0	44715.0	48469.0	47367.0	54867.0	64744.0
SchirmerM_2016__G89002__bin.6	23508.0	25998.0	17907.0	44104.0	35641.0	42492.0	55406.0	53593.0	55951.0	51356.0	27117.0	55249.0	0.0	54570.0	14527.0	25448.0	24417.0	42663.0	57823.0	16373.0	19604.0	43871.0	48540.0	54573.0	28284.0	26750.0	31127.0	39910.0	21484.0	52530.0	51896.0	20431.0	23550.0	29386.0	23075.0	39820.0	20876.0	55269.0	47740.0	18920.0	52953.0	51560.0	21288.0	25276.0
CM_madagascar__A92_01_1FE__bin.11	52896.0	61295.0	41353.0	34228.0	19994.0	35170.0	34440.0	41980.0	51766.0	31238.0	63072.0	36373.0	54570.0	0.0	33439.0	59773.0	59603.0	27261.0	36915.0	44926.0	45993.0	28434.0	30591.0	36110.0	63596.0	61971.0	19190.0	30810.0	52344.0	43288.0	45262.0	48114.0	57052.0	24603.0	64958.0	25261.0	47331.0	34351.0	23295.0	44916.0	48324.0	45871.0	54221.0	62126.0
FengQ_2015__SID530026__bin.77	14219.0	16480.0	10667.0	26195.0	21962.0	25346.0	33027.0	31607.0	33865.0	30729.0	17580.0	33820.0	14527.0	33439.0	0.0	16050.0	16035.0	26952.0	31967.0	13776.0	12800.0	27266.0	29101.0	32998.0	18227.0	15744.0	20281.0	23654.0	13304.0	31107.0	31019.0	11671.0	15839.0	23860.0	17180.0	25779.0	12831.0	33724.0	28598.0	12143.0	34176.0	31494.0	13668.0	15397.0
LiSS_2016__FAT_012-22-84-0__bin.14	25266.0	28440.0	21215.0	46802.0	36963.0	45658.0	61720.0	57613.0	62134.0	56543.0	32111.0	61521.0	25448.0	59773.0	16050.0	0.0	30454.0	45591.0	60698.0	19943.0	25194.0	47325.0	53084.0	58473.0	31232.0	29987.0	32700.0	41926.0	25928.0	59715.0	55868.0	23790.0	28460.0	31328.0	30211.0	44283.0	23042.0	60197.0	52292.0	22274.0	59006.0	56998.0	26582.0	30308.0
LiuW_2016__SRR3993030__bin.34	25797.0	31817.0	1572.0	46950.0	37579.0	44883.0	60198.0	57432.0	62338.0	56958.0	31386.0	61422.0	24417.0	59603.0	16035.0	30454.0	0.0	45674.0	61297.0	19732.0	21971.0	46646.0	53252.0	59693.0	32704.0	30464.0	33608.0	42279.0	24186.0	59442.0	56638.0	21408.0	27283.0	32273.0	29521.0	44084.0	23279.0	60278.0	52181.0	16560.0	58936.0	57814.0	26184.0	29657.0
CM_madagascar__V30_01_1FE__bin.15	41032.0	46308.0	32478.0	27186.0	15948.0	26595.0	26462.0	32948.0	40685.0	24060.0	47382.0	27563.0	42663.0	27261.0	26952.0	45591.0	45674.0	0.0	28113.0	34416.0	35030.0	22918.0	22791.0	27086.0	48304.0	45975.0	14902.0	22711.0	41018.0	33633.0	33197.0	36432.0	42934.0	17917.0	49065.0	22112.0	35711.0	26371.0	24151.0	35223.0	37701.0	36384.0	41560.0	47947.0
CM_madagascar__A95_01_1FE__bin.37	54987.0	63554.0	41876.0	35044.0	21511.0	33611.0	37650.0	44708.0	55018.0	33903.0	64883.0	38510.0	57823.0	36915.0	31967.0	60698.0	61297.0	28113.0	0.0	43683.0	46771.0	30315.0	32163.0	38707.0	67372.0	63005.0	20260.0	31125.0	52855.0	45478.0	48184.0	49181.0	58732.0	24819.0	67184.0	29476.0	48094.0	39253.0	32911.0	45111.0	50452.0	45781.0	56082.0	62276.0
FengQ_2015__SID31449__bin.44	17623.0	20231.0	13744.0	35215.0	28030.0	34540.0	42820.0	40245.0	44965.0	40559.0	20734.0	44250.0	16373.0	44926.0	13776.0	19943.0	19732.0	34416.0	43683.0	0.0	16018.0	35675.0	37993.0	42122.0	21015.0	20226.0	25544.0	30405.0	16517.0	41409.0	40564.0	14838.0	18100.0	29379.0	18835.0	33724.0	15763.0	42893.0	38675.0	15161.0	45128.0	42178.0	17568.0	19089.0
