	HMP_2012__SRS022532__bin.7	HMP_2012__SRS052874__bin.11	HMP_2012__SRS023987__bin.2	HMP_2012__SRS019329__bin.12	HMP_2012__SRS043676__bin.6	HMP_2012__SRS045262__bin.3	HMP_2012__SRS011343__bin.24	HMP_2012__SRS046686__bin.6	HMP_2012__SRS017687__bin.7	HMP_2012__SRS019976__bin.6	HMP_2012__SRS024289__bin.15	HMP_2012__SRS017215__bin.13	HMP_2012__SRS022625__bin.1	HMP_2012__SRS014472__bin.1	HMP_2012__SRS019391__bin.4	HMP_2012__SRS045049__bin.14	HMP_2012__SRS063272__bin.1	HMP_2012__SRS011098__bin.13	HMP_2012__SRS015745__bin.9	QinN_2014__LD-57__bin.29	HMP_2012__SRS021473__bin.7	HMP_2012__SRS011310__bin.15	HMP_2012__SRS019387__bin.27	HMP_2012__SRS017013__bin.8	HMP_2012__SRS024347__bin.8	HMP_2012__SRS013881__bin.7	HMP_2012__SRS011144__bin.2	HMP_2012__SRS015650__bin.18	HMP_2012__SRS015060__bin.15	HMP_2012__SRS024281__bin.7	BackhedF_2015__SID536_B__bin.13	HMP_2012__SRS011090__bin.2	HMP_2012__SRS015985__bin.1	HMP_2012__SRS018978__bin.5
HMP_2012__SRS024289__bin.15	44366.0	15849.0	49857.0	52673.0	18495.0	33315.0	38583.0	24631.0	32072.0	37979.0	0.0	49129.0	50470.0	37879.0	27428.0	22573.0	48338.0	46302.0	32086.0	45088.0	41085.0	34248.0	37739.0	47943.0	44772.0	43316.0	38126.0	28233.0	34328.0	1452.0	13542.0	52412.0	41504.0	22891.0
HMP_2012__SRS017215__bin.13	58620.0	35157.0	51666.0	56052.0	53078.0	42268.0	46865.0	30513.0	46350.0	42992.0	49129.0	0.0	55433.0	56927.0	31490.0	33208.0	57437.0	53479.0	34495.0	53544.0	43007.0	41727.0	47332.0	49441.0	51911.0	43769.0	57268.0	38282.0	34842.0	46370.0	41432.0	57449.0	52154.0	27754.0
HMP_2012__SRS022625__bin.1	59992.0	36683.0	1845.0	57703.0	52707.0	41512.0	49638.0	31753.0	43719.0	42049.0	50470.0	55433.0	0.0	55961.0	33852.0	32389.0	59934.0	54873.0	35296.0	54381.0	44452.0	42953.0	49320.0	51095.0	51599.0	46891.0	57986.0	39134.0	38471.0	47261.0	40656.0	59083.0	53828.0	28697.0
HMP_2012__SRS014472__bin.1	46034.0	30188.0	53351.0	59680.0	43000.0	37595.0	36746.0	29738.0	11420.0	40000.0	37879.0	56927.0	55961.0	0.0	26772.0	16199.0	54908.0	46858.0	36576.0	49482.0	45744.0	31968.0	37963.0	51230.0	48898.0	47824.0	29969.0	7269.0	37510.0	35221.0	32340.0	61129.0	46461.0	25561.0
HMP_2012__SRS019391__bin.4	11985.0	20514.0	34200.0	29412.0	29173.0	22603.0	11019.0	17430.0	25248.0	26673.0	27428.0	31490.0	33852.0	26772.0	0.0	17356.0	31759.0	29317.0	22370.0	30551.0	23516.0	10305.0	10936.0	24570.0	28126.0	29057.0	29357.0	22614.0	21908.0	25463.0	24961.0	27863.0	27607.0	15751.0
HMP_2012__SRS045049__bin.14	27385.0	17771.0	31092.0	35066.0	23592.0	22047.0	23069.0	18807.0	16832.0	23732.0	22573.0	33208.0	32389.0	16199.0	17356.0	0.0	31575.0	28222.0	23064.0	20952.0	27894.0	20786.0	23474.0	30761.0	17824.0	28662.0	22766.0	13812.0	23148.0	20912.0	18802.0	35226.0	25688.0	14335.0
HMP_2012__SRS063272__bin.1	57601.0	33825.0	56228.0	60139.0	52819.0	40373.0	47346.0	32131.0	46036.0	44040.0	48338.0	57437.0	59934.0	54908.0	31759.0	31575.0	0.0	52430.0	35143.0	57236.0	44422.0	42028.0	45801.0	51903.0	52632.0	48072.0	57263.0	37665.0	37561.0	46690.0	41526.0	61044.0	49130.0	27246.0
HMP_2012__SRS011098__bin.13	51314.0	31765.0	53818.0	54614.0	47368.0	33957.0	43516.0	29286.0	39498.0	41129.0	46302.0	53479.0	54873.0	46858.0	29317.0	28222.0	52430.0	0.0	33182.0	50575.0	40852.0	38382.0	43009.0	48700.0	48057.0	45690.0	48872.0	33999.0	35430.0	42364.0	37094.0	54951.0	42495.0	20717.0
HMP_2012__SRS015745__bin.9	37930.0	22427.0	34328.0	30161.0	34165.0	25594.0	31403.0	17152.0	30225.0	26766.0	32086.0	34495.0	35296.0	36576.0	22370.0	23064.0	35143.0	33182.0	0.0	34745.0	28286.0	26775.0	31616.0	26580.0	34330.0	18651.0	35817.0	27616.0	16609.0	29849.0	25705.0	31546.0	32775.0	19602.0
QinN_2014__LD-57__bin.29	52965.0	33250.0	52482.0	57143.0	49468.0	38164.0	43942.0	31677.0	41935.0	39679.0	45088.0	53544.0	54381.0	49482.0	30551.0	20952.0	57236.0	50575.0	34745.0	0.0	44139.0	38012.0	43763.0	50963.0	20938.0	46737.0	50596.0	36121.0	36278.0	43850.0	39082.0	59198.0	48509.0	25899.0
