	NielsenHB_2014__V1_UC11_5__bin.53	VincentC_2016__MM063__bin.1	FengQ_2015__SID531333__bin.47	NielsenHB_2014__V1_CD7_4__bin.41	IjazUZ_2017__S46_a_WGS__bin.2	FengQ_2015__SID531403__bin.12	BackhedF_2015__SID546_12M__bin.24	LiuW_2016__SRR3992985__bin.73	LiJ_2014__V1.CD3-0-PN__bin.36	BackhedF_2015__SID39_12M__bin.41	NielsenHB_2014__V1_UC11_0__bin.24	XieH_2016__YSZC12003_37179__bin.80	IjazUZ_2017__S102_a_WGS__bin.2	HeQ_2017__SZAXPI029501-104__bin.36	HeQ_2017__RSZAXPI003080-114__bin.30	BackhedF_2015__SID87_12M__bin.39	IjazUZ_2017__S48_a_WGS__bin.2	HeQ_2017__RSZAXPI003099-133__bin.1	RaymondF_2016__P20E7__bin.20	QinJ_2012__DLF012__bin.15	LoombaR_2017__SID1048_bav__bin.25	BackhedF_2015__SID546_4M__bin.12	FengQ_2015__SID31137__bin.48	GeversD_2014__SKBSTL041__bin.56	IjazUZ_2017__S47_a_WGS__bin.1	IjazUZ_2017__S56_a_WGS__bin.7	LomanNJ_2013__OBK1196__bin.13	BackhedF_2015__SID577_12M__bin.28	GeversD_2014__SKBSTL016__bin.45	FengQ_2015__SID31537__bin.55
NielsenHB_2014__V1_UC11_0__bin.24	1882717.0	1107603.0	1687817.0	1787933.0	1470569.0	1825034.0	1340306.0	1777547.0	1693722.0	1713020.0	2035703.0	1740031.0	1641484.0	1883816.0	1830392.0	1741749.0	1127724.0	1843389.0	1622068.0	1805379.0	1795792.0	1535686.0	1353933.0	1716161.0	1742175.0	1340119.0	1793240.0	1261675.0	1406133.0	1553913.0
XieH_2016__YSZC12003_37179__bin.80	2253089.0	1315833.0	2089434.0	2185794.0	1806419.0	2255096.0	1562334.0	2168452.0	2006005.0	2042554.0	1740031.0	2424128.0	2085637.0	2376481.0	2287633.0	2145087.0	1392159.0	2259589.0	1977495.0	2150940.0	2246114.0	1785757.0	1680437.0	2101531.0	2111258.0	1635658.0	2195398.0	1525651.0	1702899.0	1903343.0
IjazUZ_2017__S102_a_WGS__bin.2	2167296.0	1264360.0	2020155.0	2101663.0	1753204.0	2171055.0	1520692.0	2115118.0	1891975.0	1972139.0	1641484.0	2085637.0	2389371.0	2255164.0	2201214.0	2060036.0	1335317.0	2196397.0	1927314.0	2097612.0	2188485.0	1726376.0	1628528.0	2016488.0	2081625.0	1613902.0	2178646.0	1426382.0	1652926.0	1838327.0
HeQ_2017__SZAXPI029501-104__bin.36	2583009.0	1394935.0	2252719.0	2545063.0	1942454.0	2576036.0	1681076.0	2349679.0	2153767.0	2213352.0	1883816.0	2376481.0	2255164.0	3082792.0	2687855.0	2293410.0	1478987.0	2607695.0	2119852.0	2366377.0	2577664.0	1919221.0	1787689.0	2254778.0	2279831.0	1754827.0	2480624.0	1622305.0	1829914.0	2039631.0
HeQ_2017__RSZAXPI003080-114__bin.30	2454161.0	1368785.0	2240675.0	2429290.0	1916758.0	2540086.0	1660440.0	2304615.0	2064841.0	2168653.0	1830392.0	2287633.0	2201214.0	2687855.0	2763047.0	2251957.0	1447248.0	2479631.0	2073650.0	2326057.0	2446482.0	1893631.0	1756777.0	2214408.0	2264153.0	1717266.0	2411006.0	1590366.0	1806404.0	1996296.0
BackhedF_2015__SID87_12M__bin.39	2219664.0	1314680.0	2097616.0	2163652.0	1832695.0	2219591.0	1607974.0	2220554.0	1981062.0	2070278.0	1741749.0	2145087.0	2060036.0	2293410.0	2251957.0	2414812.0	1422384.0	2261591.0	2015639.0	2191266.0	2209908.0	1830841.0	1695990.0	2125422.0	2122946.0	1639305.0	2198574.0	1500111.0	1752336.0	1896054.0
IjazUZ_2017__S48_a_WGS__bin.2	1446521.0	878342.0	1367483.0	1386609.0	1247601.0	1432110.0	1060613.0	1459155.0	1317031.0	1340289.0	1127724.0	1392159.0	1335317.0	1478987.0	1447248.0	1422384.0	1559077.0	1479576.0	1361185.0	1426040.0	1429246.0	1220143.0	1142119.0	1399598.0	1404578.0	1066726.0	1449247.0	978033.0	1153287.0	1282804.0
HeQ_2017__RSZAXPI003099-133__bin.1	2435429.0	1391864.0	2237955.0	2391919.0	1940954.0	2464488.0	1664883.0	2379088.0	2106181.0	2209311.0	1843389.0	2259589.0	2196397.0	2607695.0	2479631.0	2261591.0	1479576.0	3090863.0	2105932.0	2414296.0	2442281.0	1923233.0	1754111.0	2239859.0	2280316.0	1712403.0	2481718.0	1550076.0	1817778.0	2024892.0
RaymondF_2016__P20E7__bin.20	2057879.0	1214159.0	1930232.0	1992764.0	1708657.0	2053692.0	1505617.0	2082269.0	1879277.0	1918372.0	1622068.0	1977495.0	1927314.0	2119852.0	2073650.0	2015639.0	1361185.0	2105932.0	2229022.0	2039939.0	2045082.0	1723485.0	1586164.0	1973418.0	1982762.0	1549702.0	2063710.0	1405022.0	1660615.0	1808967.0
QinJ_2012__DLF012__bin.15	2305817.0	1329343.0	2133673.0	2231215.0	1857965.0	2295842.0	1630331.0	2292574.0	2042050.0	2154581.0	1805379.0	2150940.0	2097612.0	2366377.0	2326057.0	2191266.0	1426040.0	2414296.0	2039939.0	2523043.0	2280933.0	1882170.0	1696011.0	2180136.0	2194495.0	1663088.0	2327187.0	1528557.0	1750661.0	1943026.0
LoombaR_2017__SID1048_bav__bin.25	2424821.0	1336609.0	2164495.0	2389016.0	1872782.0	2424178.0	1629161.0	2301501.0	2022134.0	2132977.0	1795792.0	2246114.0	2188485.0	2577664.0	2446482.0	2209908.0	1429246.0	2442281.0	2045082.0	2280933.0	2746452.0	1863774.0	1741219.0	2221769.0	2213580.0	1705994.0	2378156.0	1532665.0	1774981.0	1954710.0
BackhedF_2015__SID546_4M__bin.12	1885242.0	1127457.0	1779394.0	1810207.0	1560457.0	1874852.0	1470951.0	1892166.0	1701749.0	1806256.0	1535686.0	1785757.0	1726376.0	1919221.0	1893631.0	1830841.0	1220143.0	1923233.0	1723485.0	1882170.0	1863774.0	2045906.0	1433784.0	1792964.0	1807277.0	1378364.0	1881388.0	1318214.0	1478841.0	1621936.0
FengQ_2015__SID31137__bin.48	1730196.0	1050535.0	1640990.0	1689223.0	1454250.0	1743335.0	1267582.0	1725288.0	1568394.0	1589649.0	1353933.0	1680437.0	1628528.0	1787689.0	1756777.0	1695990.0	1142119.0	1754111.0	1586164.0	1696011.0	1741219.0	1433784.0	1918844.0	1655359.0	1646619.0	1263450.0	1731459.0	1188007.0	1374506.0	1520541.0
GeversD_2014__SKBSTL041__bin.56	2208091.0	1285964.0	2052698.0	2148447.0	1781965.0	2187889.0	1563612.0	2175120.0	1932409.0	2026999.0	1716161.0	2101531.0	2016488.0	2254778.0	2214408.0	2125422.0	1399598.0	2239859.0	1973418.0	2180136.0	2221769.0	1792964.0	1655359.0	2388451.0	2094032.0	1654529.0	2176406.0	1461190.0	1710581.0	1896424.0
IjazUZ_2017__S47_a_WGS__bin.1	2242824.0	1310154.0	2076960.0	2183665.0	1867969.0	2231554.0	1586483.0	2201360.0	1965283.0	2064769.0	1742175.0	2111258.0	2081625.0	2279831.0	2264153.0	2122946.0	1404578.0	2280316.0	1982762.0	2194495.0	2213580.0	1807277.0	1646619.0	2094032.0	2468661.0	1650114.0	2235921.0	1486027.0	1708720.0	1886965.0
IjazUZ_2017__S56_a_WGS__bin.7	1714265.0	995448.0	1582794.0	1667108.0	1387378.0	1691404.0	1240302.0	1698156.0	1536986.0	1561140.0	1340119.0	1635658.0	1613902.0	1754827.0	1717266.0	1639305.0	1066726.0	1712403.0	1549702.0	1663088.0	1705994.0	1378364.0	1263450.0	1654529.0	1650114.0	1871279.0	1670894.0	1146896.0	1325178.0	1465325.0
LomanNJ_2013__OBK1196__bin.13	2350969.0	1377483.0	2189809.0	2318780.0	1896249.0	2387390.0	1621864.0	2315556.0	2042929.0	2163876.0	1793240.0	2195398.0	2178646.0	2480624.0	2411006.0	2198574.0	1449247.0	2481718.0	2063710.0	2327187.0	2378156.0	1881388.0	1731459.0	2176406.0	2235921.0	1670894.0	2608426.0	1536309.0	1790608.0	1970986.0
BackhedF_2015__SID577_12M__bin.28	1543318.0	914770.0	1463131.0	1515824.0	1301316.0	1589064.0	1152322.0	1516137.0	1420330.0	1445385.0	1261675.0	1525651.0	1426382.0	1622305.0	1590366.0	1500111.0	978033.0	1550076.0	1405022.0	1528557.0	1532665.0	1318214.0	1188007.0	1461190.0	1486027.0	1146896.0	1536309.0	1660682.0	1215478.0	1353128.0
GeversD_2014__SKBSTL016__bin.45	1775465.0	1043859.0	1698523.0	1716318.0	1472637.0	1802172.0	1295995.0	1770227.0	1606122.0	1662080.0	1406133.0	1702899.0	1652926.0	1829914.0	1806404.0	1752336.0	1153287.0	1817778.0	1660615.0	1750661.0	1774981.0	1478841.0	1374506.0	1710581.0	1708720.0	1325178.0	1790608.0	1215478.0	1960615.0	1536811.0
FengQ_2015__SID31537__bin.55	1953046.0	1159381.0	1860285.0	1909926.0	1652003.0	1986097.0	1407963.0	1969231.0	1761251.0	1816422.0	1553913.0	1903343.0	1838327.0	2039631.0	1996296.0	1896054.0	1282804.0	2024892.0	1808967.0	1943026.0	1954710.0	1621936.0	1520541.0	1896424.0	1886965.0	1465325.0	1970986.0	1353128.0	1536811.0	2147458.0
