	HMP_2012__SRS017533__bin.4	CM_cf__CF_TNFC057SA_t1M16__bin.2	HMP_2012__SRS049389__bin.46	HMP_2012__SRS016037__bin.16	HMP_2012__SRS018145__bin.21	HMP_2012__SRS019126__bin.30	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	HMP_2012__SRS014888__bin.17	HMP_2012__SRS016225__bin.50	HMP_2012__SRS019122__bin.59	HMP_2012__SRS013164__bin.38	HMP_2012__SRS018439__bin.21	HMP_2012__SRS045127__bin.3	HMP_2012__SRS013948__bin.22	HMP_2012__SRS057205__bin.36	HMP_2012__SRS019327__bin.57	HMP_2012__SRS022621__bin.11	CM_cf__CF_TNFC057IS_t1M15__bin.1	HMP_2012__SRS015797__bin.21	HMP_2012__SRS023958__bin.14	HMP_2012__SRS052227__bin.2	HMP_2012__SRS050669__bin.56	HMP_2012__SRS019127__bin.45	HMP_2012__SRS015762__bin.43	HMP_2012__SRS044662__bin.6	HMP_2012__SRS013947__bin.11	HMP_2012__SRS024441__bin.49	HMP_2012__SRS013879__bin.23
HMP_2012__SRS019122__bin.59	994617.0	1293608.0	1398692.0	1265584.0	1313257.0	1112671.0	1266583.0	1245644.0	1241653.0	1281863.0	1487958.0	1241857.0	1053137.0	1380163.0	1416121.0	1291677.0	881791.0	1179886.0	1382499.0	1206162.0	1439252.0	1374738.0	998799.0	1281036.0	1401876.0	1418780.0	1244902.0	1081293.0	1117621.0
HMP_2012__SRS013164__bin.38	1210984.0	1443929.0	1599383.0	1554466.0	1526596.0	1251875.0	1495282.0	1388952.0	1440730.0	1476329.0	1241857.0	1796834.0	1224614.0	1511179.0	1601673.0	1553987.0	974021.0	1297106.0	1554882.0	1488284.0	1662438.0	1550338.0	1131881.0	1362310.0	1598607.0	1605585.0	1453015.0	1304031.0	1298656.0
HMP_2012__SRS018439__bin.21	1126505.0	1431476.0	1541759.0	1179503.0	1243878.0	935191.0	1281507.0	1160583.0	1127200.0	1265411.0	1053137.0	1224614.0	1853662.0	1536261.0	1593845.0	1246420.0	723917.0	1047274.0	1538388.0	1226282.0	1603427.0	1513079.0	825595.0	1368700.0	1584407.0	1585456.0	1160356.0	1306003.0	964572.0
HMP_2012__SRS045127__bin.3	1250628.0	1723907.0	1907203.0	1530647.0	1620659.0	1282225.0	1614709.0	1499982.0	1499675.0	1625745.0	1380163.0	1511179.0	1536261.0	2105975.0	1908005.0	1596446.0	1028771.0	1414009.0	1856169.0	1487044.0	1980516.0	1884322.0	1150319.0	1677839.0	1909714.0	1946249.0	1489523.0	1534147.0	1336971.0
HMP_2012__SRS013948__bin.22	1343967.0	1812054.0	2007818.0	1659281.0	1706693.0	1414990.0	1748761.0	1579910.0	1582481.0	1702522.0	1416121.0	1601673.0	1593845.0	1908005.0	2301893.0	1728428.0	1057853.0	1432371.0	1959880.0	1573990.0	2067326.0	1929430.0	1271556.0	1800408.0	2019557.0	2032207.0	1671063.0	1596624.0	1490136.0
HMP_2012__SRS057205__bin.36	1455192.0	1534114.0	1647417.0	1601357.0	1623026.0	1350448.0	1612295.0	1475227.0	1524523.0	1543763.0	1291677.0	1553987.0	1246420.0	1596446.0	1728428.0	1921727.0	998639.0	1367467.0	1627505.0	1506798.0	1754608.0	1604100.0	1291478.0	1420716.0	1824494.0	1712016.0	1507538.0	1300049.0	1449672.0
HMP_2012__SRS019327__bin.57	702941.0	985045.0	1062251.0	967891.0	985173.0	890317.0	983135.0	976249.0	974987.0	981930.0	881791.0	974021.0	723917.0	1028771.0	1057853.0	998639.0	1104115.0	935475.0	1043629.0	968556.0	1075772.0	1047925.0	787918.0	955841.0	1047865.0	1056969.0	937249.0	828021.0	848028.0
HMP_2012__SRS022621__bin.11	1069369.0	1298461.0	1444143.0	1349261.0	1376074.0	1164489.0	1322981.0	1324353.0	1302619.0	1322603.0	1179886.0	1297106.0	1047274.0	1414009.0	1432371.0	1367467.0	935475.0	1554113.0	1410668.0	1296607.0	1482477.0	1402226.0	1050936.0	1226389.0	1426951.0	1452980.0	1311331.0	1098480.0	1193825.0
CM_cf__CF_TNFC057IS_t1M15__bin.1	1240755.0	1944243.0	1966045.0	1583484.0	1658273.0	1297340.0	1667351.0	1564645.0	1525083.0	1645139.0	1382499.0	1554882.0	1538388.0	1856169.0	1959880.0	1627505.0	1043629.0	1410668.0	2218041.0	1563926.0	2011724.0	1919162.0	1222229.0	1699658.0	1970508.0	2014787.0	1495293.0	1598383.0	1383814.0
HMP_2012__SRS015797__bin.21	1161725.0	1453180.0	1582651.0	1473129.0	1490540.0	1215527.0	1508972.0	1391167.0	1418719.0	1480952.0	1206162.0	1488284.0	1226282.0	1487044.0	1573990.0	1506798.0	968556.0	1296607.0	1563926.0	1808148.0	1609170.0	1541548.0	1135873.0	1329007.0	1596007.0	1641144.0	1394450.0	1255901.0	1420510.0
HMP_2012__SRS023958__bin.14	1372382.0	1853124.0	2063073.0	1670113.0	1755726.0	1378145.0	1752022.0	1617684.0	1624743.0	1732285.0	1439252.0	1662438.0	1603427.0	1980516.0	2067326.0	1754608.0	1075772.0	1482477.0	2011724.0	1609170.0	2330197.0	1997205.0	1274246.0	1744657.0	2053449.0	2090248.0	1581031.0	1648005.0	1466465.0
HMP_2012__SRS052227__bin.2	1224714.0	1764660.0	1960639.0	1582170.0	1626692.0	1308636.0	1716988.0	1531845.0	1525210.0	1707172.0	1374738.0	1550338.0	1513079.0	1884322.0	1929430.0	1604100.0	1047925.0	1402226.0	1919162.0	1541548.0	1997205.0	2141678.0	1163334.0	1676899.0	1968759.0	2047642.0	1473870.0	1561609.0	1341631.0
HMP_2012__SRS050669__bin.56	986915.0	1168432.0	1208548.0	1264501.0	1214188.0	1064011.0	1226587.0	1160925.0	1156816.0	1206406.0	998799.0	1131881.0	825595.0	1150319.0	1271556.0	1291478.0	787918.0	1050936.0	1222229.0	1135873.0	1274246.0	1163334.0	1403420.0	1046475.0	1277730.0	1262692.0	1155250.0	953745.0	1222322.0
HMP_2012__SRS019127__bin.45	1084618.0	1570520.0	1715892.0	1385100.0	1436889.0	1206717.0	1434820.0	1340978.0	1347711.0	1431667.0	1281036.0	1362310.0	1368700.0	1677839.0	1800408.0	1420716.0	955841.0	1226389.0	1699658.0	1329007.0	1744657.0	1676899.0	1046475.0	1864089.0	1727922.0	1741141.0	1360964.0	1406747.0	1190555.0
HMP_2012__SRS015762__bin.43	1386009.0	1821191.0	2006747.0	1623692.0	1674961.0	1329779.0	1697035.0	1563699.0	1544480.0	1690801.0	1401876.0	1598607.0	1584407.0	1909714.0	2019557.0	1824494.0	1047865.0	1426951.0	1970508.0	1596007.0	2053449.0	1968759.0	1277730.0	1727922.0	2326344.0	2041882.0	1526481.0	1613148.0	1406128.0
HMP_2012__SRS044662__bin.6	1314150.0	1850008.0	2033265.0	1640498.0	1699575.0	1362523.0	1815970.0	1577403.0	1578896.0	1755119.0	1418780.0	1605585.0	1585456.0	1946249.0	2032207.0	1712016.0	1056969.0	1452980.0	2014787.0	1641144.0	2090248.0	2047642.0	1262692.0	1741141.0	2041882.0	2300504.0	1562833.0	1618694.0	1478671.0
HMP_2012__SRS013947__bin.11	1202682.0	1395572.0	1534876.0	1490428.0	1496536.0	1287517.0	1477772.0	1383232.0	1424850.0	1468721.0	1244902.0	1453015.0	1160356.0	1489523.0	1671063.0	1507538.0	937249.0	1311331.0	1495293.0	1394450.0	1581031.0	1473870.0	1155250.0	1360964.0	1526481.0	1562833.0	1712250.0	1186174.0	1340204.0
HMP_2012__SRS024441__bin.49	960354.0	1464698.0	1614990.0	1281503.0	1316793.0	1011405.0	1316614.0	1256998.0	1221522.0	1350196.0	1081293.0	1304031.0	1306003.0	1534147.0	1596624.0	1300049.0	828021.0	1098480.0	1598383.0	1255901.0	1648005.0	1561609.0	953745.0	1406747.0	1613148.0	1618694.0	1186174.0	1807902.0	1068352.0
HMP_2012__SRS013879__bin.23	1125824.0	1320888.0	1401603.0	1399872.0	1421759.0	1222602.0	1397051.0	1278679.0	1329760.0	1327673.0	1117621.0	1298656.0	964572.0	1336971.0	1490136.0	1449672.0	848028.0	1193825.0	1383814.0	1420510.0	1466465.0	1341631.0	1222322.0	1190555.0	1406128.0	1478671.0	1340204.0	1068352.0	1624036.0
