	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	34410.0	36156.0	47700.0	34198.0	34449.0	52715.0	54533.0	53174.0	52627.0	41846.0	0.0	56233.0	34606.0	28021.0	35024.0	36905.0	22320.0	53293.0	39558.0	59681.0	35864.0	49932.0	25292.0	18957.0	21120.0	51870.0	46490.0	38958.0	21961.0	23788.0	26642.0	38999.0	9768.0	25876.0	33663.0	46208.0	39405.0	18996.0	28666.0	29829.0	25193.0	30239.0
HMP_2012__SRS018591__bin.11	51160.0	49343.0	51109.0	41238.0	47151.0	54408.0	56451.0	54033.0	44182.0	54581.0	56233.0	0.0	48791.0	29299.0	49686.0	52146.0	26359.0	46597.0	46566.0	49731.0	58462.0	53216.0	35147.0	26612.0	29100.0	43312.0	38892.0	42622.0	27949.0	39922.0	39297.0	41795.0	52621.0	38845.0	49657.0	4675.0	39339.0	33794.0	42981.0	43101.0	40483.0	42668.0
HMP_2012__SRS014470__bin.8	29890.0	30735.0	41394.0	29838.0	31118.0	46817.0	50414.0	46247.0	45886.0	37492.0	34606.0	48791.0	0.0	27425.0	4300.0	32885.0	20425.0	47502.0	33935.0	50784.0	32983.0	44674.0	22711.0	14149.0	16843.0	46114.0	40162.0	33811.0	17659.0	25548.0	22391.0	35622.0	35138.0	29773.0	29992.0	41124.0	34573.0	19114.0	25140.0	28815.0	22116.0	24174.0
Castro-NallarE_2015__ES_137__bin.11	26551.0	25867.0	28675.0	23525.0	25981.0	32117.0	35007.0	31305.0	27819.0	29140.0	28021.0	29299.0	27425.0	0.0	27132.0	27392.0	15638.0	29747.0	26619.0	30807.0	28611.0	30858.0	19777.0	14056.0	16263.0	28483.0	23731.0	25105.0	15126.0	21487.0	21950.0	25215.0	26800.0	22770.0	25989.0	26132.0	22526.0	17861.0	22621.0	21993.0	20906.0	21373.0
HMP_2012__SRS015057__bin.45	29727.0	31808.0	43077.0	30931.0	31847.0	48204.0	50987.0	48203.0	47228.0	38035.0	35024.0	49686.0	4300.0	27132.0	0.0	33506.0	20963.0	48544.0	34707.0	52058.0	34825.0	46300.0	22910.0	14758.0	18204.0	46577.0	41850.0	35550.0	17369.0	26409.0	23297.0	35974.0	36157.0	31564.0	30940.0	41914.0	35639.0	20364.0	25663.0	29414.0	23089.0	25229.0
HMP_2012__SRS018791__bin.39	34565.0	30840.0	44565.0	32119.0	34337.0	50811.0	53254.0	49755.0	48370.0	35291.0	36905.0	52146.0	32885.0	27392.0	33506.0	0.0	23600.0	49349.0	37281.0	55319.0	37059.0	48324.0	23172.0	18031.0	20821.0	46903.0	41386.0	38119.0	20224.0	27835.0	25749.0	38304.0	38389.0	30870.0	34159.0	43431.0	37570.0	21505.0	22013.0	29885.0	20020.0	28544.0
CM_cf__CF_TNFC034SS_t1M15__bin.6	24794.0	24149.0	19459.0	15527.0	23459.0	21714.0	24495.0	18771.0	21867.0	25691.0	22320.0	26359.0	20425.0	15638.0	20963.0	23600.0	0.0	23590.0	23516.0	27378.0	25086.0	23049.0	22500.0	24223.0	21537.0	22647.0	17957.0	142.0	14103.0	18672.0	23807.0	17500.0	21214.0	15154.0	22781.0	23253.0	12209.0	25584.0	24820.0	20249.0	23653.0	16539.0
CM_cf__CF_TNFC060IS_t1M15__bin.6	48541.0	47689.0	52445.0	39324.0	43313.0	53498.0	55701.0	53427.0	1719.0	52206.0	53293.0	46597.0	47502.0	29747.0	48544.0	49349.0	23590.0	0.0	45006.0	48403.0	54965.0	53442.0	31431.0	24757.0	26655.0	42758.0	38613.0	40824.0	26776.0	37043.0	36224.0	40692.0	49713.0	37462.0	48379.0	39098.0	37226.0	33080.0	40351.0	41175.0	37299.0	40974.0
HMP_2012__SRS017713__bin.25	34854.0	35717.0	45351.0	31229.0	34649.0	48942.0	51329.0	47013.0	42214.0	41630.0	39558.0	46566.0	33935.0	26619.0	34707.0	37281.0	23516.0	45006.0	0.0	47513.0	39387.0	47314.0	25581.0	19133.0	21301.0	44394.0	36757.0	36293.0	19105.0	30277.0	29042.0	36456.0	39532.0	30537.0	34756.0	39601.0	34967.0	24152.0	29732.0	32127.0	28948.0	29407.0
FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	51814.0	50707.0	53751.0	42864.0	46724.0	57624.0	58039.0	56713.0	46632.0	57141.0	59681.0	49731.0	50784.0	30807.0	52058.0	55319.0	27378.0	48403.0	47513.0	0.0	59339.0	55948.0	34963.0	27757.0	29243.0	44639.0	38054.0	44712.0	29480.0	40507.0	38391.0	42725.0	53459.0	40592.0	52019.0	42444.0	39494.0	35704.0	43381.0	43245.0	40523.0	42814.0
