	BackhedF_2015__SID567_4M__bin.10	FengQ_2015__SID531274__bin.2	ZeeviD_2015__PNP_Main_229__bin.18	ZeeviD_2015__PNP_Main_217__bin.18	BackhedF_2015__SID637_B__bin.10	BackhedF_2015__SID589_B__bin.1	HeQ_2017__SZAXPI029601-32__bin.19	HMP_2012__SRS019974__bin.30	VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	BackhedF_2015__SID544_4M__bin.5	HMP_2012__SRS064329__bin.52	QinJ_2012__CON-015__bin.17	GeversD_2014__SKBSTL041__bin.16	XieH_2016__YSZC12003_35733__bin.5	HMP_2012__SRS022077__bin.8	HMP_2012__SRS018791__bin.29	FengQ_2015__SID530451__bin.60	CM_cf__CF_TNFC017IS_t4M16__bin.11	XieH_2016__YSZC12003_35551__bin.43	FengQ_2015__SID530705__bin.47	QinN_2014__LD-30__bin.25	HMP_2012__SRS013502__bin.28	BackhedF_2015__SID256_12M__bin.14	XieH_2016__YSZC12003_36119__bin.73	FengQ_2015__SID530185__bin.38	SchirmerM_2016__G89165__bin.13	BackhedF_2015__SID105_B__bin.3	FengQ_2015__SID31004__bin.5	XieH_2016__YSZC12003_35734__bin.24	CM_cf__CF_TNFC048IS_t2M15__bin.21	FengQ_2015__SID31705__bin.14	BackhedF_2015__SID585_12M__bin.1	HMP_2012__SRS053854__bin.1	FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	QinN_2014__LD-2__bin.13	FengQ_2015__SID531248__bin.27	BackhedF_2015__SID282_B__bin.5	KarlssonFH_2013__S370__bin.37	QinN_2014__LD-33__bin.28	XieH_2016__YSZC12003_37229__bin.72	KarlssonFH_2013__S441__bin.47	QinN_2014__LD-5__bin.26	GeversD_2014__SKBSTL042__bin.50	BackhedF_2015__SID598_M__bin.2	BackhedF_2015__SID38_4M__bin.1	HMP_2012__SRS018439__bin.27
HMP_2012__SRS064329__bin.52	27773.0	24919.0	22373.0	33108.0	26230.0	19029.0	32634.0	13142.0	11927.0	28026.0	0.0	33312.0	23645.0	27983.0	18660.0	30148.0	23165.0	26269.0	26236.0	32523.0	17668.0	24435.0	27854.0	22098.0	24194.0	20249.0	25731.0	28427.0	28733.0	24323.0	24016.0	26667.0	29281.0	27691.0	33489.0	19133.0	29017.0	27848.0	26791.0	27478.0	17033.0	34343.0	13928.0	30764.0	24202.0	20514.0
QinJ_2012__CON-015__bin.17	56910.0	46863.0	38246.0	65573.0	53634.0	53324.0	25860.0	25695.0	45816.0	39633.0	33312.0	0.0	46516.0	57075.0	38451.0	52916.0	44573.0	53928.0	50386.0	66705.0	18563.0	48368.0	59103.0	40516.0	43148.0	36817.0	34642.0	57422.0	57623.0	49017.0	42929.0	59390.0	56544.0	56431.0	40412.0	37884.0	60721.0	61271.0	22776.0	39972.0	33763.0	39430.0	28983.0	60438.0	47804.0	39594.0
GeversD_2014__SKBSTL041__bin.16	44700.0	37275.0	33800.0	51699.0	40864.0	40642.0	28716.0	18091.0	34292.0	27415.0	23645.0	46516.0	0.0	47002.0	27839.0	41382.0	34491.0	42114.0	38149.0	53124.0	26296.0	38928.0	45200.0	32763.0	34883.0	28071.0	26770.0	42843.0	47623.0	39802.0	36053.0	45101.0	42145.0	45104.0	55832.0	27580.0	49415.0	47594.0	27269.0	30213.0	25848.0	50077.0	21618.0	48390.0	36237.0	14391.0
XieH_2016__YSZC12003_35733__bin.5	59337.0	48897.0	40579.0	66703.0	55748.0	54401.0	31939.0	21649.0	43318.0	32388.0	27983.0	57075.0	47002.0	0.0	34770.0	48687.0	44748.0	56710.0	48742.0	67800.0	30314.0	47820.0	58360.0	37740.0	43950.0	31554.0	28880.0	58208.0	61394.0	50132.0	47052.0	61475.0	52027.0	61344.0	74981.0	35239.0	61139.0	65582.0	34515.0	30173.0	27441.0	64062.0	26214.0	63126.0	38605.0	38479.0
HMP_2012__SRS022077__bin.8	30482.0	29534.0	28494.0	39956.0	31167.0	25733.0	31632.0	16428.0	22616.0	31358.0	18660.0	38451.0	27839.0	34770.0	0.0	35570.0	27929.0	29373.0	29289.0	39059.0	21571.0	28450.0	35050.0	26737.0	28754.0	24271.0	28921.0	29256.0	36647.0	30042.0	28414.0	30375.0	34349.0	31719.0	42840.0	24055.0	37616.0	35728.0	33914.0	34149.0	21082.0	43335.0	16096.0	35747.0	28020.0	24791.0
HMP_2012__SRS018791__bin.29	48019.0	42950.0	38079.0	27940.0	46284.0	46349.0	34089.0	20417.0	36429.0	32739.0	30148.0	52916.0	41382.0	48687.0	35570.0	0.0	40454.0	47570.0	41515.0	28795.0	29858.0	36863.0	46879.0	35569.0	40204.0	28224.0	30480.0	47502.0	39106.0	45508.0	45100.0	49148.0	40845.0	52532.0	60951.0	29838.0	50979.0	50718.0	33348.0	36607.0	27205.0	57080.0	23718.0	43042.0	41102.0	33386.0
FengQ_2015__SID530451__bin.60	47292.0	35869.0	31727.0	53196.0	39044.0	41999.0	25770.0	18738.0	33854.0	28845.0	23165.0	44573.0	34491.0	44748.0	27929.0	40454.0	0.0	41307.0	39539.0	53147.0	24179.0	38180.0	46451.0	32697.0	32267.0	27263.0	24957.0	45300.0	47675.0	38262.0	34622.0	48549.0	42388.0	46188.0	55671.0	27037.0	47663.0	48923.0	29067.0	30562.0	25751.0	50602.0	21426.0	49668.0	37356.0	31504.0
CM_cf__CF_TNFC017IS_t4M16__bin.11	53491.0	45686.0	37454.0	64086.0	54123.0	51646.0	33101.0	20330.0	40274.0	32239.0	26269.0	53928.0	42114.0	56710.0	29373.0	47570.0	41307.0	0.0	45257.0	63390.0	27856.0	47812.0	55699.0	35623.0	42178.0	30802.0	28095.0	53013.0	55998.0	46515.0	43326.0	55961.0	50606.0	55584.0	68099.0	31773.0	58829.0	59106.0	30120.0	30998.0	25736.0	58956.0	23796.0	59987.0	37430.0	36963.0
XieH_2016__YSZC12003_35551__bin.43	32345.0	40673.0	36180.0	53326.0	45399.0	44631.0	29643.0	19650.0	36419.0	30312.0	26236.0	50386.0	38149.0	48742.0	29289.0	41515.0	39539.0	45257.0	0.0	53237.0	28158.0	40380.0	48549.0	36674.0	38396.0	28594.0	27674.0	27610.0	49755.0	42684.0	40659.0	32307.0	44107.0	40710.0	60479.0	28546.0	51482.0	50619.0	31654.0	33597.0	27524.0	55090.0	19061.0	50817.0	37417.0	33783.0
FengQ_2015__SID530705__bin.47	63121.0	58983.0	47421.0	38020.0	62268.0	60334.0	35720.0	23980.0	44938.0	38047.0	32523.0	66705.0	53124.0	67800.0	39059.0	28795.0	53147.0	63390.0	53237.0	0.0	37826.0	48504.0	64523.0	45572.0	52832.0	35726.0	35290.0	64720.0	52667.0	63580.0	60552.0	64357.0	55852.0	69648.0	82271.0	37433.0	68743.0	70917.0	38543.0	42418.0	33301.0	72421.0	29326.0	59072.0	54785.0	43964.0
