	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
XieH_2016__YSZC12003_35506__bin.67	647055.0	1168331.0	1174139.0	1034397.0	1145703.0	804479.0	1177715.0	1159200.0	1165798.0	1080048.0	1253464.0	870759.0	1186599.0	1029695.0	1102878.0	1195720.0	1122914.0	1210862.0	1067904.0	1190896.0	542721.0	1137226.0	1167425.0	785286.0	1175596.0	1098949.0	1136449.0	1119899.0	1125700.0	909182.0	1110260.0	1193250.0
XieH_2016__YSZC12003_37399__bin.34	660562.0	1181259.0	1183001.0	1086990.0	1170384.0	796500.0	1195632.0	1178305.0	1201510.0	1109254.0	870759.0	1257111.0	1205553.0	1079858.0	1167380.0	1205014.0	1133684.0	1232688.0	1092615.0	1205866.0	560749.0	1143184.0	1216830.0	796415.0	1183014.0	1097955.0	1158148.0	1176154.0	1145687.0	923926.0	1137503.0	1225942.0
XieH_2016__YSZC12003_35991__bin.74	875978.0	1652816.0	1678043.0	1475599.0	1642558.0	1048579.0	1700947.0	1674961.0	1644707.0	1488026.0	1186599.0	1205553.0	1823880.0	1447776.0	1562262.0	1685894.0	1616015.0	1728603.0	1491396.0	1765780.0	754428.0	1589341.0	1664922.0	1063851.0	1632245.0	1530016.0	1599239.0	1585018.0	1605234.0	1274095.0	1582237.0	1739711.0
XieH_2016__YSZC12003_37182R1__bin.91	768329.0	1437090.0	1421306.0	1272551.0	1398153.0	943689.0	1429665.0	1419626.0	1425661.0	1304986.0	1029695.0	1079858.0	1447776.0	1571185.0	1399774.0	1450585.0	1363743.0	1473996.0	1301490.0	1446253.0	679665.0	1362009.0	1487214.0	935304.0	1413352.0	1344574.0	1373364.0	1400775.0	1379695.0	1097408.0	1375298.0	1463490.0
XieH_2016__YSZC12003_37171__bin.15	822635.0	1534958.0	1539105.0	1370979.0	1508626.0	1005581.0	1540171.0	1546209.0	1532292.0	1415283.0	1102878.0	1167380.0	1562262.0	1399774.0	1686935.0	1577344.0	1462138.0	1602994.0	1400549.0	1557605.0	722820.0	1474378.0	1589669.0	1019145.0	1531598.0	1439529.0	1485067.0	1510500.0	1485476.0	1193989.0	1488960.0	1577464.0
XieH_2016__YSZC12003_35552__bin.42	881240.0	1657810.0	1664578.0	1463201.0	1618970.0	1066866.0	1676937.0	1660801.0	1634089.0	1490201.0	1195720.0	1205014.0	1685894.0	1450585.0	1577344.0	1832811.0	1578212.0	1709237.0	1495007.0	1683662.0	753642.0	1601706.0	1680632.0	1072721.0	1656564.0	1539429.0	1600996.0	1589573.0	1605567.0	1281131.0	1592623.0	1686327.0
LeChatelierE_2013__MH0431__bin.38	822549.0	1539302.0	1547033.0	1388418.0	1503605.0	992182.0	1600323.0	1553179.0	1543388.0	1407648.0	1122914.0	1133684.0	1616015.0	1363743.0	1462138.0	1578212.0	1680358.0	1592126.0	1402949.0	1607184.0	728192.0	1497255.0	1560205.0	1018689.0	1533911.0	1428632.0	1509609.0	1480813.0	1489499.0	1210413.0	1475162.0	1596095.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	885807.0	1680073.0	1702665.0	1498578.0	1639733.0	1071568.0	1693281.0	1694970.0	1662138.0	1558031.0	1210862.0	1232688.0	1728603.0	1473996.0	1602994.0	1709237.0	1592126.0	1842661.0	1524913.0	1722235.0	770704.0	1614424.0	1695487.0	1088858.0	1683225.0	1564513.0	1628533.0	1617207.0	1630581.0	1293537.0	1627871.0	1737809.0
ZeeviD_2015__PNP_Main_589__bin.51	784186.0	1453543.0	1460560.0	1319698.0	1425939.0	954411.0	1476802.0	1456081.0	1461959.0	1340116.0	1067904.0	1092615.0	1491396.0	1301490.0	1400549.0	1495007.0	1402949.0	1524913.0	1591086.0	1491544.0	675826.0	1417704.0	1482700.0	967650.0	1462980.0	1365274.0	1427239.0	1412652.0	1410361.0	1156891.0	1395315.0	1498149.0
XieH_2016__YSZC12003_35387__bin.38	866542.0	1652649.0	1667497.0	1467830.0	1625021.0	1045376.0	1696775.0	1673818.0	1647452.0	1485119.0	1190896.0	1205866.0	1765780.0	1446253.0	1557605.0	1683662.0	1607184.0	1722235.0	1491544.0	1912456.0	745163.0	1586766.0	1663004.0	1061989.0	1632280.0	1531514.0	1601570.0	1587611.0	1600288.0	1268412.0	1586754.0	1726240.0
