	Obregon-TitoAJ_2015__SM05__bin.25	VatanenT_2016__G80574__bin.3	KosticAD_2015__PRJNA231909.3105379__bin.12	BackhedF_2015__SID536_4M__bin.5	BackhedF_2015__SID385_4M__bin.1	BackhedF_2015__SID128_4M__bin.17	BackhedF_2015__SID335_4M__bin.10	BackhedF_2015__SID633_4M__bin.19	BackhedF_2015__SID201_B__bin.11	BackhedF_2015__SID203_4M__bin.7	KosticAD_2015__PRJNA231909.3104913__bin.9	FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	BackhedF_2015__SID589_12M__bin.29	FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	BackhedF_2015__SID624_4M__bin.6	FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	BackhedF_2015__SID338_4M__bin.10	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	BackhedF_2015__SID9_4M__bin.3	BackhedF_2015__SID589_B__bin.7	BackhedF_2015__SID105_4M__bin.4	BackhedF_2015__SID195_4M__bin.11	BackhedF_2015__SID201_4M__bin.1	BackhedF_2015__SID599_4M__bin.4	LiuW_2016__SRR3993045__bin.26	FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8
KosticAD_2015__PRJNA231909.3104913__bin.9	26687.0	22142.0	194.0	23192.0	23598.0	22320.0	22090.0	17727.0	22559.0	24184.0	0.0	31497.0	21913.0	30222.0	21525.0	30093.0	22275.0	32502.0	18325.0	26227.0	17823.0	18631.0	20980.0	27841.0	31194.0	22295.0
FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	38516.0	37997.0	43793.0	43087.0	43725.0	41700.0	40057.0	25071.0	35334.0	40043.0	31497.0	0.0	42352.0	15523.0	38508.0	23686.0	41378.0	25878.0	28565.0	25644.0	34055.0	37438.0	40576.0	21861.0	48180.0	7069.0
BackhedF_2015__SID589_12M__bin.29	34191.0	30806.0	34278.0	32756.0	28010.0	31316.0	29744.0	12623.0	24971.0	18544.0	21913.0	42352.0	0.0	46821.0	28446.0	47451.0	27933.0	51529.0	21629.0	39211.0	23933.0	32491.0	30314.0	43996.0	44362.0	26384.0
FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	38629.0	42051.0	46964.0	46250.0	47275.0	43200.0	40656.0	22836.0	37170.0	40521.0	30222.0	15523.0	46821.0	0.0	39967.0	30018.0	44484.0	32497.0	28408.0	28325.0	36960.0	44508.0	44680.0	27507.0	51421.0	7289.0
BackhedF_2015__SID624_4M__bin.6	30538.0	29532.0	30764.0	6248.0	30600.0	5009.0	28415.0	15955.0	22665.0	26525.0	21525.0	38508.0	28446.0	39967.0	0.0	41208.0	28499.0	44851.0	20778.0	34597.0	23710.0	29985.0	26472.0	39438.0	39442.0	25416.0
FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	41891.0	40242.0	48307.0	47815.0	47572.0	45960.0	42822.0	22288.0	35742.0	39568.0	30093.0	23686.0	47451.0	30018.0	41208.0	0.0	44690.0	638.0	28781.0	30672.0	36095.0	42564.0	45822.0	10515.0	52722.0	14522.0
BackhedF_2015__SID338_4M__bin.10	33384.0	32725.0	34803.0	32804.0	34052.0	30912.0	28030.0	15835.0	25927.0	27661.0	22275.0	41378.0	27933.0	44484.0	28499.0	44690.0	0.0	48173.0	20691.0	36836.0	24512.0	31999.0	31021.0	42044.0	45085.0	27363.0
FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	45161.0	42873.0	52266.0	51139.0	51322.0	49324.0	46562.0	24303.0	38515.0	43059.0	32502.0	25878.0	51529.0	32497.0	44851.0	638.0	48173.0	0.0	30678.0	33349.0	37579.0	44497.0	49208.0	11064.0	56770.0	15550.0
BackhedF_2015__SID9_4M__bin.3	24359.0	21363.0	23901.0	23076.0	22892.0	22332.0	2588.0	12994.0	18998.0	20123.0	18325.0	28565.0	21629.0	28408.0	20778.0	28781.0	20691.0	30678.0	0.0	25410.0	17466.0	20330.0	20715.0	26799.0	28814.0	19184.0
BackhedF_2015__SID589_B__bin.7	35260.0	36802.0	39578.0	38489.0	37592.0	35897.0	35347.0	18673.0	29099.0	35209.0	26227.0	25644.0	39211.0	28325.0	34597.0	30672.0	36836.0	33349.0	25410.0	0.0	27415.0	34769.0	35435.0	28461.0	43209.0	16088.0
BackhedF_2015__SID105_4M__bin.4	26647.0	25063.0	26333.0	27034.0	26148.0	25057.0	24343.0	12718.0	22204.0	26378.0	17823.0	34055.0	23933.0	36960.0	23710.0	36095.0	24512.0	37579.0	17466.0	27415.0	0.0	26875.0	24267.0	33256.0	32227.0	20108.0
BackhedF_2015__SID195_4M__bin.11	29498.0	31237.0	33569.0	34381.0	34436.0	33731.0	28913.0	13569.0	22579.0	26960.0	18631.0	37438.0	32491.0	44508.0	29985.0	42564.0	31999.0	44497.0	20330.0	34769.0	26875.0	0.0	29958.0	41317.0	41084.0	23900.0
BackhedF_2015__SID201_4M__bin.1	33303.0	30497.0	32533.0	31113.0	33940.0	28905.0	27812.0	19532.0	799.0	27536.0	20980.0	40576.0	30314.0	44680.0	26472.0	45822.0	31021.0	49208.0	20715.0	35435.0	24267.0	29958.0	0.0	42736.0	42384.0	26029.0
BackhedF_2015__SID599_4M__bin.4	39328.0	37816.0	44989.0	43541.0	44162.0	42191.0	39108.0	22425.0	34084.0	37521.0	27841.0	21861.0	43996.0	27507.0	39438.0	10515.0	42044.0	11064.0	26799.0	28461.0	33256.0	41317.0	42736.0	0.0	49845.0	13039.0
LiuW_2016__SRR3993045__bin.26	35052.0	44692.0	45250.0	45447.0	45183.0	42427.0	40272.0	24187.0	35023.0	37610.0	31194.0	48180.0	44362.0	51421.0	39442.0	52722.0	45085.0	56770.0	28814.0	43209.0	32227.0	41084.0	42384.0	49845.0	0.0	31992.0
FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8	26392.0	25386.0	27981.0	27613.0	26859.0	26817.0	25361.0	17823.0	24233.0	25542.0	22295.0	7069.0	26384.0	7289.0	25416.0	14522.0	27363.0	15550.0	19184.0	16088.0	20108.0	23900.0	26029.0	13039.0	31992.0	0.0
