	CosteaPI_2017__SID713A063-11-90-0__bin.5	BackhedF_2015__SID635_M__bin.31	FengQ_2015__SID31685__bin.17	ZellerG_2014__CCIS59132091ST-4-0__bin.21	KarlssonFH_2013__S561__bin.6	ZeeviD_2015__PNP_Main_240__bin.47	FengQ_2015__SID530018__bin.43	FengQ_2015__SID530558__bin.38	NielsenHB_2014__O2_UC55_0__bin.28	BackhedF_2015__SID45_12M__bin.3	BackhedF_2015__SID383_12M__bin.21	IjazUZ_2017__S151_a_WGS__bin.11	LiJ_2014__V1.FI15__bin.17	BackhedF_2015__SID9_M__bin.4	BackhedF_2015__SID45_M__bin.28	KarlssonFH_2013__S424__bin.12	LiJ_2014__V1.CD48-0__bin.25	XieH_2016__YSZC12003_35519__bin.24	LiJ_2014__V1.CD52-0__bin.49	BackhedF_2015__SID570_12M__bin.15	XieH_2016__YSZC12003_36390__bin.48	KarlssonFH_2013__S526__bin.31	XieH_2016__YSZC12003_37138__bin.93	XieH_2016__YSZC12003_35712__bin.2	QinJ_2012__DLF013__bin.9	ZellerG_2014__CCIS07648107ST-4-0__bin.39	FengQ_2015__SID530026__bin.55	FengQ_2015__SID31428__bin.14	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	FengQ_2015__SID530348__bin.7	FengQ_2015__SID31446__bin.29	LiJ_2014__V1.FI29__bin.19	ZeeviD_2015__PNP_Main_194__bin.53
BackhedF_2015__SID383_12M__bin.21	24621.0	26735.0	26788.0	30045.0	19766.0	28605.0	25750.0	26580.0	16029.0	25900.0	0.0	24004.0	26833.0	25098.0	16104.0	22680.0	22094.0	27498.0	27680.0	19051.0	30379.0	26363.0	25968.0	25556.0	15782.0	16508.0	18493.0	12247.0	24125.0	18064.0	29658.0	26757.0	22687.0
IjazUZ_2017__S151_a_WGS__bin.11	30633.0	20433.0	18768.0	27831.0	15743.0	40394.0	29256.0	17294.0	14530.0	16895.0	24004.0	0.0	17960.0	10423.0	10225.0	31248.0	15740.0	26303.0	25728.0	12968.0	40350.0	24005.0	13754.0	38480.0	12875.0	8318.0	25162.0	17769.0	43018.0	15223.0	38123.0	21090.0	43719.0
LiJ_2014__V1.FI15__bin.17	33355.0	24811.0	13269.0	21683.0	16604.0	44089.0	30677.0	10339.0	16222.0	19494.0	26833.0	17960.0	0.0	17634.0	11530.0	31512.0	17994.0	25341.0	25047.0	12493.0	44674.0	25591.0	18921.0	42694.0	12724.0	6003.0	30295.0	19613.0	46764.0	14759.0	42031.0	27425.0	49343.0
BackhedF_2015__SID9_M__bin.4	34653.0	20989.0	19442.0	29828.0	16582.0	44293.0	29230.0	16127.0	15483.0	16198.0	25098.0	10423.0	17634.0	0.0	9813.0	31918.0	16153.0	26972.0	27211.0	12834.0	46949.0	22538.0	12494.0	43267.0	11356.0	9142.0	30515.0	21771.0	46465.0	15466.0	44767.0	22642.0	47501.0
BackhedF_2015__SID45_M__bin.28	19785.0	9522.0	12493.0	19102.0	7064.0	21490.0	16971.0	10136.0	9854.0	1570.0	16104.0	10225.0	11530.0	9813.0	0.0	17379.0	10565.0	14445.0	14445.0	9702.0	23200.0	11093.0	9527.0	23192.0	9447.0	5035.0	14115.0	8393.0	25354.0	6649.0	21484.0	12694.0	23617.0
KarlssonFH_2013__S424__bin.12	20075.0	34194.0	30233.0	33351.0	22980.0	27019.0	35085.0	34112.0	17994.0	33117.0	22680.0	31248.0	31512.0	31918.0	17379.0	0.0	29737.0	32410.0	34863.0	20054.0	28684.0	34745.0	31483.0	23597.0	20051.0	19162.0	15663.0	12644.0	38811.0	21994.0	25063.0	31670.0	41457.0
LiJ_2014__V1.CD48-0__bin.25	29689.0	18340.0	16916.0	25556.0	12927.0	34937.0	27165.0	17550.0	12156.0	20026.0	22094.0	15740.0	17994.0	16153.0	10565.0	29737.0	0.0	19397.0	20699.0	11643.0	38784.0	20084.0	17146.0	35041.0	11763.0	6787.0	21979.0	12990.0	35981.0	12273.0	34635.0	5374.0	38025.0
XieH_2016__YSZC12003_35519__bin.24	32765.0	27465.0	26298.0	34786.0	19792.0	46893.0	37628.0	26289.0	5583.0	26321.0	27498.0	26303.0	25341.0	26972.0	14445.0	32410.0	19397.0	0.0	2965.0	17730.0	45514.0	29648.0	28083.0	42310.0	16036.0	15159.0	30492.0	21295.0	46568.0	18438.0	42518.0	25633.0	51161.0
LiJ_2014__V1.CD52-0__bin.49	34351.0	26858.0	26055.0	34257.0	19717.0	45796.0	35519.0	25277.0	8414.0	24884.0	27680.0	25728.0	25047.0	27211.0	14445.0	34863.0	20699.0	2965.0	0.0	17236.0	47823.0	29027.0	27917.0	43362.0	15211.0	16725.0	33861.0	21486.0	50175.0	19903.0	45706.0	26962.0	53123.0
BackhedF_2015__SID570_12M__bin.15	21824.0	16742.0	13559.0	19664.0	11817.0	26822.0	20695.0	13253.0	11743.0	14271.0	19051.0	12968.0	12493.0	12834.0	9702.0	20054.0	11643.0	17730.0	17236.0	0.0	27575.0	16777.0	14160.0	26514.0	10658.0	5822.0	16511.0	10471.0	29230.0	9542.0	26259.0	14975.0	29875.0
XieH_2016__YSZC12003_36390__bin.48	19523.0	45107.0	41451.0	49991.0	34022.0	32336.0	49164.0	46265.0	21916.0	44942.0	30379.0	40350.0	44674.0	46949.0	23200.0	28684.0	38784.0	45514.0	47823.0	27575.0	0.0	43559.0	43438.0	32831.0	25614.0	29455.0	22533.0	19422.0	52377.0	31295.0	30263.0	44909.0	58064.0
KarlssonFH_2013__S526__bin.31	32267.0	15243.0	28211.0	34925.0	8450.0	43420.0	33522.0	28260.0	17445.0	20874.0	26363.0	24005.0	25591.0	22538.0	11093.0	34745.0	20084.0	29648.0	29027.0	16777.0	43559.0	0.0	24273.0	40714.0	16565.0	13485.0	29720.0	19359.0	43454.0	7918.0	40355.0	25038.0	48127.0
XieH_2016__YSZC12003_37138__bin.93	30777.0	22266.0	21132.0	31800.0	15580.0	43679.0	32941.0	17951.0	15379.0	20115.0	25968.0	13754.0	18921.0	12494.0	9527.0	31483.0	17146.0	28083.0	27917.0	14160.0	43438.0	24273.0	0.0	41550.0	13022.0	10969.0	29950.0	20375.0	43727.0	15209.0	40137.0	23298.0	49157.0
