	ZeeviD_2015__PNP_Main_69__bin.47	CosteaPI_2017__SID713B072-11-90-0__bin.19	ZeeviD_2015__PNP_Main_376__bin.3	CM_madagascar__A55_01_1FE__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	LiJ_2014__O2.UC2-1__bin.2	BritoIL_2016__W2.47.ST__bin.15	QinN_2014__LD-54__bin.16	BritoIL_2016__W1.51.ST__bin.18	CosteaPI_2017__SID713B044-11-90-0__bin.48	ZellerG_2014__CCIS51595129ST-4-0__bin.22	NielsenHB_2014__V1_UC49_1__bin.72	LiJ_2014__MH0260__bin.48	NielsenHB_2014__V1_CD29_0__bin.39	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.30	ZeeviD_2015__PNP_Main_415__bin.78	QinJ_2012__CON-110__bin.17	ZeeviD_2015__PNP_Main_301__bin.17	BritoIL_2016__WL.30.ST__bin.64	CosteaPI_2017__SID713B072-11-0-0__bin.56	ZeeviD_2015__PNP_Main_593__bin.28	BritoIL_2016__W1.13.ST__bin.39	BritoIL_2016__W2.46.ST__bin.74	BritoIL_2016__W2.44.ST__bin.5	Obregon-TitoAJ_2015__SM25__bin.48	XieH_2016__YSZC12003_36703__bin.5	QinJ_2012__T2D-104__bin.43	CosteaPI_2017__SID713A074-11-0-0__bin.43	BritoIL_2016__W2.11.ST__bin.30	CosteaPI_2017__SID713A055-11-0-0__bin.74	LiJ_2014__O2.UC7-1__bin.37	CM_madagascar__A89_02_1FE__bin.24	BritoIL_2016__W3.16.ST__bin.21
ZellerG_2014__CCIS51595129ST-4-0__bin.22	2444431.0	2436742.0	2434748.0	2395250.0	2407572.0	2399126.0	2171316.0	2419357.0	2357409.0	2394806.0	2795304.0	2467063.0	2400426.0	2532221.0	2145243.0	2499269.0	2359732.0	2544222.0	2369828.0	2403459.0	2564742.0	2415550.0	2390706.0	2469916.0	2407527.0	2473559.0	2533399.0	2133709.0	2483824.0	2487307.0	2459799.0	2433412.0	1921169.0
NielsenHB_2014__V1_UC49_1__bin.72	2485444.0	2478061.0	2453151.0	2431888.0	2431471.0	2511937.0	2236192.0	2401989.0	2393717.0	2443550.0	2467063.0	2726139.0	2435255.0	2565993.0	2165480.0	2555486.0	2399386.0	2568073.0	2408566.0	2458938.0	2598440.0	2473714.0	2458248.0	2529857.0	2461359.0	2497037.0	2561401.0	2154615.0	2538405.0	2577513.0	2573667.0	2452341.0	1931967.0
LiJ_2014__MH0260__bin.48	2456834.0	2462953.0	2478477.0	2398650.0	2415998.0	2402395.0	2203932.0	2344574.0	2380921.0	2415136.0	2400426.0	2435255.0	2670900.0	2541405.0	2119295.0	2489020.0	2394402.0	2554748.0	2406837.0	2436303.0	2566089.0	2426051.0	2427054.0	2533754.0	2407688.0	2462378.0	2530503.0	2129077.0	2532586.0	2499160.0	2477396.0	2455192.0	1924361.0
NielsenHB_2014__V1_CD29_0__bin.39	2593936.0	2591341.0	2576109.0	2518519.0	2547271.0	2542684.0	2330409.0	2481962.0	2469357.0	2549226.0	2532221.0	2565993.0	2541405.0	3054930.0	2241638.0	2637949.0	2478911.0	2763965.0	2528937.0	2573978.0	2741820.0	2560091.0	2589448.0	2645225.0	2553003.0	2652712.0	2695386.0	2251191.0	2643258.0	2625126.0	2605646.0	2570071.0	2018659.0
VogtmannE_2016__MMRS65742083ST-27-0-0__bin.30	2176185.0	2165054.0	2145312.0	2162944.0	2143528.0	2155246.0	1965570.0	2047390.0	2107493.0	2213790.0	2145243.0	2165480.0	2119295.0	2241638.0	2450294.0	2204551.0	2126483.0	2227228.0	2143813.0	2185486.0	2231674.0	2176232.0	2141681.0	2187347.0	2122182.0	2172412.0	2212575.0	1938260.0	2193707.0	2218290.0	2181092.0	2182283.0	1628280.0
ZeeviD_2015__PNP_Main_415__bin.78	2544361.0	2534439.0	2539647.0	2519531.0	2530704.0	2502152.0	2300881.0	2441263.0	2465361.0	2508562.0	2499269.0	2555486.0	2489020.0	2637949.0	2204551.0	2870920.0	2461940.0	2634716.0	2498718.0	2516543.0	2684581.0	2537557.0	2541877.0	2632010.0	2529196.0	2530480.0	2629030.0	2231597.0	2637161.0	2604767.0	2578537.0	2542783.0	1966599.0
QinJ_2012__CON-110__bin.17	2408564.0	2419020.0	2455777.0	2353387.0	2371329.0	2370759.0	2201089.0	2319857.0	2356752.0	2390476.0	2359732.0	2399386.0	2394402.0	2478911.0	2126483.0	2461940.0	2615219.0	2490993.0	2351861.0	2423784.0	2487369.0	2391307.0	2396080.0	2474032.0	2367078.0	2423167.0	2483194.0	2114687.0	2473801.0	2463427.0	2433386.0	2408466.0	1830560.0
ZeeviD_2015__PNP_Main_301__bin.17	2588402.0	2615621.0	2580091.0	2529718.0	2530931.0	2576393.0	2384836.0	2528369.0	2519528.0	2539259.0	2544222.0	2568073.0	2554748.0	2763965.0	2227228.0	2634716.0	2490993.0	3090795.0	2511048.0	2594317.0	2736389.0	2568948.0	2649292.0	2712977.0	2550098.0	2645554.0	2727364.0	2246450.0	2707913.0	2611781.0	2591986.0	2567968.0	2035217.0
BritoIL_2016__WL.30.ST__bin.64	2452191.0	2446179.0	2459066.0	2429026.0	2397970.0	2405517.0	2227062.0	2314622.0	2366175.0	2410270.0	2369828.0	2408566.0	2406837.0	2528937.0	2143813.0	2498718.0	2351861.0	2511048.0	2702255.0	2416266.0	2560577.0	2417132.0	2461405.0	2536801.0	2407839.0	2438849.0	2517493.0	2156922.0	2506149.0	2485020.0	2459398.0	2483030.0	1835775.0
CosteaPI_2017__SID713B072-11-0-0__bin.56	2453110.0	2550385.0	2461529.0	2403082.0	2432119.0	2441146.0	2268692.0	2370614.0	2410045.0	2473913.0	2403459.0	2458938.0	2436303.0	2573978.0	2185486.0	2516543.0	2423784.0	2594317.0	2416266.0	2687603.0	2565504.0	2445296.0	2477891.0	2542455.0	2430809.0	2480438.0	2538234.0	2186580.0	2548966.0	2526078.0	2481367.0	2466671.0	1873610.0
ZeeviD_2015__PNP_Main_593__bin.28	2590043.0	2586421.0	2613586.0	2533249.0	2550581.0	2569269.0	2328873.0	2479778.0	2487274.0	2538715.0	2564742.0	2598440.0	2566089.0	2741820.0	2231674.0	2684581.0	2487369.0	2736389.0	2560577.0	2565504.0	3049118.0	2554574.0	2613760.0	2679564.0	2577384.0	2625582.0	2707966.0	2228055.0	2660081.0	2631645.0	2628719.0	2584683.0	2048500.0
BritoIL_2016__W1.13.ST__bin.39	2467946.0	2475834.0	2455082.0	2436980.0	2441705.0	2426516.0	2273724.0	2334544.0	2464476.0	2412034.0	2415550.0	2473714.0	2426051.0	2560091.0	2176232.0	2537557.0	2391307.0	2568948.0	2417132.0	2445296.0	2554574.0	2757344.0	2516465.0	2608935.0	2468632.0	2496281.0	2531597.0	2176482.0	2601332.0	2506126.0	2482947.0	2457011.0	1973332.0
BritoIL_2016__W2.46.ST__bin.74	2463124.0	2491298.0	2490952.0	2418537.0	2423897.0	2440062.0	2341472.0	2353078.0	2456897.0	2421395.0	2390706.0	2458248.0	2427054.0	2589448.0	2141681.0	2541877.0	2396080.0	2649292.0	2461405.0	2477891.0	2613760.0	2516465.0	2821105.0	2648899.0	2464794.0	2470732.0	2546500.0	2174290.0	2608718.0	2494268.0	2484376.0	2479457.0	1945270.0
BritoIL_2016__W2.44.ST__bin.5	2551078.0	2583278.0	2578407.0	2531340.0	2524186.0	2535442.0	2358308.0	2420694.0	2544694.0	2491655.0	2469916.0	2529857.0	2533754.0	2645225.0	2187347.0	2632010.0	2474032.0	2712977.0	2536801.0	2542455.0	2679564.0	2608935.0	2648899.0	2899414.0	2560689.0	2588142.0	2639834.0	2237111.0	2711260.0	2571894.0	2583833.0	2586250.0	2013864.0
Obregon-TitoAJ_2015__SM25__bin.48	2452818.0	2455916.0	2454245.0	2476730.0	2473208.0	2421423.0	2233398.0	2336743.0	2397221.0	2409198.0	2407527.0	2461359.0	2407688.0	2553003.0	2122182.0	2529196.0	2367078.0	2550098.0	2407839.0	2430809.0	2577384.0	2468632.0	2464794.0	2560689.0	3214152.0	2481583.0	2545587.0	2246567.0	2538020.0	2510926.0	2492374.0	2552128.0	1919127.0
XieH_2016__YSZC12003_36703__bin.5	2490425.0	2509335.0	2479938.0	2469131.0	2445851.0	2481210.0	2247289.0	2416806.0	2419907.0	2448236.0	2473559.0	2497037.0	2462378.0	2652712.0	2172412.0	2530480.0	2423167.0	2645554.0	2438849.0	2480438.0	2625582.0	2496281.0	2470732.0	2588142.0	2481583.0	2888221.0	2627168.0	2148686.0	2564887.0	2544825.0	2514337.0	2489299.0	1919571.0
QinJ_2012__T2D-104__bin.43	2565686.0	2557430.0	2557447.0	2514729.0	2524443.0	2553007.0	2309995.0	2458829.0	2484175.0	2538203.0	2533399.0	2561401.0	2530503.0	2695386.0	2212575.0	2629030.0	2483194.0	2727364.0	2517493.0	2538234.0	2707966.0	2531597.0	2546500.0	2639834.0	2545587.0	2627168.0	2961147.0	2216779.0	2629485.0	2615060.0	2603505.0	2586094.0	2001222.0
CosteaPI_2017__SID713A074-11-0-0__bin.43	2170650.0	2178846.0	2168449.0	2208020.0	2205916.0	2165858.0	1997490.0	2071077.0	2133817.0	2161216.0	2133709.0	2154615.0	2129077.0	2251191.0	1938260.0	2231597.0	2114687.0	2246450.0	2156922.0	2186580.0	2228055.0	2176482.0	2174290.0	2237111.0	2246567.0	2148686.0	2216779.0	2481614.0	2221811.0	2214372.0	2184487.0	2240026.0	1639212.0
BritoIL_2016__W2.11.ST__bin.30	2550098.0	2583656.0	2555232.0	2495595.0	2524668.0	2510524.0	2352859.0	2450137.0	2536031.0	2492669.0	2483824.0	2538405.0	2532586.0	2643258.0	2193707.0	2637161.0	2473801.0	2707913.0	2506149.0	2548966.0	2660081.0	2601332.0	2608718.0	2711260.0	2538020.0	2564887.0	2629485.0	2221811.0	2898038.0	2595975.0	2590498.0	2550227.0	2012967.0
CosteaPI_2017__SID713A055-11-0-0__bin.74	2533242.0	2537701.0	2525267.0	2494178.0	2484143.0	2507205.0	2276567.0	2440845.0	2444830.0	2520974.0	2487307.0	2577513.0	2499160.0	2625126.0	2218290.0	2604767.0	2463427.0	2611781.0	2485020.0	2526078.0	2631645.0	2506126.0	2494268.0	2571894.0	2510926.0	2544825.0	2615060.0	2214372.0	2595975.0	2801667.0	2574455.0	2535593.0	1910106.0
LiJ_2014__O2.UC7-1__bin.37	2521154.0	2525549.0	2512254.0	2461388.0	2469858.0	2545397.0	2260499.0	2407098.0	2428624.0	2468506.0	2459799.0	2573667.0	2477396.0	2605646.0	2181092.0	2578537.0	2433386.0	2591986.0	2459398.0	2481367.0	2628719.0	2482947.0	2484376.0	2583833.0	2492374.0	2514337.0	2603505.0	2184487.0	2590498.0	2574455.0	2732974.0	2509911.0	1921710.0
CM_madagascar__A89_02_1FE__bin.24	2473074.0	2488339.0	2491053.0	2597229.0	2492485.0	2461665.0	2239186.0	2334676.0	2410288.0	2455618.0	2433412.0	2452341.0	2455192.0	2570071.0	2182283.0	2542783.0	2408466.0	2567968.0	2483030.0	2466671.0	2584683.0	2457011.0	2479457.0	2586250.0	2552128.0	2489299.0	2586094.0	2240026.0	2550227.0	2535593.0	2509911.0	2926900.0	1879788.0
BritoIL_2016__W3.16.ST__bin.21	1896435.0	1909767.0	1931688.0	1837798.0	1869927.0	1868164.0	1705421.0	1849531.0	1939565.0	1848887.0	1921169.0	1931967.0	1924361.0	2018659.0	1628280.0	1966599.0	1830560.0	2035217.0	1835775.0	1873610.0	2048500.0	1973332.0	1945270.0	2013864.0	1919127.0	1919571.0	2001222.0	1639212.0	2012967.0	1910106.0	1921710.0	1879788.0	2154123.0
