	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
ZeeviD_2015__PNP_Main_62__bin.42	46619.0	59196.0	49404.0	58892.0	13298.0	38777.0	64425.0	41881.0	29919.0	49774.0	0.0	48415.0	44632.0	51768.0	52993.0	62028.0	38595.0	61437.0	60217.0	59161.0	13610.0	55021.0	50448.0	41536.0	48786.0	50007.0	55203.0	52376.0	57343.0	32836.0	27294.0	37352.0	58973.0	62212.0
RaymondF_2016__P6C7__bin.13	51009.0	71070.0	54378.0	70943.0	39198.0	46457.0	77223.0	51580.0	38417.0	61058.0	48415.0	0.0	56082.0	60167.0	61467.0	75634.0	52477.0	76039.0	74591.0	74909.0	45462.0	64571.0	64646.0	735.0	59762.0	55457.0	66501.0	65807.0	70806.0	34243.0	54207.0	43134.0	67261.0	74883.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	54730.0	65160.0	57293.0	65108.0	36759.0	44073.0	69685.0	47723.0	37994.0	56092.0	44632.0	56082.0	0.0	56061.0	52000.0	69551.0	49154.0	67923.0	67709.0	67690.0	40581.0	52965.0	58159.0	49287.0	53759.0	55286.0	60288.0	58844.0	63973.0	36043.0	48266.0	37385.0	61873.0	68329.0
LouisS_2016__AS68_0__bin.29	62872.0	60748.0	65898.0	60256.0	41512.0	42051.0	63487.0	50887.0	41851.0	19879.0	51768.0	60167.0	56061.0	0.0	69620.0	13315.0	53206.0	53898.0	58011.0	69973.0	48224.0	69929.0	58350.0	53759.0	58660.0	59906.0	65274.0	49720.0	56684.0	43761.0	53762.0	44125.0	77638.0	63257.0
VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	61508.0	74837.0	66034.0	75860.0	42199.0	49239.0	87270.0	50351.0	41545.0	60373.0	52993.0	61467.0	52000.0	69620.0	0.0	76800.0	52683.0	77516.0	76800.0	74924.0	49938.0	29559.0	63972.0	53518.0	60090.0	63439.0	67657.0	66298.0	72868.0	42213.0	53152.0	19605.0	78758.0	79440.0
LiJ_2017__nHF611623__bin.25	76808.0	71732.0	81143.0	71635.0	49996.0	52991.0	67251.0	62359.0	52171.0	25813.0	62028.0	75634.0	69551.0	13315.0	76800.0	0.0	66230.0	64121.0	70757.0	82776.0	58357.0	79297.0	73058.0	66223.0	71121.0	76006.0	79834.0	62320.0	69049.0	50485.0	65851.0	54993.0	86228.0	75248.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	50676.0	62312.0	53634.0	61981.0	30947.0	38356.0	66755.0	42339.0	35154.0	54076.0	38595.0	52477.0	49154.0	53206.0	52683.0	66230.0	0.0	65404.0	63464.0	60704.0	35987.0	54323.0	49793.0	45593.0	48972.0	53795.0	57667.0	57421.0	61872.0	33481.0	37540.0	38485.0	58058.0	65386.0
HeQ_2017__SZAXPI029571-86__bin.34	78936.0	69333.0	79856.0	69679.0	49413.0	52182.0	27817.0	61707.0	51551.0	53851.0	61437.0	76039.0	67923.0	53898.0	77516.0	64121.0	65404.0	0.0	66926.0	84355.0	57850.0	79400.0	72181.0	65721.0	70889.0	74392.0	80571.0	62520.0	69183.0	49603.0	64495.0	54846.0	87548.0	73349.0
LiJ_2017__H1M5XX814__bin.21	75323.0	65609.0	79037.0	65787.0	47580.0	49476.0	69888.0	60876.0	49908.0	57334.0	60217.0	74591.0	67709.0	58011.0	76800.0	70757.0	63464.0	66926.0	0.0	80641.0	57348.0	77609.0	69433.0	65842.0	70918.0	74144.0	78643.0	59497.0	64620.0	50097.0	65198.0	55189.0	84479.0	69193.0
ZellerG_2014__CCMD25963797ST-21-0__bin.52	75250.0	78802.0	78259.0	79079.0	48965.0	50843.0	87200.0	56927.0	47687.0	66080.0	59161.0	74909.0	67690.0	69973.0	74924.0	82776.0	60704.0	84355.0	80641.0	0.0	56775.0	76519.0	68070.0	63818.0	65254.0	72742.0	77327.0	71053.0	78191.0	47598.0	63676.0	52495.0	82912.0	83544.0
