	HMP_2012__SRS019126__bin.26	HMP_2012__SRS023958__bin.34	FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	HMP_2012__SRS063288__bin.15	HMP_2012__SRS019127__bin.32	HMP_2012__SRS018145__bin.57	HMP_2012__SRS047824__bin.58	HMP_2012__SRS057539__bin.64	HMP_2012__SRS022530__bin.53	HMP_2012__SRS022621__bin.36	HMP_2012__SRS023926__bin.59	HMP_2012__SRS013252__bin.16	HMP_2012__SRS057205__bin.2	HMP_2012__SRS024441__bin.2	HMP_2012__SRS011115__bin.71	HMP_2012__SRS015644__bin.55	HMP_2012__SRS022077__bin.47	HMP_2012__SRS017209__bin.31	HMP_2012__SRS018300__bin.3	HMP_2012__SRS077736__bin.49	HMP_2012__SRS062761__bin.49	HMP_2012__SRS042131__bin.27	HMP_2012__SRS016037__bin.60	CM_cf__CF_TNFC057IS_t1M15__bin.15	HMP_2012__SRS016002__bin.40	HMP_2012__SRS019327__bin.47	HMP_2012__SRS013164__bin.35	HMP_2012__SRS017439__bin.53	HMP_2012__SRS017808__bin.52	HMP_2012__SRS057692__bin.13	HMP_2012__SRS015762__bin.44	HMP_2012__SRS019122__bin.5	HMP_2012__SRS042643__bin.39	HMP_2012__SRS021496__bin.20	HMP_2012__SRS011306__bin.51	HMP_2012__SRS043663__bin.27	HMP_2012__SRS016225__bin.43	HMP_2012__SRS063193__bin.55	HMP_2012__SRS024277__bin.47	CM_cf__CF_TNFC057SA_t1M16__bin.3	HMP_2012__SRS024081__bin.3	HMP_2012__SRS011243__bin.13	HMP_2012__SRS064329__bin.27
HMP_2012__SRS023926__bin.59	58862.0	54090.0	37380.0	57104.0	57108.0	44740.0	59119.0	108342.0	88012.0	95527.0	0.0	114411.0	40102.0	62351.0	95451.0	61936.0	62118.0	38546.0	91843.0	66759.0	88504.0	58115.0	67897.0	31608.0	51846.0	47994.0	60874.0	52947.0	63819.0	63272.0	46883.0	58170.0	99077.0	92189.0	64869.0	99299.0	63055.0	64950.0	60816.0	32826.0	57010.0	32064.0	54238.0
HMP_2012__SRS013252__bin.16	116983.0	99525.0	80185.0	80858.0	113218.0	83482.0	114525.0	67871.0	84920.0	65299.0	114411.0	0.0	82017.0	112664.0	77652.0	109175.0	99721.0	69407.0	77887.0	53329.0	69721.0	107483.0	61406.0	62205.0	99489.0	94117.0	109556.0	108396.0	114535.0	100930.0	80598.0	115920.0	68825.0	72616.0	90576.0	78901.0	106659.0	98053.0	85855.0	64647.0	103396.0	64198.0	102535.0
HMP_2012__SRS057205__bin.2	35604.0	37397.0	28527.0	38586.0	35697.0	30925.0	37355.0	73022.0	58620.0	64578.0	40102.0	82017.0	0.0	39306.0	65712.0	39054.0	38522.0	25484.0	63399.0	48004.0	59998.0	36725.0	47220.0	21169.0	33086.0	31584.0	40275.0	33626.0	39813.0	40860.0	14377.0	35383.0	70092.0	62806.0	43102.0	66460.0	40284.0	40329.0	42550.0	22978.0	37882.0	21093.0	35680.0
HMP_2012__SRS024441__bin.2	55940.0	51789.0	39159.0	55611.0	55751.0	41757.0	57940.0	102111.0	84751.0	92088.0	62351.0	112664.0	39306.0	0.0	93606.0	59187.0	56795.0	35191.0	89844.0	64822.0	81685.0	57680.0	67104.0	31171.0	45822.0	42027.0	57158.0	51792.0	55985.0	57074.0	43481.0	55748.0	96407.0	89010.0	58064.0	93433.0	52918.0	56987.0	56446.0	31851.0	51396.0	26951.0	49841.0
HMP_2012__SRS011115__bin.71	95277.0	83152.0	65243.0	52509.0	93597.0	68179.0	96720.0	74825.0	37552.0	65848.0	95451.0	77652.0	65712.0	93606.0	0.0	93760.0	82540.0	57696.0	73314.0	55585.0	64749.0	91556.0	53395.0	52898.0	82008.0	78143.0	90536.0	88021.0	95002.0	85814.0	69812.0	94771.0	69760.0	3558.0	77604.0	72937.0	87899.0	82182.0	75012.0	52418.0	87140.0	52108.0	85393.0
HMP_2012__SRS015644__bin.55	57983.0	54832.0	36713.0	55438.0	56777.0	43337.0	56925.0	102466.0	84786.0	91889.0	61936.0	109175.0	39054.0	59187.0	93760.0	0.0	56193.0	35484.0	90108.0	63417.0	84567.0	7202.0	67036.0	30925.0	47223.0	42282.0	61662.0	52049.0	58063.0	57429.0	44558.0	57367.0	97119.0	89448.0	59315.0	94535.0	56177.0	59413.0	54704.0	32054.0	49259.0	28899.0	47886.0
HMP_2012__SRS022077__bin.47	58867.0	56099.0	38070.0	51300.0	58810.0	43532.0	57966.0	91278.0	77056.0	82224.0	62118.0	99721.0	38522.0	56795.0	82540.0	56193.0	0.0	34072.0	81571.0	60540.0	74604.0	54333.0	58469.0	31173.0	49292.0	44618.0	61454.0	51601.0	53090.0	56832.0	43614.0	58839.0	88628.0	78343.0	56769.0	82135.0	53700.0	58593.0	52509.0	31731.0	50184.0	27553.0	47340.0
HMP_2012__SRS017209__bin.31	36054.0	34175.0	24207.0	33953.0	35092.0	28589.0	35422.0	63245.0	51715.0	58068.0	38546.0	69407.0	25484.0	35191.0	57696.0	35484.0	34072.0	0.0	56220.0	40549.0	49457.0	34474.0	40432.0	19003.0	29925.0	27004.0	36788.0	32268.0	32476.0	36679.0	29159.0	35946.0	61436.0	55575.0	36963.0	56293.0	35317.0	36365.0	33855.0	21372.0	33269.0	18586.0	31299.0
HMP_2012__SRS018300__bin.3	93613.0	81856.0	63837.0	68103.0	90049.0	64995.0	90396.0	72488.0	78367.0	68616.0	91843.0	77887.0	63399.0	89844.0	73314.0	90108.0	81571.0	56220.0	0.0	55380.0	67773.0	88524.0	54338.0	50513.0	79816.0	74144.0	90655.0	85661.0	92957.0	80731.0	65764.0	92586.0	69913.0	67668.0	77701.0	76825.0	82712.0	80538.0	73389.0	53439.0	87217.0	50671.0	82809.0
HMP_2012__SRS077736__bin.49	65089.0	57931.0	47146.0	50197.0	62944.0	47996.0	66553.0	49042.0	57440.0	48353.0	66759.0	53329.0	48004.0	64822.0	55585.0	63417.0	60540.0	40549.0	55380.0	0.0	50316.0	61051.0	39988.0	38491.0	56867.0	53047.0	62998.0	62043.0	66157.0	58461.0	51462.0	64120.0	48961.0	51368.0	54419.0	54195.0	63930.0	58391.0	50219.0	37050.0	60956.0	36552.0	59535.0
