	VincentC_2016__MM103.2__bin.15	VincentC_2016__MM103.3__bin.13	VincentC_2016__MM083.2__bin.6	VincentC_2016__MM002.1__bin.13	VincentC_2016__MM049.1__bin.11	VincentC_2016__MM049.2__bin.7	VincentC_2016__MM018__bin.11	VincentC_2016__MM029.3__bin.26	VincentC_2016__MM103.1__bin.13	DavidLA_2015__LD-Run2-28__bin.3	VincentC_2016__MM050.4__bin.44	VincentC_2016__MM001.4__bin.23	BackhedF_2015__SID615_M__bin.51	OhJ_2014__MET0251__bin.14	VincentC_2016__MM050.3__bin.14	VincentC_2016__MM021.1__bin.1	VincentC_2016__MM005.3__bin.2	VincentC_2016__MM083.5__bin.7	DavidLA_2015__LD-Run2-18__bin.1	VincentC_2016__MM005.1__bin.8	VincentC_2016__MM043.2__bin.9	VincentC_2016__MM002.2__bin.2	ZeeviD_2015__PNP_Main_122__bin.62	VincentC_2016__MM099.1__bin.4	DavidLA_2015__LD-Run1-06__bin.12	VincentC_2016__MM096__bin.10
VincentC_2016__MM050.4__bin.44	48163.0	50115.0	47938.0	49110.0	51398.0	51860.0	35037.0	49892.0	51471.0	56577.0	0.0	37244.0	56698.0	52997.0	642.0	47194.0	49703.0	31156.0	58587.0	47734.0	56105.0	49439.0	40529.0	51208.0	46022.0	48678.0
VincentC_2016__MM001.4__bin.23	37605.0	38647.0	33981.0	35690.0	36973.0	37130.0	22292.0	35722.0	39512.0	46082.0	37244.0	0.0	43208.0	38635.0	37226.0	31685.0	35833.0	26950.0	45301.0	34940.0	38543.0	35801.0	30731.0	39382.0	41700.0	34743.0
BackhedF_2015__SID615_M__bin.51	55776.0	57439.0	55009.0	56350.0	62155.0	62257.0	40022.0	60811.0	59998.0	66108.0	56698.0	43208.0	0.0	58021.0	58066.0	53097.0	59101.0	36866.0	67052.0	56270.0	59811.0	57282.0	43785.0	59283.0	53029.0	55641.0
OhJ_2014__MET0251__bin.14	52981.0	54450.0	49178.0	52786.0	53802.0	54344.0	36703.0	54391.0	55753.0	60188.0	52997.0	38635.0	58021.0	0.0	52989.0	47967.0	54600.0	32593.0	62570.0	53130.0	54618.0	53143.0	17988.0	55221.0	50066.0	51323.0
VincentC_2016__MM050.3__bin.14	49997.0	51599.0	47620.0	49012.0	52134.0	52395.0	34641.0	52033.0	53466.0	58395.0	642.0	37226.0	58066.0	52989.0	0.0	46377.0	52657.0	30576.0	59553.0	49762.0	55847.0	49755.0	39886.0	52971.0	46765.0	49223.0
VincentC_2016__MM021.1__bin.1	47276.0	48809.0	43242.0	43337.0	44731.0	45409.0	32055.0	47180.0	50587.0	55340.0	47194.0	31685.0	53097.0	47967.0	46377.0	0.0	45545.0	27889.0	57336.0	43511.0	46907.0	43450.0	38251.0	50179.0	46159.0	43386.0
VincentC_2016__MM005.3__bin.2	45969.0	47410.0	48246.0	48417.0	51509.0	51787.0	33898.0	48411.0	49102.0	59761.0	49703.0	35833.0	59101.0	54600.0	52657.0	45545.0	0.0	31497.0	60522.0	1311.0	52843.0	48610.0	42055.0	48384.0	48438.0	48665.0
VincentC_2016__MM083.5__bin.7	32613.0	34261.0	216.0	30381.0	31038.0	30511.0	19722.0	31399.0	34834.0	40156.0	31156.0	26950.0	36866.0	32593.0	30576.0	27889.0	31497.0	0.0	40830.0	30348.0	33227.0	30576.0	25187.0	34612.0	34064.0	31156.0
DavidLA_2015__LD-Run2-18__bin.1	61480.0	63245.0	58812.0	60198.0	64880.0	65542.0	41891.0	63749.0	66099.0	35219.0	58587.0	45301.0	67052.0	62570.0	59553.0	57336.0	60522.0	40830.0	0.0	58002.0	62094.0	60960.0	47666.0	65471.0	172.0	61493.0
VincentC_2016__MM005.1__bin.8	43814.0	45532.0	46589.0	45991.0	49102.0	49252.0	32562.0	46341.0	46876.0	57470.0	47734.0	34940.0	56270.0	53130.0	49762.0	43511.0	1311.0	30348.0	58002.0	0.0	50657.0	46562.0	40189.0	46453.0	46293.0	46066.0
VincentC_2016__MM043.2__bin.9	51895.0	54154.0	47914.0	49696.0	50401.0	49674.0	34227.0	53439.0	55264.0	59168.0	56105.0	38543.0	59811.0	54618.0	55847.0	46907.0	52843.0	33227.0	62094.0	50657.0	0.0	49995.0	43593.0	54570.0	50495.0	50410.0
VincentC_2016__MM002.2__bin.2	48887.0	51296.0	46153.0	739.0	45723.0	45855.0	32638.0	50236.0	52823.0	59392.0	49439.0	35801.0	57282.0	53143.0	49755.0	43450.0	48610.0	30576.0	60960.0	46562.0	49995.0	0.0	42351.0	52063.0	49530.0	48350.0
ZeeviD_2015__PNP_Main_122__bin.62	40470.0	42074.0	38695.0	42075.0	41628.0	42161.0	29543.0	42599.0	44008.0	46425.0	40529.0	30731.0	43785.0	17988.0	39886.0	38251.0	42055.0	25187.0	47666.0	40189.0	43593.0	42351.0	0.0	43132.0	37672.0	39902.0
VincentC_2016__MM099.1__bin.4	943.0	1078.0	50659.0	51888.0	54672.0	55360.0	36546.0	52733.0	1184.0	60910.0	51208.0	39382.0	59283.0	55221.0	52971.0	50179.0	48384.0	34612.0	65471.0	46453.0	54570.0	52063.0	43132.0	0.0	52770.0	54476.0
DavidLA_2015__LD-Run1-06__bin.12	50781.0	51738.0	45926.0	48943.0	52797.0	51949.0	31766.0	50346.0	53221.0	25500.0	46022.0	41700.0	53029.0	50066.0	46765.0	46159.0	48438.0	34064.0	172.0	46293.0	50495.0	49530.0	37672.0	52770.0	0.0	51085.0
VincentC_2016__MM096__bin.10	50793.0	53060.0	46171.0	47920.0	49261.0	49444.0	31565.0	49367.0	54786.0	59306.0	48678.0	34743.0	55641.0	51323.0	49223.0	43386.0	48665.0	31156.0	61493.0	46066.0	50410.0	48350.0	39902.0	54476.0	51085.0	0.0
