	XieH_2016__YSZC12003_37544__bin.70	KarlssonFH_2013__S530__bin.43	ZeeviD_2015__PNP_Main_68__bin.15	ZeeviD_2015__PNP_Main_65__bin.2	LeChatelierE_2013__MH0092__bin.49	KarlssonFH_2013__S462__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	CosteaPI_2017__SID713A074-11-0-0__bin.30	ZeeviD_2015__PNP_Main_331__bin.21	ZeeviD_2015__PNP_Main_95__bin.1	CosteaPI_2017__SID713A039-11-0-0__bin.56	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	LeChatelierE_2013__MH0447__bin.34	KarlssonFH_2013__S421__bin.44	ZeeviD_2015__PNP_Main_333__bin.3	ZeeviD_2015__PNP_Main_382__bin.23	CosteaPI_2017__SID713A023-11-90-0__bin.86	ZeeviD_2015__PNP_Main_581__bin.34	CosteaPI_2017__SID713A023-11-0-0__bin.37	XieH_2016__YSZC12003_36117__bin.44	LiuW_2016__SRR3992958__bin.54	XieH_2016__YSZC12003_36474__bin.121	XieH_2016__YSZC12003_37543__bin.26	CosteaPI_2017__SID713A056-11-90-0__bin.79	ZeeviD_2015__PNP_Main_433__bin.48	ZeeviD_2015__PNP_Main_352__bin.44	ZellerG_2014__CCMD18872694ST-21-0__bin.26	ZeeviD_2015__PNP_Main_681__bin.32	SchirmerM_2016__G89063__bin.16	ZellerG_2014__CCIS29210128ST-4-0__bin.16	XieH_2016__YSZC12003_36211__bin.27	ZellerG_2014__CCIS94417875ST-3-0__bin.25	ZeeviD_2015__PNP_Main_208__bin.6	NielsenHB_2014__MH0092__bin.24	SchirmerM_2016__G88811__bin.11	ZeeviD_2015__PNP_Main_179__bin.26	ZeeviD_2015__PNP_Main_764__bin.30	CosteaPI_2017__SID713B072-11-0-0__bin.62	XieH_2016__YSZC12003_37286__bin.15	ZeeviD_2015__PNP_Main_22__bin.31	ZeeviD_2015__PNP_Main_189__bin.25	ZellerG_2014__CCIS90164298ST-4-0__bin.21	ZellerG_2014__CCIS77252613ST-4-0__bin.71	ZeeviD_2015__PNP_DietIntervention_11__bin.1	SchirmerM_2016__G89135__bin.5	SchirmerM_2016__G88977__bin.8	ZeeviD_2015__PNP_Main_98__bin.3	CosteaPI_2017__SID713A074-11-90-0__bin.79
XieH_2016__YSZC12003_36211__bin.27	1505525.0	1424432.0	1434244.0	1476465.0	1134091.0	1408635.0	1461282.0	1420500.0	1271598.0	1207225.0	783832.0	1434451.0	1476853.0	1476197.0	1479389.0	792731.0	1373592.0	1475222.0	1430364.0	1416491.0	854462.0	1475606.0	1086552.0	1396130.0	1476547.0	1318072.0	1490900.0	1473967.0	1478447.0	1408596.0	1602700.0	1163836.0	1416135.0	972823.0	1340003.0	1491761.0	1334700.0	1422447.0	1465009.0	1430781.0	1499450.0	1353299.0	1426281.0	1135151.0	1023849.0	1418203.0	959229.0	1409011.0
ZellerG_2014__CCIS94417875ST-3-0__bin.25	1438636.0	1416128.0	1382601.0	1441088.0	1217810.0	1361834.0	1403991.0	1336125.0	1226398.0	1212408.0	830218.0	1386835.0	1444359.0	1452741.0	1423287.0	773250.0	1333465.0	1403586.0	1372573.0	1357625.0	802407.0	1439922.0	1074363.0	1354819.0	1463590.0	1305529.0	1467705.0	1413994.0	1436126.0	1449998.0	1163836.0	1521454.0	1385472.0	1055164.0	1312935.0	1453141.0	1305296.0	1363237.0	1433844.0	1359444.0	1475210.0	1356019.0	1391522.0	1159222.0	1002139.0	1355772.0	979749.0	1326357.0
ZeeviD_2015__PNP_Main_208__bin.6	1894832.0	1818208.0	1819022.0	1879938.0	1353607.0	1759141.0	1825560.0	1764401.0	1567938.0	1471642.0	941300.0	1802566.0	1852714.0	1862806.0	1844495.0	945085.0	1740415.0	1880374.0	1795029.0	1769787.0	1025299.0	1855484.0	1302392.0	1755688.0	1882890.0	1615175.0	1872411.0	1880701.0	1845911.0	1747969.0	1416135.0	1385472.0	2048171.0	1159539.0	1662025.0	1884655.0	1687176.0	1793754.0	1841288.0	1787222.0	1887634.0	1702334.0	1799741.0	1349448.0	1265023.0	1765725.0	1201542.0	1741310.0
NielsenHB_2014__MH0092__bin.24	1212636.0	1194084.0	1161298.0	1187364.0	1281543.0	1138679.0	1182261.0	1132024.0	1074391.0	1036699.0	719741.0	1170378.0	1249341.0	1209323.0	1194527.0	641485.0	1116114.0	1197203.0	1149636.0	1140460.0	675228.0	1207878.0	906046.0	1124665.0	1242919.0	1080708.0	1224064.0	1192993.0	1208801.0	1190299.0	972823.0	1055164.0	1159539.0	1347904.0	1089440.0	1251040.0	1086941.0	1134848.0	1207365.0	1148915.0	1227344.0	1136788.0	1169857.0	1010153.0	857626.0	1134696.0	813458.0	1123258.0
SchirmerM_2016__G88811__bin.11	1795455.0	1703989.0	1706926.0	1762520.0	1289405.0	1694016.0	1761403.0	1754155.0	1476529.0	1385760.0	884777.0	1734073.0	1762504.0	1743790.0	1748363.0	917477.0	1743419.0	1759450.0	1819935.0	1806592.0	1016822.0	1754088.0	1237132.0	1791125.0	1770498.0	1544395.0	1755187.0	1763800.0	1761159.0	1663094.0	1340003.0	1312935.0	1662025.0	1089440.0	2069766.0	1784105.0	1570341.0	1798199.0	1728249.0	1713197.0	1771086.0	1605266.0	1728942.0	1292400.0	1394530.0	1775167.0	1106424.0	1734725.0
ZeeviD_2015__PNP_Main_179__bin.26	2096433.0	1983369.0	1998226.0	2064589.0	1502660.0	1888427.0	2006571.0	1899392.0	1672224.0	1610289.0	973974.0	1966728.0	2062145.0	2041971.0	2037817.0	998735.0	1896606.0	2026414.0	1972892.0	1919454.0	1069122.0	2066702.0	1413689.0	1928823.0	2156772.0	1760504.0	2075415.0	2038846.0	2046582.0	1934759.0	1491761.0	1453141.0	1884655.0	1251040.0	1784105.0	2389409.0	1799542.0	1974893.0	2015432.0	1960844.0	2108330.0	1842604.0	1969337.0	1438608.0	1330929.0	1926430.0	1294873.0	1872042.0
ZeeviD_2015__PNP_Main_764__bin.30	1821710.0	1720235.0	1744900.0	1779804.0	1287274.0	1698538.0	1744298.0	1654609.0	1522584.0	1390119.0	914544.0	1697923.0	1778251.0	1733880.0	1759329.0	911583.0	1647671.0	1778387.0	1718932.0	1690106.0	969850.0	1776453.0	1253230.0	1679500.0	1810667.0	1542851.0	1806079.0	1781957.0	1761454.0	1690121.0	1334700.0	1305296.0	1687176.0	1086941.0	1570341.0	1799542.0	1979626.0	1708303.0	1743449.0	1720189.0	1816409.0	1613174.0	1747888.0	1282253.0	1178695.0	1676168.0	1142713.0	1653036.0
CosteaPI_2017__SID713B072-11-0-0__bin.62	1976107.0	1909222.0	1916598.0	1948595.0	1360815.0	1839104.0	1969846.0	1930881.0	1582559.0	1491033.0	938209.0	1913305.0	1942679.0	1919675.0	1916320.0	971147.0	2050652.0	1934427.0	2163404.0	1971113.0	1076769.0	1953577.0	1306980.0	2011233.0	1953876.0	1693250.0	1920551.0	1935339.0	1924517.0	1801071.0	1422447.0	1363237.0	1793754.0	1134848.0	1798199.0	1974893.0	1708303.0	2320071.0	1893135.0	1853391.0	1956506.0	1730425.0	1908793.0	1357479.0	1339149.0	2052068.0	1197248.0	1875390.0
XieH_2016__YSZC12003_37286__bin.15	2021091.0	1931604.0	1917702.0	1963323.0	1428027.0	1831937.0	1948610.0	1856455.0	1635502.0	1520143.0	957675.0	1912807.0	2045357.0	1933186.0	1938836.0	977903.0	1848736.0	1949089.0	1915087.0	1877102.0	1057695.0	2122081.0	1366708.0	1872624.0	2022804.0	1731781.0	2000430.0	1959890.0	2016792.0	1857835.0	1465009.0	1433844.0	1841288.0	1207365.0	1728249.0	2015432.0	1743449.0	1893135.0	2185264.0	1885831.0	2012460.0	1858566.0	1913123.0	1420190.0	1288270.0	1863496.0	1245949.0	1844367.0
ZeeviD_2015__PNP_Main_22__bin.31	1942552.0	1849501.0	1851436.0	1901451.0	1353739.0	1951727.0	1896418.0	1835048.0	1583045.0	1459774.0	919610.0	1849878.0	1899848.0	1859043.0	1884494.0	1017353.0	1808244.0	1908665.0	1876791.0	1854316.0	1061403.0	1906597.0	1318620.0	1841673.0	1934345.0	1649449.0	1898241.0	1932992.0	1914078.0	1755334.0	1430781.0	1359444.0	1787222.0	1148915.0	1713197.0	1960844.0	1720189.0	1853391.0	1885831.0	2228147.0	1897416.0	1741933.0	2010192.0	1368184.0	1288647.0	1825639.0	1183132.0	1821906.0
ZeeviD_2015__PNP_Main_189__bin.25	2123984.0	1975690.0	1994978.0	2067846.0	1437657.0	1869886.0	2023862.0	1909585.0	1691458.0	1592029.0	977278.0	1973100.0	2037920.0	2038083.0	2007749.0	988134.0	1889994.0	2008042.0	1974181.0	1921655.0	1072171.0	2056845.0	1401533.0	1914475.0	2130995.0	1773590.0	2122337.0	2011368.0	2020470.0	1954173.0	1499450.0	1475210.0	1887634.0	1227344.0	1771086.0	2108330.0	1816409.0	1956506.0	2012460.0	1897416.0	2289291.0	1839441.0	1958318.0	1438347.0	1325032.0	1914959.0	1300387.0	1869203.0
ZellerG_2014__CCIS90164298ST-4-0__bin.21	1841029.0	1780339.0	1768718.0	1810945.0	1344667.0	1700943.0	1788036.0	1716448.0	1510216.0	1412964.0	895453.0	1760825.0	1863878.0	1797869.0	1792088.0	912244.0	1695259.0	1796238.0	1746977.0	1727023.0	995149.0	1883022.0	1255034.0	1709846.0	1838488.0	1623949.0	1803957.0	1802500.0	1846823.0	1705846.0	1353299.0	1356019.0	1702334.0	1136788.0	1605266.0	1842604.0	1613174.0	1730425.0	1858566.0	1741933.0	1839441.0	2026904.0	1743662.0	1331403.0	1206472.0	1716846.0	1168453.0	1697422.0
ZellerG_2014__CCIS77252613ST-4-0__bin.71	2001894.0	1884658.0	1932464.0	1930022.0	1382329.0	2024430.0	1940096.0	1854196.0	1628317.0	1482718.0	957575.0	1887486.0	1942260.0	1891272.0	1917057.0	1037833.0	1847495.0	1940057.0	1942944.0	1914736.0	1063540.0	1961550.0	1345274.0	1884004.0	1963117.0	1701709.0	1943388.0	1950120.0	1940981.0	1842474.0	1426281.0	1391522.0	1799741.0	1169857.0	1728942.0	1969337.0	1747888.0	1908793.0	1913123.0	2010192.0	1958318.0	1743662.0	2397810.0	1391589.0	1282358.0	1873803.0	1205349.0	1823778.0
ZeeviD_2015__PNP_DietIntervention_11__bin.1	1452037.0	1380242.0	1383631.0	1406582.0	1167165.0	1366689.0	1392002.0	1351193.0	1237809.0	1178697.0	794566.0	1376821.0	1425877.0	1418672.0	1418445.0	761932.0	1319054.0	1406477.0	1371310.0	1358989.0	850380.0	1423739.0	1057204.0	1353219.0	1433548.0	1275884.0	1434906.0	1409445.0	1446508.0	1389831.0	1135151.0	1159222.0	1349448.0	1010153.0	1292400.0	1438608.0	1282253.0	1357479.0	1420190.0	1368184.0	1438347.0	1331403.0	1391589.0	1559956.0	995489.0	1358221.0	941062.0	1333554.0
SchirmerM_2016__G89135__bin.5	1335309.0	1282826.0	1276452.0	1314422.0	1001415.0	1272512.0	1308601.0	1322637.0	1106450.0	1065765.0	697003.0	1286557.0	1302046.0	1305376.0	1322877.0	706491.0	1302375.0	1315878.0	1352470.0	1349249.0	788611.0	1305444.0	949650.0	1328150.0	1314204.0	1152472.0	1318567.0	1313116.0	1317869.0	1255558.0	1023849.0	1002139.0	1265023.0	857626.0	1394530.0	1330929.0	1178695.0	1339149.0	1288270.0	1288647.0	1325032.0	1206472.0	1282358.0	995489.0	1560226.0	1326433.0	846136.0	1311882.0
SchirmerM_2016__G88977__bin.8	1927294.0	1852885.0	1879895.0	1915325.0	1342346.0	1827005.0	1900503.0	1918103.0	1579144.0	1476434.0	929556.0	1857531.0	1898265.0	1884779.0	1885442.0	966430.0	1972796.0	1898326.0	2066735.0	1928511.0	1066848.0	1909838.0	1291213.0	1946757.0	1898428.0	1681658.0	1888159.0	1903142.0	1893446.0	1782010.0	1418203.0	1355772.0	1765725.0	1134696.0	1775167.0	1926430.0	1676168.0	2052068.0	1863496.0	1825639.0	1914959.0	1716846.0	1873803.0	1358221.0	1326433.0	2200540.0	1185436.0	1865876.0
ZeeviD_2015__PNP_Main_98__bin.3	1263738.0	1240590.0	1222308.0	1264358.0	970711.0	1182022.0	1203797.0	1175450.0	1079987.0	1046677.0	696211.0	1196307.0	1268241.0	1253257.0	1227927.0	655096.0	1164919.0	1234103.0	1215229.0	1183813.0	697543.0	1254165.0	933462.0	1168419.0	1282609.0	1107306.0	1275997.0	1238475.0	1263547.0	1228708.0	959229.0	979749.0	1201542.0	813458.0	1106424.0	1294873.0	1142713.0	1197248.0	1245949.0	1183132.0	1300387.0	1168453.0	1205349.0	941062.0	846136.0	1185436.0	1373755.0	1163720.0
CosteaPI_2017__SID713A074-11-90-0__bin.79	1897515.0	1827213.0	1831113.0	1875140.0	1314896.0	1809188.0	1902517.0	2033396.0	1544350.0	1426097.0	906861.0	1857175.0	1871804.0	1840883.0	1857901.0	955609.0	1814336.0	1860236.0	1900630.0	1842940.0	1050956.0	1876875.0	1278875.0	1840527.0	1875245.0	1631725.0	1853122.0	1873253.0	1885977.0	1734206.0	1409011.0	1326357.0	1741310.0	1123258.0	1734725.0	1872042.0	1653036.0	1875390.0	1844367.0	1821906.0	1869203.0	1697422.0	1823778.0	1333554.0	1311882.0	1865876.0	1163720.0	2133930.0
