	XieH_2016__YSZC12003_37544__bin.70	KarlssonFH_2013__S530__bin.43	ZeeviD_2015__PNP_Main_68__bin.15	ZeeviD_2015__PNP_Main_65__bin.2	LeChatelierE_2013__MH0092__bin.49	KarlssonFH_2013__S462__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	CosteaPI_2017__SID713A074-11-0-0__bin.30	ZeeviD_2015__PNP_Main_331__bin.21	ZeeviD_2015__PNP_Main_95__bin.1	CosteaPI_2017__SID713A039-11-0-0__bin.56	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	LeChatelierE_2013__MH0447__bin.34	KarlssonFH_2013__S421__bin.44	ZeeviD_2015__PNP_Main_333__bin.3	ZeeviD_2015__PNP_Main_382__bin.23	CosteaPI_2017__SID713A023-11-90-0__bin.86	ZeeviD_2015__PNP_Main_581__bin.34	CosteaPI_2017__SID713A023-11-0-0__bin.37	XieH_2016__YSZC12003_36117__bin.44	LiuW_2016__SRR3992958__bin.54	XieH_2016__YSZC12003_36474__bin.121	XieH_2016__YSZC12003_37543__bin.26	CosteaPI_2017__SID713A056-11-90-0__bin.79	ZeeviD_2015__PNP_Main_433__bin.48	ZeeviD_2015__PNP_Main_352__bin.44	ZellerG_2014__CCMD18872694ST-21-0__bin.26	ZeeviD_2015__PNP_Main_681__bin.32	SchirmerM_2016__G89063__bin.16	ZellerG_2014__CCIS29210128ST-4-0__bin.16	XieH_2016__YSZC12003_36211__bin.27	ZellerG_2014__CCIS94417875ST-3-0__bin.25	ZeeviD_2015__PNP_Main_208__bin.6	NielsenHB_2014__MH0092__bin.24	SchirmerM_2016__G88811__bin.11	ZeeviD_2015__PNP_Main_179__bin.26	ZeeviD_2015__PNP_Main_764__bin.30	CosteaPI_2017__SID713B072-11-0-0__bin.62	XieH_2016__YSZC12003_37286__bin.15	ZeeviD_2015__PNP_Main_22__bin.31	ZeeviD_2015__PNP_Main_189__bin.25	ZellerG_2014__CCIS90164298ST-4-0__bin.21	ZellerG_2014__CCIS77252613ST-4-0__bin.71	ZeeviD_2015__PNP_DietIntervention_11__bin.1	SchirmerM_2016__G89135__bin.5	SchirmerM_2016__G88977__bin.8	ZeeviD_2015__PNP_Main_98__bin.3	CosteaPI_2017__SID713A074-11-90-0__bin.79
CosteaPI_2017__SID713A039-11-0-0__bin.56	977914.0	959925.0	963842.0	953796.0	830400.0	942293.0	932707.0	913561.0	870503.0	794844.0	1070629.0	922612.0	971288.0	961149.0	966956.0	548427.0	908842.0	979062.0	940505.0	926054.0	562799.0	966221.0	749078.0	929935.0	960705.0	891658.0	970765.0	978761.0	960171.0	958195.0	783832.0	830218.0	941300.0	719741.0	884777.0	973974.0	914544.0	938209.0	957675.0	919610.0	977278.0	895453.0	957575.0	794566.0	697003.0	929556.0	696211.0	906861.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	1996096.0	1943219.0	1897670.0	1968568.0	1368709.0	1813529.0	2153966.0	1902083.0	1590494.0	1482423.0	922612.0	2223455.0	1942138.0	1915673.0	1931919.0	958244.0	1845001.0	1938570.0	1923531.0	1853436.0	1046811.0	1974036.0	1319720.0	1858777.0	1973217.0	1672655.0	1930957.0	1945800.0	1922575.0	1818139.0	1434451.0	1386835.0	1802566.0	1170378.0	1734073.0	1966728.0	1697923.0	1913305.0	1912807.0	1849878.0	1973100.0	1760825.0	1887486.0	1376821.0	1286557.0	1857531.0	1196307.0	1857175.0
LeChatelierE_2013__MH0447__bin.34	2079659.0	1954657.0	1982841.0	2032507.0	1504053.0	1870449.0	1995849.0	1902913.0	1673857.0	1566213.0	971288.0	1942138.0	2342112.0	1986730.0	2006388.0	978578.0	1878119.0	1979537.0	1961214.0	1919642.0	1062054.0	2094043.0	1370848.0	1908739.0	2065936.0	1735504.0	2029725.0	1995359.0	2057342.0	1896558.0	1476853.0	1444359.0	1852714.0	1249341.0	1762504.0	2062145.0	1778251.0	1942679.0	2045357.0	1899848.0	2037920.0	1863878.0	1942260.0	1425877.0	1302046.0	1898265.0	1268241.0	1871804.0
KarlssonFH_2013__S421__bin.44	2019202.0	1930396.0	1923992.0	1987675.0	1429568.0	1831706.0	1970148.0	1874375.0	1634340.0	1548296.0	961149.0	1915673.0	1986730.0	2238164.0	1940183.0	968636.0	1838424.0	1948384.0	1914987.0	1876313.0	1066685.0	1986791.0	1360433.0	1884858.0	2031943.0	1717436.0	2022754.0	1954565.0	1962229.0	1907402.0	1476197.0	1452741.0	1862806.0	1209323.0	1743790.0	2041971.0	1733880.0	1919675.0	1933186.0	1859043.0	2038083.0	1797869.0	1891272.0	1418672.0	1305376.0	1884779.0	1253257.0	1840883.0
ZeeviD_2015__PNP_Main_333__bin.3	2018822.0	1894789.0	1960243.0	2014357.0	1410894.0	1870485.0	1984220.0	1888274.0	1637598.0	1548863.0	966956.0	1931919.0	2006388.0	1940183.0	2232901.0	986174.0	1855944.0	1993759.0	1922811.0	1912173.0	1061548.0	1999745.0	1366812.0	1918226.0	2000870.0	1718896.0	1969269.0	2000476.0	1968378.0	1842490.0	1479389.0	1423287.0	1844495.0	1194527.0	1748363.0	2037817.0	1759329.0	1916320.0	1938836.0	1884494.0	2007749.0	1792088.0	1917057.0	1418445.0	1322877.0	1885442.0	1227927.0	1857901.0
ZeeviD_2015__PNP_Main_382__bin.23	1003565.0	955757.0	975286.0	984633.0	745005.0	1034064.0	978849.0	940687.0	863695.0	794703.0	548427.0	958244.0	978578.0	968636.0	986174.0	1107481.0	940337.0	995744.0	985307.0	977457.0	590291.0	978957.0	749319.0	955115.0	997931.0	906248.0	986420.0	1002202.0	985956.0	949160.0	792731.0	773250.0	945085.0	641485.0	917477.0	998735.0	911583.0	971147.0	977903.0	1017353.0	988134.0	912244.0	1037833.0	761932.0	706491.0	966430.0	655096.0	955609.0
CosteaPI_2017__SID713A023-11-90-0__bin.86	1893707.0	1838722.0	1835061.0	1866815.0	1323238.0	1781185.0	1887761.0	1862659.0	1541485.0	1438475.0	908842.0	1845001.0	1878119.0	1838424.0	1855944.0	940337.0	2234970.0	1869160.0	2203710.0	1891026.0	1045888.0	1906954.0	1260394.0	1930899.0	1885322.0	1627687.0	1856923.0	1862253.0	1872054.0	1734489.0	1373592.0	1333465.0	1740415.0	1116114.0	1743419.0	1896606.0	1647671.0	2050652.0	1848736.0	1808244.0	1889994.0	1695259.0	1847495.0	1319054.0	1302375.0	1972796.0	1164919.0	1814336.0
ZeeviD_2015__PNP_Main_581__bin.34	2058278.0	1951835.0	1983290.0	2009231.0	1400667.0	1876700.0	1980232.0	1885966.0	1668370.0	1521212.0	979062.0	1938570.0	1979537.0	1948384.0	1993759.0	995744.0	1869160.0	2284018.0	1936043.0	1903550.0	1061117.0	1993498.0	1374104.0	1904214.0	2020077.0	1728946.0	1975725.0	2153226.0	1968933.0	1829822.0	1475222.0	1403586.0	1880374.0	1197203.0	1759450.0	2026414.0	1778387.0	1934427.0	1949089.0	1908665.0	2008042.0	1796238.0	1940057.0	1406477.0	1315878.0	1898326.0	1234103.0	1860236.0
CosteaPI_2017__SID713A023-11-0-0__bin.37	1987282.0	1887617.0	1921847.0	1955540.0	1369551.0	1854498.0	1968133.0	1939605.0	1603927.0	1502140.0	940505.0	1923531.0	1961214.0	1914987.0	1922811.0	985307.0	2203710.0	1936043.0	2416932.0	1975048.0	1086960.0	1966926.0	1311252.0	2010419.0	1958446.0	1703304.0	1942919.0	1941295.0	1938402.0	1825657.0	1430364.0	1372573.0	1795029.0	1149636.0	1819935.0	1972892.0	1718932.0	2163404.0	1915087.0	1876791.0	1974181.0	1746977.0	1942944.0	1371310.0	1352470.0	2066735.0	1215229.0	1900630.0
XieH_2016__YSZC12003_36117__bin.44	1968046.0	1851398.0	1889351.0	1907653.0	1349696.0	1872522.0	1905042.0	1874456.0	1577916.0	1445774.0	926054.0	1853436.0	1919642.0	1876313.0	1912173.0	977457.0	1891026.0	1903550.0	1975048.0	2238453.0	1074189.0	1934580.0	1302356.0	1988811.0	1920493.0	1658318.0	1899572.0	1911970.0	1887498.0	1813449.0	1416491.0	1357625.0	1769787.0	1140460.0	1806592.0	1919454.0	1690106.0	1971113.0	1877102.0	1854316.0	1921655.0	1727023.0	1914736.0	1358989.0	1349249.0	1928511.0	1183813.0	1842940.0
