	CM_cf__CF_TNFC045IS_t1M15__bin.5	CM_cf__CF_TNFC034IS_t5M16__bin.2	CM_cf__CF_FIFC013SS_t7M17__bin.1	CM_cf__CF_TNFC039IS_t3M15__bin.1	CM_cf__CF_TNFC045IS_t2M15__bin.5	CM_cf__CF_TNFC045IS_t3M15__bin.1	OlmMR_2017__S2_005_012W1__bin.8	CM_cf__CF_TNFC060IS_t1M15__bin.5	OlmMR_2017__S2_005_014G1__bin.7	CM_cf__CF_TNFC048IS_t2M15__bin.3	CM_cf__CF_FIFC003SS_t3M17__bin.2	OlmMR_2017__S2_005_011G1__bin.2	XieH_2016__YSZC12003_37193R1__bin.44	CM_cf__CF_FIFC013SS_t9M16__bin.2	CM_cf__CF_TNFC003IS_t2M15__bin.14	CM_cf__CF_TNFC034SS_t1M15__bin.12	LoombaR_2017__SID5640_ijm__bin.11	CM_cf__CF_FIFC013SS_t1M15__bin.1	CM_cf__CF_FIFC013SS_t4M15__bin.2	CM_cf__CF_TNFC051IS_t3M15__bin.4	VincentC_2016__MM074.2__bin.1	CM_cf__CF_TNFC003IS_t1M15__bin.11	CM_cf__CF_TNFC002IS_t3M15__bin.1	CM_cf__CF_TNFC065IS_t2M15__bin.1	CM_cf__CF_TNFC045IS_t4M15__bin.2	CM_cf__CF_TNFC034IS_t3M15__bin.1	CM_cf__CF_TNFC051IS_t4M15__bin.1	CM_cf__CF_TNFC059IS_t2M15__bin.9	CM_cf__CF_TNFC002IS_t1M15__bin.3	VincentC_2016__MM022.2__bin.33	OlmMR_2017__S2_005_015G1__bin.2	CM_cf__CF_TNFC051IS_t5M16__bin.1	CM_cf__CF_FIFC013SS_t6M16__bin.1	CM_cf__CF_TNFC059IS_t1M15__bin.3	CM_cf__CF_TNFC051IS_t1M15__bin.3	GeversD_2014__SKBSTL067__bin.12	OlmMR_2017__S2_005_022W1__bin.4	OhJ_2014__MET0227__bin.3	OhJ_2014__MET0042__bin.4
XieH_2016__YSZC12003_37193R1__bin.44	19590.0	28080.0	28630.0	31946.0	19577.0	19158.0	22279.0	24760.0	42236.0	26266.0	26738.0	50581.0	0.0	20700.0	29826.0	29080.0	29509.0	19739.0	23852.0	28793.0	26572.0	26618.0	18132.0	28786.0	19590.0	24634.0	26685.0	20871.0	26317.0	27448.0	50794.0	20967.0	23091.0	21967.0	24609.0	15990.0	50628.0	30120.0	21244.0
CM_cf__CF_FIFC013SS_t9M16__bin.2	22476.0	22909.0	3092.0	31142.0	23099.0	22887.0	19794.0	24088.0	40122.0	25544.0	4568.0	47445.0	20700.0	0.0	30037.0	21021.0	25865.0	3310.0	4144.0	7374.0	5098.0	24561.0	14708.0	22413.0	22431.0	21059.0	3865.0	20328.0	20273.0	25872.0	49149.0	5221.0	4939.0	23394.0	6551.0	15144.0	43247.0	28460.0	23751.0
CM_cf__CF_TNFC003IS_t2M15__bin.14	31837.0	30817.0	40710.0	41408.0	32334.0	32232.0	23295.0	31745.0	49871.0	32168.0	36563.0	65230.0	29826.0	30037.0	0.0	29486.0	2873.0	24259.0	33606.0	37063.0	33120.0	1800.0	18050.0	30721.0	31824.0	27304.0	32126.0	24173.0	26856.0	33491.0	66244.0	27159.0	34045.0	28619.0	33180.0	18535.0	63686.0	38282.0	25280.0
CM_cf__CF_TNFC034SS_t1M15__bin.12	30214.0	29431.0	30125.0	32966.0	30381.0	30179.0	24510.0	25564.0	48845.0	27146.0	27589.0	60376.0	29080.0	21021.0	29486.0	0.0	29370.0	20385.0	23956.0	29474.0	25937.0	26329.0	18176.0	30123.0	30080.0	25648.0	27165.0	22228.0	27598.0	28145.0	60423.0	20552.0	24258.0	26448.0	24990.0	16559.0	60051.0	31629.0	20189.0
LoombaR_2017__SID5640_ijm__bin.11	32859.0	33804.0	35520.0	38061.0	33329.0	33204.0	22965.0	31106.0	47564.0	31783.0	32497.0	62596.0	29509.0	25865.0	2873.0	29370.0	0.0	22359.0	29331.0	34163.0	29806.0	3007.0	17834.0	30583.0	32786.0	28860.0	29921.0	24248.0	27880.0	33192.0	62932.0	24468.0	29742.0	28238.0	30920.0	17476.0	60995.0	34944.0	25967.0
CM_cf__CF_FIFC013SS_t1M15__bin.1	21765.0	21698.0	2326.0	26744.0	22133.0	21892.0	17560.0	22617.0	34463.0	23763.0	3257.0	42600.0	19739.0	3310.0	24259.0	20385.0	22359.0	0.0	3370.0	3389.0	3441.0	22538.0	14561.0	20198.0	22043.0	19952.0	3295.0	18458.0	19950.0	23560.0	42849.0	4631.0	2558.0	20584.0	4110.0	13828.0	42261.0	24587.0	19662.0
CM_cf__CF_FIFC013SS_t4M15__bin.2	25724.0	25452.0	2945.0	36004.0	26462.0	26128.0	21700.0	27926.0	45072.0	29735.0	5206.0	54571.0	23852.0	4144.0	33606.0	23956.0	29331.0	3370.0	0.0	6051.0	4231.0	28830.0	16845.0	24668.0	26084.0	23057.0	3163.0	21063.0	22576.0	29915.0	56664.0	5819.0	5148.0	25505.0	5760.0	17592.0	51054.0	31428.0	26984.0
CM_cf__CF_TNFC051IS_t3M15__bin.4	32239.0	32731.0	5479.0	44211.0	32977.0	32595.0	24070.0	32457.0	50674.0	33539.0	6894.0	66070.0	28793.0	7374.0	37063.0	29474.0	34163.0	3389.0	6051.0	0.0	3642.0	32524.0	18939.0	31009.0	32553.0	29165.0	2471.0	24329.0	28547.0	34905.0	66905.0	2547.0	5687.0	27691.0	2779.0	18016.0	63120.0	37269.0	26908.0
VincentC_2016__MM074.2__bin.1	26832.0	26379.0	4285.0	35504.0	27003.0	26669.0	24369.0	27900.0	48599.0	27984.0	5993.0	53816.0	26572.0	5098.0	33120.0	25937.0	29806.0	3441.0	4231.0	3642.0	0.0	28224.0	17079.0	26517.0	26912.0	24038.0	4716.0	20908.0	25085.0	30049.0	54002.0	5230.0	5638.0	25089.0	5967.0	16409.0	53271.0	32737.0	22946.0
CM_cf__CF_TNFC003IS_t1M15__bin.11	27864.0	27155.0	34650.0	35134.0	28161.0	27985.0	21477.0	28802.0	43564.0	29559.0	32181.0	55625.0	26618.0	24561.0	1800.0	26329.0	3007.0	22538.0	28830.0	32524.0	28224.0	0.0	15752.0	27183.0	27938.0	24607.0	28922.0	22187.0	24036.0	30295.0	56774.0	24352.0	29291.0	25734.0	29737.0	16627.0	55571.0	32162.0	23483.0
