	HMP_2012__SRS022071__bin.72	KarlssonFH_2013__S278__bin.14	RaymondF_2016__P1E0__bin.43	NielsenHB_2014__O2_UC31_0__bin.13	NielsenHB_2014__O2_UC40_2__bin.1	ZeeviD_2015__PNP_Main_223__bin.14	RampelliS_2015__H16__bin.44	RampelliS_2015__H15__bin.1	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	ZeeviD_2015__PNP_Main_282__bin.34	NielsenHB_2014__V1_CD38_0__bin.62	XieH_2016__YSZC12003_37583__bin.3	LiJ_2014__O2.UC31-1__bin.33	RampelliS_2015__H27__bin.20	NielsenHB_2014__O2_UC44_0__bin.31	XieH_2016__YSZC12003_36526__bin.4	ZeeviD_2015__PNP_Validation_93__bin.16	XieH_2016__YSZC12003_37196__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.64	LeChatelierE_2013__MH0430__bin.89	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	LeChatelierE_2013__MH0457__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	NielsenHB_2014__MH0069__bin.2	ZeeviD_2015__PNP_Main_643__bin.24	ZeeviD_2015__PNP_Main_756__bin.41	RaymondF_2016__P1E7__bin.24	ZeeviD_2015__PNP_Main_116__bin.30	ZeeviD_2015__PNP_Main_744__bin.5	CosteaPI_2017__SID713B040-11-90-0__bin.59	XieH_2016__YSZC12003_35561__bin.37	LeChatelierE_2013__MH0069__bin.18	ZellerG_2014__CCIS00146684ST-4-0__bin.38	XieH_2016__YSZC12003_35550__bin.17	LeChatelierE_2013__MH0126__bin.18	LiJ_2014__V1.FI14__bin.49	CosteaPI_2017__SID713B063-11-0-0__bin.59	QinN_2014__HD-18__bin.24	XieH_2016__YSZC12003_35698__bin.46	XieH_2016__YSZC12003_37181R1__bin.36	LiJ_2014__O2.UC40-1__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.41
NielsenHB_2014__V1_CD38_0__bin.62	25539.0	23053.0	3903.0	34651.0	26251.0	33578.0	28879.0	35483.0	35382.0	25916.0	0.0	21225.0	20136.0	30255.0	32201.0	31686.0	33571.0	32290.0	27007.0	15222.0	37070.0	4121.0	21471.0	28270.0	27957.0	21793.0	4414.0	30194.0	32330.0	1486.0	20180.0	31930.0	27651.0	26156.0	24662.0	33653.0	26510.0	31094.0	25953.0	25640.0	18962.0	29200.0
XieH_2016__YSZC12003_37583__bin.3	13838.0	12381.0	17514.0	20227.0	18369.0	12381.0	18773.0	21558.0	21924.0	8335.0	21225.0	0.0	7973.0	17469.0	22037.0	21518.0	20050.0	21916.0	18355.0	3288.0	20428.0	15161.0	12778.0	10465.0	9779.0	11418.0	17889.0	10311.0	19297.0	16894.0	9158.0	11144.0	16103.0	16710.0	16491.0	20137.0	14433.0	21805.0	22526.0	17979.0	20735.0	19231.0
LiJ_2014__O2.UC31-1__bin.33	8704.0	5644.0	18485.0	274.0	17461.0	15919.0	13156.0	17038.0	4816.0	13810.0	20136.0	7973.0	0.0	16090.0	22890.0	22501.0	2304.0	22512.0	20048.0	16296.0	14725.0	14991.0	15870.0	13591.0	14838.0	10056.0	18277.0	15083.0	3756.0	4756.0	4920.0	15037.0	3904.0	18574.0	15705.0	5021.0	11284.0	23394.0	17296.0	18743.0	9907.0	21918.0
RampelliS_2015__H27__bin.20	18823.0	17351.0	26207.0	24007.0	25191.0	26706.0	15552.0	20084.0	24026.0	21504.0	30255.0	17469.0	16090.0	0.0	29534.0	29308.0	23920.0	28975.0	25926.0	13716.0	24915.0	23092.0	19833.0	23077.0	22133.0	16509.0	26764.0	24700.0	22771.0	15576.0	15060.0	24954.0	19973.0	24052.0	23380.0	23760.0	20737.0	29576.0	25175.0	24816.0	18507.0	27707.0
NielsenHB_2014__O2_UC44_0__bin.31	28795.0	24214.0	27275.0	38845.0	15386.0	36302.0	27719.0	33143.0	37889.0	26915.0	32201.0	22037.0	22890.0	29534.0	0.0	2876.0	37320.0	3093.0	15283.0	6397.0	42412.0	23421.0	1888.0	29549.0	29563.0	25399.0	27243.0	33029.0	35175.0	14810.0	19742.0	33444.0	30322.0	3881.0	9722.0	37033.0	31576.0	17138.0	1028.0	14288.0	9549.0	15640.0
XieH_2016__YSZC12003_36526__bin.4	28068.0	23990.0	26968.0	37941.0	15471.0	35000.0	27732.0	32118.0	37256.0	26349.0	31686.0	21518.0	22501.0	29308.0	2876.0	0.0	36489.0	3868.0	15623.0	6238.0	40936.0	23947.0	2043.0	29343.0	28474.0	24891.0	27223.0	32954.0	35163.0	14794.0	18754.0	32887.0	30907.0	3964.0	9989.0	36723.0	31230.0	17312.0	1947.0	14697.0	9903.0	15822.0
ZeeviD_2015__PNP_Validation_93__bin.16	13782.0	7085.0	28766.0	3395.0	31890.0	26622.0	23502.0	28166.0	6098.0	21106.0	33571.0	20050.0	2304.0	23920.0	37320.0	36489.0	0.0	36522.0	32951.0	15686.0	20940.0	25327.0	24625.0	22853.0	22160.0	13227.0	29195.0	24652.0	4498.0	18992.0	16694.0	24919.0	4784.0	28533.0	28608.0	6028.0	15962.0	38647.0	32251.0	31002.0	25475.0	35172.0
XieH_2016__YSZC12003_37196__bin.19	27299.0	24084.0	26473.0	38057.0	15479.0	35298.0	27056.0	32582.0	37145.0	26793.0	32290.0	21916.0	22512.0	28975.0	3093.0	3868.0	36522.0	0.0	15163.0	6175.0	39893.0	23529.0	2212.0	29520.0	28908.0	24975.0	26693.0	32730.0	35011.0	15042.0	19461.0	33089.0	30721.0	4867.0	9755.0	36713.0	30513.0	16701.0	1627.0	14288.0	10011.0	15796.0
CosteaPI_2017__SID713A005-11-90-0__bin.64	25607.0	22457.0	23137.0	33702.0	5412.0	30152.0	23535.0	27872.0	33313.0	23266.0	27007.0	18355.0	20048.0	25926.0	15283.0	15623.0	32951.0	15163.0	0.0	8394.0	35548.0	20833.0	11330.0	26076.0	25536.0	23210.0	23501.0	28277.0	31158.0	12611.0	16227.0	28699.0	27267.0	12834.0	12585.0	32453.0	27408.0	1962.0	11609.0	2751.0	2809.0	3098.0
LeChatelierE_2013__MH0430__bin.89	12141.0	10807.0	12932.0	17235.0	8041.0	16453.0	10208.0	13505.0	16002.0	12836.0	15222.0	3288.0	16296.0	13716.0	6397.0	6238.0	15686.0	6175.0	8394.0	0.0	18617.0	11375.0	4811.0	13069.0	14592.0	13697.0	12913.0	14925.0	15132.0	675.0	1153.0	14296.0	14454.0	6273.0	2265.0	15650.0	14784.0	9034.0	3072.0	7589.0	1798.0	8780.0
