	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	LiuW_2016__SRR3993051__bin.12	CosteaPI_2017__SID713A005-11-0-0__bin.24	LeChatelierE_2013__MH0206__bin.92	RaymondF_2016__P14E90__bin.90	LeChatelierE_2013__MH0426__bin.90	LiuW_2016__SRR3992993__bin.34	ZeeviD_2015__PNP_Validation_13__bin.64	CM_madagascar__A92_01_1FE__bin.26	ZellerG_2014__CCMD86114146ST-21-0__bin.46	LiuW_2016__SRR3992961__bin.131	LiJ_2014__O2.UC29-1__bin.33	ZeeviD_2015__PNP_Main_574__bin.40	LiJ_2014__MH0385__bin.27	CM_madagascar__V18_02_1FE__bin.25	RampelliS_2015__H21__bin.29	ZeeviD_2015__PNP_Main_469__bin.24	CosteaPI_2017__SID713B033-11-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	LiJ_2014__MH0390__bin.69	CM_madagascar__A81_03_1FE__bin.39	CM_madagascar__A08_01_1FE__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	XieH_2016__YSZC12003_35980__bin.31	LeChatelierE_2013__MH0431__bin.56	LeChatelierE_2013__MH0193__bin.19	QinN_2014__HD-18__bin.42
LiuW_2016__SRR3992961__bin.131	4068365.0	3816262.0	4058239.0	3154689.0	2357498.0	3547788.0	3229834.0	2891211.0	3715959.0	2594137.0	4850056.0	3609515.0	3667709.0	3099241.0	4000292.0	4088369.0	3013863.0	4042471.0	4123746.0	4355891.0	2826667.0	3989990.0	1736226.0	4269479.0	3732160.0	3629275.0	4169574.0
LiJ_2014__O2.UC29-1__bin.33	3845394.0	3353149.0	3603056.0	3138437.0	2142573.0	3266875.0	2986957.0	2541564.0	3146176.0	2472006.0	3609515.0	4775238.0	3189359.0	2692413.0	3962300.0	3656802.0	2728728.0	3518143.0	3629691.0	3838585.0	2638152.0	3869803.0	1720778.0	3790794.0	3707540.0	3363635.0	3596410.0
ZeeviD_2015__PNP_Main_574__bin.40	3591706.0	3252293.0	3648036.0	2750447.0	2083681.0	3135564.0	2698072.0	2606414.0	3282147.0	2348119.0	3667709.0	3189359.0	4345173.0	2860624.0	3534839.0	3594336.0	2720199.0	3677999.0	3618691.0	3948478.0	2446374.0	3479292.0	1590616.0	3816489.0	3291897.0	3186070.0	3631195.0
LiJ_2014__MH0385__bin.27	3073129.0	2759959.0	3141802.0	2408702.0	1902976.0	2745637.0	2267665.0	2256449.0	2827746.0	2113919.0	3099241.0	2692413.0	2860624.0	3668416.0	2938448.0	3091966.0	2367232.0	3222728.0	3100895.0	3372823.0	2084082.0	2885959.0	1530359.0	3250382.0	2796272.0	2755520.0	3104429.0
CM_madagascar__V18_02_1FE__bin.25	4222290.0	3728647.0	3975020.0	3429058.0	2324909.0	3501983.0	3260625.0	2821194.0	3518087.0	2632344.0	4000292.0	3962300.0	3534839.0	2938448.0	5219223.0	3979498.0	2987957.0	3874510.0	3994137.0	4202356.0	2900691.0	4759515.0	1817134.0	4151080.0	4325058.0	3636625.0	3982223.0
RampelliS_2015__H21__bin.29	4199040.0	3778153.0	4110792.0	3173769.0	2398116.0	3594899.0	3157923.0	2899161.0	3574764.0	2767964.0	4088369.0	3656802.0	3594336.0	3091966.0	3979498.0	5305906.0	3239696.0	4046187.0	4059631.0	4303253.0	2827976.0	3932472.0	1843368.0	4332696.0	3741867.0	3699630.0	4178527.0
ZeeviD_2015__PNP_Main_469__bin.24	3174608.0	2788597.0	3065524.0	2385803.0	1838772.0	2717239.0	2317707.0	2182553.0	2684544.0	2070126.0	3013863.0	2728728.0	2720199.0	2367232.0	2987957.0	3239696.0	3935017.0	3054933.0	3020084.0	3240043.0	2088042.0	2944816.0	1529680.0	3188171.0	2820873.0	2767621.0	3132522.0
CosteaPI_2017__SID713B033-11-0-0__bin.38	4017506.0	3663296.0	4028137.0	3064586.0	2362673.0	3468250.0	3007489.0	2854584.0	3648997.0	2638424.0	4042471.0	3518143.0	3677999.0	3222728.0	3874510.0	4046187.0	3054933.0	4789440.0	3992846.0	4372734.0	2716918.0	3798733.0	1801929.0	4249747.0	3637002.0	3576642.0	4021920.0
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	4065559.0	3715701.0	4126747.0	3094209.0	2376242.0	3564311.0	3162338.0	2965552.0	3619356.0	2706711.0	4123746.0	3629691.0	3618691.0	3100895.0	3994137.0	4059631.0	3020084.0	3992846.0	4760017.0	4381873.0	2802366.0	3948000.0	1770369.0	4296190.0	3704411.0	3656380.0	4173523.0
LiJ_2014__MH0390__bin.69	4300393.0	3912198.0	4351797.0	3283868.0	2494893.0	3735452.0	3261233.0	3084973.0	3856341.0	2846755.0	4355891.0	3838585.0	3948478.0	3372823.0	4202356.0	4303253.0	3240043.0	4372734.0	4381873.0	5125744.0	2938589.0	4143789.0	1877332.0	4578961.0	3933728.0	3837677.0	4338725.0
CM_madagascar__A81_03_1FE__bin.39	2921684.0	2700932.0	2811353.0	2301102.0	1720515.0	2541227.0	2323734.0	1957981.0	2522390.0	1879913.0	2826667.0	2638152.0	2446374.0	2084082.0	2900691.0	2827976.0	2088042.0	2716918.0	2802366.0	2938589.0	3523056.0	2847508.0	1286961.0	2929482.0	2755492.0	2629112.0	2844844.0
CM_madagascar__A08_01_1FE__bin.40	4139378.0	3692664.0	3911120.0	3387984.0	2290923.0	3475946.0	3254689.0	2777942.0	3480651.0	2585232.0	3989990.0	3869803.0	3479292.0	2885959.0	4759515.0	3932472.0	2944816.0	3798733.0	3948000.0	4143789.0	2847508.0	4988607.0	1771929.0	4092215.0	4221877.0	3574095.0	3958004.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	2316668.0	1608202.0	1831207.0	1534287.0	1250090.0	1636557.0	1442542.0	1311968.0	1549643.0	1275926.0	1736226.0	1720778.0	1590616.0	1530359.0	1817134.0	1843368.0	1529680.0	1801929.0	1770369.0	1877332.0	1286961.0	1771929.0	2364618.0	1850803.0	1735017.0	1652501.0	1769084.0
XieH_2016__YSZC12003_35980__bin.31	4257561.0	3872478.0	4394183.0	3265107.0	2440096.0	3734284.0	3298956.0	3046907.0	3774179.0	2844633.0	4269479.0	3790794.0	3816489.0	3250382.0	4151080.0	4332696.0	3188171.0	4249747.0	4296190.0	4578961.0	2929482.0	4092215.0	1850803.0	4983435.0	3896512.0	3858214.0	4347554.0
LeChatelierE_2013__MH0431__bin.56	3930429.0	3460453.0	3714471.0	3290766.0	2196129.0	3336545.0	3050986.0	2640341.0	3278772.0	2488658.0	3732160.0	3707540.0	3291897.0	2796272.0	4325058.0	3741867.0	2820873.0	3637002.0	3704411.0	3933728.0	2755492.0	4221877.0	1735017.0	3896512.0	4846633.0	3453034.0	3750903.0
LeChatelierE_2013__MH0193__bin.19	3680550.0	3381076.0	3682355.0	2939207.0	2196094.0	3374190.0	2910730.0	2579001.0	3240280.0	2518373.0	3629275.0	3363635.0	3186070.0	2755520.0	3636625.0	3699630.0	2767621.0	3576642.0	3656380.0	3837677.0	2629112.0	3574095.0	1652501.0	3858214.0	3453034.0	4504071.0	3661666.0
QinN_2014__HD-18__bin.42	4086491.0	3822443.0	4116812.0	3111196.0	2388920.0	3595597.0	3200580.0	2941220.0	3637616.0	2702004.0	4169574.0	3596410.0	3631195.0	3104429.0	3982223.0	4178527.0	3132522.0	4021920.0	4173523.0	4338725.0	2844844.0	3958004.0	1769084.0	4347554.0	3750903.0	3661666.0	4861218.0
