	VatanenT_2016__G80538__bin.7	CM_madagascar__A36_01_1FE__bin.40	VatanenT_2016__G80592__bin.2	Obregon-TitoAJ_2015__HCO64__bin.28	KarlssonFH_2013__S146__bin.10	SchirmerM_2016__G88822__bin.11	GeversD_2014__SKBSTL001__bin.17	HanniganGD_2017__MG100147__bin.4	LiJ_2014__V1.FI22__bin.51	ZellerG_2014__CCIS44743950ST-4-0__bin.22	CosteaPI_2017__SID713B029-11-90-0__bin.28	VatanenT_2016__G80490__bin.11	CM_madagascar__V54_01_1FE__bin.21	NielsenHB_2014__V1_CD18_0__bin.38	CM_madagascar__V40_01_1FE__bin.34	ZellerG_2014__CCIS41692898ST-4-0__bin.36	DavidLA_2015__LD-Run2-32__bin.2	CM_madagascar__V01_01_1FE__bin.20	ZeeviD_2015__PNP_Main_637__bin.11	BackhedF_2015__SID385_12M__bin.34	LiJ_2014__V1.CD3-0-PN__bin.37	LiJ_2014__O2.CD1-0-PT__bin.3	LiJ_2014__V1.CD2-0-PT__bin.7	DavidLA_2015__LD-Run1-01__bin.5	FengQ_2015__SID531281__bin.24	ZeeviD_2015__PNP_Main_82__bin.27	BritoIL_2016__W2.23.ST__bin.46	HeQ_2017__SZAXPI029476-50__bin.8	BackhedF_2015__SID590_12M__bin.4	VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	CM_madagascar__A66_02_1FE__bin.29	ZellerG_2014__CCIS79210440ST-3-0__bin.35	CM_madagascar__A24_02_1FE__bin.4	BackhedF_2015__SID172_4M__bin.7	GeversD_2014__SKBSTL021__bin.25	BritoIL_2016__M1.64.ST__bin.55	GeversD_2014__SKBSTL038__bin.22
VatanenT_2016__G80490__bin.11	110.0	6003.0	1649.0	5382.0	8369.0	7607.0	1664.0	2023.0	7934.0	8082.0	5799.0	0.0	9421.0	6803.0	7527.0	6701.0	7899.0	9619.0	7589.0	8728.0	9981.0	2368.0	9037.0	7854.0	9661.0	525.0	6160.0	5430.0	9268.0	2216.0	7612.0	7964.0	8332.0	8026.0	7463.0	7811.0	610.0
CM_madagascar__V54_01_1FE__bin.21	10533.0	12280.0	6999.0	6856.0	13129.0	10793.0	11749.0	8461.0	11434.0	11672.0	11075.0	9421.0	0.0	8888.0	10611.0	9501.0	13127.0	35.0	11100.0	11341.0	12712.0	10188.0	10776.0	11933.0	13286.0	9609.0	9068.0	9125.0	12026.0	12087.0	13230.0	9770.0	8269.0	11103.0	10379.0	10743.0	10777.0
NielsenHB_2014__V1_CD18_0__bin.38	7590.0	9388.0	3826.0	4316.0	2673.0	2382.0	7660.0	6214.0	6149.0	8408.0	7212.0	6803.0	8888.0	0.0	7646.0	7315.0	9317.0	9336.0	8014.0	5940.0	5727.0	6384.0	6638.0	9605.0	5768.0	6760.0	5608.0	4769.0	6602.0	8045.0	10221.0	7386.0	10512.0	6836.0	5325.0	8151.0	7760.0
CM_madagascar__V40_01_1FE__bin.34	8500.0	8770.0	5281.0	6694.0	11326.0	8933.0	9157.0	6661.0	10588.0	9568.0	8335.0	7527.0	10611.0	7646.0	0.0	8001.0	8454.0	11167.0	10456.0	10128.0	13136.0	7588.0	11171.0	8559.0	13347.0	8147.0	6794.0	7564.0	11694.0	9179.0	11705.0	9177.0	10438.0	10839.0	9155.0	8458.0	8628.0
ZellerG_2014__CCIS41692898ST-4-0__bin.36	7419.0	8383.0	4773.0	6032.0	10378.0	8701.0	8099.0	6128.0	9347.0	8124.0	7500.0	6701.0	9501.0	7315.0	8001.0	0.0	8334.0	9431.0	8055.0	9531.0	10544.0	7258.0	9732.0	7458.0	10040.0	6889.0	6595.0	7363.0	9971.0	7741.0	9302.0	8730.0	9041.0	9159.0	7758.0	7430.0	7268.0
DavidLA_2015__LD-Run2-32__bin.2	8829.0	8733.0	5268.0	6714.0	13131.0	9446.0	9366.0	6996.0	10551.0	8415.0	8714.0	7899.0	13127.0	9317.0	8454.0	8334.0	0.0	13036.0	8648.0	10599.0	11908.0	7691.0	11184.0	7646.0	12178.0	8302.0	5503.0	8664.0	11659.0	9518.0	10027.0	9305.0	10362.0	10769.0	9623.0	5277.0	8958.0
CM_madagascar__V01_01_1FE__bin.20	10746.0	12654.0	7080.0	6933.0	12716.0	11018.0	11071.0	8596.0	11650.0	12048.0	10433.0	9619.0	35.0	9336.0	11167.0	9431.0	13036.0	0.0	11505.0	11509.0	13000.0	10391.0	11229.0	12442.0	13527.0	9747.0	9286.0	8858.0	12150.0	11191.0	13355.0	9862.0	8396.0	11517.0	10632.0	11232.0	11047.0
ZeeviD_2015__PNP_Main_637__bin.11	8610.0	8921.0	5431.0	6483.0	11456.0	9389.0	9407.0	6635.0	10509.0	9990.0	7354.0	7589.0	11100.0	8014.0	10456.0	8055.0	8648.0	11505.0	0.0	11056.0	11788.0	7760.0	10322.0	7645.0	12445.0	8103.0	6459.0	7188.0	11832.0	8663.0	11611.0	8905.0	9985.0	11484.0	8842.0	8349.0	8914.0
BackhedF_2015__SID385_12M__bin.34	9731.0	9415.0	6295.0	6119.0	8183.0	6436.0	10176.0	7867.0	8683.0	10555.0	9216.0	8728.0	11341.0	5940.0	10128.0	9531.0	10599.0	11509.0	11056.0	0.0	8461.0	8680.0	8197.0	10733.0	7802.0	9165.0	7786.0	6751.0	3559.0	10071.0	10652.0	10314.0	11957.0	7288.0	6495.0	9930.0	10053.0
LiJ_2014__V1.CD3-0-PN__bin.37	10992.0	10417.0	6514.0	7311.0	7137.0	5999.0	10656.0	8629.0	8710.0	11747.0	9585.0	9981.0	12712.0	5727.0	13136.0	10544.0	11908.0	13000.0	11788.0	8461.0	0.0	9346.0	7919.0	11217.0	7916.0	10071.0	8527.0	7274.0	9078.0	10780.0	11057.0	10828.0	12119.0	8645.0	6893.0	10778.0	11301.0
LiJ_2014__O2.CD1-0-PT__bin.3	2526.0	5236.0	1480.0	5180.0	7850.0	7231.0	2221.0	621.0	7971.0	7717.0	4947.0	2368.0	10188.0	6384.0	7588.0	7258.0	7691.0	10391.0	7760.0	8680.0	9346.0	0.0	8321.0	8174.0	9095.0	2444.0	5514.0	5497.0	9204.0	2159.0	7463.0	8182.0	9356.0	7405.0	7245.0	6659.0	2502.0
LiJ_2014__V1.CD2-0-PT__bin.7	10076.0	9584.0	5598.0	5670.0	7946.0	5559.0	9914.0	7783.0	8280.0	11544.0	8924.0	9037.0	10776.0	6638.0	11171.0	9732.0	11184.0	11229.0	10322.0	8197.0	7919.0	8321.0	0.0	10426.0	8055.0	9705.0	7360.0	6678.0	8649.0	9732.0	10510.0	9953.0	11083.0	8840.0	6935.0	10962.0	10340.0
DavidLA_2015__LD-Run1-01__bin.5	8566.0	9482.0	5355.0	6073.0	11063.0	9131.0	8949.0	7236.0	10367.0	8945.0	7656.0	7854.0	11933.0	9605.0	8559.0	7458.0	7646.0	12442.0	7645.0	10733.0	11217.0	8174.0	10426.0	0.0	11430.0	8008.0	5984.0	7345.0	11014.0	9249.0	10866.0	9268.0	10945.0	9968.0	8692.0	7206.0	8899.0
FengQ_2015__SID531281__bin.24	10787.0	9956.0	6242.0	6732.0	6301.0	5979.0	11079.0	8849.0	8937.0	12208.0	9557.0	9661.0	13286.0	5768.0	13347.0	10040.0	12178.0	13527.0	12445.0	7802.0	7916.0	9095.0	8055.0	11430.0	0.0	10524.0	7792.0	7675.0	8460.0	10593.0	11651.0	11027.0	11957.0	8503.0	5846.0	11274.0	11051.0
ZeeviD_2015__PNP_Main_82__bin.27	506.0	6134.0	1806.0	5576.0	9084.0	7680.0	2100.0	2157.0	8101.0	8795.0	6039.0	525.0	9609.0	6760.0	8147.0	6889.0	8302.0	9747.0	8103.0	9165.0	10071.0	2444.0	9705.0	8008.0	10524.0	0.0	6297.0	6430.0	9580.0	3173.0	7758.0	7681.0	8391.0	8464.0	7771.0	7791.0	346.0
BritoIL_2016__W2.23.ST__bin.46	6660.0	6284.0	4352.0	4969.0	7836.0	6758.0	6548.0	5198.0	7701.0	6913.0	5978.0	6160.0	9068.0	5608.0	6794.0	6595.0	5503.0	9286.0	6459.0	7786.0	8527.0	5514.0	7360.0	5984.0	7792.0	6297.0	0.0	5862.0	8303.0	7078.0	6876.0	6806.0	7539.0	7235.0	6365.0	3729.0	6934.0
HeQ_2017__SZAXPI029476-50__bin.8	6150.0	6524.0	3533.0	4990.0	7200.0	5663.0	7149.0	4534.0	6923.0	7128.0	6442.0	5430.0	9125.0	4769.0	7564.0	7363.0	8664.0	8858.0	7188.0	6751.0	7274.0	5497.0	6678.0	7345.0	7675.0	6430.0	5862.0	0.0	7619.0	7776.0	6587.0	6714.0	7566.0	7226.0	5366.0	6851.0	6223.0
BackhedF_2015__SID590_12M__bin.4	10637.0	9958.0	6344.0	6305.0	8256.0	6231.0	11437.0	8052.0	9902.0	11644.0	9409.0	9268.0	12026.0	6602.0	11694.0	9971.0	11659.0	12150.0	11832.0	3559.0	9078.0	9204.0	8649.0	11014.0	8460.0	9580.0	8303.0	7619.0	0.0	11024.0	11110.0	10975.0	12383.0	7954.0	6747.0	10717.0	10707.0
VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	2830.0	5599.0	1683.0	5835.0	10247.0	8159.0	2706.0	1636.0	9906.0	8700.0	6484.0	2216.0	12087.0	8045.0	9179.0	7741.0	9518.0	11191.0	8663.0	10071.0	10780.0	2159.0	9732.0	9249.0	10593.0	3173.0	7078.0	7776.0	11024.0	0.0	7307.0	7985.0	9531.0	9474.0	7925.0	8130.0	2613.0
CM_madagascar__A66_02_1FE__bin.29	8572.0	7215.0	4837.0	7781.0	10640.0	9330.0	8125.0	7239.0	10159.0	10848.0	8619.0	7612.0	13230.0	10221.0	11705.0	9302.0	10027.0	13355.0	11611.0	10652.0	11057.0	7463.0	10510.0	10866.0	11651.0	7758.0	6876.0	6587.0	11110.0	7307.0	0.0	8646.0	17860.0	10087.0	8556.0	9458.0	8687.0
ZellerG_2014__CCIS79210440ST-3-0__bin.35	8315.0	8884.0	5314.0	5804.0	9453.0	9144.0	8189.0	6001.0	10055.0	9971.0	7257.0	7964.0	9770.0	7386.0	9177.0	8730.0	9305.0	9862.0	8905.0	10314.0	10828.0	8182.0	9953.0	9268.0	11027.0	7681.0	6806.0	6714.0	10975.0	7985.0	8646.0	0.0	9333.0	10281.0	8680.0	8199.0	8506.0
CM_madagascar__A24_02_1FE__bin.4	9280.0	14991.0	6318.0	6546.0	11428.0	10343.0	9737.0	7905.0	10946.0	10955.0	9129.0	8332.0	8269.0	10512.0	10438.0	9041.0	10362.0	8396.0	9985.0	11957.0	12119.0	9356.0	11083.0	10945.0	11957.0	8391.0	7539.0	7566.0	12383.0	9531.0	17860.0	9333.0	0.0	11253.0	10377.0	9676.0	9346.0
BackhedF_2015__SID172_4M__bin.7	9053.0	8907.0	5536.0	5655.0	7608.0	5635.0	9448.0	7078.0	8462.0	10928.0	8616.0	8026.0	11103.0	6836.0	10839.0	9159.0	10769.0	11517.0	11484.0	7288.0	8645.0	7405.0	8840.0	9968.0	8503.0	8464.0	7235.0	7226.0	7954.0	9474.0	10087.0	10281.0	11253.0	0.0	7000.0	10443.0	9388.0
GeversD_2014__SKBSTL021__bin.25	8169.0	7151.0	4723.0	5589.0	6204.0	5382.0	7882.0	6471.0	7061.0	9270.0	7891.0	7463.0	10379.0	5325.0	9155.0	7758.0	9623.0	10632.0	8842.0	6495.0	6893.0	7245.0	6935.0	8692.0	5846.0	7771.0	6365.0	5366.0	6747.0	7925.0	8556.0	8680.0	10377.0	7000.0	0.0	8997.0	8450.0
BritoIL_2016__M1.64.ST__bin.55	8389.0	8235.0	5167.0	6387.0	10860.0	8263.0	8343.0	5934.0	9710.0	8142.0	7485.0	7811.0	10743.0	8151.0	8458.0	7430.0	5277.0	11232.0	8349.0	9930.0	10778.0	6659.0	10962.0	7206.0	11274.0	7791.0	3729.0	6851.0	10717.0	8130.0	9458.0	8199.0	9676.0	10443.0	8997.0	0.0	8609.0
GeversD_2014__SKBSTL038__bin.22	589.0	6828.0	1916.0	5964.0	9920.0	8500.0	2091.0	2210.0	8967.0	9388.0	6212.0	610.0	10777.0	7760.0	8628.0	7268.0	8958.0	11047.0	8914.0	10053.0	11301.0	2502.0	10340.0	8899.0	11051.0	346.0	6934.0	6223.0	10707.0	2613.0	8687.0	8506.0	9346.0	9388.0	8450.0	8609.0	0.0
