	BackhedF_2015__SID42_4M__bin.12	BackhedF_2015__SID179_4M__bin.24	BackhedF_2015__SID585_4M__bin.5	BackhedF_2015__SID263_4M__bin.13	KarlssonFH_2013__S312__bin.63	VatanenT_2016__G80150__bin.1	CM_periimplantitis__SP_283SPI_T016__bin.13	BackhedF_2015__SID590_4M__bin.26	BackhedF_2015__SID507_4M__bin.7	VatanenT_2016__G80312__bin.6	BackhedF_2015__SID397_4M__bin.5	BackhedF_2015__SID263_4M__bin.3	FengQ_2015__SID31446__bin.13	BackhedF_2015__SID201_4M__bin.12	BackhedF_2015__SID367_4M__bin.16	BackhedF_2015__SID103_B__bin.10	VatanenT_2016__G78875__bin.2	BackhedF_2015__SID180_4M__bin.1	BackhedF_2015__SID195_4M__bin.8	BackhedF_2015__SID507_B__bin.5	FengQ_2015__SID31868__bin.44	VatanenT_2016__G78847__bin.3	BackhedF_2015__SID521_4M__bin.19	BackhedF_2015__SID526_4M__bin.2	VatanenT_2016__G78558__bin.4	BackhedF_2015__SID582_4M__bin.4	BackhedF_2015__SID599_4M__bin.1	VatanenT_2016__G78701__bin.8	AsnicarF_2017__MV_FEI4_t2Q15__bin.2	BackhedF_2015__SID281_4M__bin.23	BackhedF_2015__SID587_B__bin.8	VatanenT_2016__G80565__bin.2
BackhedF_2015__SID397_4M__bin.5	37388.0	3338.0	34473.0	740.0	34974.0	35718.0	34057.0	36106.0	5775.0	36119.0	0.0	36411.0	31004.0	33925.0	30552.0	36617.0	30729.0	36085.0	36387.0	1086.0	30081.0	26332.0	36087.0	35693.0	22064.0	31851.0	33633.0	29006.0	382.0	35610.0	24221.0	31643.0
BackhedF_2015__SID263_4M__bin.3	45503.0	17315.0	7788.0	800.0	5070.0	5493.0	42130.0	6245.0	37571.0	44714.0	36411.0	0.0	4862.0	37845.0	36094.0	412.0	34600.0	497.0	6157.0	45930.0	6008.0	32094.0	6465.0	6137.0	7946.0	6508.0	40975.0	29226.0	44101.0	43228.0	6459.0	36094.0
FengQ_2015__SID31446__bin.13	47825.0	18975.0	12359.0	977.0	2729.0	3984.0	43490.0	6319.0	38886.0	44761.0	31004.0	4862.0	0.0	39921.0	38544.0	5534.0	36148.0	6069.0	6547.0	43835.0	4042.0	33513.0	6586.0	6391.0	5728.0	6766.0	43272.0	31826.0	43376.0	45008.0	8850.0	39745.0
BackhedF_2015__SID201_4M__bin.12	10254.0	23771.0	50692.0	13963.0	50129.0	51777.0	45748.0	51589.0	47340.0	13098.0	33925.0	37845.0	39921.0	0.0	12724.0	50781.0	9179.0	51240.0	51328.0	53417.0	44420.0	6582.0	51972.0	51099.0	26029.0	43981.0	31376.0	16106.0	53805.0	6173.0	33250.0	29466.0
BackhedF_2015__SID367_4M__bin.16	13873.0	22252.0	49252.0	16360.0	48919.0	51549.0	43870.0	52504.0	43349.0	12190.0	30552.0	36094.0	38544.0	12724.0	0.0	51731.0	10206.0	51817.0	52224.0	51100.0	43462.0	6657.0	52145.0	51428.0	26443.0	42484.0	16827.0	16502.0	50699.0	9789.0	31968.0	15029.0
BackhedF_2015__SID103_B__bin.10	63961.0	23328.0	19416.0	231.0	5340.0	5303.0	56569.0	7577.0	49627.0	60655.0	36617.0	412.0	5534.0	50781.0	51731.0	0.0	46906.0	378.0	7607.0	60850.0	6952.0	43286.0	7793.0	7543.0	9510.0	7422.0	58168.0	42220.0	58255.0	59435.0	13057.0	50886.0
VatanenT_2016__G78875__bin.2	10260.0	21797.0	46337.0	12728.0	43793.0	44028.0	42316.0	46662.0	42333.0	10408.0	30729.0	34600.0	36148.0	9179.0	10206.0	46906.0	0.0	47082.0	46844.0	47574.0	39877.0	4752.0	47017.0	46531.0	25035.0	39245.0	27489.0	14058.0	47215.0	6079.0	30619.0	25283.0
BackhedF_2015__SID180_4M__bin.1	63193.0	23089.0	19490.0	234.0	6027.0	5535.0	57173.0	8844.0	49520.0	60222.0	36085.0	497.0	6069.0	51240.0	51817.0	378.0	47082.0	0.0	8843.0	60268.0	6972.0	43350.0	9208.0	8512.0	9454.0	8498.0	58064.0	42253.0	58187.0	59610.0	13163.0	50677.0
BackhedF_2015__SID195_4M__bin.8	64821.0	23254.0	19709.0	1620.0	6557.0	5176.0	57367.0	778.0	50012.0	61044.0	36387.0	6157.0	6547.0	51328.0	52224.0	7607.0	46844.0	8843.0	0.0	59156.0	7245.0	43606.0	1453.0	995.0	8603.0	3281.0	58415.0	42572.0	58094.0	60021.0	13414.0	51546.0
BackhedF_2015__SID507_B__bin.5	64484.0	4871.0	57950.0	15384.0	55389.0	56568.0	55804.0	59021.0	9046.0	60313.0	1086.0	45930.0	43835.0	53417.0	51100.0	60850.0	47574.0	60268.0	59156.0	0.0	48256.0	43065.0	58627.0	58235.0	31492.0	48070.0	59451.0	48579.0	995.0	59394.0	38056.0	52302.0
FengQ_2015__SID31868__bin.44	55011.0	21226.0	15866.0	1340.0	3208.0	5396.0	47826.0	6924.0	42343.0	50491.0	30081.0	6008.0	4042.0	44420.0	43462.0	6952.0	39877.0	6972.0	7245.0	48256.0	0.0	37358.0	7297.0	7114.0	6489.0	7306.0	49119.0	36609.0	47873.0	50723.0	11171.0	44895.0
VatanenT_2016__G78847__bin.3	5297.0	18947.0	42774.0	12011.0	41926.0	43366.0	38118.0	43557.0	38389.0	3913.0	26332.0	32094.0	33513.0	6582.0	6657.0	43286.0	4752.0	43350.0	43606.0	43065.0	37358.0	0.0	43791.0	43476.0	21494.0	37144.0	24274.0	9589.0	43047.0	2739.0	28051.0	22434.0
BackhedF_2015__SID521_4M__bin.19	64680.0	23492.0	19611.0	1679.0	6740.0	5228.0	57656.0	1089.0	49757.0	60595.0	36087.0	6465.0	6586.0	51972.0	52145.0	7793.0	47017.0	9208.0	1453.0	58627.0	7297.0	43791.0	0.0	1344.0	9398.0	3329.0	58399.0	42726.0	58027.0	60024.0	13447.0	51876.0
BackhedF_2015__SID526_4M__bin.2	64031.0	23252.0	19389.0	1675.0	6379.0	4963.0	57466.0	751.0	49350.0	60150.0	35693.0	6137.0	6391.0	51099.0	51428.0	7543.0	46531.0	8512.0	995.0	58235.0	7114.0	43476.0	1344.0	0.0	9000.0	3277.0	57716.0	42382.0	57263.0	59657.0	13164.0	51187.0
VatanenT_2016__G78558__bin.4	31059.0	13347.0	11105.0	1858.0	7883.0	8339.0	29688.0	9063.0	27043.0	30257.0	22064.0	7946.0	5728.0	26029.0	26443.0	9510.0	25035.0	9454.0	8603.0	31492.0	6489.0	21494.0	9398.0	9000.0	0.0	7482.0	29164.0	21955.0	28913.0	29403.0	7410.0	26714.0
BackhedF_2015__SID582_4M__bin.4	52850.0	19721.0	16926.0	1411.0	7505.0	6273.0	47399.0	3197.0	41960.0	49301.0	31851.0	6508.0	6766.0	43981.0	42484.0	7422.0	39245.0	8498.0	3281.0	48070.0	7306.0	37144.0	3329.0	3277.0	7482.0	0.0	46983.0	35768.0	48241.0	49643.0	11305.0	43290.0
BackhedF_2015__SID599_4M__bin.1	37167.0	25153.0	55152.0	17570.0	55248.0	57196.0	50489.0	58690.0	47374.0	35191.0	33633.0	40975.0	43272.0	31376.0	16827.0	58168.0	27489.0	58064.0	58415.0	59451.0	49119.0	24274.0	58399.0	57716.0	29164.0	46983.0	0.0	31121.0	57338.0	33159.0	36251.0	970.0
VatanenT_2016__G78701__bin.8	18416.0	22520.0	39214.0	13808.0	40778.0	41549.0	47770.0	42494.0	42660.0	9175.0	29006.0	29226.0	31826.0	16106.0	16502.0	42220.0	14058.0	42253.0	42572.0	48579.0	36609.0	9589.0	42726.0	42382.0	21955.0	35768.0	31121.0	0.0	48187.0	14595.0	25758.0	28202.0
AsnicarF_2017__MV_FEI4_t2Q15__bin.2	63826.0	4792.0	57814.0	14929.0	54585.0	56203.0	55299.0	57856.0	9222.0	59995.0	382.0	44101.0	43376.0	53805.0	50699.0	58255.0	47215.0	58187.0	58094.0	995.0	47873.0	43047.0	58027.0	57263.0	28913.0	48241.0	57338.0	48187.0	0.0	59111.0	37412.0	51618.0
BackhedF_2015__SID281_4M__bin.23	6190.0	25847.0	57466.0	17144.0	57780.0	59577.0	51643.0	59703.0	51599.0	8828.0	35610.0	43228.0	45008.0	6173.0	9789.0	59435.0	6079.0	59610.0	60021.0	59394.0	50723.0	2739.0	60024.0	59657.0	29403.0	49643.0	33159.0	14595.0	59111.0	0.0	37058.0	30405.0
BackhedF_2015__SID587_B__bin.8	39584.0	17590.0	4205.0	6891.0	11432.0	11615.0	37086.0	13593.0	33435.0	37303.0	24221.0	6459.0	8850.0	33250.0	31968.0	13057.0	30619.0	13163.0	13414.0	38056.0	11171.0	28051.0	13447.0	13164.0	7410.0	11305.0	36251.0	25758.0	37412.0	37058.0	0.0	33085.0
VatanenT_2016__G80565__bin.2	33566.0	23293.0	50856.0	15422.0	50002.0	51547.0	44837.0	51423.0	43595.0	31701.0	31643.0	36094.0	39745.0	29466.0	15029.0	50886.0	25283.0	50677.0	51546.0	52302.0	44895.0	22434.0	51876.0	51187.0	26714.0	43290.0	970.0	28202.0	51618.0	30405.0	33085.0	0.0
