	HMP_2012__SRS024561__bin.28	CM_periimplantitis__SP_261SPT_T016__bin.3	HMP_2012__SRS014578__bin.49	CM_periimplantitis__SP_201SPI_T016__bin.7	CM_periimplantitis__SP_304SPI_T016__bin.6	HMP_2012__SRS051941__bin.47	HMP_2012__SRS014107__bin.7	HMP_2012__SRS049268__bin.47	HMP_2012__SRS018157__bin.52	CM_periimplantitis__SP_326SPI_T016__bin.3	HMP_2012__SRS015650__bin.14	CM_periimplantitis__SP_125SPI_T016__bin.4	HMP_2012__SRS017691__bin.13	HMP_2012__SRS022602__bin.81	HMP_2012__SRS023964__bin.22	CM_periimplantitis__SP_325SPI_T016__bin.2	HMP_2012__SRS011126__bin.74	HMP_2012__SRS047634__bin.17	CM_periimplantitis__SP_189SPI_T016__bin.38	HMP_2012__SRS063603__bin.41	HMP_2012__SRS019128__bin.42	CM_periimplantitis__SP_281SPI_T016__bin.1	HMP_2012__SRS058808__bin.44	HMP_2012__SRS016043__bin.17	HMP_2012__SRS063999__bin.47	HMP_2012__SRS064449__bin.46	HMP_2012__SRS019029__bin.15	HMP_2012__SRS055378__bin.37	HMP_2012__SRS017511__bin.27	HMP_2012__SRS020226__bin.25	HMP_2012__SRS015215__bin.13	HMP_2012__SRS014476__bin.36	HMP_2012__SRS024087__bin.47	HMP_2012__SRS011255__bin.25	HMP_2012__SRS016331__bin.45
HMP_2012__SRS016043__bin.17	56806.0	39592.0	41481.0	51679.0	37806.0	42533.0	27286.0	57906.0	57205.0	43789.0	39423.0	41026.0	57585.0	52531.0	36071.0	23686.0	31524.0	55290.0	39112.0	31627.0	51806.0	30507.0	56378.0	0.0	41455.0	55138.0	49696.0	25385.0	45787.0	28383.0	24478.0	38195.0	25112.0	38689.0	39538.0
HMP_2012__SRS063999__bin.47	53514.0	38563.0	225.0	51259.0	36004.0	42279.0	26122.0	57909.0	56488.0	43249.0	32788.0	33280.0	57381.0	51403.0	35553.0	22607.0	31289.0	54812.0	38259.0	28690.0	52225.0	30574.0	55084.0	41455.0	0.0	55070.0	49222.0	20032.0	44473.0	28307.0	23634.0	37178.0	23423.0	37800.0	38552.0
HMP_2012__SRS064449__bin.46	42960.0	53832.0	54719.0	49255.0	51274.0	30507.0	34285.0	3803.0	41994.0	36117.0	52035.0	56069.0	37614.0	34774.0	25714.0	32508.0	42564.0	40799.0	53194.0	34941.0	34915.0	45285.0	39311.0	55138.0	55070.0	0.0	46609.0	36980.0	45527.0	18072.0	22494.0	55297.0	32867.0	50124.0	28849.0
HMP_2012__SRS019029__bin.15	49194.0	50039.0	48904.0	48798.0	48675.0	37289.0	31572.0	48314.0	49410.0	37639.0	48132.0	49804.0	48755.0	43595.0	30902.0	29759.0	38763.0	47490.0	49365.0	34568.0	43511.0	40524.0	47868.0	49696.0	49222.0	46609.0	0.0	31712.0	44728.0	23731.0	23361.0	50824.0	29792.0	45415.0	33211.0
HMP_2012__SRS055378__bin.37	35461.0	24843.0	20003.0	33785.0	23014.0	30068.0	16869.0	37133.0	36907.0	28139.0	20780.0	19096.0	37268.0	34912.0	23621.0	15266.0	24563.0	36778.0	24512.0	26567.0	36646.0	20952.0	37034.0	25385.0	20032.0	36980.0	31712.0	0.0	28774.0	19481.0	22128.0	23869.0	20608.0	24124.0	26595.0
HMP_2012__SRS017511__bin.27	44968.0	45825.0	44019.0	44355.0	43871.0	34791.0	30223.0	46585.0	46268.0	37801.0	43355.0	45545.0	46497.0	43767.0	30988.0	27790.0	36107.0	45814.0	44687.0	26643.0	42789.0	37582.0	45060.0	45787.0	44473.0	45527.0	44728.0	28774.0	0.0	23859.0	21956.0	45733.0	26535.0	43117.0	32220.0
HMP_2012__SRS020226__bin.25	22097.0	28354.0	28386.0	24507.0	27335.0	16212.0	19151.0	18360.0	20797.0	19341.0	27541.0	28881.0	15723.0	16173.0	13950.0	18488.0	22218.0	20497.0	27584.0	18398.0	18179.0	25082.0	19566.0	28383.0	28307.0	18072.0	23731.0	19481.0	23859.0	0.0	12084.0	29094.0	16990.0	26677.0	15176.0
HMP_2012__SRS015215__bin.13	25134.0	23708.0	23667.0	23269.0	23352.0	19732.0	14516.0	23112.0	24259.0	19061.0	23433.0	23726.0	24047.0	22269.0	15274.0	14824.0	22882.0	22736.0	23815.0	21794.0	22783.0	19912.0	24120.0	24478.0	23634.0	22494.0	23361.0	22128.0	21956.0	12084.0	0.0	24040.0	21399.0	21684.0	16582.0
HMP_2012__SRS014476__bin.36	56452.0	8112.0	37068.0	49305.0	7975.0	43496.0	25357.0	57884.0	58298.0	44386.0	38374.0	36193.0	59100.0	52658.0	36907.0	5772.0	8255.0	56831.0	8929.0	30208.0	52516.0	4005.0	57009.0	38195.0	37178.0	55297.0	50824.0	23869.0	45733.0	29094.0	24040.0	0.0	23358.0	35737.0	39580.0
HMP_2012__SRS024087__bin.47	31801.0	23977.0	23482.0	30754.0	23070.0	27245.0	16463.0	33790.0	33580.0	25786.0	23887.0	22238.0	33532.0	31397.0	20900.0	15488.0	23608.0	32676.0	24139.0	24541.0	33156.0	19967.0	33641.0	25112.0	23423.0	32867.0	29792.0	20608.0	26535.0	16990.0	21399.0	23358.0	0.0	23645.0	23641.0
HMP_2012__SRS011255__bin.25	49775.0	37135.0	37359.0	46801.0	35279.0	39030.0	7907.0	52826.0	51068.0	39396.0	37702.0	36725.0	52077.0	47936.0	34587.0	22010.0	28607.0	50488.0	36640.0	28545.0	46300.0	29302.0	50809.0	38689.0	37800.0	50124.0	45415.0	24124.0	43117.0	26677.0	21684.0	35737.0	23645.0	0.0	36031.0
HMP_2012__SRS016331__bin.45	26369.0	38602.0	38460.0	33910.0	36933.0	22829.0	25381.0	29538.0	30245.0	27443.0	37457.0	39560.0	29327.0	27540.0	19579.0	24482.0	29271.0	29388.0	38290.0	24585.0	27102.0	33779.0	28075.0	39538.0	38552.0	28849.0	33211.0	26595.0	32220.0	15176.0	16582.0	39580.0	23641.0	36031.0	0.0
