	FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	BackhedF_2015__SID637_12M__bin.13	HanniganGD_2017__MG100141__bin.3	LiJ_2017__H3M515101__bin.28	BritoIL_2016__M2.11.ST__bin.78	BackhedF_2015__SID532_B__bin.4	BackhedF_2015__SID532_4M__bin.27	FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	BackhedF_2015__SID150_4M__bin.4	FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	LiJ_2017__H1M513852__bin.3	HeQ_2017__SZAXPI029549-142__bin.2	RaymondF_2016__P12E7__bin.2	NielsenHB_2014__V1_UC21_4__bin.50	QinJ_2012__CON-028__bin.32	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	FengQ_2015__SID530756__bin.23	QinJ_2012__CON-092__bin.31	QinN_2014__LV-7__bin.2	LiJ_2017__H1M613825__bin.35	FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	VatanenT_2016__G80482__bin.10	LiuW_2016__SRR3992991__bin.57	LiJ_2017__H1F513818__bin.2	QinJ_2012__DOM005__bin.7	LiJ_2017__H3M516909__bin.27	VatanenT_2016__G80272__bin.10	QinJ_2012__DOF008__bin.42	KosticAD_2015__PRJNA231909.3113669__bin.9	VincentC_2016__MM074.2__bin.4	VatanenT_2016__G78861__bin.2	XieH_2016__YSZC12003_35550__bin.126	BackhedF_2015__SID335_4M__bin.7	LiJ_2017__nHM612836__bin.16	LiJ_2014__DOM005-IE__bin.4	ZellerG_2014__CCIS78318719ST-4-0__bin.28	BackhedF_2015__SID70_4M__bin.12	VatanenT_2016__G78488__bin.1
LiJ_2017__H1M513852__bin.3	3693555.0	4023411.0	3949193.0	3488733.0	4019423.0	4051650.0	3627630.0	2839489.0	3058968.0	3999795.0	4368817.0	3958383.0	3256405.0	3933625.0	3859124.0	3837802.0	3969376.0	3903521.0	2545776.0	3462496.0	3702542.0	3968299.0	3930329.0	3533010.0	3683965.0	3788168.0	3563106.0	3858607.0	3835649.0	2689791.0	3756066.0	3499845.0	2297882.0	3949569.0	3847309.0	3827907.0	4011004.0	3506864.0	2773139.0
HeQ_2017__SZAXPI029549-142__bin.2	3737800.0	4023834.0	3961630.0	3442952.0	3990332.0	4025311.0	3662295.0	2816862.0	3058000.0	3991468.0	3958383.0	4341684.0	3207453.0	3887776.0	3843701.0	3840525.0	3970964.0	3936820.0	2543626.0	3443776.0	3649910.0	3933574.0	3940390.0	3484968.0	3609384.0	3730449.0	3562073.0	3852055.0	3826391.0	2657205.0	3751683.0	3460050.0	2242069.0	3926693.0	3783754.0	3807298.0	4041215.0	3476974.0	2748101.0
RaymondF_2016__P12E7__bin.2	3032519.0	3330475.0	3270202.0	2866587.0	3314157.0	3295083.0	2961613.0	2457020.0	2456693.0	3304138.0	3256405.0	3207453.0	3690322.0	3235659.0	3121535.0	3148345.0	3276582.0	3184841.0	2189668.0	2885685.0	3020942.0	3258467.0	3231859.0	2901757.0	3013658.0	3117799.0	2898298.0	3194699.0	3116945.0	2267428.0	3062007.0	2924899.0	1963331.0	3252501.0	3147982.0	3157994.0	3329967.0	2939738.0	2339209.0
NielsenHB_2014__V1_UC21_4__bin.50	3848184.0	4238413.0	3984875.0	3481282.0	4121565.0	4392358.0	3642019.0	3018431.0	2969396.0	4299984.0	3933625.0	3887776.0	3235659.0	4438846.0	3799583.0	3887585.0	4025586.0	3920055.0	2642684.0	3502753.0	3658430.0	4216379.0	3949369.0	3498812.0	3645604.0	3792754.0	3520502.0	3894986.0	3819665.0	2711388.0	3893005.0	3681601.0	2309986.0	4259066.0	3816453.0	3827086.0	4005941.0	3706358.0	2750352.0
QinJ_2012__CON-028__bin.32	3619622.0	3894693.0	3811358.0	3356074.0	3845317.0	3866770.0	3546952.0	2728200.0	2942632.0	3855349.0	3859124.0	3843701.0	3121535.0	3799583.0	4144686.0	3709443.0	3821722.0	3809579.0	2488850.0	3353412.0	3551838.0	3819767.0	3794282.0	3360821.0	3558555.0	3653807.0	3456558.0	3747385.0	3716676.0	2607385.0	3628550.0	3391510.0	2203538.0	3825896.0	3671053.0	3704251.0	3843749.0	3423965.0	2634657.0
FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	3700818.0	3997064.0	4065458.0	3386151.0	3952187.0	3994083.0	3810383.0	2799494.0	2896874.0	3961840.0	3837802.0	3840525.0	3148345.0	3887585.0	3709443.0	4378216.0	4130086.0	4023370.0	2508358.0	3576874.0	3726354.0	3901575.0	4044595.0	3571147.0	3693164.0	3952259.0	3630712.0	3793116.0	3728704.0	2766950.0	3718056.0	3438708.0	2351149.0	3883386.0	3873292.0	3999469.0	3910874.0	3481519.0	2803225.0
FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	3827949.0	4203013.0	4285210.0	3523130.0	4101875.0	4144151.0	3862582.0	2873618.0	3019796.0	4096640.0	3969376.0	3970964.0	3276582.0	4025586.0	3821722.0	4130086.0	4774075.0	4153762.0	2589070.0	3701613.0	3821086.0	4040211.0	4162764.0	3665622.0	3792519.0	4010633.0	3713822.0	3898242.0	3837015.0	2827715.0	3838720.0	3542847.0	2389974.0	4035270.0	3997914.0	4075837.0	4063405.0	3560805.0	2905924.0
FengQ_2015__SID530756__bin.23	3752135.0	4045055.0	4144431.0	3442885.0	4011585.0	4095703.0	3817121.0	2816851.0	2972211.0	4031514.0	3903521.0	3936820.0	3184841.0	3920055.0	3809579.0	4023370.0	4153762.0	4819031.0	2531999.0	3610302.0	3761020.0	3964437.0	4296735.0	3624234.0	3730457.0	3921654.0	3672256.0	3833860.0	3782280.0	2783598.0	3756280.0	3451028.0	2392609.0	3962992.0	3940076.0	4008893.0	3950787.0	3512578.0	2838649.0
QinJ_2012__CON-092__bin.31	2463072.0	2688929.0	2569015.0	2309918.0	2701702.0	2678567.0	2348993.0	2029886.0	2059908.0	2677785.0	2545776.0	2543626.0	2189668.0	2642684.0	2488850.0	2508358.0	2589070.0	2531999.0	2799669.0	2312204.0	2392695.0	2643595.0	2556258.0	2269648.0	2377784.0	2484343.0	2296826.0	2558379.0	2495651.0	1825752.0	2513850.0	2395168.0	1567588.0	2635764.0	2485673.0	2497505.0	2606024.0	2467864.0	1881051.0
QinN_2014__LV-7__bin.2	3243974.0	3608348.0	3692808.0	3095230.0	3575927.0	3556069.0	3358294.0	2572044.0	2661735.0	3561438.0	3462496.0	3443776.0	2885685.0	3502753.0	3353412.0	3576874.0	3701613.0	3610302.0	2312204.0	3908914.0	3311338.0	3502657.0	3634526.0	3203967.0	3309930.0	3535393.0	3231616.0	3415996.0	3377359.0	2510773.0	3329928.0	3143504.0	2143176.0	3496828.0	3489511.0	3580406.0	3517076.0	3147829.0	2566201.0
LiJ_2017__H1M613825__bin.35	3477019.0	3771852.0	3786458.0	3339878.0	3747637.0	3745668.0	3523257.0	2649832.0	2736906.0	3721661.0	3702542.0	3649910.0	3020942.0	3658430.0	3551838.0	3726354.0	3821086.0	3761020.0	2392695.0	3311338.0	3992544.0	3704323.0	3771053.0	3453003.0	3630712.0	3643216.0	3539236.0	3608530.0	3549128.0	2594902.0	3511165.0	3253191.0	2206040.0	3705525.0	3739885.0	3721759.0	3724386.0	3300172.0	2637898.0
