	CosteaPI_2017__SID713B014-11-0-0__bin.32	LeChatelierE_2013__MH0013__bin.12	ZeeviD_2015__PNP_Main_172__bin.54	FengQ_2015__SID31866__bin.74	CM_madagascar__A79_02_1FE__bin.27	BritoIL_2016__W3.22.ST__bin.39	ZeeviD_2015__PNP_Main_587__bin.15	Obregon-TitoAJ_2015__SM20__bin.34	XieH_2016__YSZC12003_37100__bin.77	BritoIL_2016__W2.9.ST__bin.25	LeChatelierE_2013__MH0437__bin.97	XieH_2016__YSZC12003_36244__bin.27	FengQ_2015__SID31223__bin.56	BritoIL_2016__M1.61.ST__bin.72	BritoIL_2016__M1.16.ST__bin.34	NielsenHB_2014__V1_UC21_4__bin.3	BritoIL_2016__W1.41.ST__bin.31	ZeeviD_2015__PNP_Main_113__bin.57	BritoIL_2016__W2.69.ST__bin.15	XieH_2016__YSZC12003_35980__bin.71	FengQ_2015__SID530295__bin.42	BritoIL_2016__W1.11.ST__bin.11	BritoIL_2016__W1.9.ST__bin.39	BritoIL_2016__M1.15.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.14	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	NielsenHB_2014__MH0013__bin.1	NielsenHB_2014__V1_UC40_0__bin.13	BritoIL_2016__M1.29.ST__bin.3	ZeeviD_2015__PNP_Main_134__bin.48	BritoIL_2016__W2.39.ST__bin.73	ZeeviD_2015__PNP_Main_238__bin.8	Obregon-TitoAJ_2015__HCO07__bin.22
BritoIL_2016__M1.61.ST__bin.72	13823.0	18282.0	13668.0	19054.0	18931.0	16355.0	17860.0	19008.0	19063.0	16695.0	16097.0	17221.0	18385.0	0.0	16175.0	16841.0	15905.0	18426.0	11359.0	19070.0	33499.0	16451.0	16986.0	16330.0	18259.0	16585.0	17782.0	18190.0	17237.0	18510.0	15417.0	15226.0	17753.0
BritoIL_2016__M1.16.ST__bin.34	17888.0	23088.0	15594.0	23832.0	22370.0	20119.0	21959.0	23501.0	22424.0	6317.0	18140.0	20973.0	21985.0	16175.0	0.0	20226.0	17233.0	22002.0	12594.0	23269.0	40917.0	19218.0	19572.0	1291.0	23054.0	19468.0	21720.0	22459.0	19659.0	21884.0	18406.0	18404.0	21760.0
NielsenHB_2014__V1_UC21_4__bin.3	16114.0	20848.0	13852.0	20597.0	21177.0	18384.0	19387.0	18053.0	20685.0	21618.0	17196.0	18760.0	19377.0	16841.0	20226.0	0.0	19721.0	19831.0	13492.0	19742.0	34427.0	21342.0	20520.0	20018.0	20623.0	18127.0	20491.0	19326.0	21240.0	19066.0	19213.0	15095.0	18401.0
BritoIL_2016__W1.41.ST__bin.31	17314.0	20846.0	15554.0	22547.0	23141.0	20152.0	21658.0	22516.0	22314.0	19821.0	19446.0	20948.0	23220.0	15905.0	17233.0	19721.0	0.0	21959.0	12626.0	23421.0	39849.0	5439.0	5189.0	17944.0	22150.0	19068.0	19927.0	22311.0	8747.0	21073.0	4990.0	17595.0	21142.0
ZeeviD_2015__PNP_Main_113__bin.57	16637.0	23830.0	14867.0	23052.0	22418.0	19229.0	20378.0	20597.0	22225.0	23436.0	17512.0	20151.0	20296.0	18426.0	22002.0	19831.0	21959.0	0.0	15062.0	22279.0	42748.0	23607.0	23738.0	21880.0	21123.0	20017.0	22744.0	14480.0	25072.0	20454.0	22301.0	17507.0	20245.0
BritoIL_2016__W2.69.ST__bin.15	11484.0	14239.0	10306.0	15338.0	14570.0	13158.0	14222.0	14671.0	14696.0	13519.0	11895.0	13799.0	14813.0	11359.0	12594.0	13492.0	12626.0	15062.0	0.0	14638.0	25346.0	12937.0	12729.0	12610.0	14899.0	12920.0	14019.0	15273.0	13539.0	14604.0	11532.0	11963.0	14078.0
XieH_2016__YSZC12003_35980__bin.71	18216.0	24920.0	15508.0	24616.0	24255.0	20915.0	22447.0	23356.0	23065.0	23967.0	19935.0	22081.0	23028.0	19070.0	23269.0	19742.0	23421.0	22279.0	14638.0	0.0	43904.0	25833.0	25992.0	22730.0	23015.0	21037.0	23480.0	22126.0	27041.0	21292.0	23551.0	17606.0	21874.0
FengQ_2015__SID530295__bin.42	33411.0	42567.0	27869.0	41766.0	42739.0	37601.0	42798.0	42183.0	41299.0	42422.0	32533.0	40253.0	43869.0	33499.0	40917.0	34427.0	39849.0	42748.0	25346.0	43904.0	0.0	41523.0	41683.0	41776.0	44416.0	36304.0	40709.0	39763.0	43394.0	40718.0	38107.0	31358.0	40000.0
BritoIL_2016__W1.11.ST__bin.11	19360.0	22994.0	16795.0	25684.0	25477.0	21642.0	23356.0	24486.0	23888.0	21470.0	21243.0	22296.0	24971.0	16451.0	19218.0	21342.0	5439.0	23607.0	12937.0	25833.0	41523.0	0.0	1252.0	19456.0	25068.0	20234.0	22007.0	23397.0	8649.0	22606.0	2287.0	18435.0	22125.0
BritoIL_2016__W1.9.ST__bin.39	18339.0	22708.0	16576.0	25478.0	24492.0	21179.0	23541.0	24112.0	23892.0	21431.0	20809.0	22017.0	24775.0	16986.0	19572.0	20520.0	5189.0	23738.0	12729.0	25992.0	41683.0	1252.0	0.0	19322.0	24096.0	19458.0	21240.0	23863.0	7536.0	22545.0	2512.0	18523.0	22321.0
BritoIL_2016__M1.15.ST__bin.24	17260.0	22472.0	15707.0	23495.0	22836.0	18915.0	21754.0	22716.0	22747.0	6109.0	18469.0	21106.0	21908.0	16330.0	1291.0	20018.0	17944.0	21880.0	12610.0	22730.0	41776.0	19456.0	19322.0	0.0	22819.0	19632.0	21296.0	22479.0	19738.0	22037.0	18125.0	18169.0	20984.0
ZeeviD_2015__PNP_Main_438__bin.14	18055.0	24699.0	15126.0	23881.0	22644.0	20088.0	22397.0	23263.0	22743.0	24168.0	17690.0	20974.0	21814.0	18259.0	23054.0	20623.0	22150.0	21123.0	14899.0	23015.0	44416.0	25068.0	24096.0	22819.0	0.0	20876.0	23312.0	21982.0	25485.0	21447.0	22856.0	18350.0	21700.0
VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	16754.0	21079.0	14520.0	20762.0	22052.0	18934.0	19794.0	20518.0	21112.0	20781.0	17033.0	19707.0	20668.0	16585.0	19468.0	18127.0	19068.0	20017.0	12920.0	21037.0	36304.0	20234.0	19458.0	19632.0	20876.0	0.0	20462.0	19150.0	20945.0	20371.0	18345.0	16691.0	19829.0
NielsenHB_2014__MH0013__bin.1	17185.0	3207.0	15971.0	23002.0	23739.0	20883.0	22448.0	22978.0	22947.0	23631.0	18360.0	20911.0	22489.0	17782.0	21720.0	20491.0	19927.0	22744.0	14019.0	23480.0	40709.0	22007.0	21240.0	21296.0	23312.0	20462.0	0.0	23069.0	22145.0	19010.0	20177.0	17074.0	21937.0
NielsenHB_2014__V1_UC40_0__bin.13	15972.0	23587.0	14765.0	23489.0	22710.0	19798.0	20780.0	21305.0	22105.0	23133.0	17636.0	20554.0	20764.0	18190.0	22459.0	19326.0	22311.0	14480.0	15273.0	22126.0	39763.0	23397.0	23863.0	22479.0	21982.0	19150.0	23069.0	0.0	24786.0	21211.0	22111.0	16996.0	20067.0
BritoIL_2016__M1.29.ST__bin.3	19979.0	23687.0	17178.0	26254.0	25817.0	22223.0	25110.0	24637.0	24732.0	21742.0	21249.0	22600.0	26259.0	17237.0	19659.0	21240.0	8747.0	25072.0	13539.0	27041.0	43394.0	8649.0	7536.0	19738.0	25485.0	20945.0	22145.0	24786.0	0.0	23210.0	7616.0	18722.0	23300.0
ZeeviD_2015__PNP_Main_134__bin.48	15680.0	19375.0	15443.0	21559.0	21573.0	18502.0	19904.0	21029.0	21470.0	23863.0	17191.0	19559.0	20935.0	18510.0	21884.0	19066.0	21073.0	20454.0	14604.0	21292.0	40718.0	22606.0	22545.0	22037.0	21447.0	20371.0	19010.0	21211.0	23210.0	0.0	20974.0	16429.0	20222.0
BritoIL_2016__W2.39.ST__bin.73	17181.0	21259.0	16337.0	24088.0	23084.0	19753.0	22086.0	22561.0	21977.0	20510.0	19587.0	20710.0	22812.0	15417.0	18406.0	19213.0	4990.0	22301.0	11532.0	23551.0	38107.0	2287.0	2512.0	18125.0	22856.0	18345.0	20177.0	22111.0	7616.0	20974.0	0.0	17226.0	21537.0
ZeeviD_2015__PNP_Main_238__bin.8	12751.0	18001.0	12846.0	17812.0	18514.0	17132.0	17478.0	17172.0	18041.0	18648.0	14539.0	16846.0	18174.0	15226.0	18404.0	15095.0	17595.0	17507.0	11963.0	17606.0	31358.0	18435.0	18523.0	18169.0	18350.0	16691.0	17074.0	16996.0	18722.0	16429.0	17226.0	0.0	17004.0
Obregon-TitoAJ_2015__HCO07__bin.22	15903.0	23143.0	15071.0	22365.0	21382.0	18698.0	20126.0	20931.0	21415.0	22948.0	17324.0	19167.0	21114.0	17753.0	21760.0	18401.0	21142.0	20245.0	14078.0	21874.0	40000.0	22125.0	22321.0	20984.0	21700.0	19829.0	21937.0	20067.0	23300.0	20222.0	21537.0	17004.0	0.0
