	BackhedF_2015__SID608_B__bin.2	BackhedF_2015__SID180_B__bin.10	OhJ_2014__MET0267__bin.3	BackhedF_2015__SID268_B__bin.10	OhJ_2014__MET0302__bin.6	OhJ_2014__MET0084__bin.1	BackhedF_2015__SID526_B__bin.7	FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	ChngKR_2016__WBU019__bin.1	OlmMR_2017__S2_005_014Y1__bin.16	BackhedF_2015__SID263_B__bin.4	BackhedF_2015__SID397_B__bin.1	OhJ_2014__MET0207__bin.14	BackhedF_2015__SID105_B__bin.6	FerrettiP_2018__CA_C10019MS2316SK_t0M15__bin.2	OhJ_2014__MET0082__bin.2	BackhedF_2015__SID26_B__bin.10	FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	ChngKR_2016__WBS022__bin.3	OhJ_2014__MET0142__bin.4	FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	OhJ_2014__MET0054__bin.6	FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	OhJ_2014__MET0024__bin.5	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	OhJ_2014__MET0179__bin.10	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	BackhedF_2015__SID507_B__bin.6	OhJ_2014__MET0158__bin.4	OhJ_2014__MET0192__bin.5	BackhedF_2015__SID385_B__bin.10	BackhedF_2015__SID615_B__bin.9
OhJ_2014__MET0082__bin.2	1778234.0	1594221.0	1559856.0	1770926.0	1120609.0	1725400.0	1811999.0	1735127.0	1711051.0	1299899.0	1783729.0	1242907.0	1795161.0	1406557.0	1832269.0	1907341.0	1800127.0	1607988.0	1255128.0	1066679.0	1777938.0	1764325.0	1674073.0	1710146.0	1701050.0	1148673.0	870418.0	1641088.0	1798565.0	1726209.0	1679556.0	1279139.0
BackhedF_2015__SID26_B__bin.10	1938490.0	1732565.0	1711757.0	1944157.0	1209168.0	1927459.0	1978011.0	1910002.0	1869414.0	1445083.0	1946142.0	1351587.0	1938301.0	1551103.0	1984166.0	1800127.0	2121924.0	1744738.0	1356543.0	1177976.0	1954622.0	1947420.0	1821129.0	1887734.0	1835082.0	1270757.0	925114.0	1796939.0	1956909.0	1867227.0	1856257.0	1412528.0
FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	1719974.0	1603759.0	1578455.0	1723683.0	1080942.0	1684342.0	1742807.0	1681848.0	1668846.0	1266309.0	1732748.0	1285038.0	1709145.0	1425944.0	1749814.0	1607988.0	1744738.0	1845845.0	1282120.0	1075604.0	1741841.0	1712483.0	1631056.0	1661566.0	1658615.0	1183118.0	786167.0	1619111.0	1736465.0	1656861.0	1672983.0	1289131.0
ChngKR_2016__WBS022__bin.3	1322936.0	1238915.0	1273313.0	1354080.0	888952.0	1322478.0	1356149.0	1289475.0	1287962.0	996778.0	1389524.0	1027311.0	1380077.0	1138370.0	1362474.0	1255128.0	1356543.0	1282120.0	1500071.0	908020.0	1362503.0	1344436.0	1275775.0	1292267.0	1279174.0	996550.0	563933.0	1271414.0	1385904.0	1301455.0	1296048.0	1018253.0
OhJ_2014__MET0142__bin.4	1159729.0	1045416.0	1061132.0	1165372.0	768736.0	1135183.0	1165929.0	1115166.0	1110485.0	980947.0	1163807.0	863752.0	1180625.0	966893.0	1175344.0	1066679.0	1177976.0	1075604.0	908020.0	1224043.0	1156939.0	1181296.0	1145225.0	1103629.0	1097100.0	866383.0	215822.0	1076454.0	1209036.0	1127534.0	1110226.0	945439.0
FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	1892675.0	1704064.0	1690386.0	1908316.0	1191159.0	1873161.0	1946290.0	1864833.0	1839261.0	1412377.0	1937028.0	1356578.0	1922709.0	1517305.0	1959530.0	1777938.0	1954622.0	1741841.0	1362503.0	1156939.0	2114452.0	1892045.0	1807092.0	1846174.0	1813168.0	1245488.0	888738.0	1761405.0	1918562.0	1820866.0	1819003.0	1398314.0
OhJ_2014__MET0054__bin.6	1903699.0	1692436.0	1702157.0	1882887.0	1207739.0	1962713.0	1929613.0	1847576.0	1831515.0	1391934.0	1893937.0	1318065.0	1959760.0	1528074.0	1928034.0	1764325.0	1947420.0	1712483.0	1344436.0	1181296.0	1892045.0	2066507.0	1767691.0	1862225.0	1787386.0	1274838.0	921678.0	1739534.0	1953348.0	1887501.0	1803493.0	1366620.0
FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	1779492.0	1624317.0	1579905.0	1825520.0	1117888.0	1734985.0	1830855.0	1766770.0	1712898.0	1398292.0	1789568.0	1279560.0	1765106.0	1459693.0	1828872.0	1674073.0	1821129.0	1631056.0	1275775.0	1145225.0	1807092.0	1767691.0	1954255.0	1717366.0	1689481.0	1209720.0	775757.0	1656793.0	1801607.0	1707270.0	1703471.0	1351889.0
OhJ_2014__MET0024__bin.5	1835498.0	1658576.0	1637519.0	1835094.0	1158129.0	1835160.0	1881546.0	1802556.0	1788378.0	1367433.0	1840016.0	1297070.0	1854165.0	1494698.0	1874496.0	1710146.0	1887734.0	1661566.0	1292267.0	1103629.0	1846174.0	1862225.0	1717366.0	2073947.0	1757396.0	1205366.0	902372.0	1700587.0	1860859.0	1795224.0	1764990.0	1351271.0
FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	1817604.0	1639270.0	1600370.0	1790078.0	1154269.0	1787801.0	1823256.0	1801941.0	1727926.0	1344264.0	1825243.0	1303512.0	1817384.0	1478841.0	1837489.0	1701050.0	1835082.0	1658615.0	1279174.0	1097100.0	1813168.0	1787386.0	1689481.0	1757396.0	2057513.0	1184433.0	853776.0	1701892.0	1822382.0	1758461.0	1736721.0	1358221.0
OhJ_2014__MET0179__bin.10	1244766.0	1133001.0	1154819.0	1251282.0	819160.0	1243366.0	1264713.0	1199754.0	1204979.0	944054.0	1247208.0	910813.0	1289502.0	1044379.0	1269487.0	1148673.0	1270757.0	1183118.0	996550.0	866383.0	1245488.0	1274838.0	1209720.0	1205366.0	1184433.0	1447570.0	521720.0	1163325.0	1301237.0	1284822.0	1211305.0	933077.0
FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	903109.0	796206.0	785196.0	893009.0	615337.0	918088.0	927781.0	882188.0	856301.0	534428.0	901734.0	552764.0	923988.0	685074.0	917939.0	870418.0	925114.0	786167.0	563933.0	215822.0	888738.0	921678.0	775757.0	902372.0	853776.0	521720.0	942706.0	820269.0	913927.0	916510.0	851911.0	543598.0
BackhedF_2015__SID507_B__bin.6	1755994.0	1603822.0	1581652.0	1767623.0	1090757.0	1734862.0	1780513.0	1733946.0	1695765.0	1325429.0	1767432.0	1317207.0	1745724.0	1477299.0	1769509.0	1641088.0	1796939.0	1619111.0	1271414.0	1076454.0	1761405.0	1739534.0	1656793.0	1700587.0	1701892.0	1163325.0	820269.0	1964083.0	1761836.0	1677380.0	1720335.0	1317138.0
OhJ_2014__MET0158__bin.4	1914471.0	1716808.0	1735115.0	1949175.0	1232468.0	1941821.0	1963189.0	1863433.0	1850552.0	1412503.0	1924401.0	1323026.0	1995670.0	1529652.0	1961342.0	1798565.0	1956909.0	1736465.0	1385904.0	1209036.0	1918562.0	1953348.0	1801607.0	1860859.0	1822382.0	1301237.0	913927.0	1761836.0	2236514.0	1906683.0	1815877.0	1389528.0
OhJ_2014__MET0192__bin.5	1834895.0	1644745.0	1647189.0	1817790.0	1199578.0	1863039.0	1866260.0	1793151.0	1767056.0	1352284.0	1833624.0	1265744.0	1899467.0	1471420.0	1868359.0	1726209.0	1867227.0	1656861.0	1301455.0	1127534.0	1820866.0	1887501.0	1707270.0	1795224.0	1758461.0	1284822.0	916510.0	1677380.0	1906683.0	2146935.0	1745249.0	1329420.0
BackhedF_2015__SID385_B__bin.10	1810643.0	1659247.0	1627255.0	1819548.0	1157656.0	1799030.0	1837440.0	1781727.0	1740381.0	1355655.0	1813988.0	1315356.0	1813511.0	1501832.0	1834568.0	1679556.0	1856257.0	1672983.0	1296048.0	1110226.0	1819003.0	1803493.0	1703471.0	1764990.0	1736721.0	1211305.0	851911.0	1720335.0	1815877.0	1745249.0	2093417.0	1347849.0
BackhedF_2015__SID615_B__bin.9	1393867.0	1281517.0	1265929.0	1401260.0	897998.0	1367635.0	1410282.0	1372516.0	1342111.0	1103933.0	1385034.0	1054651.0	1381661.0	1181751.0	1403004.0	1279139.0	1412528.0	1289131.0	1018253.0	945439.0	1398314.0	1366620.0	1351889.0	1351271.0	1358221.0	933077.0	543598.0	1317138.0	1389528.0	1329420.0	1347849.0	1625901.0
