	CM_madagascar__A75_02_1FE__bin.75	BritoIL_2016__W2.54.ST__bin.11	BritoIL_2016__W2.15.ST__bin.48	CM_madagascar__V40_01_1FE__bin.70	CM_madagascar__A90_04_1FE__bin.99	ZeeviD_2015__PNP_Main_447__bin.51	ZeeviD_2015__PNP_Main_104__bin.52	ZeeviD_2015__PNP_Main_215__bin.39	CosteaPI_2017__SID713B046-11-0-0__bin.46	CosteaPI_2017__SID713A087-11-90-0__bin.49	CM_madagascar__A32_01_1FE__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	KarlssonFH_2013__S422__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	BritoIL_2016__M1.24.ST__bin.15	LiuW_2016__SRR3993060__bin.85	BritoIL_2016__M1.22.ST__bin.44	WenC_2017__N277__bin.36	ZeeviD_2015__PNP_Validation_4__bin.6	CM_madagascar__A89_01_1FE__bin.11	BritoIL_2016__M2.46.ST__bin.21	CM_madagascar__A73_01_1FE__bin.6	XieH_2016__YSZC12003_36244__bin.70	CM_madagascar__A94_02_1FE__bin.45	Obregon-TitoAJ_2015__HCO02__bin.18	BritoIL_2016__W1.33.ST__bin.82	CosteaPI_2017__SID713B041-11-0-0__bin.33	BritoIL_2016__W1.53.ST__bin.16	FengQ_2015__SID530315__bin.14	LiJ_2014__MH0399__bin.44	BritoIL_2016__WL.43.ST__bin.84	XieH_2016__YSZC12003_36006__bin.69
BritoIL_2016__M2.46.ST__bin.21	24420.0	25669.0	27809.0	25847.0	16011.0	28428.0	21643.0	20165.0	19911.0	25394.0	21475.0	20570.0	13161.0	17408.0	18437.0	22464.0	25418.0	22133.0	13615.0	25936.0	0.0	16636.0	15781.0	25918.0	27484.0	13388.0	26785.0	17570.0	27633.0	25043.0	26462.0	26056.0
CM_madagascar__A73_01_1FE__bin.6	25256.0	24875.0	27332.0	26726.0	19405.0	26720.0	21318.0	20706.0	22520.0	26580.0	20701.0	15896.0	18750.0	14239.0	20714.0	24187.0	25668.0	21657.0	19014.0	25731.0	16636.0	0.0	19208.0	26124.0	26643.0	16115.0	26460.0	18841.0	27266.0	17535.0	25868.0	25750.0
XieH_2016__YSZC12003_36244__bin.70	23929.0	23907.0	23884.0	24667.0	18514.0	22050.0	19525.0	4989.0	19130.0	21001.0	21919.0	13088.0	14611.0	12711.0	21680.0	19831.0	21620.0	22427.0	15074.0	23726.0	15781.0	19208.0	0.0	24443.0	21861.0	15020.0	22497.0	18504.0	2183.0	23581.0	24797.0	22938.0
CM_madagascar__A94_02_1FE__bin.45	31422.0	35906.0	37201.0	33369.0	22848.0	37951.0	28846.0	26866.0	28997.0	35953.0	30259.0	20799.0	23001.0	20664.0	28496.0	31141.0	34024.0	32926.0	23389.0	32353.0	25918.0	26124.0	24443.0	0.0	36927.0	20157.0	36386.0	26163.0	37513.0	35563.0	34584.0	34780.0
Obregon-TitoAJ_2015__HCO02__bin.18	35438.0	37178.0	37467.0	37237.0	25705.0	33947.0	29857.0	24731.0	26425.0	32143.0	31735.0	21652.0	20932.0	21201.0	31062.0	28479.0	32626.0	33847.0	21638.0	35593.0	27484.0	26643.0	21861.0	36927.0	0.0	21820.0	33203.0	28412.0	33763.0	36666.0	37928.0	35273.0
BritoIL_2016__W1.33.ST__bin.82	20115.0	621.0	20300.0	20191.0	15518.0	21597.0	17491.0	16436.0	18436.0	21521.0	17757.0	12665.0	14555.0	11799.0	16545.0	19905.0	20911.0	18203.0	14484.0	20263.0	13388.0	16115.0	15020.0	20157.0	21820.0	0.0	21605.0	308.0	21297.0	19824.0	20396.0	20185.0
CosteaPI_2017__SID713B041-11-0-0__bin.33	35875.0	36738.0	36005.0	37854.0	25403.0	33736.0	28915.0	25118.0	25914.0	31880.0	31833.0	21989.0	20327.0	20934.0	30610.0	28631.0	32514.0	32815.0	20695.0	36314.0	26785.0	26460.0	22497.0	36386.0	33203.0	21605.0	0.0	27739.0	34018.0	35566.0	37737.0	34165.0
BritoIL_2016__W1.53.ST__bin.16	24782.0	512.0	27395.0	26161.0	18255.0	28484.0	21016.0	20640.0	22089.0	27781.0	22100.0	15897.0	19141.0	13784.0	21022.0	23912.0	26395.0	23164.0	18929.0	25170.0	17570.0	18841.0	18504.0	26163.0	28412.0	308.0	27739.0	0.0	28473.0	26292.0	26784.0	25803.0
FengQ_2015__SID530315__bin.14	35891.0	38391.0	38771.0	38927.0	25508.0	34137.0	30271.0	5819.0	26124.0	32429.0	32282.0	21457.0	20492.0	20775.0	30865.0	28969.0	32879.0	34483.0	20998.0	36281.0	27633.0	27266.0	2183.0	37513.0	33763.0	21297.0	34018.0	28473.0	0.0	37377.0	38040.0	35925.0
LiJ_2014__MH0399__bin.44	33568.0	35787.0	37611.0	36521.0	23676.0	37990.0	28807.0	26647.0	28575.0	34882.0	28902.0	21440.0	23932.0	19389.0	27840.0	30838.0	34520.0	29808.0	24772.0	34832.0	25043.0	17535.0	23581.0	35563.0	36666.0	19824.0	35566.0	26292.0	37377.0	0.0	35957.0	34929.0
BritoIL_2016__WL.43.ST__bin.84	34947.0	35830.0	35645.0	35589.0	23923.0	38576.0	28263.0	27210.0	28888.0	36281.0	30403.0	15438.0	23306.0	20677.0	28766.0	31917.0	33958.0	32519.0	23919.0	34191.0	26462.0	25868.0	24797.0	34584.0	37928.0	20396.0	37737.0	26784.0	38040.0	35957.0	0.0	35601.0
XieH_2016__YSZC12003_36006__bin.69	33249.0	34588.0	36489.0	34738.0	24050.0	35470.0	12838.0	26059.0	27401.0	33737.0	30554.0	20763.0	21792.0	20097.0	29198.0	29752.0	34300.0	32008.0	21487.0	34199.0	26056.0	25750.0	22938.0	34780.0	35273.0	20185.0	34165.0	25803.0	35925.0	34929.0	35601.0	0.0
