	HMP_2012__SRS015921__bin.10	HMP_2012__SRS019128__bin.2	HMP_2012__SRS019587__bin.5	HMP_2012__SRS013949__bin.33	HMP_2012__SRS019129__bin.24	HMP_2012__SRS050029__bin.11	HMP_2012__SRS018359__bin.7	HMP_2012__SRS013945__bin.13	HMP_2012__SRS014575__bin.2	HMP_2012__SRS013950__bin.11	HMP_2012__SRS023987__bin.4	HMP_2012__SRS013836__bin.49	HMP_2012__SRS015745__bin.7	HMP_2012__SRS056892__bin.5	HMP_2012__SRS023964__bin.28	HMP_2012__SRS017080__bin.6	HMP_2012__SRS014578__bin.17	HMP_2012__SRS019391__bin.2	HMP_2012__SRS019591__bin.17	HMP_2012__SRS015895__bin.3	HMP_2012__SRS019120__bin.3	HMP_2012__SRS015803__bin.6	HMP_2012__SRS015799__bin.3	HMP_2012__SRS013881__bin.10	HMP_2012__SRS052874__bin.12	HMP_2012__SRS024470__bin.4	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	HMP_2012__SRS024557__bin.4
HMP_2012__SRS023987__bin.4	52556.0	42553.0	28246.0	52333.0	38130.0	43779.0	32537.0	52220.0	54338.0	47793.0	0.0	42034.0	53444.0	31879.0	2137.0	53337.0	55704.0	55146.0	56025.0	52513.0	33939.0	42371.0	55189.0	55398.0	51653.0	56254.0	38186.0	52749.0
HMP_2012__SRS013836__bin.49	54783.0	41857.0	33914.0	53726.0	41495.0	36784.0	28573.0	53186.0	56757.0	47956.0	42034.0	0.0	39524.0	60676.0	57575.0	40872.0	57576.0	52653.0	51113.0	54522.0	36295.0	32161.0	39364.0	39851.0	55481.0	7265.0	37637.0	55478.0
HMP_2012__SRS015745__bin.7	69059.0	55656.0	43730.0	70349.0	54901.0	45332.0	17188.0	70187.0	71548.0	60899.0	53444.0	39524.0	0.0	75777.0	70673.0	15552.0	73450.0	67895.0	65818.0	68214.0	45195.0	11811.0	12827.0	12948.0	71828.0	50473.0	48102.0	73144.0
HMP_2012__SRS056892__bin.5	72745.0	58978.0	42938.0	71844.0	56458.0	61097.0	46294.0	72094.0	75316.0	64677.0	31879.0	60676.0	75777.0	0.0	37162.0	76147.0	77617.0	69870.0	69033.0	72230.0	47939.0	64930.0	77839.0	78464.0	72962.0	78930.0	46276.0	71508.0
HMP_2012__SRS023964__bin.28	69353.0	55198.0	43080.0	69649.0	54227.0	59130.0	43757.0	69838.0	70664.0	61687.0	2137.0	57575.0	70673.0	37162.0	0.0	69449.0	72837.0	69946.0	68180.0	69238.0	45993.0	58627.0	71133.0	72269.0	69755.0	75343.0	48410.0	70197.0
HMP_2012__SRS017080__bin.6	70975.0	55407.0	43651.0	70167.0	55185.0	46128.0	16811.0	69937.0	72381.0	61325.0	53337.0	40872.0	15552.0	76147.0	69449.0	0.0	74046.0	68385.0	65451.0	70176.0	46657.0	8739.0	9208.0	9279.0	74023.0	53123.0	49451.0	74042.0
HMP_2012__SRS014578__bin.17	73060.0	45218.0	46124.0	57266.0	44203.0	64749.0	46710.0	56257.0	478.0	50679.0	55704.0	57576.0	73450.0	77617.0	72837.0	74046.0	0.0	74520.0	72239.0	72249.0	40210.0	63445.0	74879.0	75636.0	54517.0	77700.0	43633.0	50131.0
HMP_2012__SRS019391__bin.2	68639.0	55002.0	1882.0	70265.0	53991.0	60216.0	45152.0	69972.0	73419.0	64013.0	55146.0	52653.0	67895.0	69870.0	69946.0	68385.0	74520.0	0.0	2283.0	68580.0	46007.0	58850.0	68118.0	69443.0	70113.0	70209.0	47232.0	71451.0
HMP_2012__SRS019591__bin.17	66720.0	53053.0	662.0	68313.0	52083.0	58087.0	43632.0	67658.0	71184.0	62313.0	56025.0	51113.0	65818.0	69033.0	68180.0	65451.0	72239.0	2283.0	0.0	66551.0	44999.0	55853.0	65870.0	66604.0	68198.0	67999.0	46379.0	69637.0
HMP_2012__SRS015895__bin.3	260.0	54462.0	44625.0	66677.0	52518.0	62077.0	42189.0	65867.0	70540.0	59644.0	52513.0	54522.0	68214.0	72230.0	69238.0	70176.0	72249.0	68580.0	66551.0	0.0	43539.0	60979.0	70935.0	71422.0	64223.0	70946.0	42111.0	64996.0
HMP_2012__SRS019120__bin.3	43859.0	8281.0	28475.0	10114.0	9864.0	38768.0	27952.0	8785.0	39644.0	7648.0	33939.0	36295.0	45195.0	47939.0	45993.0	46657.0	40210.0	46007.0	44999.0	43539.0	0.0	37662.0	46328.0	46757.0	37754.0	47641.0	28364.0	36859.0
HMP_2012__SRS015803__bin.6	61428.0	47667.0	43765.0	60218.0	47892.0	40263.0	11792.0	59869.0	62022.0	53457.0	42371.0	32161.0	11811.0	64930.0	58627.0	8739.0	63445.0	58850.0	55853.0	60979.0	37662.0	0.0	2051.0	1349.0	62463.0	42146.0	40242.0	63400.0
HMP_2012__SRS015799__bin.3	71702.0	56695.0	44034.0	71848.0	55918.0	44083.0	14305.0	71610.0	73157.0	62376.0	55189.0	39364.0	12827.0	77839.0	71133.0	9208.0	74879.0	68118.0	65870.0	70935.0	46328.0	2051.0	0.0	1912.0	73990.0	50706.0	50271.0	75471.0
HMP_2012__SRS013881__bin.10	72194.0	57222.0	43829.0	71981.0	56651.0	45287.0	14636.0	71740.0	73726.0	63080.0	55398.0	39851.0	12948.0	78464.0	72269.0	9279.0	75636.0	69443.0	66604.0	71422.0	46757.0	1349.0	1912.0	0.0	75804.0	51119.0	50476.0	76102.0
HMP_2012__SRS052874__bin.12	64622.0	42006.0	45348.0	53545.0	43057.0	61089.0	48038.0	52653.0	53486.0	46154.0	51653.0	55481.0	71828.0	72962.0	69755.0	74023.0	54517.0	70113.0	68198.0	64223.0	37754.0	62463.0	73990.0	75804.0	0.0	73549.0	38296.0	22446.0
HMP_2012__SRS024470__bin.4	71645.0	55506.0	43004.0	71470.0	54843.0	47833.0	35514.0	71447.0	75979.0	63072.0	56254.0	7265.0	50473.0	78930.0	75343.0	53123.0	77700.0	70209.0	67999.0	70946.0	47641.0	42146.0	50706.0	51119.0	73549.0	0.0	49194.0	73250.0
VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	42032.0	32557.0	30175.0	41153.0	32443.0	40604.0	32714.0	40434.0	42970.0	35899.0	38186.0	37637.0	48102.0	46276.0	48410.0	49451.0	43633.0	47232.0	46379.0	42111.0	28364.0	40242.0	50271.0	50476.0	38296.0	49194.0	0.0	35285.0
HMP_2012__SRS024557__bin.4	65363.0	40589.0	45777.0	50605.0	40200.0	60697.0	47812.0	49334.0	48842.0	44776.0	52749.0	55478.0	73144.0	71508.0	70197.0	74042.0	50131.0	71451.0	69637.0	64996.0	36859.0	63400.0	75471.0	76102.0	22446.0	73250.0	35285.0	0.0
