	KarlssonFH_2013__S353__bin.6	ZeeviD_2015__PNP_Main_251__bin.30	WenC_2017__RA064__bin.43	KarlssonFH_2013__S397__bin.10	QinN_2014__LD-45__bin.10	FengQ_2015__SID532826__bin.13	ZeeviD_2015__PNP_Main_124__bin.16	GeversD_2014__SKBSTL023__bin.18	BackhedF_2015__SID229_12M__bin.34	LiJ_2014__O2.UC15-0__bin.11	BackhedF_2015__SID274_M__bin.36	NielsenHB_2014__V1_CD18_0__bin.7	KarlssonFH_2013__S195__bin.42	NielsenHB_2014__V1_CD10_0__bin.8	IjazUZ_2017__S47_a_WGS__bin.4	LoombaR_2017__SID1049_baw__bin.4	FengQ_2015__SID31582__bin.27	BackhedF_2015__SID598_M__bin.5	HeQ_2017__RSZAXPI003097-131__bin.25	ZeeviD_2015__PNP_Main_108__bin.39	BackhedF_2015__SID195_12M__bin.32	YuJ_2015__SZAXPI015210-17__bin.59	HeQ_2017__SZAXPI029466-158__bin.40	BackhedF_2015__SID1_4M__bin.5	XieH_2016__YSZC12003_35563__bin.69	XieH_2016__YSZC12003_37399__bin.52	XieH_2016__YSZC12003_35734__bin.1	XieH_2016__YSZC12003_37400__bin.21	FengQ_2015__SID31236__bin.21	GeversD_2014__SKBSTL006__bin.30	BackhedF_2015__SID103_B__bin.11	XieH_2016__YSZC12003_37754__bin.94	FengQ_2015__SID31398__bin.3	ZeeviD_2015__PNP_Main_396__bin.81	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.25	ZeeviD_2015__PNP_Main_240__bin.1	QinJ_2012__CON-104__bin.37	ZeeviD_2015__PNP_Main_191__bin.9
BackhedF_2015__SID274_M__bin.36	1954157.0	2466240.0	2441176.0	1845892.0	2480405.0	2188891.0	2560037.0	2561563.0	2692927.0	1336442.0	2993910.0	2694445.0	1235931.0	1217043.0	1481154.0	1361863.0	2558832.0	2412611.0	2045507.0	1841324.0	2263231.0	1565908.0	2552176.0	1524869.0	2526475.0	2158616.0	2453734.0	1407828.0	2479253.0	2429179.0	2507124.0	2380764.0	2559607.0	2644921.0	2257662.0	2483169.0	2247505.0	2563012.0
NielsenHB_2014__V1_CD18_0__bin.7	1995804.0	2594743.0	2553125.0	1917925.0	2611573.0	2257402.0	2674445.0	2737889.0	2825131.0	1371848.0	2694445.0	3057367.0	1267993.0	1275855.0	1562256.0	1411431.0	2665296.0	2514175.0	2178330.0	1912187.0	2322613.0	1638387.0	2704125.0	1577528.0	2640000.0	2257829.0	2556249.0	1442721.0	2576501.0	2556314.0	2603910.0	2471331.0	2689623.0	2849837.0	2366460.0	2658912.0	2348012.0	2697696.0
KarlssonFH_2013__S195__bin.42	1060733.0	1206851.0	1195729.0	992985.0	1246188.0	1085156.0	1269954.0	1264015.0	1270971.0	710465.0	1235931.0	1267993.0	1359881.0	702283.0	778661.0	787985.0	1271036.0	1192189.0	1065538.0	988825.0	1180876.0	858952.0	1259317.0	882236.0	1253314.0	1101012.0	1197504.0	805617.0	1250064.0	1213053.0	1243540.0	1198053.0	1280375.0	1252997.0	1145655.0	1209196.0	1072839.0	1197686.0
NielsenHB_2014__V1_CD10_0__bin.8	1096024.0	1191472.0	1165940.0	991532.0	1252602.0	1103100.0	1257409.0	1248408.0	1261680.0	692496.0	1217043.0	1275855.0	702283.0	1422123.0	812948.0	848019.0	1244045.0	1123386.0	1178341.0	961063.0	1137971.0	1269782.0	1267444.0	816875.0	1241576.0	1066760.0	1178233.0	742707.0	1238088.0	1188944.0	1212937.0	1189191.0	1245341.0	1259023.0	1102317.0	1228202.0	1067958.0	1149046.0
IjazUZ_2017__S47_a_WGS__bin.4	1167384.0	1475254.0	1464438.0	1113767.0	1502492.0	1327962.0	1534577.0	1570429.0	1519890.0	829863.0	1481154.0	1562256.0	778661.0	812948.0	1806326.0	917266.0	1520097.0	1422140.0	1302728.0	1111090.0	1370389.0	1012555.0	1548053.0	997390.0	1514743.0	1309527.0	1453845.0	873400.0	1487161.0	1451870.0	1491865.0	1420526.0	1510331.0	1574316.0	1339691.0	1517148.0	1350955.0	1469182.0
LoombaR_2017__SID1049_baw__bin.4	1145086.0	1356495.0	1335582.0	1049763.0	1357093.0	1200530.0	1391868.0	1424348.0	1391502.0	812006.0	1361863.0	1411431.0	787985.0	848019.0	917266.0	2120970.0	1387429.0	1299935.0	1237128.0	1056274.0	1277424.0	1025887.0	1392687.0	1039010.0	1373391.0	1211483.0	1364247.0	854650.0	1374697.0	1319380.0	1362762.0	1325409.0	1382628.0	1415077.0	1268807.0	1362573.0	1186387.0	1338684.0
FengQ_2015__SID31582__bin.27	2037886.0	2544021.0	2523329.0	1966699.0	2613143.0	2299679.0	2748704.0	2690098.0	2664209.0	1299381.0	2558832.0	2665296.0	1271036.0	1244045.0	1520097.0	1387429.0	3013324.0	2549811.0	2103189.0	1872497.0	2312502.0	1664850.0	2666195.0	1550367.0	2694934.0	2191095.0	2618667.0	1439606.0	2634909.0	2488120.0	2694544.0	2535063.0	2822306.0	2714509.0	2167988.0	2581025.0	2405822.0	2591824.0
BackhedF_2015__SID598_M__bin.5	1924521.0	2409795.0	2378440.0	1846417.0	2438549.0	2185203.0	2554175.0	2506085.0	2510025.0	1212751.0	2412611.0	2514175.0	1192189.0	1123386.0	1422140.0	1299935.0	2549811.0	2698841.0	1976393.0	1778686.0	2192416.0	1514540.0	2492077.0	1448228.0	2516370.0	2081657.0	2465178.0	1345077.0	2471389.0	2363953.0	2514262.0	2364182.0	2551096.0	2515042.0	2032251.0	2426629.0	2257593.0	2449193.0
HeQ_2017__RSZAXPI003097-131__bin.25	1661048.0	2021963.0	2026274.0	1563841.0	2104614.0	1811583.0	2096837.0	2151475.0	2120604.0	1107429.0	2045507.0	2178330.0	1065538.0	1178341.0	1302728.0	1237128.0	2103189.0	1976393.0	2748679.0	1539222.0	1877583.0	1503020.0	2187658.0	1334973.0	2091538.0	1784888.0	1999734.0	1198547.0	2051970.0	1995233.0	2070895.0	1966916.0	2091179.0	2149923.0	1842596.0	2165506.0	1852434.0	2050107.0
ZeeviD_2015__PNP_Main_108__bin.39	1505843.0	1831864.0	1782286.0	1419751.0	1849394.0	1632188.0	1889728.0	1876301.0	1899079.0	974316.0	1841324.0	1912187.0	988825.0	961063.0	1111090.0	1056274.0	1872497.0	1778686.0	1539222.0	1994921.0	1693552.0	1208000.0	1878750.0	1187996.0	1857594.0	1604488.0	1803815.0	1125895.0	1836497.0	1820916.0	1835581.0	1771290.0	1869481.0	1892860.0	1614643.0	1825208.0	1634798.0	1836239.0
